ID,ADDITIONAL_DESCRIPTION
1360918,"<p>SCE-30EL2008SS6LP - Cost Effective Alternative. </p><h5>Application</h5> <p>Designed to house electrical and electronic controls, instruments and components in areas which may be regularly hosed down or are very wet conditions. Provides protection from dust, dirt, oil and water. For outdoor application a drip shield is recommended. </p> <h5>Construction</h5> <ul><li>0.075” stainless steel Type 316/316L. </li> <li>Continuously welded seams ground smooth. </li> <li>Flange trough collar around all sides of door opening. </li> <li>Oil-resistant door gasket. </li> <li>Collar studs provided for mounting optional subpanels. </li> <li>Hasp and staple for padlocking. </li> <li>Stainless steel continuous hinge. </li> <li>Print pocket. </li> <li>Ground stud on door. </li> <li>Stainless steel clamps on three sides door when greater than 30 inch wide. </li></ul> <h5>Finish</h5> <p>#4 brushed finish on all exterior surfaces. Optional panels are powder coated white. </p> <h5>Industry Standards - (IS5)</h5><p>NEMA Type 4, 4X, 12 and Type 13UL Listed Type 4, 4X and 12CSA Type 4, 4X and 12IEC IEC 60529 IP IP 66</p><h5>Specifications</h5><table class=""description-table""><tr><th>Part Number</th><td>SCE-30H2008SS6LP</td></tr><tr><th>Description</th><td>Nema 4X LP Enclosure</td></tr><tr><th>Height</th><td>30.00""</td></tr><tr><th>Width</th><td>20.00""</td></tr><tr><th>Depth</th><td>8.00""</td></tr><tr><th>Price Code</th><td>S7</td></tr><tr><th>Catalog Page</th><td>226</td></tr><tr><th>Est. Ship Weight</th><td>53.00 lbs</td></tr></table>"
1360916,"<p>SCE-24XEL2108SS6LP - Cost Effective Alternative. </p><h5>Application</h5> <p>Designed to house electrical and electronic controls, instruments and components in areas which may be regularly hosed down or are very wet conditions. Provides protection from dust, dirt, oil and water. Designed to house most standard type disconnects. For outdoor application a drip shield is recommended. </p> <h5>Construction</h5> <ul><li>0.075” stainless steel Type 316/316L. </li> <li>Seams continuously welded and ground smooth. </li> <li>Stainless steel continuous hinge. </li> <li>Flange trough collar around all sides of door opening. </li> <li>Interior print pocket. </li> <li>Oil-resistant door gasket. </li> <li>Ground studs on door and body. </li> <li>Disconnect cutout provided on flange. </li> <li>Stainless steel clamps on three sides. </li> <li>No door stiffeners required. </li> <li>Collar studs provided for mounting optional panels. </li></ul> <h5>Finish</h5> <p>#4 brushed finish on all exterior surfaces. Optional sub-panels are powder coated white. </p> <h5>Industry Standards - (IS5)</h5><p>NEMA Type 4, 4X, 12 and Type 13UL Listed Type 4, 4X and 12CSA Type 4, 4X and 12IEC IEC 60529 IP IP 66</p><h5>Specifications</h5><table class=""description-table""><tr><th>Part Number</th><td>SCE-24HS2108SS6LP</td></tr><tr><th>Description</th><td>S. S. HS LP Enclosure</td></tr><tr><th>Height</th><td>24.00""</td></tr><tr><th>Width</th><td>21.38""</td></tr><tr><th>Depth</th><td>8.00""</td></tr><tr><th>Price Code</th><td>S7</td></tr><tr><th>Catalog Page</th><td>236</td></tr><tr><th>Est. Ship Weight</th><td>48.00 lbs</td></tr></table>"
1360553,"<p>SCE-24XEL2508LP - Cost Effective Alternative. </p><h5>Application</h5> <p>Designed to house electrical equipment and provide protection from dirt, dust, oil and water and to house most standard type disconnects. </p> <h5>Construction</h5> <ul><li>0.075” carbon steel. </li> <li>Seams continuously welded and ground smooth. </li> <li>Flange trough collar around all sides of door opening. </li> <li>Concealed hinge. </li> <li>Removable print pocket furnished if height and width of enclosure is 24 inches or more. </li> <li>Oil-resistant gasket. </li> <li>Collar studs provided for mounting optional panels. </li> <li>Cutouts provided in flange for mounting disconnect operating handle. </li> <li>Ground stud on door. </li> <li>Black zinc die cast coinproof/padlocking handle. </li></ul> <h5>Finish</h5> <p>ANSI-61 gray powder coating inside and out. Optional sub-panels are powder coated white. </p> <h5>Industry Standards - (IS1)</h5><p>NEMA Type 12 and Type 13UL Listed Type 12CSA Type 12IEC IEC 60529 IP IP 55</p> <h5>Notes</h5> <p>Disconnect switch (or circuit breaker) and operating mechanism are not furnished with this enclosure. </p><h5>Specifications</h5><table class=""description-table""><tr><th>Part Number</th><td>SCE-24SA2608LPPL</td></tr><tr><th>Description</th><td>SA LPPL Enclosure</td></tr><tr><th>Height</th><td>24.00""</td></tr><tr><th>Width</th><td>25.38""</td></tr><tr><th>Depth</th><td>8.00""</td></tr><tr><th>Price Code</th><td>A5</td></tr><tr><th>Catalog Page</th><td>84</td></tr><tr><th>Est. Ship Weight</th><td>54.00 lbs</td></tr></table>"
1359682,"<p>SCE-606ELJ - Cost Effective Alternative. </p><h5>Application</h5> <p>Designed for use as electrical junction boxes, terminal wiring boxes, instrument housings, and electrical control enclosures. Provides protection from dust, dirt, oil and water. </p> <h5>Construction</h5> <ul><li>0.063” carbon steel. </li> <li>Seams continuously welded and ground smooth, no holes or knockouts. </li> <li>Continuous hinge with stainless steel hinge pin. </li> <li>Stainless steel external screw clamps are quick and easy to operate. </li> <li>Oil resistant door gasket. </li> <li>Standoffs provided for mounting optional panels. </li> <li>Ground stud on door &amp; body. </li></ul> <h5>Finish</h5> <p>ANSI-61 gray powder coating inside and out. Optional sub-panels are powder coated white. </p> <h5>Industry Standards - (IS2)</h5><p>NEMA Type 4, 12 and Type 13UL Listed Type 4 and 12CSA Type 4 and 12IEC IEC 60529 IP IP 66</p> <h5>Notes</h5> <p>Part numbers containing an ""S"" are hinged on the short side. </p><h5>Specifications</h5><table class=""description-table""><tr><th>Part Number</th><td>SCE-606CHNF</td></tr><tr><th>Description</th><td>CHNF Enclosure</td></tr><tr><th>Height</th><td>6.00""</td></tr><tr><th>Width</th><td>6.00""</td></tr><tr><th>Depth</th><td>4.00""</td></tr><tr><th>Price Code</th><td>A1</td></tr><tr><th>Catalog Page</th><td>66</td></tr><tr><th>Est. Ship Weight</th><td>5.00 lbs</td></tr></table>"
1361164,"<p>SCE-48EL3616SSLP - Cost Effective Alternative. </p><h5>Application</h5> <p>Designed to house electrical and electronic controls, instruments and components in areas which may be regularly hosed down or are very wet conditions. Provides protection from dust, dirt, oil and water. For outdoor application a drip shield is recommended. </p> <h5>Construction</h5> <ul><li>0.075” stainless steel Type 304. </li> <li>Continuously welded seams ground smooth. </li> <li>Flange trough collar around all sides of door opening. </li> <li>Oil-resistant door gasket. </li> <li>Collar studs provided for mounting optional subpanels. </li> <li>Hasp and staple for padlocking. </li> <li>Stainless steel continuous hinge. </li> <li>Print pocket. </li> <li>Ground stud on door. </li> <li>Stainless steel clamps on three sides door when greater than 30 inch wide. </li></ul> <h5>Finish</h5> <p>#4 brushed finish on all exterior surfaces. Optional sub-panels are powder coated white. </p> <h5>Industry Standards - (IS5)</h5><p>NEMA Type 4, 4X, 12 and Type 13UL Listed Type 4, 4X and 12CSA Type 4, 4X and 12IEC IEC 60529 IP IP 66</p><h5>Specifications</h5><table class=""description-table""><tr><th>Part Number</th><td>SCE-48H3616SSLP</td></tr><tr><th>Description</th><td>Nema 4X LP Enclosure</td></tr><tr><th>Height</th><td>48.00""</td></tr><tr><th>Width</th><td>36.00""</td></tr><tr><th>Depth</th><td>16.00""</td></tr><tr><th>Price Code</th><td>S3</td></tr><tr><th>Catalog Page</th><td>224</td></tr><tr><th>Est. Ship Weight</th><td>158.00 lbs</td></tr></table>"
1360991,"<p>SCE-36EL3010SSLP - Cost Effective Alternative. </p><h5>Application</h5> <p>Designed to house electrical and electronic controls, instruments and components in areas which may be regularly hosed down or are very wet conditions. Provides protection from dust, dirt, oil and water. For outdoor application a drip shield is recommended. </p> <h5>Construction</h5> <ul><li>0.075” stainless steel Type 304. </li> <li>Continuously welded seams ground smooth. </li> <li>Flange trough collar around all sides of door opening. </li> <li>Oil-resistant door gasket. </li> <li>Collar studs provided for mounting optional subpanels. </li> <li>Hasp and staple for padlocking. </li> <li>Stainless steel continuous hinge. </li> <li>Print pocket. </li> <li>Ground stud on door. </li> <li>Stainless steel clamps on three sides door when greater than 30 inch wide. </li></ul> <h5>Finish</h5> <p>#4 brushed finish on all exterior surfaces. Optional sub-panels are powder coated white. </p> <h5>Industry Standards - (IS5)</h5><p>NEMA Type 4, 4X, 12 and Type 13UL Listed Type 4, 4X and 12CSA Type 4, 4X and 12IEC IEC 60529 IP IP 66</p><h5>Specifications</h5><table class=""description-table""><tr><th>Part Number</th><td>SCE-36H3010SSLP</td></tr><tr><th>Description</th><td>Nema 4X LP Enclosure</td></tr><tr><th>Height</th><td>36.00""</td></tr><tr><th>Width</th><td>30.00""</td></tr><tr><th>Depth</th><td>10.00""</td></tr><tr><th>Price Code</th><td>S3</td></tr><tr><th>Catalog Page</th><td>224</td></tr><tr><th>Est. Ship Weight</th><td>89.00 lbs</td></tr></table>"
2266256,"<p>SCE-BP7218 - Replacement Part. SCE-BP84XM18 is being discontinued. </p><h5>Application</h5> <p>Designed to be installed on the back panel of XM Enclosures to provide protection against Arc Flash the height of the sub-plate, and allowing you to separate the high voltage and low voltage within the enclosure. Made of heavy gauge carbon steel. Mounting hardware included. </p> <h5>Finish</h5> <p>Powder coated white. </p> <h5>Industry Standards - (IS17)</h5><p>NEMA Not ApplicableUL Not ApplicableCSA N/A</p></li></ul><p>SCE-BP7218 - Replacement Part. SCE-BP84XM18 is being discontinued. </p><h5>Application</h5> <p>Designed to be installed on the back panel of XM Enclosures to provide protection against Arc Flash the height of the sub-plate, and allowing you to separate the high voltage and low voltage within the enclosure. Made of heavy gauge carbon steel. Mounting hardware included. </p> <h5>Finish</h5> <p>Powder coated white. </p> <h5>Industry Standards - (IS17)</h5><p>NEMA Not ApplicableUL Not ApplicableCSA N/A</p><h5>Specifications</h5><table class=""description-table""><tr><th>Part Number</th><td>SCE-BP84XM18</td></tr><tr><th>Description</th><td>Plate, Barrier</td></tr><tr><th>Height</th><td>72.00""</td></tr><tr><th>Width</th><td>15.44""</td></tr><tr><th>Depth</th><td>1.63""</td></tr><tr><th>Price Code</th><td>P2</td></tr><tr><th>Catalog Page</th><td>319</td></tr><tr><th>Est. Ship Weight</th><td>100.00 lbs</td></tr></table>"
1361038,"<p>SCE-36EL3008SS6LP - Cost Effective Alternative. </p><h5>Application</h5> <p>Designed to house electrical and electronic controls, instruments and components in areas which may be regularly hosed down or are very wet conditions. Provides protection from dust, dirt, oil and water. For outdoor application a drip shield is recommended. </p> <h5>Construction</h5> <ul><li>0.075” stainless steel Type 316/316L. </li> <li>Continuously welded seams ground smooth. </li> <li>Flange trough collar around all sides of door opening. </li> <li>Oil-resistant door gasket. </li> <li>Collar studs provided for mounting optional subpanels. </li> <li>Hasp and staple for padlocking. </li> <li>Stainless steel continuous hinge. </li> <li>Print pocket. </li> <li>Ground stud on door. </li> <li>Stainless steel clamps on three sides door when greater than 30 inch wide. </li></ul> <h5>Finish</h5> <p>#4 brushed finish on all exterior surfaces. Optional panels are powder coated white. </p> <h5>Industry Standards - (IS5)</h5><p>NEMA Type 4, 4X, 12 and Type 13UL Listed Type 4, 4X and 12CSA Type 4, 4X and 12IEC IEC 60529 IP IP 66</p><h5>Specifications</h5><table class=""description-table""><tr><th>Part Number</th><td>SCE-36H3008SS6LP</td></tr><tr><th>Description</th><td>Nema 4X LP Enclosure</td></tr><tr><th>Height</th><td>36.00""</td></tr><tr><th>Width</th><td>30.00""</td></tr><tr><th>Depth</th><td>8.00""</td></tr><tr><th>Price Code</th><td>S7</td></tr><tr><th>Catalog Page</th><td>226</td></tr><tr><th>Est. Ship Weight</th><td>87.00 lbs</td></tr></table>"
1361093,"<p>SCE-42XEL3112SSLP - Cost Effective Alternative. </p><h5>Application</h5> <p>Designed to house electrical and electronic controls, instruments and components in areas which may be regularly hosed down or are very wet conditions. Provides protection from dust, dirt, oil and water. Designed to house most standard type disconnects. For outdoor application a drip shield is recommended. </p> <h5>Construction</h5> <ul><li>0.075” stainless steel Type 304. </li> <li>Seams continuously welded and ground smooth. </li> <li>Stainless steel continuous hinge. </li> <li>Flange trough collar around all sides of door opening. </li> <li>Interior print pocket. </li> <li>Oil-resistant door gasket. </li> <li>Ground studs on door and body. </li> <li>Disconnect cutout provided on flange. </li> <li>Stainless steel clamps on three sides. </li> <li>No door stiffeners required. </li> <li>Collar studs provided for mounting optional panels. </li></ul> <h5>Finish</h5> <p>#4 brushed finish on all exterior surfaces. Optional sub-panels are powder coated white. </p> <h5>Industry Standards - (IS5)</h5><p>NEMA Type 4, 4X, 12 and Type 13UL Listed Type 4, 4X and 12CSA Type 4, 4X and 12IEC IEC 60529 IP IP 66</p> <h5>Notes</h5> <p>Disconnect switch (or circuit breaker) and operating mechanism are not furnished with this enclosure. </p><h5>Specifications</h5><table class=""description-table""><tr><th>Part Number</th><td>SCE-42HS3112SSLP</td></tr><tr><th>Description</th><td>S. S. HS LP Enclosure</td></tr><tr><th>Height</th><td>42.00""</td></tr><tr><th>Width</th><td>31.38""</td></tr><tr><th>Depth</th><td>12.00""</td></tr><tr><th>Price Code</th><td>S3</td></tr><tr><th>Catalog Page</th><td>236</td></tr><tr><th>Est. Ship Weight</th><td>111.00 lbs</td></tr></table>"
1360703,"<p>SCE-36XEL3112LP - Cost Effective Alternative. </p><h5>Application</h5> <p>Designed to house electrical equipment and provide protection from dirt, dust, oil and water and to house most standard type disconnects. </p> <h5>Construction</h5> <ul><li>0.075” carbon steel. </li> <li>Seams continuously welded and ground smooth. </li> <li>Flange trough collar around all sides of door opening. </li> <li>Concealed hinge. </li> <li>Removable print pocket furnished if height and width of enclosure is 24 inches or more. </li> <li>Oil-resistant gasket. </li> <li>Collar studs provided for mounting optional panels. </li> <li>Cutouts provided in flange for mounting disconnect operating handle. </li> <li>Ground stud on door. </li> <li>Black zinc die cast coinproof/padlocking handle. </li></ul> <h5>Finish</h5> <p>ANSI-61 gray powder coating inside and out. Optional sub-panels are powder coated white. </p> <h5>Industry Standards - (IS1)</h5><p>NEMA Type 12 and Type 13UL Listed Type 12CSA Type 12IEC IEC 60529 IP IP 55</p> <h5>Notes</h5> <p>Disconnect switch (or circuit breaker) and operating mechanism are not furnished with this enclosure. </p><h5>Specifications</h5><table class=""description-table""><tr><th>Part Number</th><td>SCE-36SA3212LPPL</td></tr><tr><th>Description</th><td>SA LPPL Enclosure</td></tr><tr><th>Height</th><td>36.00""</td></tr><tr><th>Width</th><td>31.38""</td></tr><tr><th>Depth</th><td>12.00""</td></tr><tr><th>Price Code</th><td>A5</td></tr><tr><th>Catalog Page</th><td>84</td></tr><tr><th>Est. Ship Weight</th><td>100.00 lbs</td></tr></table>"
