ID,ADDITIONAL_DESCRIPTION
2517294,"<p>Coxreels E Series ""Expandable"" multiple bank system is the pinnacle in professional appearance and organization. The cabinets are interlocking and expandable to any number of spring driven reel assemblies required. Designed for easy installation, maintenance and servicing the E Series system is truly the professional's choice for multimedia delivery in one custom package. </p> <h5>Swivel</h5><ul><li>External fluid path with machined from solid brass 90° full-flow NPT swivel inlet (Zinc plated steel swivel on HP models)</li> <li>Swivel Seals: NITRILE</li></ul><h5>Design &amp; Structure</h5> <ul><li>Designed for expandable metal cabinets &amp; multiple reel bank systems</li> <li>Solid one piece, heavy gauge 1/4"" steel base &amp; support post for maximum stability</li> <li>1"" solid steel axle &amp; lubricated precision bearings for smooth rotation</li></ul> <h5>Retraction</h5> <ul><li>Enclosed factory tuned &amp; matched cartridge-style spring motor</li> <li>Non corrosive stainless steel spring, pawl &amp; zinc plated ratchet</li> <li>Multi-position lock ratchet mechanism secures hose at desired length</li></ul> <h5>Signature Features</h5> <ul><li>Professional grade heavy duty steel construction</li> <li>Durable proprietary CPC powder coat finish</li> <li>CNC robotically spun and ribbed discs with rolled edges provide strength, safety, and durability</li> <li>Industry leading 2 year manufacturer's limited warranty</li> <li>Made in the U. S. A. – Sold &amp; Supported Worldwide</li></ul> <h5>Possible Fields of Application</h5> <ul><li>Air/Water Services</li> <li>Pneumatic Tools</li> <li>Washdown</li> <li>Lubrication</li> <li>Chemical Fluid Transfer</li> <li>General Industrial</li> <li>Cabinet Mount</li> <li>Manufacturing Plants &amp; Facilities</li> <li>Maintenance, Repair &amp; operations</li> <li>Automotive Dealerships</li> <li>Quick Lube Service Centers</li></ul> "
2516899,"<p>Coxreels SG &amp; SGW Series expand the capabilities of the ""Side Mount"" spring driven hose reels, adding a multi-position guide arm for maximum and convenient hose control. Ideal for tight spaces, the versatile SG Series (for air/water, oil and grease) and SGW Series (for oxy-acetylene and T Grade gas welding hose) feature a simple two-bolt mounting pattern for easy installation and detachment on any vertical flat surface. Common applications include service vehicles, tool benches, vertical walls and beams, vehicle lift systems, machine tools and more. The guide arm and roller assembly are easily moved to one of the six different positions with a standard ½"" wrench. </p> <h5>Swivel</h5><ul><li>External fluid path with machined from solid brass 90° full-flow NPT swivel inlet (Zinc plated steel swivel on HP models)</li> <li>Swivel Seals: NITRILE</li></ul><h5>Design &amp; Structure</h5> <ul><li>Side mount design for vertical flat surface, cabinet or enclosed space mounts</li> <li>Adjustable 6 position guide arm &amp; roller assembly provide maximum hose control</li> <li>2-bolt mounting pattern easily mounts &amp; detaches for temporary or permanent installation</li> <li>Solid one piece, 3/16"" steel arm base for maximum stability</li> <li>1"" solid steel axle &amp; lubricated precision bearings for smooth rotation</li></ul> <h5>Retraction</h5> <ul><li>Enclosed factory tuned &amp; matched cartridge-style spring motor</li> <li>Non corrosive stainless steel spring, pawl &amp; zinc plated ratchet</li> <li>Multi-position lock ratchet mechanism secures hose at desired length. </li> <li>Non-locking, less ratchet option available (add suffix –BXC)</li></ul> <h5>Signature Features</h5> <ul><li>Professional grade heavy duty steel construction</li> <li>Durable proprietary CPC powder coat finish</li> <li>CNC robotically spun and ribbed discs with rolled edges provide strength, safety, and durability</li> <li>Industry leading 2 year manufacturer's limited warranty</li> <li>Made in the U. S. A. – Sold &amp; Supported Worldwide</li></ul> <h5>Possible Fields of Application</h5> <ul><li>Air/Water Services</li> <li>Pneumatic Tools</li> <li>Welding Shops</li> <li>Service/Mechanic/Utility Vehicles</li> <li>Lubrication</li> <li>Chemical Fluid Transfer</li> <li>General Industrial</li> <li>Construction Sites</li></ul> "
2516598,"<p>Coxreels P Series ""Performance"" spring driven hose reels have a long history of dependability and trouble free performance. Their compact space-saving size and heavy duty construction make them highly versatile and virtually indestructible. Time-tested proven components, superior design and craftsmanship have contributed to its worldwide reputation as the most trusted hose reel. </p> <h5>Swivel</h5><ul><li>External fluid path with machined from solid brass 90° full-flow NPT swivel inlet (Zinc plated steel swivel on HP models)</li> <li>Swivel Seals: NITRILE</li></ul><h5>Design &amp; Structure</h5> <ul><li>Sturdy single pedestal reel with space saving design facilitates workplace organization</li> <li>Guide arm adjusts to wall, floor, vehicle &amp; overhead positions</li> <li>Solid one piece, heavy gauge 1/4"" steel base &amp; support post for maximum stability</li> <li>1"" solid steel axle &amp; lubricated precision bearings for smooth rotation</li></ul> <h5>Retraction</h5> <ul><li>Controlled retraction speed up to 80% slower on EZ-Coil models</li> <li>Enclosed factory tuned and matched cartridge-style spring motor</li> <li>Non-corrosive stainless steel spring, pawl and zinc plated ratchet</li> <li>Multi-position lock ratchet mechanism secures hose at desired length</li></ul> <h5>Signature Features</h5> <ul><li>Professional grade heavy duty steel construction</li> <li>Durable proprietary CPC powder coat finish</li> <li>CNC robotically spun and ribbed discs with rolled edges provide strength, safety, and durability</li> <li>Industry leading 2 year manufacturer's limited warranty</li> <li>Made in the U. S. A. – Sold &amp; Supported Worldwide</li></ul> <h5>Possible Fields of Application</h5> <ul><li>Air/Water Services</li> <li>Pneumatic Tools</li> <li>Washdown</li> <li>Lubrication</li> <li>Chemical Fluid Transfer</li> <li>General Industrial</li> <li>Manufacturing Plants &amp; Facilities</li> <li>Maintenance, Repair &amp; Operations</li> <li>Automotive &amp; Fleet Service Centers</li></ul> "
2516550,"<p>Coxreels P Series ""Performance"" spring driven hose reels have a long history of dependability and trouble free performance. Their compact space-saving size and heavy duty construction make them highly versatile and virtually indestructible. Time-tested proven components, superior design and craftsmanship have contributed to its worldwide reputation as the most trusted hose reel. </p> <h5>Swivel</h5><ul><li>External fluid path with machined from solid brass 90° full-flow NPT swivel inlet (Zinc plated steel swivel on HP models)</li> <li>Swivel Seals: NITRILE</li></ul><h5>Design &amp; Structure</h5> <ul><li>Sturdy single pedestal reel with space saving design facilitates workplace organization</li> <li>Guide arm adjusts to wall, floor, vehicle &amp; overhead positions</li> <li>Solid one piece, heavy gauge 1/4"" steel base &amp; support post for maximum stability</li> <li>1"" solid steel axle &amp; lubricated precision bearings for smooth rotation</li></ul> <h5>Retraction</h5> <ul><li>Controlled retraction speed up to 80% slower on EZ-Coil models</li> <li>Enclosed factory tuned and matched cartridge-style spring motor</li> <li>Non-corrosive stainless steel spring, pawl and zinc plated ratchet</li> <li>Multi-position lock ratchet mechanism secures hose at desired length</li></ul> <h5>Signature Features</h5> <ul><li>Professional grade heavy duty steel construction</li> <li>Durable proprietary CPC powder coat finish</li> <li>CNC robotically spun and ribbed discs with rolled edges provide strength, safety, and durability</li> <li>Industry leading 2 year manufacturer's limited warranty</li> <li>Made in the U. S. A. – Sold &amp; Supported Worldwide</li></ul> <h5>Possible Fields of Application</h5> <ul><li>Air/Water Services</li> <li>Pneumatic Tools</li> <li>Washdown</li> <li>Lubrication</li> <li>Chemical Fluid Transfer</li> <li>General Industrial</li> <li>Manufacturing Plants &amp; Facilities</li> <li>Maintenance, Repair &amp; Operations</li> <li>Automotive &amp; Fleet Service Centers</li></ul> "
2517096,"<p>Coxreels PC Series spring driven ""Power Cord"" reels are heavy duty, industrial grade power sources. They replace tangled extension cords and self-retract to increase safety, productivity and efficiency. Modeled after the P and SH Series, the PC Series are designed for long-lasting, trouble-free performance even under the most demanding conditions. </p> <h5>Swivel</h5> <ul><li>External heavy gauge CPC powder coated steel components cover for simple slip ring routine maintenance</li> <li>Electrical current runs through a 25AMP / 600V rated slip ring (35AMPon select models)</li> <li>Include 5' pigtail &amp; grounding plug (except on less cord models)</li></ul> <h5>Design &amp; Structure</h5> <ul><li>Selection of electrical accessories</li> <li>Single pedestal cord reel with space saving design facilitates workplace organization</li> <li>Guide arm adjusts to wall, floor &amp; overhead positions</li> <li>Solid one piece, heavy gauge 1/4"" steel base &amp; support post for maximum stability</li> <li>Coxreels' exclusive Super Hub dual axle support system on models with size index #3 &amp; #4</li> <li>1"" solid steel axle &amp; lubricated precision bearings for smooth rotation</li></ul> <h5>Retraction</h5> <ul><li>Enclosed factory tuned &amp; matched cartridge-style spring motor</li> <li>Non corrosive stainless steel spring, pawl &amp; zinc plated ratchet</li> <li>Multi-position lock ratchet mechanism secures cord at desired length</li></ul> <h5>Signature Features</h5> <ul><li>Professional grade heavy duty steel construction</li> <li>Durable proprietary CPC powder coat finish</li> <li>CNC robotically spun and ribbed discs with rolled edges provide strength, safety, and durability</li> <li>Industry leading 2 year manufacturer's limited warranty</li> <li>Made in the U. S. A. – Sold &amp; Supported Worldwide</li></ul> <h5>Possible Fields of Application</h5> <ul><li>Power Tools</li> <li>Light Source</li> <li>General Industrial</li> <li>Manufacturing Plants</li> <li>Workshops</li> <li>Automotive &amp; Fleet Service Centers</li> <li>Construction Sites</li></ul> "
2516905,"<p>Coxreels SG Series expands the capabilities of the ""Side Mount"" spring driven hose reels, adding a multi-position guide arm for maximum and convenient hose control. Ideal for tight spaces, the versatile SG Series (for air/water, oil and grease) and features a simple two-bolt mounting pattern for easy installation and detachment on any vertical flat surface. Common applications include service vehicles, tool benches, vertical walls and beams, vehicle lift systems, machine tools and more. The guide arm and roller assembly are easily moved to one of the six different positions with a standard ½"" wrench. </p> <h5>Swivel</h5><ul><li>External fluid path with machined from solid brass 90° full-flow NPT swivel inlet (Zinc plated steel swivel on HP models)</li> <li>Swivel Seals: NITRILE</li></ul><h5>Design &amp; Structure</h5> <ul><li>Side mount design for vertical flat surface, cabinet or enclosed space mounts</li> <li>Adjustable 6 position guide arm &amp; roller assembly provide maximum hose control</li> <li>2-bolt mounting pattern easily mounts &amp; detaches for temporary or permanent installation</li> <li>Solid one piece, 3/16"" steel arm base for maximum stability</li> <li>1"" solid steel axle &amp; lubricated precision bearings for smooth rotation</li></ul> <h5>Retraction</h5> <ul><li>Controlled retraction speed up to 80% slower on EZ-Coil models</li> <li>Enclosed factory tuned &amp; matched cartridge-style spring motor</li> <li>Non corrosive stainless steel spring, pawl &amp; zinc plated ratchet</li> <li>Multi-position lock ratchet mechanism secures hose at desired length. </li> <li>Non-locking, less ratchet option available (add suffix –BXC)</li></ul> <h5>Signature Features</h5> <ul><li>Professional grade heavy duty steel construction</li> <li>Durable proprietary CPC powder coat finish</li> <li>CNC robotically spun and ribbed discs with rolled edges provide strength, safety, and durability</li> <li>Industry leading 2 year manufacturer's limited warranty</li> <li>Made in the U. S. A. – Sold &amp; Supported Worldwide</li></ul> <h5>Possible Fields of Application</h5> <ul><li>Air/Water Services</li> <li>Pneumatic Tools</li> <li>Welding Shops</li> <li>Service/Mechanic/Utility Vehicles</li> <li>Lubrication</li> <li>Chemical Fluid Transfer</li> <li>General Industrial</li> <li>Construction Sites</li></ul> "
2517298,"<p>Coxreels E Series ""Expandable"" multiple bank system is the pinnacle in professional appearance and organization. The cabinets are interlocking and expandable to any number of spring driven reel assemblies required. Designed for easy installation, maintenance and servicing the E Series system is truly the professional's choice for multimedia delivery in one custom package. </p> <h5>Swivel</h5><ul><li>External fluid path with machined from solid brass 90° full-flow NPT swivel inlet (Zinc plated steel swivel on HP models)</li> <li>Swivel Seals: NITRILE</li></ul><h5>Design &amp; Structure</h5> <ul><li>Designed for expandable metal cabinets &amp; multiple reel bank systems</li> <li>Solid one piece, heavy gauge 1/4"" steel base &amp; support post for maximum stability</li> <li>1"" solid steel axle &amp; lubricated precision bearings for smooth rotation</li></ul> <h5>Retraction</h5> <ul><li>Controlled retraction speed up to 80% slower on EZ-Coil models</li> <li>Enclosed factory tuned &amp; matched cartridge-style spring motor</li> <li>Non corrosive stainless steel spring, pawl &amp; zinc plated ratchet</li> <li>Multi-position lock ratchet mechanism secures hose at desired length</li></ul> <h5>Signature Features</h5> <ul><li>Professional grade heavy duty steel construction</li> <li>Durable proprietary CPC powder coat finish</li> <li>CNC robotically spun and ribbed discs with rolled edges provide strength, safety, and durability</li> <li>Industry leading 2 year manufacturer's limited warranty</li> <li>Made in the U. S. A. – Sold &amp; Supported Worldwide</li></ul> <h5>Possible Fields of Application</h5> <ul><li>Air/Water Services</li> <li>Pneumatic Tools</li> <li>Washdown</li> <li>Lubrication</li> <li>Chemical Fluid Transfer</li> <li>General Industrial</li> <li>Cabinet Mount</li> <li>Manufacturing Plants &amp; Facilities</li> <li>Maintenance, Repair &amp; operations</li> <li>Automotive Dealerships</li> <li>Quick Lube Service Centers</li></ul> "
2517044,"<p>Coxreels PC Series spring driven ""Power Cord"" reels are heavy duty, industrial grade power sources. They replace tangled extension cords and self-retract to increase safety, productivity and efficiency. Modeled after the P and SH Series, the PC Series are designed for long-lasting, trouble-free performance even under the most demanding conditions. </p> <h5>Swivel</h5> <ul><li>External heavy gauge CPC powder coated steel components cover for simple slip ring routine maintenance</li> <li>Electrical current runs through a 25AMP / 600V rated slip ring (35AMPon select models)</li> <li>Include 5' pigtail &amp; grounding plug (except on less cord models)</li></ul> <h5>Design &amp; Structure</h5> <ul><li>Selection of electrical accessories</li> <li>Single pedestal cord reel with space saving design facilitates workplace organization</li> <li>Guide arm adjusts to wall, floor &amp; overhead positions</li> <li>Solid one piece, heavy gauge 1/4"" steel base &amp; support post for maximum stability</li> <li>Coxreels' exclusive Super Hub dual axle support system on models with size index #3 &amp; #4</li> <li>1"" solid steel axle &amp; lubricated precision bearings for smooth rotation</li></ul> <h5>Retraction</h5> <ul><li>Enclosed factory tuned &amp; matched cartridge-style spring motor</li> <li>Non corrosive stainless steel spring, pawl &amp; zinc plated ratchet</li> <li>Multi-position lock ratchet mechanism secures cord at desired length</li></ul> <h5>Signature Features</h5> <ul><li>Professional grade heavy duty steel construction</li> <li>Durable proprietary CPC powder coat finish</li> <li>CNC robotically spun and ribbed discs with rolled edges provide strength, safety, and durability</li> <li>Industry leading 2 year manufacturer's limited warranty</li> <li>Made in the U. S. A. – Sold &amp; Supported Worldwide</li></ul> <h5>Possible Fields of Application</h5> <ul><li>Power Tools</li> <li>Light Source</li> <li>General Industrial</li> <li>Manufacturing Plants</li> <li>Workshops</li> <li>Automotive &amp; Fleet Service Centers</li> <li>Construction Sites</li></ul> "
2517091,"<p>Coxreels PC Series spring driven ""Power Cord"" reels are heavy duty, industrial grade power sources. They replace tangled extension cords and self-retract to increase safety, productivity and efficiency. Modeled after the P and SH Series, the PC Series are designed for long-lasting, trouble-free performance even under the most demanding conditions. </p> <h5>Swivel</h5> <ul><li>External heavy gauge CPC powder coated steel components cover for simple slip ring routine maintenance</li> <li>Electrical current runs through a 25AMP / 600V rated slip ring (35AMPon select models)</li> <li>Include 5' pigtail &amp; grounding plug (except on less cord models)</li></ul> <h5>Design &amp; Structure</h5> <ul><li>Selection of electrical accessories</li> <li>Single pedestal cord reel with space saving design facilitates workplace organization</li> <li>Guide arm adjusts to wall, floor &amp; overhead positions</li> <li>Solid one piece, heavy gauge 1/4"" steel base &amp; support post for maximum stability</li> <li>Coxreels' exclusive Super Hub dual axle support system on models with size index #3 &amp; #4</li> <li>1"" solid steel axle &amp; lubricated precision bearings for smooth rotation</li></ul> <h5>Retraction</h5> <ul><li>Enclosed factory tuned &amp; matched cartridge-style spring motor</li> <li>Non corrosive stainless steel spring, pawl &amp; zinc plated ratchet</li> <li>Multi-position lock ratchet mechanism secures cord at desired length</li></ul> <h5>Signature Features</h5> <ul><li>Professional grade heavy duty steel construction</li> <li>Durable proprietary CPC powder coat finish</li> <li>CNC robotically spun and ribbed discs with rolled edges provide strength, safety, and durability</li> <li>Industry leading 2 year manufacturer's limited warranty</li> <li>Made in the U. S. A. – Sold &amp; Supported Worldwide</li></ul> <h5>Possible Fields of Application</h5> <ul><li>Power Tools</li> <li>Light Source</li> <li>General Industrial</li> <li>Manufacturing Plants</li> <li>Workshops</li> <li>Automotive &amp; Fleet Service Centers</li> <li>Construction Sites</li></ul> "
2517118,"<p>Coxreels P-W and SHW Series spring driven ""Welding"" hose reels are the ideal solution for managing bulky twin line welding hose. The P-W Series, like the P Series, is more compact in size and shares the reputation for long lasting performance. The SHW Series has a larger chassis and frame to accommodate longer lengths of welding hose and Coxreels' original Super Hub dual axle support system for increased stability during operation, less vibration and greater structural integrity. </p> <h5>Swivel</h5><ul><li>External fluid path with 90° full-flow dual ported brass swivel offering both connections from the same side of the reel</li> <li>Swivel lock bracket ensures maximum safety</li> <li>Swivel Seals: VITON</li></ul><h5>Design &amp; Structure</h5> <ul><li>Designed for Oxy-Acetylene or ""T"" grade welding hose</li> <li>Single pedestal reel with space saving design facilitates workplace organization</li> <li>Guide arm adjusts to wall, floor, vehicle &amp; overhead positions</li> <li>Solid one piece, heavy gauge 1/4"" steel base &amp; support post for maximum stability</li> <li>1"" solid steel axle &amp; lubricated precision bearings for smooth rotation</li> <li>Coxreels' exclusive Super Hub dual axle support system on models with size index #2 &amp; #3</li></ul> <h5>Retraction</h5> <ul><li>Enclosed factory tuned &amp; matched cartridge-style spring motor</li> <li>Non corrosive stainless steel spring, pawl &amp; zinc plated ratchet</li> <li>Multi-position non-sparking lock ratchet mechanism secures hose at desired length</li></ul> <h5>Signature Features</h5> <ul><li>Professional grade heavy duty steel construction</li> <li>Durable proprietary CPC powder coat finish</li> <li>CNC robotically spun and ribbed discs with rolled edges provide strength, safety, and durability</li> <li>Industry leading 2 year manufacturer's limited warranty</li> <li>Made in the U. S. A. – Sold &amp; Supported Worldwide</li></ul> <h5>Possible Fields of Application</h5> <ul><li>Manufacturing Plant</li> <li>Maintenance, Repair &amp; Operations</li> <li>Welding/Service Trucks</li> <li>Welding Shops</li> <li>Garage Settings</li> <li>Automotive &amp; Fleet Maintenance</li> <li>Pipelines</li> <li>Mining, Construction &amp; Railroad Operations</li></ul> "
