ID,ADDITIONAL_DESCRIPTION
721704,"<ul><li>For surface preparation. </li> <li>Aluminum Oxide. </li> <li>For ferrous metals, iron, steel, non-ferrous metals, sheet metals, copper and stainless steel. </li> <li>Max RPM: 8, 500. </li><li>T-27 shape. </li></ul>"
721178,"<p>Pearl's depressed center grinding wheels are especially well suited for grinding, weld dressing and deburring. Pearl depressed center wheels are engineered for aggressive stock removal and extra long life. All wheels are fully reinforced and meet or exceed US/Canada safety standards and specifications. </p><ul><li>Premium Line. </li> <li>For masonry; Concrete, stone, cast iron and non-ferrous metals. </li> <li>Silicon carbide. </li> <li>30_ angle. </li> <li>T-27. </li> <li>Max RPM: 8, 500. </li></table>"
721166,"<p>Type 1 (41) and Type 27 (42) Slimcut are thin cut-off wheels from Pearl. Pearl Abrasive has an expanded line of thin cut-off wheels that meet a variety of performance standards and price demands. </p><ul><li>Aluminum Oxide. </li><li>Slimcut45 Plus. </li><li>Contaminant free (Fe + S + Cl &lt;0. 1%). </li><li>Ferrous metals, iron, steel, non-ferrous, sheet metals, copper and stainless steel. </li><li>Max RPM: 8, 500. </li><li>T-27 shape. </li><li>90° angle. </li></ul>"
721082,"<p>Pearl's depressed center grinding wheels are especially well suited for grinding, weld dressing and deburring. Pearl depressed center wheels are engineered for aggressive stock removal and extra long life. All wheels are fully reinforced and meet or exceed US/Canada safety standards and specifications. </p><ul><li>Premium Line. </li> <li>For ferrous metals, iron and steel. </li> <li>Aluminum oxide. </li> <li>30_ angle. </li> <li>T-27. </li> <li>Max RPM: 13, 700. </li></table>"
721159,"<p>Type 1 (41) and Type 27 (42) Slimcut are thin cut-off wheels from Pearl. Pearl Abrasive has an expanded line of thin cut-off wheels that meet a variety of performance standards and price demands. </p><ul><li>Aluminum Oxide. </li> <li>Slimcut40. </li> <li>Contaminant free (Fe + S + Cl &lt;0. 1%). </li> <li>Ferrous metals, iron, steel, non-ferrous, sheet metals, copper and stainless steel. </li> <li>Max RPM: 13, 700. </li><li>T-27 shape. </li> <li>90° angle. </li></ul>"
720984,"<p>Small diameter cut-off wheel for circular saws and grinders. </p> <p>Pearl offers a wide variety of grain configurations to meet all possible cutting requirements. Each wheel is fully reinforced and designed for long life and fast cutting performance. Available sizes 2"" to 20"" diameters. </p><ul><li>Aluminum Oxide. </li> <li>Premium Line. </li> <li>Ferrous metals, iron, steel, angle iron, rebar, pipes. </li> <li>T-1 shape. </li> <li>90ž angle. </li> <li>Max RPM: 8, 500. </li></ul>"
721158,"<p>Pearl's depressed center grinding wheels are especially well suited for grinding, weld dressing and deburring. Pearl depressed center wheels are engineered for aggressive stock removal and extra long life. All wheels are fully reinforced and meet or exceed US/Canada safety standards and specifications. </p><ul><li>SRT» (Synthetic Resinoid Technology). </li> <li>Contaminant free (Fe + S + Cl </li><li>For ferrous metals; iron, steel, stainless steel and other high tensile alloys. </li> <li>30_ angle. </li> <li>T-27. </li> <li>Max RPM: 6, 500. </li></table>"
721031,"<p>Small diameter cut-off wheel for circular saws and grinders. </p> <p>Pearl offers a wide variety of grain configurations to meet all possible cutting requirements. Each wheel is fully reinforced and designed for long life and fast cutting performance. Available sizes 2"" to 20"" diameters. </p><ul><li>Aluminum Oxide. </li> <li>Premium Line. </li> <li>Ferrous metals, iron, steel, angle iron, rebar, pipes. </li> <li>T-1 shape. </li> <li>90ž angle. </li> <li>Max RPM: 38, 200. </li></ul>"
720985,"<p>Type 1 (41) and Type 27 (42) Slimcut are thin cut-off wheels from Pearl. Pearl Abrasive has an expanded line of thin cut-off wheels that meet a variety of performance standards and price demands. </p><ul><li>Aluminum Oxide. </li> <li>Slimcut40. </li> <li>Contaminant free (Fe + S + Cl </li><li>Ferrous metals, iron, steel, non-ferrous, sheet metals, copper and stainless steel. </li> <li>Max RPM: 8, 500. </li><li>T-1 shape. </li> <li>90ž angle. </li></ul>"
721022,"<p>Stud cutting cut-off wheel for chop saws, stationary saws and high-speed gas powered saws. </p><ul><li>Ferrous metals, iron, steel, tube, pipe and light gauge metals. </li> <li>T-1 shape. </li> <li>Max RPM: 4, 400. </li></table>"
721010,"<p>A Pearl Exclusive!</p> <p>Cut-off wheel for chop saws and stationary saws. </p><ul><li>SRT Series (Synthetic Resinoid Technology). </li> <li>Ferrous metals, iron, steel and other high tensile alloys. </li> <li>T-1 shape. </li> <li>Max RPM: 4, 400. </li></table>"
721752,"<p>Type 1 (41) and Type 27 (42) Slimcut are thin cut-off wheels from Pearl. Pearl Abrasive has an expanded line of thin cut-off wheels that meet a variety of performance standards and price demands. </p><ul><li>Aluminum Oxide. </li> <li>Slimcut45 Pro-V. </li> <li>Ferrous metals, iron, steel, non-ferrous, sheet metals, copper and stainless steel. </li> <li>Max RPM: 10, 200. </li><li>T-27 shape. </li> <li>For 90ž angles. </li></ul>"
720995,"<p>Cut-off wheel for chop saws and stationary saws. </p><ul><li>Aluminum Oxide. </li> <li>Silver Line. </li> <li>Ferrous metals, iron, steel, angle iron, rebar, pipes. </li> <li>T-1 shape. </li> <li>Max RPM: 6, 100. </li></table>"
721052,"<p>Type 1 (41) and Type 27 (42) Slimcut are thin cut-off wheels from Pearl. Pearl Abrasive has an expanded line of thin cut-off wheels that meet a variety of performance standards and price demands. </p><ul><li>Aluminum Oxide. </li> <li>Slimcut45 Plus. </li> <li>Contaminant free (Fe + S + Cl </li><li>Ferrous metals, iron, steel, non-ferrous, sheet metals, copper and stainless steel. </li> <li>Max RPM: 12, 200. </li><li>T-1 shape. </li> <li>90ž angle. </li></ul>"
721029,"<p>Cut-off wheel for chop saws and stationary saws. </p><ul><li>Aluminum Oxide. </li> <li>Silver Line. </li> <li>Ferrous metals, iron, steel, angle iron, rebar, pipes. </li> <li>T-1 shape. </li> <li>Max RPM: 3, 380. </li><li>Triple reinforced. </li></ul>"
720957,"<p>Small diameter cut-off wheel for circular saws and grinders. </p> <p>Pearl offers a wide variety of grain configurations to meet all possible cutting requirements. Each wheel is fully reinforced and designed for long life and fast cutting performance. Available sizes 2"" to 20"" diameters. </p><ul><li>Zirconia. </li> <li>Ferrous metals, iron, steel. </li> <li>T-1 shape. </li> <li>90ž angle. </li> <li>Max RPM: 25, 000. </li></ul>"
721152,"<p>Pearl's depressed center grinding wheels are especially well suited for grinding, weld dressing and deburring. Pearl depressed center wheels are engineered for aggressive stock removal and extra long life. All wheels are fully reinforced and meet or exceed US/Canada safety standards and specifications. </p><ul><li>SRT» (Synthetic Resinoid Technology). </li> <li>Contaminant free (Fe + S + Cl </li><li>For ferrous metals; iron, steel, stainless steel and other high tensile alloys. </li> <li>30_ angle. </li> <li>T-27. </li> <li>Max RPM: 13, 300. </li></table>"
721169,<p>Pearl’s Redline Slimcut thin cut-off wheels features a proprietary high performance grain for exceptional cutting speed and life. </p><ul><li>Extremely long life. </li><li>Super fast cutting. </li> <li>Smooth cutting. </li><li>Superior cutting efficiency. </li></ul>
