ID,ADDITIONAL_DESCRIPTION
1386072,"<h5>Krylon OSHA Paints</h5> <p> KRYLON OSHA PAINTS are a full-line of quality aerosol paints that meet color standards approved by the Occupational Safety and Health Act Governing Board. </p><ul><li>Color standards approved by the Occupational Safety and Health Act Governing Board</li><li>High visibility safety colors</li><li>Mark physical hazard, designate caution for workers' safety</li><li>Product Use Instructions</li> <li>Where to Buy</li></ul> <p> Always read the label before use. Surface preparation must be completed as indicated. Test spray on an inconspicuous area for substrate compatibility. Spray 10"" to 12"" from surface in a sweeping motion. Apply several thin coats. Do not apply in one continuous spray. Release the spray button after each pass. When finished, clean valve by holding can upside down and spraying until only clear gas is released. </p><p>Always read the label before use. Surface preparation must be completed as indicated. Test spray on an inconspicuous area for substrate compatibility. Spray 10"" to 12"" from surface in a sweeping motion. Apply several thin coats. Do not apply in one continuous spray. Release the spray button after each pass. When finished, clean valve by holding can upside down and spraying until only clear gas is released. </p>"
1386047,"<h5>Krylon OSHA Paints</h5> <p> KRYLON OSHA PAINTS are a full-line of quality aerosol paints that meet color standards approved by the Occupational Safety and Health Act Governing Board. </p><ul><li>Color standards approved by the Occupational Safety and Health Act Governing Board</li><li>High visibility safety colors</li><li>Mark physical hazard, designate caution for workers' safety</li><li>Product Use Instructions</li> <li>Where to Buy</li></ul> <p> Always read the label before use. Surface preparation must be completed as indicated. Test spray on an inconspicuous area for substrate compatibility. Spray 10"" to 12"" from surface in a sweeping motion. Apply several thin coats. Do not apply in one continuous spray. Release the spray button after each pass. When finished, clean valve by holding can upside down and spraying until only clear gas is released. </p><p>Always read the label before use. Surface preparation must be completed as indicated. Test spray on an inconspicuous area for substrate compatibility. Spray 10"" to 12"" from surface in a sweeping motion. Apply several thin coats. Do not apply in one continuous spray. Release the spray button after each pass. When finished, clean valve by holding can upside down and spraying until only clear gas is released. </p>"
1386039,"<h5>Krylon OSHA Paints</h5> <p> KRYLON OSHA PAINTS are a full-line of quality aerosol paints that meet color standards approved by the Occupational Safety and Health Act Governing Board. </p><ul><li>Color standards approved by the Occupational Safety and Health Act Governing Board</li><li>High visibility safety colors</li><li>Mark physical hazard, designate caution for workers' safety</li><li>Product Use Instructions</li> <li>Where to Buy</li></ul> <p> Always read the label before use. Surface preparation must be completed as indicated. Test spray on an inconspicuous area for substrate compatibility. Spray 10"" to 12"" from surface in a sweeping motion. Apply several thin coats. Do not apply in one continuous spray. Release the spray button after each pass. When finished, clean valve by holding can upside down and spraying until only clear gas is released. </p><p>Always read the label before use. Surface preparation must be completed as indicated. Test spray on an inconspicuous area for substrate compatibility. Spray 10"" to 12"" from surface in a sweeping motion. Apply several thin coats. Do not apply in one continuous spray. Release the spray button after each pass. When finished, clean valve by holding can upside down and spraying until only clear gas is released. </p>"
1386031,"<h5>Krylon OSHA Paints</h5> <p> KRYLON OSHA PAINTS are a full-line of quality aerosol paints that meet color standards approved by the Occupational Safety and Health Act Governing Board. </p><ul><li>Color standards approved by the Occupational Safety and Health Act Governing Board</li><li>High visibility safety colors</li><li>Mark physical hazard, designate caution for workers' safety</li><li>Product Use Instructions</li> <li>Where to Buy</li></ul> <p> Always read the label before use. Surface preparation must be completed as indicated. Test spray on an inconspicuous area for substrate compatibility. Spray 10"" to 12"" from surface in a sweeping motion. Apply several thin coats. Do not apply in one continuous spray. Release the spray button after each pass. When finished, clean valve by holding can upside down and spraying until only clear gas is released. </p><p>Always read the label before use. Surface preparation must be completed as indicated. Test spray on an inconspicuous area for substrate compatibility. Spray 10"" to 12"" from surface in a sweeping motion. Apply several thin coats. Do not apply in one continuous spray. Release the spray button after each pass. When finished, clean valve by holding can upside down and spraying until only clear gas is released. </p>"
1385954,"<h5>Krylon Matte Finish</h5> <p> KRYLON MATTE FINISH eliminates light reflection and provides a permanent non-gloss finish which protects signs, poster and artwork. </p><ul><li>Permanent protective matte finish</li><li>Eliminates glossy sheen</li><li>Non-yellowing</li><li>Moisture Resistant</li><li>Product Use Instructions</li> <li>Where to Buy</li></ul> <p> Always read the label before use. Surface preparation must be completed as indicated. Test spray on an inconspicuous area for substrate compatibility. Spray 10"" to 12"" from surface in a sweeping motion. Apply several thin coats. Do not apply in one continuous spray. Release the spray button after each pass. When finished, clean valve by holding can upside down and spraying until only clear gas is released. </p><p>Always read the label before use. Surface preparation must be completed as indicated. Test spray on an inconspicuous area for substrate compatibility. Spray 10"" to 12"" from surface in a sweeping motion. Apply several thin coats. Do not apply in one continuous spray. Release the spray button after each pass. When finished, clean valve by holding can upside down and spraying until only clear gas is released. </p>"
1385569,"<h5>Tough Coat Zinc Rich</h5> <p> TOUGH COAT SILVER ZINC is a sacrificial coating that inhibits rust and corrosion to ferrous metals. An excellent touchup for repair of galvanized substrates, this dry coating has the bright finish of a hot-dip galvanized coating. </p><ul><li>Inhibits rust</li><li>Repair galvanized substrates</li><li>Fast dry</li><li>Product Use Instructions</li> <li>Where to Buy</li></ul> <p> Always read the label before use. Shake can for 2 minutes after ball within begins to rattle. Repeat for 10 seconds after each minute of use. Spray 8""-12"" from surface in a sweeping motion. Apply several thin coats at one spraying, rather than one heavy coat. Clean spray valve immediately after use by turning can upside-down and spraying until only clear gas comes out. </p><p>Always read the label before use. Shake can for 2 minutes after ball within begins to rattle. Repeat for 10 seconds after each minute of use. Spray 8""-12"" from surface in a sweeping motion. Apply several thin coats at one spraying, rather than one heavy coat. Clean spray valve immediately after use by turning can upside-down and spraying until only clear gas comes out. </p>"
1386174,"<h5>Krylon Clear Varnish Coatings</h5> <p> KRYLON CLEAR VARNISH COATINS dry in minutes and protect surfaces from water and stains. The dried film of clear varnishes will not yellow. </p><ul><li>Dura-shield Protection</li><li>Dries in 15 minutes or less</li><li>Available in gloss and satin</li><li>Product Use Instructions</li> <li>Where to Buy</li></ul> <p> Always read the label before use. Surface preparation must be completed as indicated. Test spray on an inconspicuous area for substrate compatibility. Spray 10"" to 12"" from surface in a sweeping motion. Apply several thin coats. Do not apply in one continuous spray. Release the spray button after each pass. When finished, clean valve by holding can upside down and spraying until only clear gas is released. </p><p>Always read the label before use. Surface preparation must be completed as indicated. Test spray on an inconspicuous area for substrate compatibility. Spray 10"" to 12"" from surface in a sweeping motion. Apply several thin coats. Do not apply in one continuous spray. Release the spray button after each pass. When finished, clean valve by holding can upside down and spraying until only clear gas is released. </p>"
1386175,"<h5>Krylon Clear Varnish Coatings</h5> <p> KRYLON CLEAR VARNISH COATINS dry in minutes and protect surfaces from water and stains. The dried film of clear varnishes will not yellow. </p><ul><li>Dura-shield Protection</li><li>Dries in 15 minutes or less</li><li>Available in gloss and satin</li><li>Product Use Instructions</li> <li>Where to Buy</li></ul> <p> Always read the label before use. Surface preparation must be completed as indicated. Test spray on an inconspicuous area for substrate compatibility. Spray 10"" to 12"" from surface in a sweeping motion. Apply several thin coats. Do not apply in one continuous spray. Release the spray button after each pass. When finished, clean valve by holding can upside down and spraying until only clear gas is released. </p><p>Always read the label before use. Surface preparation must be completed as indicated. Test spray on an inconspicuous area for substrate compatibility. Spray 10"" to 12"" from surface in a sweeping motion. Apply several thin coats. Do not apply in one continuous spray. Release the spray button after each pass. When finished, clean valve by holding can upside down and spraying until only clear gas is released. </p>"
1386070,"<h5>Krylon Stainless Steel Finish</h5> <p> KRYLON STAINLESS STEEL FINISH is an extremely durable finish that can be used indoors and out to create the modern high quality look of Stainless Steel. </p><ul><li>Transform ordinary surfaces to a stainless steel finish for a fraction of the cost</li><li>Infused with real Stainless Steel Flakes</li><li>Dries in 10 minutes or less</li><li>Extremely durable for interior and exterior use</li><li>PDS</li> <li>Product Use Instructions</li> <li>Where to Buy</li></ul> <p> Always read the label before use. Surface preparation must be completed as indicated. Test spray on an inconspicuous area for substrate compatibility. Spray 10"" to 12"" from surface in a sweeping motion. Apply several thin coats. Do not apply in one continuous spray. Release the spray button after each pass. When finished, clean valve by holding can upside down and spraying until only clear gas is released. </p><p>Always read the label before use. Surface preparation must be completed as indicated. Test spray on an inconspicuous area for substrate compatibility. Spray 10"" to 12"" from surface in a sweeping motion. Apply several thin coats. Do not apply in one continuous spray. Release the spray button after each pass. When finished, clean valve by holding can upside down and spraying until only clear gas is released. </p>"
1386388,"<h5>Alkyd Stain Blocker Primer</h5> <p> ALKYD STAIN BLOCKER is our best quality wall primer for use on a variety of interior and exterior surfaces where stains are present. This versatile primer sealer and stain blocker should be used to seal out water sensitive stains, dried water stains, smoke stains and related odors and grease stains. It provides excellent coverage as a drywall sealer and covers dark colors for dramatic topcoat color changes. </p><ul><li>Primes and seals to all interior/exterior surfaces</li><li>Adheres to all glossy substrates without sanding</li><li>Outstanding holdout</li><li>Excellent sealing and hiding properties on smoke and water stain damage, tannin bleeding, knots and sap streaks</li><li>Product Use Instructions</li> <li>Where to Buy</li></ul> <p> BULK - Topcoat with commercial latex or oil finishes. Do not reduce for stain blocking. Apply at temperatures above 50°F. No reduction needed. Brush - Use a natural bristle brush for oil based primer and a nylon/polyester brush for water based primers. Roller - Use a 1/4” - 1/2” nap synthetic or mohair roller cover for solvent based primers and use a 1/4” - 3/4” nap synthetic roller cover for water based primers. Spray – Airless Pressure 2000 psi Tip. 015”-. 017” Clean spills, spatters, hands and tools immediately after use with mineral spirits for oil based primers and soap and warm water for water based primers. Follow manufacturer’s safety recommendations when using mineral spirits. </p><p>BULK - Topcoat with commercial latex or oil finishes. Do not reduce for stain blocking. Apply at temperatures above 50°F. No reduction needed. Brush - Use a natural bristle brush for oil based primer and a nylon/polyester brush for water based primers. Roller - Use a 1/4” - 1/2” nap synthetic or mohair roller cover for solvent based primers and use a 1/4” - 3/4” nap synthetic roller cover for water based primers. Spray – Airless Pressure 2000 psi Tip. 015”-. 017” Clean spills, spatters, hands and tools immediately after use with mineral spirits for oil based primers and soap and warm water for water based primers. Follow manufacturer’s safety recommendations when using mineral spirits. </p>"
