ID,ADDITIONAL_DESCRIPTION
2267309,"<p>Aetna clutch release bearings are available for farm equipment, automotive, truck and other applications. Aetna has been a leader in the design and manufacturing products for clutch release and actuation for over 90 years. All Aetna clutch release bearings are lubricated for life and designed for maintenance-free, long life, smooth, silent, efficient operation. Some designs are provided with means for re-lubrication to comply with OEM requirements.</p> <h5>Specifications</h5><table class=""description-table""><tbody><tr><th>Availability</th><td></td></tr><tr><th>Design</th><td>Open</td></tr><tr><th>Bore Dimension (A)</th><td>2. 0630 in</td></tr><tr><th>Major O. D. (B)</th><td>3. 3850 in</td></tr><tr><th>Bearing Height (H)</th><td>0. 7500 in</td></tr><tr><th>Overall Height (H')</th><td>0. 8070 in</td></tr><tr><th>Separator Bore Dimension (A')</th><td>2. 080 in</td></tr><tr><th>Band Bore Dimension (F)</th><td>2. 5000 in</td></tr><tr><th>Minor O. D. (B')</th><td>3. 2250 in</td></tr><tr><th>Clutch Finger Face Maximum (Dim. E)</th><td>2. 2340 in</td></tr><tr><th>Clutch Finger Face Minimum (Dim. G)</th><td>3. 0620 in</td></tr><tr><th>Ball Diameter</th><td>0. 3125 in</td></tr><tr><th>Thrust Load Capacity</th><td>2090 lbs</td></tr><tr><th>Weight</th><td>0. 88 lbs</td></tr><tr><th>Reference Number</th><td>2063R</td></tr></tbody></table>"
2267355,"<p>SA Bearing &amp; Carrier</p> <h5>Specifications</h5><table class=""description-table""><tbody><tr><th>Bore Size</th><td>1. 3775 in</td></tr><tr><th>Outside Diameter</th><td>2. 9150 in</td></tr><tr><th>Overall Width</th><td>1. 3750 in</td></tr><tr><th>Fork to Face</th><td>0. 8020 in</td></tr><tr><th>Fork Grove Width</th><td>0. 5040 in</td></tr><tr><th>Fork Grove Diameter</th><td>1. 6250 in</td></tr><tr><th>Reference Number</th><td>G1697C</td></tr><tr><th>Application</th><td>60-63 Chev. Pass., 61-65 Chev. Truck</td></tr></tbody></table>"
2267374,"<p>SA Bearing &amp; Carrier</p> <h5>Specifications</h5><table class=""description-table""><tbody><tr><th>Bore Size</th><td>1. 1920 in</td></tr><tr><th>Outside Diameter</th><td>2. 9150 in</td></tr><tr><th>Overall Width</th><td>1. 0900 in</td></tr><tr><th>Fork to Face</th><td>0. 7260 in</td></tr><tr><th>Reference Number</th><td>614092</td></tr><tr><th>Application</th><td>90-95 Chrysler Pass., Truck</td></tr></tbody></table>"
2267300,"<p>SA Bearing &amp; Carrier</p> <h5>Specifications</h5><table class=""description-table""><tbody><tr><th>Bore Size</th><td>1. 4375 in</td></tr><tr><th>Outside Diameter</th><td>2. 9150 in</td></tr><tr><th>Overall Width</th><td>2. 0080 in</td></tr><tr><th>Fork to Face</th><td>1. 6250 in</td></tr><tr><th>Reference Number</th><td>614093</td></tr><tr><th>Application</th><td>92-01 Dodge Truck, Jeep</td></tr></tbody></table>"
2267223,"<p>Belt Idlers are made both with and without flanges for most common belt designs, including flat, round and V-belts. They are also generally mounted on standard bolts. Diameters range from 2-1/16"" to 8"", depending on configuration. Applications include agricultural and power transmission equipment, and conveyor systems. Generally used as tighteners or direction changers; available for all standard, flat and ""V"" belts. Permanently lubricated and sealed against grime and dirt. Fit into existing design with little or no engineering changes, or readily adapted to new designs.</p> <h5>Specifications</h5><table class=""description-table""><tbody><tr><th>Availability 1</th><td></td></tr><tr><th>Dimension A</th><td>0. 516 in0. 522 in</td></tr><tr><th>Outside Belt Diameter (Dim. C)</th><td>4 1/4 in</td></tr><tr><th>Outside Diameter (Dim. D)</th><td>4 5/8 in</td></tr><tr><th>Belt Width (Dim. E)</th><td>3/4 in</td></tr><tr><th>Width (Dim. F)</th><td>1 1/32 in</td></tr><tr><th>Dimension G</th><td>0. 144 in</td></tr><tr><th>Hub Width (Dim. H)</th><td>0. 927 in</td></tr><tr><th>Weight</th><td>1. 24 lbs</td></tr><tr><th>Finish</th><td></td></tr><tr><th>Color</th><td></td></tr></tbody></table><p>1 Items marked as Special Order are availabe by special order only, Check for availability. A minimum order quantity may be required. </p>"
2267237,"<p>Chain and Sprocket Idlers are compact units made for various chain types, including single and extended pitch roller chain, as well as detachable link chain. They are normally mounted on standard 1/2"", 5/8"" or 3/4"" bolts, and include accurately contoured hardened teeth to resist wear and damage to the chain. Designs range from 6 to 18 teeth in various configurations. Typical applications include gathering chains on corn heads and other harvesting equipment, exercise machines, and packaging machines. Compact and easy to install. Built for long maintenance-free service life. Available in a range of a sprocket sizes and configurations which accommodate all conventional chain driven equipment. Extra heavy duty steel</p> <h5>Specifications</h5><table class=""description-table""><tbody><tr><th>Availability 1</th><td></td></tr><tr><th>Chain Number</th><td>60</td></tr><tr><th>Pitch</th><td>15/32 in</td></tr><tr><th>Roller Diameter</th><td>15/32 in</td></tr><tr><th>Number of Teeth</th><td>15</td></tr><tr><th>Bore Size (Dim. A)</th><td>0. 516 in0. 522 in</td></tr><tr><th>Dimension B</th><td>7/8 in</td></tr><tr><th>Outside Diameter (Dim. C)</th><td>3 29/32 in</td></tr><tr><th>Tooth Width (Dim. D)</th><td>7/16 in</td></tr><tr><th>Dimension E</th><td>27/32 in</td></tr><tr><th>Hub Width (Dim. F)</th><td>0. 927 in</td></tr><tr><th>Weight</th><td>1. 12 lbs</td></tr><tr><th>Color</th><td>Yellow</td></tr><tr><th>Finish</th><td>Zinc</td></tr><tr><th>Material</th><td>Extra Heavy Gauge Steel</td></tr></tbody></table><p>1 Items marked as Special Order are availabe by special order only, Check for availability. A minimum order quantity may be required. </p>"
2267268,"<p>Aetna clutch release bearings are available for farm equipment, automotive, truck and other applications. Aetna has been a leader in the design and manufacturing products for clutch release and actuation for over 90 years. All Aetna clutch release bearings are lubricated for life and designed for maintenance-free, long life, smooth, silent, efficient operation. Some designs are provided with means for re-lubrication to comply with OEM requirements.</p> <h5>Specifications</h5><table class=""description-table""><tbody><tr><th>Availability</th><td></td></tr><tr><th>Design</th><td>4</td></tr><tr><th>Bore Dimension (A)</th><td>2. 2500 in</td></tr><tr><th>Major O. D. (B)</th><td>3. 8220 in</td></tr><tr><th>Bearing Height (H)</th><td>0. 7500 in</td></tr><tr><th>Overall Height (H')</th><td>0. 8110 in</td></tr><tr><th>Separator Bore Dimension (A')</th><td>2. 260 in</td></tr><tr><th>Band Bore Dimension (F)</th><td>2. 7500 in</td></tr><tr><th>Minor O. D. (B')</th><td>3. 6660 in</td></tr><tr><th>Clutch Finger Face Maximum (Dim. E)</th><td>2. 3450 in</td></tr><tr><th>Clutch Finger Face Minimum (Dim. G)</th><td>3. 4688 in</td></tr><tr><th>Ball Diameter</th><td>0. 3125 in</td></tr><tr><th>Thrust Load Capacity</th><td>1400 lbs</td></tr><tr><th>Weight</th><td>1. 09 lbs</td></tr><tr><th>Reference Number</th><td>2255</td></tr></tbody></table>"
2267242,"<p>Aetna clutch release bearings are available for farm equipment, automotive, truck and other applications. Aetna has been a leader in the design and manufacturing products for clutch release and actuation for over 90 years. All Aetna clutch release bearings are lubricated for life and designed for maintenance-free, long life, smooth, silent, efficient operation. Some designs are provided with means for re-lubrication to comply with OEM requirements.</p> <h5>Specifications</h5><table class=""description-table""><tbody><tr><th>Availability</th><td></td></tr><tr><th>Design</th><td>4</td></tr><tr><th>Bore Dimension (A)</th><td>1. 6255 in</td></tr><tr><th>Major O. D. (B)</th><td>3. 1400 in</td></tr><tr><th>Bearing Height (H)</th><td>0. 6875 in</td></tr><tr><th>Overall Height (H')</th><td>0. 7550 in</td></tr><tr><th>Separator Bore Dimension (A')</th><td>1. 635 in</td></tr><tr><th>Band Bore Dimension (F)</th><td>3. 2344 in</td></tr><tr><th>Minor O. D. (B')</th><td>3. 0770 in</td></tr><tr><th>Clutch Finger Face Maximum (Dim. E)</th><td>1. 6650 in</td></tr><tr><th>Clutch Finger Face Minimum (Dim. G)</th><td>2. 7900 in</td></tr><tr><th>Ball Diameter</th><td>0. 3125 in</td></tr><tr><th>Thrust Load Capacity</th><td>1340 lbs</td></tr><tr><th>Weight</th><td>0. 78 lbs</td></tr><tr><th>Type</th><td>With Relube Notch</td></tr><tr><th>Reference Number</th><td>1625T</td></tr></tbody></table>"
2267213,"<p>Chain and Sprocket Idlers are compact units made for various chain types, including single and extended pitch roller chain, as well as detachable link chain. They are normally mounted on standard 1/2"", 5/8"" or 3/4"" bolts, and include accurately contoured hardened teeth to resist wear and damage to the chain. Designs range from 6 to 18 teeth in various configurations. Typical applications include gathering chains on corn heads and other harvesting equipment, exercise machines, and packaging machines. Compact and easy to install. Built for long maintenance-free service life. Available in a range of a sprocket sizes and configurations which accommodate all conventional chain driven equipment.</p> <h5>Specifications</h5><table class=""description-table""><tbody><tr><th>Availability 1</th><td></td></tr><tr><th>Chain Number</th><td>2040</td></tr><tr><th>Pitch</th><td>1 in</td></tr><tr><th>Roller Diameter</th><td>0. 312 in</td></tr><tr><th>Number of Teeth</th><td>11</td></tr><tr><th>Bore Size (Dim. A)</th><td>0. 516 in0. 522 in</td></tr><tr><th>Dimension B</th><td>7/8 in</td></tr><tr><th>Outside Diameter (Dim. C)</th><td>3 25/32 in</td></tr><tr><th>Tooth Width (Dim. D)</th><td>9/32 in</td></tr><tr><th>Dimension E</th><td>51/64 in</td></tr><tr><th>Hub Width (Dim. F)</th><td>0. 927 in</td></tr><tr><th>Weight</th><td>0. 74 lbs</td></tr></tbody></table><p>1 Items marked as Special Order are availabe by special order only, Check for availability. A minimum order quantity may be required. </p>"
2267345,"<p>Precision Idlers are available in Flat Belt or V-belt styles with single or double row precision radial bearings riveted between soft steel flanges. They are used where loads and speeds are greater than required for unground bearings-usually over 2000 RPM. Many are used on modern combines. Flanged and V-belt idlers are available with single row bearings with a bore size to clear 1/2"" and 5/8"" bolts. Flanged and straight sided idlers for flat belts are available with double row bearings and bushed to clear 1/2"", 5/8"" and 3/4"" bolts. Generally used as tighteners or direction changers; available for all standard, flat and ""V"" belts. Permanently lubricated and sealed against grime and dirt. Fit into existing design with little or no engineering changes or readily adapted to new designs. Basic Radial Load Rating of Precision Bearing is 1, 820 Pounds.</p> <h5>Specifications</h5><table class=""description-table""><tbody><tr><th>Availability 1</th><td></td></tr><tr><th>Belt Outside Diameter (Dim. A)</th><td>8 in</td></tr><tr><th>Outside Diameter (Dim. B)</th><td>9 in</td></tr><tr><th>Belt Width (Dim. C)</th><td>1 in</td></tr><tr><th>Width (Dim. D)</th><td>1 7/16 in</td></tr><tr><th>Bore Size (Dim. E)</th><td>0. 635 in0. 640 in</td></tr><tr><th>Hub Width (Dim. F)</th><td>0. 707 in0. 729 in</td></tr><tr><th>Radial Load Rating</th><td>1820 lbs</td></tr><tr><th>Finish</th><td></td></tr><tr><th>Color</th><td></td></tr></tbody></table><p>1 Items marked as Special Order are availabe by special order only, Check for availability. A minimum order quantity may be required. </p>"
