id,supplier_id,list_price,cost,description,category_id,catalog_number,weight,condition,is_obsolete,ship_time,freight_class
2543425,9,30.8,12.32,"Climax Metal 1C-206-A 2 1/16"" ID SPLIT Clamp Collar AL",113,1C-206-A,0.725,1,FALSE,24,50
2543426,9,42.63,17.05,"Climax Metal 1C-212-A 2 1/8"" ID SPLIT Clamp Collar AL",113,1C-212-A,0.95,1,FALSE,24,50
2543427,9,42.9,17.16,"Climax Metal 1C-218-A 2 3/16"" ID SPLIT Clamp Collar AL",113,1C-218-A,0.9,1,FALSE,24,50
2543428,9,39.6,15.84,"Climax Metal 1C-225-A 2 1/4"" ID SPLIT Clamp Collar AL",113,1C-225-A,0.85375,1,FALSE,24,50
2543429,9,33.99,13.6,"Climax Metal 1C-231-A 2 5/16"" ID SPLIT Clamp Collar AL",113,1C-231-A,0.85375,1,FALSE,24,50
2543430,9,43.2,17.28,"Climax Metal 1C-237-A 2 3/8 "" ID SPLIT Clamp Collar AL",113,1C-237-A,1.03125,1,FALSE,24,50
2543431,9,40.33,16.13,"Climax Metal 1C-243-A 2 7/16"" ID SPLIT Clamp Collar AL",113,1C-243-A,0.975,1,FALSE,24,50
2543432,9,57.04,22.82,"Climax Metal 1C-256-A 2 9/16"" ID SPLIT Clamp Collar AL",113,1C-256-A,1.44375,1,FALSE,24,50
2543433,9,69.3,27.72,"Climax Metal 1C-262-A 2 5/8"" ID SPLIT Clamp Collar AL",113,1C-262-A,1.49375,1,FALSE,24,50
2543434,9,71.74,28.7,"Climax Metal 1C-268-A 2 11/16"" ID SPLIT Clamp Collar AL",113,1C-268-A,1.6125,1,FALSE,24,50
2543435,9,70.63,28.25,"Climax Metal 1C-275-A 2 3/4"" ID SPLIT Clamp Collar AL",113,1C-275-A,1.825,1,FALSE,24,50
2543436,9,78.24,31.3,"Climax Metal 1C-281-A 2 13/16"" ID SPLIT Clamp Collar AL",113,1C-281-A,1.825,1,FALSE,24,50
2543437,9,61.98,24.79,"Climax Metal 1C-287-A 2 7/8"" ID SPLIT Clamp Collar AL",113,1C-287-A,1.825,1,FALSE,24,50
2543438,9,63.17,25.27,"Climax Metal 1C-293-A 2 15/16"" ID SPLIT Clamp Collar AL",113,1C-293-A,1.75,1,FALSE,24,50
2543439,9,63.12,25.25,"Climax Metal 1C-300-A 3"" ID SPLIT Clamp Collar AL",113,1C-300-A,1.675,1,FALSE,24,50
2543440,9,50.4,20.16,"Climax Metal 2CC-025-025 1/4"" X 1/4"" ID 2PC Recessed Screw Coup STL BO",154,2CC-025-025,0.14125,1,FALSE,24,50
2543441,9,60.58,24.23,"Climax Metal 2CC-037-025 3/8"" X 1/4"" ID 2PC Recessed Screw Coup STL BO",154,2CC-037-025,0.320625,1,FALSE,24,50
2543442,9,57.69,23.08,"Climax Metal 2CC-037-037 3/8"" X 3/8"" ID 2PC Recessed Screw Coup STL BO",154,2CC-037-037,0.31,1,FALSE,24,50
2543443,9,69.14,27.66,"Climax Metal 2CC-037-037-KW 3/8"" x 3/8"" ID 2PC KW Recessed Screw Coup STL BO",154,2CC-037-037-KW,0.31,1,FALSE,24,50
2543444,9,51.79,20.72,"Climax Metal 2CC-050-037 1/2"" X 3/8"" ID 2PC Recessed Screw Coup STL BO",154,2CC-050-037,0.506875,1,FALSE,24,50
2543445,9,67.73,27.09,"Climax Metal 2CC-050-037-KW 1/2"" x 3/8"" ID 2PC KW Recessed Screw Coup STL BO",154,2CC-050-037-KW,0.506875,1,FALSE,24,50
2543446,9,69.1,27.64,"Climax Metal 2CC-075-050 3/4"" X 1/2"" ID 2PC Recessed Screw Coup STL BO",154,2CC-075-050,1.375,1,FALSE,24,50
2543447,9,104.46,41.78,"Climax Metal 2CC-075-050-KW 3/4"" X 1/2"" ID 2PC KW Recessed Screw Coup STL BO",154,2CC-075-050-KW,1.375,1,FALSE,24,50
2543448,9,77.72,31.09,"Climax Metal 2CC-087-062 7/8"" X 5/8"" ID 2PC Recessed Screw Coup STL BO",154,2CC-087-062,1.7125,1,FALSE,24,50
2543449,9,100.62,40.25,"Climax Metal 2CC-087-062-KW 7/8"" x 5/8"" ID 2PC KW Recessed Screw Coup STL BO",154,2CC-087-062-KW,1.7125,1,FALSE,24,50
2543450,9,78.96,31.58,"Climax Metal 2CC-100-050 1"" X 1/2"" ID 2PC Recessed Screw Coup STL BO",154,2CC-100-050,1.7125,1,FALSE,24,50
2543451,9,110.3,44.12,"Climax Metal 2CC-100-050-KW 1"" X 1/2"" ID 2PC KW Recessed Screw Coup STL BO",154,2CC-100-050-KW,1.81875,1,FALSE,24,50
2543452,9,103.61,41.44,"Climax Metal 2CC-112-100 1-1/8"" X 1"" ID 2PC Recessed Screw Coup STL BO",154,2CC-112-100,2.24375,1,FALSE,24,50
2543453,9,132.56,53.02,"Climax Metal 2CC-112-100-KW 1 1/8"" X 1"" ID 2PC KW Recessed Screw Coup STL BO",154,2CC-112-100-KW,2.1375,1,FALSE,24,50
2543454,9,108.84,43.54,"Climax Metal 2CC-150-100 1 1/2""x1""ID 2PC Recessed Screw Coup STL BO",154,2CC-150-100,3.09375,1,FALSE,24,50
2543455,9,134.65,53.86,Climax Metal 2CC-150-100-KW 1 1/2 X 1 ID 2PC KW Recessed Screw Coup STL BO,154,2CC-150-100-KW,3.09375,1,FALSE,24,50
2543456,9,74.3,29.72,"Climax Metal 2ISCC-050-037KW 1/2"" X 3/8"" ID 2PC KW Clamp Coupling STL BO",113,2ISCC-050-037KW,0.35625,1,FALSE,24,50
2543457,9,126.56,50.62,"Climax Metal 2ISCC050-037SKW 1/2"" X 3/8"" ID 2PC KW Clamp Coupling SS",113,2ISCC050-037SKW,0.35625,1,FALSE,24,50
2543458,9,76.68,30.67,Climax Metal 2MISCC-09-09-KW 9mm x 9mm ID 2PC KW Metric Clamp Coupling STL BO,113,2MISCC-09-09-KW,0.15,1,FALSE,24,50
2543459,9,134.51,53.8,Climax Metal 2MISCC-09-09SKW 9mm x 9mm ID 2PC KW Metric Clamp Coupling SS,113,2MISCC-09-09SKW,0.15,1,FALSE,24,50
2543460,9,309.98,123.99,"Climax Metal CC-225-225 2-1/4""X 2-1/4"" ID SPLIT Recessed Screw Coup STL BO",113,CC-225-225,8.125,1,FALSE,24,50
2543461,9,361.73,144.69,"Climax Metal CC-225-225-KW 2-1/4""X 2-1/4"" ID SPLIT KW Recessed Screw Coup STL BO",113,CC-225-225-KW,8.125,1,FALSE,24,50
2543462,9,88.66,35.46,"Climax Metal RC-175-KW 1 3/4"" ID KW Set Screw Coupling STL BO",113,RC-175-KW,4.4125,1,FALSE,24,50
