ID,ADDITIONAL_DESCRIPTION
2780349,"<h5>Standard options</h5> <ul><li>ABS material — Strong, yet ultra-light for seemingly weightless protection</li> <li>Low profile design — Offers a low center of gravity for better balance</li> <li>Rear padded suspension — Provides additional level of comfort on the wearers’ neck</li> <li>4-position harness points — Allows you to move the harness forward, backward, up or down – allowing for the most optimal position for ultimate comfort</li> <li>Replaceable sweat band — Padded fabric and polyurethane foam for all day wear</li> <li>Vented pressure pad — Keeps the straps in place providing an additional level of comfort</li> <li>Easy to grasp triangle knob — Adjusts the suspension from 6 1/2 to 8-inch hat sizes</li> <li>Swinging hinge points — Allows you to find the most comfortable position on the back of your head</li></ul> <h5>Vented options</h5> <ul><li>Same options as standard Ridgeline with the addition of air vents at top and rear of hardhat, which help to circulate air and keep the head cool and dry</li></ul> <p> <h5>General Specifications: </h5> General Dimensions: 28cm x 21. 5cm x 16cm  Shell Thickness: 2-4. 5mm  Weight: 347g    <h5>Packaging: </h5> Polybag: 1pc  Case: 16 pcs</p>"
2780333,"<h5>Standard options</h5> <ul><li>ABS material — Strong, yet ultra-light for seemingly weightless protection</li> <li>Low profile design — Offers a low center of gravity for better balance</li> <li>Rear padded suspension — Provides additional level of comfort on the wearers’ neck</li> <li>4-position harness points — Allows you to move the harness forward, backward, up or down – allowing for the most optimal position for ultimate comfort</li> <li>Replaceable sweat band — Padded fabric and polyurethane foam for all day wear</li> <li>Vented pressure pad — Keeps the straps in place providing an additional level of comfort</li> <li>Easy to grasp triangle knob — Adjusts the suspension from 6 1/2 to 8-inch hat sizes</li> <li>Swinging hinge points — Allows you to find the most comfortable position on the back of your head</li></ul> <h5>Vented options</h5> <ul><li>Same options as standard Ridgeline with the addition of air vents at top and rear of hardhat, which help to circulate air and keep the head cool and dry</li></ul> <p> <h5>General Specifications: </h5> General Dimensions: 28cm x 21. 5cm x 16cm  Shell Thickness: 2-4. 5mm  Weight: 347g    <h5>Packaging: </h5> Polybag: 1pc  Case: 16 pcs</p>"
2780836,"<p>Kits contain the essentials for new hire and temporary workers. Includes white standard hard hat (ANSI Z89. 1), disposable corded ear plus (NRR 31), Class 2 Level 2 safety vest (sizes L – 2XL), foam nitrile palm coated gloves, and Intruder eye protection (clear or gray). </p> <h5>Sizes</h5> <ul><li>Kit with clear lens safety glass and Large safety vest – NHCL</li> <li>Kit with clear lens safety glass and X-Large safety vest – NHCXL</li> <li>Kit with clear lens safety glass and 2X-Large safety vest – NHCX2</li> <li>Kit with gray lens safety glass and Large safety vest – NHGL</li> <li>Kit with gray lens safety glass and X-Large safety vest – NHGXL</li> <li>Kit with gray lens safety glass and 2X-Large safety vest – NHGX2</li></ul> <h5>Cap Style Hard Hat</h5> <ul><li>Exceeds ANSI Z89. 1-2009, Type 1, Class C, G, and E for industrial head protection</li> <li>Low profile design. </li> <li>Shell constructed from High Density Polyethylene materials. </li> <li>Rain trough on sides and back of helmet channel moisture away. </li> <li>Snap Lock suspension features ""tuck away"" adjustments for all day, hassle free wear. </li> <li>Soft brow pad, suspension and headbands are replaceable. </li></ul> <h5>DP1001</h5> <ul><li>NRR 31dB / SNR 36dB</li> <li>Disposable Corded Earplugs. </li> <li>Contoured fit disposable polyurethane ear plugs. </li> <li>Plug gently expands and self adjusts to all size ear canals. </li></ul> <h5>Safety Vest</h5> <ul><li>ANSI/ISEA 107 - 2010 / Class 2 Level 2</li> <li>Available in large, extra-large and 2X large. </li> <li>Hi-Vis lightweight polyester mesh material. </li> <li>2 inch silver reflective material around bottom and over shoulders. </li> <li>Zipper front closure. </li> <li>Chest pocket with hook and loop closure. </li> <li>Deep and wide inside pocket. </li></ul> <h5>Intruder</h5> <ul><li> Exceeds ANSI Z87. 1 high impact, CE EN166, CAN/CSA Z94. 3-07, AS/NZS 1337</li> <li>Available in clear (S4110S) or gray (S4120S) lens. </li> <li>Lightweight, frameless protection. </li> <li>Superior comfort and fit. </li> <li>Scratch resistant polycarbonate lens provides 99% UVA/B/C protection. </li></ul> <p>​</p> <h5>Foam Nitrile Palm Coated Gloves</h5> <ul><li>Available in large - size 9</li> <li>Foam nitrile (NBR) is the most versatile coating offering tremendous barrier against a wide range of workplace hazards. </li> <li>It provides superior wear and solid resistance to snags, punctures, abrasion, and cuts. </li> <li>Nitrile coating on 15-gauge seamless nylon lining that stretches to the hand for excellent dexterity and comfort. </li> <li>Glove features easy on and off, superior dry grip, tactile sensitivity, and is machine washable. </li> <li>The palm coating allows airflow through back of glove for cooler comfort. </li> <li>Knitwrist cuff holds glove in place and keeps debris out. </li></ul>"
2780835,"<p>Kits contain the essentials for new hire and temporary workers. Includes white standard hard hat (ANSI Z89. 1), disposable corded ear plus (NRR 31), Class 2 Level 2 safety vest (sizes L – 2XL), foam nitrile palm coated gloves, and Intruder eye protection (clear or gray). </p> <h5>Sizes</h5> <ul><li>Kit with clear lens safety glass and Large safety vest – NHCL</li> <li>Kit with clear lens safety glass and X-Large safety vest – NHCXL</li> <li>Kit with clear lens safety glass and 2X-Large safety vest – NHCX2</li> <li>Kit with gray lens safety glass and Large safety vest – NHGL</li> <li>Kit with gray lens safety glass and X-Large safety vest – NHGXL</li> <li>Kit with gray lens safety glass and 2X-Large safety vest – NHGX2</li></ul> <h5>Cap Style Hard Hat</h5> <ul><li>Exceeds ANSI Z89. 1-2009, Type 1, Class C, G, and E for industrial head protection</li> <li>Low profile design. </li> <li>Shell constructed from High Density Polyethylene materials. </li> <li>Rain trough on sides and back of helmet channel moisture away. </li> <li>Snap Lock suspension features ""tuck away"" adjustments for all day, hassle free wear. </li> <li>Soft brow pad, suspension and headbands are replaceable. </li></ul> <h5>DP1001</h5> <ul><li>NRR 31dB / SNR 36dB</li> <li>Disposable Corded Earplugs. </li> <li>Contoured fit disposable polyurethane ear plugs. </li> <li>Plug gently expands and self adjusts to all size ear canals. </li></ul> <h5>Safety Vest</h5> <ul><li>ANSI/ISEA 107 - 2010 / Class 2 Level 2</li> <li>Available in large, extra-large and 2X large. </li> <li>Hi-Vis lightweight polyester mesh material. </li> <li>2 inch silver reflective material around bottom and over shoulders. </li> <li>Zipper front closure. </li> <li>Chest pocket with hook and loop closure. </li> <li>Deep and wide inside pocket. </li></ul> <h5>Intruder</h5> <ul><li> Exceeds ANSI Z87. 1 high impact, CE EN166, CAN/CSA Z94. 3-07, AS/NZS 1337</li> <li>Available in clear (S4110S) or gray (S4120S) lens. </li> <li>Lightweight, frameless protection. </li> <li>Superior comfort and fit. </li> <li>Scratch resistant polycarbonate lens provides 99% UVA/B/C protection. </li></ul> <p>​</p> <h5>Foam Nitrile Palm Coated Gloves</h5> <ul><li>Available in large - size 9</li> <li>Foam nitrile (NBR) is the most versatile coating offering tremendous barrier against a wide range of workplace hazards. </li> <li>It provides superior wear and solid resistance to snags, punctures, abrasion, and cuts. </li> <li>Nitrile coating on 15-gauge seamless nylon lining that stretches to the hand for excellent dexterity and comfort. </li> <li>Glove features easy on and off, superior dry grip, tactile sensitivity, and is machine washable. </li> <li>The palm coating allows airflow through back of glove for cooler comfort. </li> <li>Knitwrist cuff holds glove in place and keeps debris out. </li></ul>"
2780834,"<p>Kits contain the essentials for new hire and temporary workers. Includes white standard hard hat (ANSI Z89. 1), disposable corded ear plus (NRR 31), Class 2 Level 2 safety vest (sizes L – 2XL), foam nitrile palm coated gloves, and Intruder eye protection (clear or gray). </p> <h5>Sizes</h5> <ul><li>Kit with clear lens safety glass and Large safety vest – NHCL</li> <li>Kit with clear lens safety glass and X-Large safety vest – NHCXL</li> <li>Kit with clear lens safety glass and 2X-Large safety vest – NHCX2</li> <li>Kit with gray lens safety glass and Large safety vest – NHGL</li> <li>Kit with gray lens safety glass and X-Large safety vest – NHGXL</li> <li>Kit with gray lens safety glass and 2X-Large safety vest – NHGX2</li></ul> <h5>Cap Style Hard Hat</h5> <ul><li>Exceeds ANSI Z89. 1-2009, Type 1, Class C, G, and E for industrial head protection</li> <li>Low profile design. </li> <li>Shell constructed from High Density Polyethylene materials. </li> <li>Rain trough on sides and back of helmet channel moisture away. </li> <li>Snap Lock suspension features ""tuck away"" adjustments for all day, hassle free wear. </li> <li>Soft brow pad, suspension and headbands are replaceable. </li></ul> <h5>DP1001</h5> <ul><li>NRR 31dB / SNR 36dB</li> <li>Disposable Corded Earplugs. </li> <li>Contoured fit disposable polyurethane ear plugs. </li> <li>Plug gently expands and self adjusts to all size ear canals. </li></ul> <h5>Safety Vest</h5> <ul><li>ANSI/ISEA 107 - 2010 / Class 2 Level 2</li> <li>Available in large, extra-large and 2X large. </li> <li>Hi-Vis lightweight polyester mesh material. </li> <li>2 inch silver reflective material around bottom and over shoulders. </li> <li>Zipper front closure. </li> <li>Chest pocket with hook and loop closure. </li> <li>Deep and wide inside pocket. </li></ul> <h5>Intruder</h5> <ul><li> Exceeds ANSI Z87. 1 high impact, CE EN166, CAN/CSA Z94. 3-07, AS/NZS 1337</li> <li>Available in clear (S4110S) or gray (S4120S) lens. </li> <li>Lightweight, frameless protection. </li> <li>Superior comfort and fit. </li> <li>Scratch resistant polycarbonate lens provides 99% UVA/B/C protection. </li></ul> <p>​</p> <h5>Foam Nitrile Palm Coated Gloves</h5> <ul><li>Available in large - size 9</li> <li>Foam nitrile (NBR) is the most versatile coating offering tremendous barrier against a wide range of workplace hazards. </li> <li>It provides superior wear and solid resistance to snags, punctures, abrasion, and cuts. </li> <li>Nitrile coating on 15-gauge seamless nylon lining that stretches to the hand for excellent dexterity and comfort. </li> <li>Glove features easy on and off, superior dry grip, tactile sensitivity, and is machine washable. </li> <li>The palm coating allows airflow through back of glove for cooler comfort. </li> <li>Knitwrist cuff holds glove in place and keeps debris out. </li></ul>"
2780841,"<p>Kits contain the essentials for new hire and temporary workers. Includes white standard hard hat (ANSI Z89. 1), disposable corded ear plus (NRR 31), Class 2 Level 2 safety vest (sizes L – 2XL), foam nitrile palm coated gloves, and Intruder eye protection (clear or gray). </p> <h5>Sizes</h5> <ul><li>Kit with gray lens safety glass and Large safety vest – NHFBGL</li> <li>Kit with gray lens safety glass and X-Large safety vest – NHFBGXL</li></ul> <p> Wide Brim Hard Hat </p> <ul><li>Shell constructed from High Density Polyethylene materials. </li> <li>Ratchet suspension is easy to adjust and allows the wearer to modify the fit while wearing hard hat. </li> <li>Soft brow pad is replaceable. Replaceable suspensions and headbands also available. </li></ul> <h5>DP1001</h5> <ul><li>NRR 31dB / SNR 36dB</li> <li>Disposable Corded Earplugs. </li> <li>Contoured fit disposable polyurethane ear plugs. </li> <li>Plug gently expands and self adjusts to all size ear canals. </li></ul> <h5>Safety Vest</h5> <ul><li>ANSI/ISEA 107 - 2010 / Class 2 Level 2</li> <li>Available in large, extra-large and 2X large. </li> <li>Hi-Vis lightweight polyester mesh material. </li> <li>2 inch silver reflective material around bottom and over shoulders. </li> <li>Zipper front closure. </li> <li>Chest pocket with hook and loop closure. </li> <li>Deep and wide inside pocket. </li></ul> <h5>Intruder</h5> <ul><li> Exceeds ANSI Z87. 1 high impact, CE EN166, CAN/CSA Z94. 3-07, AS/NZS 1337</li> <li>Available in gray (S4120S) lens. </li> <li>Lightweight, frameless protection. </li> <li>Superior comfort and fit. </li> <li>Scratch resistant polycarbonate lens provides 99% UVA/B/C protection. </li></ul> <p>​</p> <h5>Foam Nitrile Palm Coated Gloves</h5> <ul><li>Available in large - size 9</li> <li>Foam nitrile (NBR) is the most versatile coating offering tremendous barrier against a wide range of workplace hazards. </li> <li>It provides superior wear and solid resistance to snags, punctures, abrasion, and cuts. </li> <li>Nitrile coating on 15-gauge seamless nylon lining that stretches to the hand for excellent dexterity and comfort. </li> <li>Glove features easy on and off, superior dry grip, tactile sensitivity, and is machine washable. </li> <li>The palm coating allows airflow through back of glove for cooler comfort. </li> <li>Knitwrist cuff holds glove in place and keeps debris out. </li></ul>"
2780840,"<p>Kits contain the essentials for new hire and temporary workers. Includes white standard hard hat (ANSI Z89. 1), disposable corded ear plus (NRR 31), Class 2 Level 2 safety vest (sizes L – 2XL), foam nitrile palm coated gloves, and Intruder eye protection (clear or gray). </p> <h5>Sizes</h5> <ul><li>Kit with gray lens safety glass and Large safety vest – NHFBGL</li> <li>Kit with gray lens safety glass and X-Large safety vest – NHFBGXL</li></ul> <p> Wide Brim Hard Hat </p> <ul><li>Shell constructed from High Density Polyethylene materials. </li> <li>Ratchet suspension is easy to adjust and allows the wearer to modify the fit while wearing hard hat. </li> <li>Soft brow pad is replaceable. Replaceable suspensions and headbands also available. </li></ul> <h5>DP1001</h5> <ul><li>NRR 31dB / SNR 36dB</li> <li>Disposable Corded Earplugs. </li> <li>Contoured fit disposable polyurethane ear plugs. </li> <li>Plug gently expands and self adjusts to all size ear canals. </li></ul> <h5>Safety Vest</h5> <ul><li>ANSI/ISEA 107 - 2010 / Class 2 Level 2</li> <li>Available in large, extra-large and 2X large. </li> <li>Hi-Vis lightweight polyester mesh material. </li> <li>2 inch silver reflective material around bottom and over shoulders. </li> <li>Zipper front closure. </li> <li>Chest pocket with hook and loop closure. </li> <li>Deep and wide inside pocket. </li></ul> <h5>Intruder</h5> <ul><li> Exceeds ANSI Z87. 1 high impact, CE EN166, CAN/CSA Z94. 3-07, AS/NZS 1337</li> <li>Available in gray (S4120S) lens. </li> <li>Lightweight, frameless protection. </li> <li>Superior comfort and fit. </li> <li>Scratch resistant polycarbonate lens provides 99% UVA/B/C protection. </li></ul> <p>​</p> <h5>Foam Nitrile Palm Coated Gloves</h5> <ul><li>Available in large - size 9</li> <li>Foam nitrile (NBR) is the most versatile coating offering tremendous barrier against a wide range of workplace hazards. </li> <li>It provides superior wear and solid resistance to snags, punctures, abrasion, and cuts. </li> <li>Nitrile coating on 15-gauge seamless nylon lining that stretches to the hand for excellent dexterity and comfort. </li> <li>Glove features easy on and off, superior dry grip, tactile sensitivity, and is machine washable. </li> <li>The palm coating allows airflow through back of glove for cooler comfort. </li> <li>Knitwrist cuff holds glove in place and keeps debris out. </li></ul>"
2781045,"<table class=""description-table""><tbody><tr><td>Magnification strength</td><td>ID number</td></tr><tr><th>+1. 5</th><td>RX1800R15</td></tr><tr><th>+2. 0</th><td>RX1800R20</td></tr></tbody></table><ul><li>Specially designed for V2G sealed eyewear. </li> <li>Lens insert fully magnifies. </li> <li>The polycarbonate lens of the V2G sealed eyewear protects the magnifying or prescription lenses from damage. </li></ul>"
2781044,"<table class=""description-table""><tbody><tr><td>Magnification strength</td><td>ID number</td></tr><tr><th>+1. 5</th><td>RX1800R15</td></tr><tr><th>+2. 0</th><td>RX1800R20</td></tr></tbody></table><ul><li>Specially designed for V2G sealed eyewear. </li> <li>Lens insert fully magnifies. </li> <li>The polycarbonate lens of the V2G sealed eyewear protects the magnifying or prescription lenses from damage. </li></ul>"
2780533,"<table class=""description-table""><tbody><tr><td>Magnification strength</td><td>ID number</td></tr><tr><th>+1. 5</th><td>S4110R15</td></tr><tr><th>+2. 0</th><td>S4110R20</td></tr><tr><th>+2. 5</th><td>S4110R25</td></tr></tbody></table><ul><li>Lens insert is out of user's direct line of vision. </li> <li>Lightweight, frameless protection. </li> <li>Superior comfort and fit. </li> <li>Mini Intruder has all the great features of Intruder in a design better suited for smaller facial size. </li> <li>Scratch resistant polycarbonate lens provides 99% UVA/B/C protection. </li></ul><table class=""description-table""><p> Clear Lens: General purposes for indoor applications that require impact protection. </p><tbody><tr><th>Visible Light Transmitted  380-780nm</th><td>96%</td></tr><tr><th>UVA, UVB Blocked  200-380nm</th><td>100%</td></tr><tr><th>Blue Light Blocked  400-700nm</th><td>9%</td></tr><tr><th>IR Blocked  780-2000nm</th><td>18%</td></tr></tbody></table>"
