ID,ADDITIONAL_DESCRIPTION
555806,"<p>Change Gear Bushing Part No.12CGB</p><h5>Specifications</h5><table class=""description-table""><thead><tr><th>Pitch Diameter</th><th>Sprocket Weight</th></tr></thead><tbody><tr><th>7.083</th><td>8.20lbs</td></tr></tbody></table>"
555805,"<p>Change Gear Bushing Part No.12CGB</p><h5>Specifications</h5><table class=""description-table""><thead><tr><th>Pitch Diameter</th><th>Sprocket Weight</th></tr></thead><tbody><tr><th>7.000</th><td>8.00lbs</td></tr></tbody></table>"
555808,"<p>Change Gear Bushing Part No.12CGB</p><h5>Specifications</h5><table class=""description-table""><thead><tr><th>Pitch Diameter</th><th>Sprocket Weight</th></tr></thead><tbody><tr><th>7.250</th><td>8.60lbs</td></tr></tbody></table>"
555807,"<p>Change Gear Bushing Part No.12CGB</p><h5>Specifications</h5><table class=""description-table""><thead><tr><th>Pitch Diameter</th><th>Sprocket Weight</th></tr></thead><tbody><tr><th>7.166</th><td>8.40lbs</td></tr></tbody></table>"
566867,"<p>Idler Sprockets: Ball Bearing Idler Sprockets have sealed ball bearings with extended inner race and setscrews for securing to the shaft. No.35 through No.160 Chain. </p><p>Projection From Centerline - Due to dimensional variation among bearing manufacturers this dimension may vary slightly when different brands of bearings are used. If you have a critical application please call for specific dimensions. </p><p>Inner Race projection has 2 set screws on long side to secure bearing to shaft. </p><p>""Basic Dynamic Ratings"" calculated according to AFBMA standard for ""Long Rating And Fatigue Life For Ball Bearings""</p><p>Accurately machined, medium carbon steel sprockets and precision ground ball bearings are assembled to provide a heavy duty idler for the most severe conditions. The bearings are pre-lubricated and sealed to retain grease and exclude dirt and moisture. They are not re-lubricatable. The extended inner race with setscrew allows fastening to a pin or shaft without collars or spacing devices. It also provides clearance for the chain when bolting the sprocket directly to a frame member or tensioning device. A small sprocket for close quarters and a larger one for heavier service is provided in each pitch. If sizes other than those listed are required, please inquire for quotation. </p> <h5>Specifications</h5><table class=""description-table""><tr><th>Pitch Diameter</th><td>6.012</td></tr><tr><th>Chain Size And Number Of Teeth</th><td>100-15</td></tr><tr><th>Bearing Size</th><td>1.500""</td></tr><tr><th>Projection From Centerline</th><td>.750 .1.187</td></tr><tr><th>Basic Dynamic Rating (lbs)</th><td>8150</td></tr><tr><th>Length Through Bore</th><td>1.937""</td></tr><tr><th>Sprocket Weight</th><td>6.50lbs</td></tr></table>"
565408,"<p>Bore approaching maximum have shallow or no keyway - See standard key diameter (PDF)</p><p> Space in addition to length through bore is required for bolt heads and wrench on sprocket side in standard mount and on bushing side in reverse mount. - QD Hub Assembly Types (PDF)</p><p>(H) indicates sizes available with or without hardened teeth. All other sizes available with hardened teeth as an alteration. </p> <h5>Specifications</h5><table class=""description-table""><tr><th>Hub Type</th><td>B</td></tr><tr><th>Bushing Size</th><td>E</td></tr><tr><th>Pitch Diameter</th><td>8.387</td></tr><tr><th>Bushing Bore Minimum</th><td>.875""</td></tr><tr><th>Bushing Bore Maximum</th><td>3.500""</td></tr><tr><th>Length Through Bore</th><td>2.620""</td></tr><tr><th>Sprocket Weight</th><td>13.00lbs</td></tr></table>"
566866,"<p>Idler Sprockets: Ball Bearing Idler Sprockets have sealed ball bearings with extended inner race and setscrews for securing to the shaft. No.35 through No.160 Chain. </p><p>Projection From Centerline - Due to dimensional variation among bearing manufacturers this dimension may vary slightly when different brands of bearings are used. If you have a critical application please call for specific dimensions. </p><p>Inner Race projection has 2 set screws on long side to secure bearing to shaft. </p><p>""Basic Dynamic Ratings"" calculated according to AFBMA standard for ""Long Rating And Fatigue Life For Ball Bearings""</p><p>Accurately machined, medium carbon steel sprockets and precision ground ball bearings are assembled to provide a heavy duty idler for the most severe conditions. The bearings are pre-lubricated and sealed to retain grease and exclude dirt and moisture. They are not re-lubricatable. The extended inner race with setscrew allows fastening to a pin or shaft without collars or spacing devices. It also provides clearance for the chain when bolting the sprocket directly to a frame member or tensioning device. A small sprocket for close quarters and a larger one for heavier service is provided in each pitch. If sizes other than those listed are required, please inquire for quotation. </p> <h5>Specifications</h5><table class=""description-table""><tr><th>Pitch Diameter</th><td>4.830</td></tr><tr><th>Chain Size And Number Of Teeth</th><td>100-12</td></tr><tr><th>Bearing Size</th><td>1.250""</td></tr><tr><th>Projection From Centerline</th><td>.593 x.937</td></tr><tr><th>Basic Dynamic Rating (lbs)</th><td>6420</td></tr><tr><th>Length Through Bore</th><td>1.530""</td></tr><tr><th>Sprocket Weight</th><td>4.50lbs</td></tr></table>"
572018,"<p>Weld-In Hubs For TAPER-LOCK Bushings</p><p> Type W - Steel</p><p>* +.000 -.002</p> <h5>Specifications</h5><table class=""description-table""><tr><th>Bushing Number</th><td>1615</td></tr><tr><th>Bore Range</th><td>1/2-1 5/8</td></tr><tr><th>A</th><td>3.120""</td></tr><tr><th>B</th><td>1.500</td></tr><tr><th>C</th><td>.375""</td></tr><tr><th>D</th><td>.620""</td></tr><tr><th>G *</th><td>2.875""</td></tr><tr><th>Sprocket Weight</th><td>1.50lbs</td></tr></table>"
556185,"<p>No Hub With Keyway Type A (no hub) are stocked with finished bore only. </p><p>Gears of opposite hand operate on parallel shafts. Gears of same hand operate on shafts at right angles. </p> <h5>Specifications</h5><table class=""description-table""><tr><th>No. of Teeth</th><td>24</td></tr><tr><th>Pitch Diameter</th><td>2.000</td></tr><tr><th>Bore</th><td>.625""</td></tr><tr><th>Keyway</th><td>.125""</td></tr><tr><th>Sprocket Weight</th><td>.60lbs</td></tr></table>"
564836,"<p>Listed maximum bore is with setscrew at angle to keyway. Larger bores are subject to additional charge. </p><h5>Specifications</h5><table class=""description-table""><tr><th>Pitch Diameter</th><td>26.757</td></tr><tr><th>Maximum Bore</th><td>5.000""</td></tr><tr><th>Stock Bore</th><td>2.187""</td></tr><tr><th>Hub Diameter</th><td>7.50""</td></tr><tr><th>Length Through Bore</th><td>5.000""</td></tr><tr><th>Sprocket Weight</th><td>195.00lbs</td></tr></table>"
