ID,ADDITIONAL_DESCRIPTION
2125835,"<h5>APPLICATIONS: </h5>Motor Mounting Brake <h5>FEATURES: </h5> <table class=""description-table""><tr><th>Die cast aluminum enplate with stamped steel housing</th></tr> <tr><th>Stearns brakes are designed for high performance applications</th></tr> <tr><th>Spring-Set Electronically Releasded</th></tr> <tr><th>Adjustable Torque down to 50% of rated nameplate torque</th></tr> <tr><th>Manual Wear Adjustment</th></tr> <tr><th>Airgap Adjust Gage</th></tr></table>"
2125963,"<p> <h5>STEARNS Brake Products are normally stocked, but 4-7 day lead times may apply. For expedited needs please contact our sales team. </h5> </p> <h5>APPLICATIONS: </h5>Motor Mounting Brake <h5>FEATURES: </h5> <table class=""description-table""><tr><th>Die cast aluminum enplate with stamped steel housing</th></tr> <tr><th>Stearns brakes are designed for high performance applications</th></tr> <tr><th>Spring-Set Electronically Releasded</th></tr> <tr><th>Adjustable Torque down to 50% of rated nameplate torque</th></tr> <tr><th>Manual Wear Adjustment</th></tr> <tr><th>Airgap Adjust Gage</th></tr></table>"
2125959,"<p> <h5>STEARNS Brake Products are normally stocked, but 4-7 day lead times may apply. For expedited needs please contact our sales office for stock and availability. </h5> </p> <h5>APPLICATIONS: </h5>Motor Mounting Brake <h5>FEATURES: </h5> <table class=""description-table""><tr><th>Die cast aluminum enplate with stamped steel housing</th></tr> <tr><th>Stearns brakes are designed for high performance applications</th></tr> <tr><th>Spring-Set Electronically Releasded</th></tr> <tr><th>Adjustable Torque down to 50% of rated nameplate torque</th></tr> <tr><th>Manual Wear Adjustment</th></tr> <tr><th>Airgap Adjust Gage</th></tr></table> Bore and coil voltages need to be chosen to configure the correct Stearns brake for your application. Please contact our sales team if you have any questions or need help to order."
2126028,"<h5>STEARNS NEMA </h5>Motor Mounting Brake <table class=""description-table""><tr><th>Die cast aluminum enplate with stamped steel housing</th></tr> <tr><th>Stearns brakes are designed for high performance applications</th></tr> <tr><th>Spring-Set Electronically Releasded</th></tr> <tr><th>Adjustable Torque down to 50% of rated nameplate torque</th></tr> <tr><th>Manual Wear Adjustment</th></tr> <tr><th>Airgap Adjust Gage</th></tr></table>"
2126027,"<h5>STEARNS NEMA </h5>Motor Mounting Brake <table class=""description-table""><tr><th>Die cast aluminum enplate with stamped steel housing</th></tr> <tr><th>Stearns brakes are designed for high performance applications</th></tr> <tr><th>Spring-Set Electronically Releasded</th></tr> <tr><th>Adjustable Torque down to 50% of rated nameplate torque</th></tr> <tr><th>Manual Wear Adjustment</th></tr> <tr><th>Airgap Adjust Gage</th></tr></table>"
2126026,"<h5>STEARNS NEMA </h5>Motor Mounting Brake <table class=""description-table""><tr><th>Die cast aluminum enplate with stamped steel housing</th></tr> <tr><th>Stearns brakes are designed for high performance applications</th></tr> <tr><th>Spring-Set Electronically Releasded</th></tr> <tr><th>Adjustable Torque down to 50% of rated nameplate torque</th></tr> <tr><th>Manual Wear Adjustment</th></tr> <tr><th>Airgap Adjust Gage</th></tr></table>"
2126025,"<h5>STEARNS NEMA </h5>Motor Mounting Brake <table class=""description-table""><tr><th>Die cast aluminum enplate with stamped steel housing</th></tr> <tr><th>Stearns brakes are designed for high performance applications</th></tr> <tr><th>Spring-Set Electronically Releasded</th></tr> <tr><th>Adjustable Torque down to 50% of rated nameplate torque</th></tr> <tr><th>Manual Wear Adjustment</th></tr> <tr><th>Airgap Adjust Gage</th></tr></table>"
2124991,"<h5>APPLICATIONS: </h5>Motor Mounting Brake <h5>FEATURES: </h5> <table class=""description-table""><tr><th>Die cast aluminum enplate with stamped steel housing</th></tr> <tr><th>Stearns brakes are designed for high performance applications</th></tr> <tr><th>Spring-Set Electronically Releasded</th></tr> <tr><th>Adjustable Torque down to 50% of rated nameplate torque</th></tr> <tr><th>Manual Wear Adjustment</th></tr> <tr><th>Airgap Adjust Gage</th></tr></table>"
2125025,"<h5>APPLICATIONS: </h5>Motor Mounting Brake <h5>FEATURES: </h5> <table class=""description-table""><tr><th>Die cast aluminum enplate with stamped steel housing</th></tr> <tr><th>Stearns brakes are designed for high performance applications</th></tr> <tr><th>Spring-Set Electronically Releasded</th></tr> <tr><th>Adjustable Torque down to 50% of rated nameplate torque</th></tr> <tr><th>Manual Wear Adjustment</th></tr> <tr><th>Airgap Adjust Gage</th></tr></table>"
2125061,"<h5>APPLICATIONS: </h5>Motor Mounting Brake <h5>FEATURES: </h5> <table class=""description-table""><tr><th>Die cast aluminum enplate with stamped steel housing</th></tr> <tr><th>Stearns brakes are designed for high performance applications</th></tr> <tr><th>Spring-Set Electronically Releasded</th></tr> <tr><th>Adjustable Torque down to 50% of rated nameplate torque</th></tr> <tr><th>Manual Wear Adjustment</th></tr> <tr><th>Airgap Adjust Gage</th></tr></table>"
