ID,ADDITIONAL_DESCRIPTION
154913,"<h5>Description</h5><p>Eagle Green 89 Non-Reinforced Textured Round Belting constructed of polyurethane with an 89 Shore A durometer that provides excellent abrasion resistance. A key feature of this belt is its textured surface, which lowers its surface coefficient of friction. Packaged in 100'/30. 5m lengths. </p> <p> Best Suited For: Long conveyor lengths, heavier conveyed loads, or medium-duty power transmission applications, where a lower surface CoF (coefficient of friction) is desirable in a round belt profile. </p> <p>Eagle Green 89 Non-Reinforced Textured Round Belts’ harder durometer and textured surface combine to lower the CoF of this belt. Eagle Green 89 Non-Reinforced Textured Round belts also have superior heat and water resistant properties making it an ideal choice for an application that requires frequent wash-downs. </p> <ul><li> 89 shore A durometer</li> <li> Textured surface for lower surface CoF</li> <li> Superior heat and water resistance</li> <li> No take-ups required</li> <li> REACH and RoHS 2002/95/EC Directive compliant </li></ul> <p>Eagle Green 89 Non-Reinforced Textured Round Belts are easily welded endless in the field with either a Fenner Drives Butt Welding Kit. </p> <h5>Specifications</h5><table class=""description-table""><tr><th>Profile shape: </th><td>Round</td></tr><tr><th>Profile size: </th><td>10mm, 12mm, 15mm, 2mm, 3mm, 4mm, 5mm, 6mm, 7mm, 8mm</td></tr><tr><th>Reinforcement: </th><td>None</td></tr><tr><th>Color: </th><td>Green</td></tr><tr><th>Compliancy: </th><td>REACH, RoHS</td></tr><tr><th>Durometer: </th><td>89A</td></tr><tr><th>Material: </th><td>Polyurethane</td></tr><tr><th>Special Feature: </th><td>Textured</td></tr><tr><th>Package Length: </th><td>100'/30. 5m</td></tr></table>"
154914,"<h5>Description</h5><p>Eagle Green 89 Non-Reinforced Textured Round Belting constructed of polyurethane with an 89 Shore A durometer that provides excellent abrasion resistance. A key feature of this belt is its textured surface, which lowers its surface coefficient of friction. Packaged in 100'/30. 5m lengths. </p> <p> Best Suited For: Long conveyor lengths, heavier conveyed loads, or medium-duty power transmission applications, where a lower surface CoF (coefficient of friction) is desirable in a round belt profile. </p> <p>Eagle Green 89 Non-Reinforced Textured Round Belts’ harder durometer and textured surface combine to lower the CoF of this belt. Eagle Green 89 Non-Reinforced Textured Round belts also have superior heat and water resistant properties making it an ideal choice for an application that requires frequent wash-downs. </p> <ul><li> 89 shore A durometer</li> <li> Textured surface for lower surface CoF</li> <li> Superior heat and water resistance</li> <li> No take-ups required</li> <li> REACH and RoHS 2002/95/EC Directive compliant </li></ul> <p>Eagle Green 89 Non-Reinforced Textured Round Belts are easily welded endless in the field with either a Fenner Drives Butt Welding Kit. </p> <h5>Specifications</h5><table class=""description-table""><tr><th>Profile shape: </th><td>Round</td></tr><tr><th>Profile size: </th><td>10mm, 12mm, 15mm, 2mm, 3mm, 4mm, 5mm, 6mm, 7mm, 8mm</td></tr><tr><th>Reinforcement: </th><td>None</td></tr><tr><th>Color: </th><td>Green</td></tr><tr><th>Compliancy: </th><td>REACH, RoHS</td></tr><tr><th>Durometer: </th><td>89A</td></tr><tr><th>Material: </th><td>Polyurethane</td></tr><tr><th>Special Feature: </th><td>Textured</td></tr><tr><th>Package Length: </th><td>100'/30. 5m</td></tr></table>"
154912,"<h5>Description</h5><p>Eagle Green 89 Non-Reinforced Textured Round Belting constructed of polyurethane with an 89 Shore A durometer that provides excellent abrasion resistance. A key feature of this belt is its textured surface, which lowers its surface coefficient of friction. Packaged in 100'/30. 5m lengths. </p> <p> Best Suited For: Long conveyor lengths, heavier conveyed loads, or medium-duty power transmission applications, where a lower surface CoF (coefficient of friction) is desirable in a round belt profile. </p> <p>Eagle Green 89 Non-Reinforced Textured Round Belts’ harder durometer and textured surface combine to lower the CoF of this belt. Eagle Green 89 Non-Reinforced Textured Round belts also have superior heat and water resistant properties making it an ideal choice for an application that requires frequent wash-downs. </p> <ul><li> 89 shore A durometer</li> <li> Textured surface for lower surface CoF</li> <li> Superior heat and water resistance</li> <li> No take-ups required</li> <li> REACH and RoHS 2002/95/EC Directive compliant </li></ul> <p>Eagle Green 89 Non-Reinforced Textured Round Belts are easily welded endless in the field with either a Fenner Drives Butt Welding Kit. </p> <h5>Specifications</h5><table class=""description-table""><tr><th>Profile shape: </th><td>Round</td></tr><tr><th>Profile size: </th><td>10mm, 12mm, 15mm, 2mm, 3mm, 4mm, 5mm, 6mm, 7mm, 8mm</td></tr><tr><th>Reinforcement: </th><td>None</td></tr><tr><th>Color: </th><td>Green</td></tr><tr><th>Compliancy: </th><td>REACH, RoHS</td></tr><tr><th>Durometer: </th><td>89A</td></tr><tr><th>Material: </th><td>Polyurethane</td></tr><tr><th>Special Feature: </th><td>Textured</td></tr><tr><th>Package Length: </th><td>100'/30. 5m</td></tr></table>"
817656,"<h5>Description</h5><p>The B-LOC B112 Series 65mm Keyless Bushing provides a high capacity, zero-backlash shaft to hub connection for shafts measuring 65mm in diameter by means of a mechanical interference fit and also transmits up to a maximum of 6700 Nm torque. </p> <p> Best Suited For: Applications that require a recessed installation of the bushing with no axial movement of the mounted component relative to the shaft during tightening. <br><br><br>B-LOC B112 Series 65mm Keyless Bushings provide a zero-backlash frictional connection that will never wear or pound out and can accommodate a high torque, thrust, bending, and/or radial loads. Their wide, double taper design enhances torque transmission and bending moment capacity while maintaining exceptional concentricity with thru-bored hubs. There is no axial movement during installation. The B-LOC B112 Series eliminates the need to hold the shaft or lock machine while applying installation torque, making for fast and easy component repositioning. Since the B-LOC B112 Series Keyless Bushings do not have a flange, the external diameter along the unit’s entire length is the same, therefore allowing the unit to be completely inserted into the component bore for flushed or recessed mounting. This series is also self-centering and RoHS compliant. <br><br><li> Wide, double taper design for enhanced torque transmission and bending moment capacity</li><li> Exceptional concentricity with thru-bored hubs</li><li> No axial movement during installation</li><li> Self-centering</li><li> Eliminates need to hold shaft or lock machine while applying installation torque</li><li> Recessed installation without the need for a counter bore</li><li> RoHS compliant</li><br> Features of Fenner Drives Keyless Bushings: <br><br><li> Ability to transmit higher torques</li><li> True zero-backlash</li><li> Less equipment downtime</li><li> Ability to mount over existing keyways</li><li> Complete axial and radial adjustability</li><li> Simple installation, adjustment and removal</li><br>All Fenner Drives keyless locking devices operate using the simple wedge principle. An axial force is applied- by either a hex nut (Trantorque) or a series of annular screws (B-LOC)- to engage circular steel rings with mating tapers. The resulting wedge action creates a radial force on the tapered rings, one of which contracts to squeeze the shaft while the other expands and presses into the component bore. </p> <h5>Specifications</h5><table class=""description-table""><tr><th>Series: </th><td>B112</td></tr><tr><th>Torque Transmission: </th><td>6700</td></tr><tr><th>Axial Movement: </th><td>No</td></tr><tr><th>Bore Tolerance: </th><td>95. 05</td></tr><tr><th>Compliancy: </th><td>RoHS</td></tr><tr><th>Component Bore Diameter: </th><td>95mm</td></tr><tr><th>Hub Pressure: </th><td>131</td></tr><tr><th>Installation Torque: </th><td>41 Nm</td></tr><tr><th>Internal/ External: </th><td>Internal</td></tr><tr><th>Material: </th><td>Steel</td></tr><tr><th>Metric/Inch: </th><td>Metric</td></tr><tr><th>Releasing/ Locking: </th><td>Locking</td></tr><tr><th>Screw Size: </th><td>M8 x 55</td></tr><tr><th>Self-Centering: </th><td>Yes</td></tr><tr><th>Shaft Diameter: </th><td>65mm</td></tr><tr><th>Shaft Tolerance: </th><td>64. 95</td></tr><tr><th>Taper: </th><td>Double</td></tr><tr><th>Thrust: </th><td>206148</td></tr></table>"
154910,"<h5>Description</h5><p>Eagle Green 89 Non-Reinforced Textured Round Belting constructed of polyurethane with an 89 Shore A durometer that provides excellent abrasion resistance. A key feature of this belt is its textured surface, which lowers its surface coefficient of friction. Packaged in 100'/30. 5m lengths. </p> <p> Best Suited For: Long conveyor lengths, heavier conveyed loads, or medium-duty power transmission applications, where a lower surface CoF (coefficient of friction) is desirable in a round belt profile. </p> <p>Eagle Green 89 Non-Reinforced Textured Round Belts’ harder durometer and textured surface combine to lower the CoF of this belt. Eagle Green 89 Non-Reinforced Textured Round belts also have superior heat and water resistant properties making it an ideal choice for an application that requires frequent wash-downs. </p> <ul><li> 89 shore A durometer</li> <li> Textured surface for lower surface CoF</li> <li> Superior heat and water resistance</li> <li> No take-ups required</li> <li> REACH and RoHS 2002/95/EC Directive compliant </li></ul> <p>Eagle Green 89 Non-Reinforced Textured Round Belts are easily welded endless in the field with either a Fenner Drives Butt Welding Kit. </p> <h5>Specifications</h5><table class=""description-table""><tr><th>Profile shape: </th><td>Round</td></tr><tr><th>Profile size: </th><td>10mm, 12mm, 15mm, 2mm, 3mm, 4mm, 5mm, 6mm, 7mm, 8mm</td></tr><tr><th>Reinforcement: </th><td>None</td></tr><tr><th>Color: </th><td>Green</td></tr><tr><th>Compliancy: </th><td>REACH, RoHS</td></tr><tr><th>Durometer: </th><td>89A</td></tr><tr><th>Material: </th><td>Polyurethane</td></tr><tr><th>Special Feature: </th><td>Textured</td></tr><tr><th>Package Length: </th><td>100'/30. 5m</td></tr></table>"
818133,"<h5>Description</h5><p>The B-LOC B103 Series 3-1/2” Keyless Bushing provides a high capacity, zero-backlash shaft to hub connection for shafts measuring 3-1/2” in diameter by means of a mechanical interference fit and transmits up to a maximum of 6462 ft lbs of torque. </p> <p> Best Suited For: Applications that require a recessed installation of the bushing, but can accommodate some axial movement of the mounted component relative to the shaft during tightening. <br><br>B-LOC B103 Series 3-1/2” Keyless Bushing provides a zero-backlash frictional connection that will never wear or pound out and can accommodate high-torque, thrust, bending, and/or radial loads. Their shallow, single taper design with integrated push-off threads maintains exceptional concentricity and the ability to transmit bending loads. Since the B-LOC B103 Series Keyless Bushings do not have a flange, the external diameter along the unit’s entire length is the same, therefore allowing the unit to be completely inserted into the component bore for flushed or recessed mounting. The B103 Series also has limited axial movement during installation and is RoHS compliant. <br><br><li> Shallow, single taper design with integrated push-off threads</li><li> Exceptional concentricity and ability to transmit bending loads</li><li> Limited axial movement during installation</li><li> Recessed installation without the need for a counterbore</li><li> RoHS compliant</li><br>Note: Flange of B103 Series Keyless Bushing should be located inside of hub bore. <br><br> Features of Fenner Drives Keyless Bushings: <br><br><li> Ability to transmit higher torques</li><li> True zero-backlash</li><li> Less equipment downtime</li><li> Ability to mount over existing keyways</li><li> Complete axial and radial adjustability</li><li> Simple installation, adjustment and removal</li><br>All Fenner Drives keyless locking devices operate using the simple wedge principle. An axial force is applied- by either a hex nut (Trantorque) or a series of annular screws (B-LOC)- to engage circular steel rings with mating tapers. The resulting wedge action creates a radial force on the tapered rings, one of which contracts to squeeze the shaft while the other expands and presses into the component bore. </p> <h5>Specifications</h5><table class=""description-table""><tr><th>Series: </th><td>B103</td></tr><tr><th>Torque Transmission: </th><td>6462 ft lb</td></tr><tr><th>Axial Movement: </th><td>Approximately 0. 032""</td></tr><tr><th>Bore Tolerance: </th><td>5. 121</td></tr><tr><th>Compliancy: </th><td>RoHS</td></tr><tr><th>Component Bore Diameter: </th><td>5. 118""</td></tr><tr><th>Hub Pressure: </th><td>24305</td></tr><tr><th>Installation Torque: </th><td>50 ft lb</td></tr><tr><th>Internal/ External: </th><td>Internal</td></tr><tr><th>Material: </th><td>Steel</td></tr><tr><th>Metric/Inch: </th><td>Inch</td></tr><tr><th>Releasing/ Locking: </th><td>Locking</td></tr><tr><th>Screw Size: </th><td>M10 x 30</td></tr><tr><th>Self-Centering: </th><td>Yes</td></tr><tr><th>Shaft Diameter: </th><td>3 1/2""</td></tr><tr><th>Shaft Tolerance: </th><td>3. 497</td></tr><tr><th>Taper: </th><td>Single</td></tr><tr><th>Thrust: </th><td>44311</td></tr></table>"
818131,"<h5>Description</h5><p>The B-LOC B103 Series 3-1/4” Keyless Bushing provides a high capacity, zero-backlash shaft to hub connection for shafts measuring 3-1/4” in diameter by means of a mechanical interference fit and transmits up to a maximum of 6000 ft lbs of torque. </p> <p> Best Suited For: Applications that require a recessed installation of the bushing, but can accommodate some axial movement of the mounted component relative to the shaft during tightening. <br><br>B-LOC B103 Series 3-1/4” Keyless Bushing provides a zero-backlash frictional connection that will never wear or pound out and can accommodate high-torque, thrust, bending, and/or radial loads. Their shallow, single taper design with integrated push-off threads maintains exceptional concentricity and the ability to transmit bending loads. Since the B-LOC B103 Series Keyless Bushings do not have a flange, the external diameter along the unit’s entire length is the same, therefore allowing the unit to be completely inserted into the component bore for flushed or recessed mounting. The B103 Series also has limited axial movement during installation and is RoHS compliant. <br><br><li> Shallow, single taper design with integrated push-off threads</li><li> Exceptional concentricity and ability to transmit bending loads</li><li> Limited axial movement during installation</li><li> Recessed installation without the need for a counterbore</li><li> RoHS compliant</li><br>Note: Flange of B103 Series Keyless Bushing should be located inside of hub bore. <br><br> Features of Fenner Drives Keyless Bushings: <br><br><li> Ability to transmit higher torques</li><li> True zero-backlash</li><li> Less equipment downtime</li><li> Ability to mount over existing keyways</li><li> Complete axial and radial adjustability</li><li> Simple installation, adjustment and removal</li><br>All Fenner Drives keyless locking devices operate using the simple wedge principle. An axial force is applied- by either a hex nut (Trantorque) or a series of annular screws (B-LOC)- to engage circular steel rings with mating tapers. The resulting wedge action creates a radial force on the tapered rings, one of which contracts to squeeze the shaft while the other expands and presses into the component bore. </p> <h5>Specifications</h5><table class=""description-table""><tr><th>Series: </th><td>B103</td></tr><tr><th>Torque Transmission: </th><td>6000 ft lb</td></tr><tr><th>Axial Movement: </th><td>Approximately 0. 032""</td></tr><tr><th>Bore Tolerance: </th><td>4. 924</td></tr><tr><th>Compliancy: </th><td>RoHS</td></tr><tr><th>Component Bore Diameter: </th><td>4. 921""</td></tr><tr><th>Hub Pressure: </th><td>25277</td></tr><tr><th>Installation Torque: </th><td>50 ft lb</td></tr><tr><th>Internal/ External: </th><td>Internal</td></tr><tr><th>Material: </th><td>Steel</td></tr><tr><th>Metric/Inch: </th><td>Inch</td></tr><tr><th>Releasing/ Locking: </th><td>Locking</td></tr><tr><th>Screw Size: </th><td>M10 x 30</td></tr><tr><th>Self-Centering: </th><td>Yes</td></tr><tr><th>Shaft Diameter: </th><td>3 1/4""</td></tr><tr><th>Shaft Tolerance: </th><td>3. 247</td></tr><tr><th>Taper: </th><td>Single</td></tr><tr><th>Thrust: </th><td>44311</td></tr></table>"
1436149,"<h5>Description</h5><p>Eagle Clear 85 Non-Reinforced Round Belting is constructed of solid polyurethane with an 85 Shore A durometer that provides excellent abrasion resistance, high elasticity, and is also self-tensioning. Packaged in 100'/30. 5m lengths</p> <p> Best Suited For: An all-purpose, highly versatile non-reinforced polyurethane belt for virtually any light to medium duty conveying application, requiring a round profile. </p> <p>Eagle Clear 85 Non-Reinforced Round Belts offer a simple and practical option for your conveying needs. Made from a highly elastic, 85 Shore A durometer polyurethane. Due to their highly elastic properties, these belts are installed preloaded and require no take-up or tensioning mechanisms. </p> <ul><li> Independently tested and verified to meet FDA standards for direct food contact</li> <li> Solid polyurethane construction</li> <li> 85 Shore A durometer polyurethane belting</li> <li> High elasticity; no take-ups required</li> <li> REACH and RoHS 2002/95/EC Directive compliant </li></ul> <p> The proven workhorses! Eagle Clear 85 Non-Reinforced Round belts are the proven workhorses for material transfer and light-duty power transmission applications. </p> <p>Precise parameters and exacting quality standards result in a belt of such dimensional consistency that it maintains constant speed, which improves the performance of your conveyor system and provides smoother power transmission or motion transfer. </p> <p>Eagle Clear Non-Reinforced Round belts are easily welded endless in the field with a Fenner Drives Butt Welding Kit. </p> <h5>Specifications</h5><table class=""description-table""><tr><th>Profile shape: </th><td>Round</td></tr><tr><th>Profile size: </th><td>1/2"", 1/4"", 1/8"", 2mm, 3/16"", 3/32"", 3/4"", 3/8"", 3mm, 4mm, 5/16"", 5/8"", 5mm, 6mm, 7mm, 8mm, 9/16""</td></tr><tr><th>Reinforcement: </th><td>None</td></tr><tr><th>Color: </th><td>Clear</td></tr><tr><th>Compliancy: </th><td>FDA, REACH, RoHS</td></tr><tr><th>Durometer: </th><td>85A</td></tr><tr><th>Material: </th><td>Polyurethane</td></tr><tr><th>Package Length: </th><td>100'/30. 5m</td></tr></table>"
1436081,"<h5>Description</h5><p>The Trantorque GT Series 2-3/8” Keyless Bushing provides a high capacity, zero-backlash shaft/hub or coupling connection of mounted components to shafts measuring 2-3/8” in diameter by means of a mechanical interference fit and transmits up to a maximum 1131 ft lbs of torque. </p> <p> Best Suited For: Applications where speed and simplicity of installation and repositioning are critical and will benefit from the value added feature of a counter torque nut. <br><br>Trantorque GT Series 2-3/8” Keyless Bushings provide a zero-backlash frictional connection that will never wear or pound out and can accommodate high-torque, thrust, bending, and/or radial loads. Designed with an external counter torque nut for easier installation, by allowing the system to be held from rotating during installation. The Trantorque GT Series Keyless Bushing has exceptional concentricity while maintaining the ability to accommodate bending loads. There is limited axial movement during installation. All Trantorque units use a single hex nut for speed and simplicity of installation. <br><br><li> Designed with external counter-torque flange</li><li> Exceptional concentricity and ability to accommodate bending loads</li><li> Limited axial movement during installation</li><li> All Trantorque units use a single hex nut for speed and simplicity of installation</li><br> Features of Fenner Drives Keyless Bushings: <br><br><li> Ability to transmit higher torques than keyed connections</li><li> True zero-backlash</li><li> Less equipment downtime</li><li> Ability to mount over existing keyways</li><li> Complete axial and radial adjustability</li><li> Simple installation, adjustment and removal</li><br>All Fenner Drives keyless locking devices operate using the simple wedge principle. An axial force is applied- by either a hex nut (Trantorque) or a series of annular screws (B-LOC)- to engage circular steel rings with mating tapers. The resulting wedge action creates a radial force on the tapered rings, one of which contracts to squeeze the shaft while the other expands and presses into the component bore. </p> <h5>Specifications</h5><table class=""description-table""><tr><th>Series: </th><td>Trantorque GT</td></tr><tr><th>Torque Transmission: </th><td>1131 ft lb</td></tr><tr><th>Axial Movement: </th><td>Approximately 0. 075""</td></tr><tr><th>Compliancy: </th><td>RoHS</td></tr><tr><th>Component Bore Diameter: </th><td>3 3/8""</td></tr><tr><th>Hub Pressure: </th><td>3789 psi</td></tr><tr><th>Installation Torque: </th><td>467 ft lb</td></tr><tr><th>Internal/ External: </th><td>Internal</td></tr><tr><th>Material: </th><td>Steel</td></tr><tr><th>Metric/Inch: </th><td>Inch</td></tr><tr><th>Releasing/ Locking: </th><td>Locking</td></tr><tr><th>Self-Centering: </th><td>Yes</td></tr><tr><th>Shaft Diameter: </th><td>2 5/16""</td></tr><tr><th>Taper: </th><td>Single</td></tr><tr><th>Thrust: </th><td>11430 lbs</td></tr></table>"
817556,"<h5>Description</h5><p>When your drive needs more “muscle”, NuTLink V-Belts offer a permanent replacement upgrade from classical rubber V-belts while ensuring industry standard power ratings, a longer lasting belt, superior oil, chemical, and temperature resistance, and also fast, easy installation. </p> <p> Best Suited For: Heavier, shock loaded applications and reciprocating engine powered drives that use classical B/17/5L Section industrial rubber V-belt. </p> <p> A Longer Lasting Belt NuTLink Detachable V-Belts are made from a polyester/polyurethane composite. This combination ensures a longer belt life even in the harshest conditions — up to 20 times longer in some applications. </p> <p><tr><th>High resistance to extreme temperatures (-40° to +116°C)</li> <li> High resistance to abrasive materials</li> <li> High resistance to water, steam, oil and most chemicals</li> <br> Fit in Minutes, Not Hours The link construction means that belts can be fitted easily and quickly even on inaccessible drives. Belts can be joined around the shafts without dismantling the drive. </p> <ul><li> Links connected with metal T-studs</li> <li> Install without dismantling drive</li> <br> Make to Any Length - Reduce Your Belt Stocks With NuTLink Detachable V-Belts, there is no need to hold stocks of every belt length. Make to length on site simply by adding or removing links. </p> <ul><li> Reduced V-belt inventory. . . any belt</th><td>any time</td></tr></p> <p> Minimal Maintenance - Fit &amp; Forget! High quality materials ensure that the belt displays minimal stretch even over long periods. Hence, minimal retensioning is required. </p> <p><tr><th>Permanent drop-in replacements</li> <li> High horsepower; low stretch</li> <br> Reduced Vibration/Noise The link design means that NuTLink V-Belts can reduce transmitted vibration and belt noise by up to 50%. </p> <ul><li> RoHS 2002/95/EC Directive compliant</li> <li> NuTLink is available in all the main industry belt profiles</th><td>Z/10, A/13, B/17, C/22. </td></tr></p> <h5>Specifications</h5><table class=""description-table""><tr><th>Profile shape: </th><td>Vee</td></tr><tr><th>Profile size: </th><td>B/17/5L</td></tr><tr><th>Color: </th><td>Orange</td></tr><tr><th>Compliancy: </th><td>RoHS</td></tr><tr><th>Material: </th><td>Composite Polyester/Polyurethane</td></tr><tr><th>Minimum Pulley Diameter: </th><td>125mm, 5. 00""</td></tr><tr><th>Top Width: </th><td>17mm, 5/8""</td></tr></table>"
