"ID","ADDITIONAL_DESCRIPTION"
"1900936","<h5>Specifications</h5><table class=""description-table""><thead><tr><th>Principal dimensions</th><th>Design</th><th>Lip material</th><th>Pressure differential [MPa / psi]</th><th>Designation</th><th>US stock number</th><th>Notes</th></tr><tr><th>Shaft</th><th>Bore</th><th>Nominal seal width</th><th></th><th></th><th></th><th></th><th></th><th></th></tr><tr><th>d 1</th><th></th><th>b</th><th></th><th></th><th></th><th></th><th></th><th></th></tr><tr><th>mm</th><th></th><th></th><th>-</th><th>-</th><th></th><th>-</th><th>-</th><th>-</th></tr></thead><tbody><tr><td>254</td><td>279, 4</td><td>9, 53</td><td>HMS4</td><td>R</td><td>0, 07</td><td>100042</td><td>100042</td><td></td></tr></tbody></table>"
"308264","<h5>Specifications</h5><table class=""description-table""><thead><tr><th>Principal dimensions</th><th>Design</th><th>Lip material</th><th>Pressure differential [MPa / psi]</th><th>Designation</th><th>US stock number</th><th>Notes</th></tr><tr><th>Shaft</th><th>Bore</th><th>Nominal seal width</th><th></th><th></th><th></th><th></th><th></th><th></th></tr><tr><th>d 1</th><th></th><th>b</th><th></th><th></th><th></th><th></th><th></th><th></th></tr><tr><th>mm</th><th></th><th></th><th>-</th><th>-</th><th></th><th>-</th><th>-</th><th>-</th></tr></thead><tbody><tr><td>254</td><td>285, 8</td><td>15, 88</td><td>CRWHA1</td><td>R</td><td>0, 07</td><td>100044</td><td>100044</td><td></td></tr></tbody></table>"
"1900937","<h5>Specifications</h5><table class=""description-table""><thead><tr><th>Principal dimensions</th><th>Design</th><th>Lip material</th><th>Pressure differential [MPa / psi]</th><th>Designation</th><th>US stock number</th><th>Notes</th></tr><tr><th>Shaft</th><th>Bore</th><th>Nominal seal width</th><th></th><th></th><th></th><th></th><th></th><th></th></tr><tr><th>d 1</th><th></th><th>b</th><th></th><th></th><th></th><th></th><th></th><th></th></tr><tr><th>mm</th><th></th><th></th><th>-</th><th>-</th><th></th><th>-</th><th>-</th><th>-</th></tr></thead><tbody><tr><td>254</td><td>304, 8</td><td>15, 88</td><td>CRWH1</td><td>R</td><td>0, 07</td><td>100051</td><td>100051</td><td></td></tr></tbody></table>"
"1902819","<h5>Specifications</h5><table class=""description-table""><thead><tr><th>Principal dimensions</th><th>Design</th><th>Lip material</th><th>Pressure differential [MPa / psi]</th><th>Designation</th><th>US stock number</th><th>Notes</th></tr><tr><th>Shaft</th><th>Bore</th><th>Nominal seal width</th><th></th><th></th><th></th><th></th><th></th><th></th></tr><tr><th>d 1</th><th></th><th>b</th><th></th><th></th><th></th><th></th><th></th><th></th></tr><tr><th>mm</th><th></th><th></th><th>-</th><th>-</th><th></th><th>-</th><th>-</th><th>-</th></tr></thead><tbody><tr><td>254</td><td>304, 8</td><td>17, 48</td><td>HDS1</td><td>R</td><td>0, 1</td><td>1000530</td><td>1000530</td><td></td></tr></tbody></table>"
"1902826","<h5>Specifications</h5><table class=""description-table""><thead><tr><th>Principal dimensions</th><th>Design</th><th>Lip material</th><th>Pressure differential [MPa / psi]</th><th>Designation</th><th>US stock number</th><th>Notes</th></tr><tr><th>Shaft</th><th>Bore</th><th>Nominal seal width</th><th></th><th></th><th></th><th></th><th></th><th></th></tr><tr><th>d 1</th><th></th><th>b</th><th></th><th></th><th></th><th></th><th></th><th></th></tr><tr><th>mm</th><th></th><th></th><th>-</th><th>-</th><th></th><th>-</th><th>-</th><th>-</th></tr></thead><tbody><tr><td>254</td><td>304, 8</td><td>25, 4</td><td>HDS1</td><td>R</td><td>0, 1</td><td>1000580</td><td>1000580</td><td></td></tr></tbody></table>"
"1900938","<h5>Specifications</h5><table class=""description-table""><thead><tr><th>Principal dimensions</th><th>Design</th><th>Lip material</th><th>Pressure differential [MPa / psi]</th><th>Designation</th><th>US stock number</th><th>Notes</th></tr><tr><th>Shaft</th><th>Bore</th><th>Nominal seal width</th><th></th><th></th><th></th><th></th><th></th><th></th></tr><tr><th>d 1</th><th></th><th>b</th><th></th><th></th><th></th><th></th><th></th><th></th></tr><tr><th>mm</th><th></th><th></th><th>-</th><th>-</th><th></th><th>-</th><th>-</th><th>-</th></tr></thead><tbody><tr><td>254</td><td>304, 8</td><td>15, 88</td><td>CRWA1</td><td>R</td><td>0, 07</td><td>100075</td><td>100075</td><td></td></tr></tbody></table>"
"1906879","<h5>Specifications</h5><table class=""description-table""><thead><tr><th>Principal dimensions</th><th>Design</th><th>Lip material</th><th>Pressure differential [MPa / psi]</th><th>Designation</th><th>US stock number</th><th>Notes</th></tr><tr><th>Shaft</th><th>Bore</th><th>Nominal seal width</th><th></th><th></th><th></th><th></th><th></th><th></th></tr><tr><th>d 1</th><th></th><th>b</th><th></th><th></th><th></th><th></th><th></th><th></th></tr><tr><th>mm</th><th></th><th></th><th>-</th><th>-</th><th></th><th>-</th><th>-</th><th>-</th></tr></thead><tbody><tr><td>1000</td><td>1050</td><td>20</td><td>HDS1</td><td>R</td><td>0, 1</td><td>1000X1050X20 HDS1 R</td><td>4133510</td><td></td></tr></tbody></table>"
"1907111","<h5>Specifications</h5><table class=""description-table""><thead><tr><th>Principal dimensions</th><th>Design</th><th>Lip material</th><th>Pressure differential [MPa / psi]</th><th>Designation</th><th>US stock number</th><th>Notes</th></tr><tr><th>Shaft</th><th>Bore</th><th>Nominal seal width</th><th></th><th></th><th></th><th></th><th></th><th></th></tr><tr><th>d 1</th><th></th><th>b</th><th></th><th></th><th></th><th></th><th></th><th></th></tr><tr><th>mm</th><th></th><th></th><th>-</th><th>-</th><th></th><th>-</th><th>-</th><th>-</th></tr></thead><tbody><tr><td>1000</td><td>1050</td><td>23</td><td>HDS2</td><td>R</td><td>0, 1</td><td>1000X1050X23 HDS2 R</td><td>3937582</td><td></td></tr></tbody></table>"
"1898669","<h5>Specifications</h5><table class=""description-table""><thead><tr><th>Principal dimensions</th><th>Design</th><th>Lip material</th><th>Pressure differential [MPa / psi]</th><th>Designation</th><th>US stock number</th><th>Notes</th></tr><tr><th>Shaft</th><th>Bore</th><th>Nominal seal width</th><th></th><th></th><th></th><th></th><th></th><th></th></tr><tr><th>d 1</th><th></th><th>b</th><th></th><th></th><th></th><th></th><th></th><th></th></tr><tr><th>mm</th><th></th><th></th><th>-</th><th>-</th><th></th><th>-</th><th>-</th><th>-</th></tr></thead><tbody><tr><td>25, 4</td><td>45, 24</td><td>11, 91</td><td>HM14</td><td>R</td><td>0, 02</td><td>10034</td><td>10034</td><td>Bore-Tite</td></tr></tbody></table>"
"1898670","<h5>Specifications</h5><table class=""description-table""><thead><tr><th>Principal dimensions</th><th>Design</th><th>Lip material</th><th>Pressure differential [MPa / psi]</th><th>Designation</th><th>US stock number</th><th>Notes</th></tr><tr><th>Shaft</th><th>Bore</th><th>Nominal seal width</th><th></th><th></th><th></th><th></th><th></th><th></th></tr><tr><th>d 1</th><th></th><th>b</th><th></th><th></th><th></th><th></th><th></th><th></th></tr><tr><th>mm</th><th></th><th></th><th>-</th><th>-</th><th></th><th>-</th><th>-</th><th>-</th></tr></thead><tbody><tr><td>25, 4</td><td>45, 24</td><td>11, 91</td><td>HM18</td><td>R</td><td>0, 02</td><td>10035</td><td>10035</td><td>Bore-Tite</td></tr></tbody></table>"
