"ID","ADDITIONAL_DESCRIPTION"
"2489907","<h5>Specifications</h5><table class=""description-table""><tr><th>Part Number</th><th>Roller</th><th colspan=""4"">Stud</th><th colspan=""3"">Lubrication</th><th colspan=""5"">Other Specs</th></tr><tr><th></th><th>A</th><th>B</th><th>C</th><th>D</th><th>E</th><th>F</th><th>G</th><th>H</th><th>J</th><th colspan=""5""></th></tr><tr><th>ID</th><th>Roller<br>O. D. <br>+. 000<br>-. 001</th><th>Roller<br>Width<br>+. 000<br>-. 005<br></th><th>Stud<br>Dia. <br>+. 001<br>-. 000</th><th>Stud<br>Length<br>+/-. 010</th><th>Min. <br>Eff. <br>Thread<br>Length<br>+/-. 030</th><th>Thread<br>Class<br>2A</th><th>Oil<br>Hole<br>Center</th><th>Oil<br>Hole<br>Dia. </th><th>Lube<br>Fitting<br>Size</th><th>Min. <br>Boss<br>Dia. </th><th>Recom. <br>Bore<br>+. 0005<br>-. 0000</th><th>**Recom. <br>Torque<br>Inch<br>Pounds</th><th>Max<br>Static<br>Capacity<br>Pounds</th><th>Basic<br>Dynamic<br>Rating<br>Pounds</th></tr><tr><td>CNB-60</td><td>1. 875</td><td>1. 000</td><td>0. 750</td><td>1. 750</td><td>0. 875</td><td>3/4-16</td><td>7/16</td><td>3/32</td><td>3/16</td><td>1 3/64</td><td>0. 750</td><td>1, 250</td><td>7, 920</td><td>6, 385</td></tr></table>"
"2489902","<h5>Specifications</h5><table class=""description-table""><tr><th>Part Number</th><th>Roller</th><th colspan=""4"">Stud</th><th colspan=""3"">Lubrication</th><th colspan=""5"">Other Specs</th></tr><tr><th></th><th>A</th><th>B</th><th>C</th><th>D</th><th>E</th><th>F</th><th>G</th><th>H</th><th>J</th><th colspan=""5""></th></tr><tr><th>ID</th><th>Roller<br>O. D. <br>+. 000<br>-. 001</th><th>Roller<br>Width<br>+. 000<br>-. 005<br></th><th>Stud<br>Dia. <br>+. 001<br>-. 000</th><th>Stud<br>Length<br>+/-. 010</th><th>Min. <br>Eff. <br>Thread<br>Length<br>+/-. 030</th><th>Thread<br>Class<br>2A</th><th>Oil<br>Hole<br>Center</th><th>Oil<br>Hole<br>Dia. </th><th>Lube<br>Fitting<br>Size</th><th>Min. <br>Boss<br>Dia. </th><th>Recom. <br>Bore<br>+. 0005<br>-. 0000</th><th>**Recom. <br>Torque<br>Inch<br>Pounds</th><th>Max<br>Static<br>Capacity<br>Pounds</th><th>Basic<br>Dynamic<br>Rating<br>Pounds</th></tr><tr><td>CNB-56</td><td>1. 750</td><td>1. 000</td><td>0. 750</td><td>1. 750</td><td>0. 875</td><td>3/4-16</td><td>7/16</td><td>3/32</td><td>3/16</td><td>1 3/64</td><td>0. 750</td><td>1, 250</td><td>7, 920</td><td>6, 385</td></tr></table>"
"2489911","<h5>Specifications</h5><table class=""description-table""><tr><th>Part Number</th><th>Roller</th><th colspan=""4"">Stud</th><th colspan=""3"">Lubrication</th><th colspan=""5"">Other Specs</th></tr><tr><th></th><th>A</th><th>B</th><th>C</th><th>D</th><th>E</th><th>F</th><th>G</th><th>H</th><th>J</th><th colspan=""5""></th></tr><tr><th>ID</th><th>Roller<br>O. D. <br>+. 000<br>-. 001</th><th>Roller<br>Width<br>+. 000<br>-. 005<br></th><th>Stud<br>Dia. <br>+. 001<br>-. 000</th><th>Stud<br>Length<br>+/-. 010</th><th>Min. <br>Eff. <br>Thread<br>Length<br>+/-. 030</th><th>Thread<br>Class<br>2A</th><th>Oil<br>Hole<br>Center</th><th>Oil<br>Hole<br>Dia. </th><th>Lube<br>Fitting<br>Size</th><th>Min. <br>Boss<br>Dia. </th><th>Recom. <br>Bore<br>+. 0005<br>-. 0000</th><th>**Recom. <br>Torque<br>Inch<br>Pounds</th><th>Max<br>Static<br>Capacity<br>Pounds</th><th>Basic<br>Dynamic<br>Rating<br>Pounds</th></tr><tr><td>CNB-64</td><td>2. 000</td><td>1. 250</td><td>0. 875</td><td>2. 000</td><td>1. 000</td><td>7/8-14</td><td>1/ 2</td><td>1/ 8</td><td>3/16</td><td>1 13/64</td><td>0. 875</td><td>1, 500</td><td>10, 570</td><td>8, 090</td></tr></table>"
"2489841","<h5>Specifications</h5><table class=""description-table""><tr><th>Part Number</th><th>Roller</th><th colspan=""4"">Stud</th><th colspan=""3"">Lubrication</th><th colspan=""5"">Other Specs</th></tr><tr><th></th><th>A</th><th>B</th><th>C</th><th>D</th><th>E</th><th>F</th><th>G</th><th>H</th><th>J</th><th colspan=""5""></th></tr><tr><th>ID</th><th>Roller<br>O. D. <br>+. 000<br>-. 001</th><th>Roller<br>Width<br>+. 000<br>-. 005<br></th><th>Stud<br>Dia. <br>+. 001<br>-. 000</th><th>Stud<br>Length<br>+/-. 010</th><th>Min. <br>Eff. <br>Thread<br>Length<br>+/-. 030</th><th>Thread<br>Class<br>2A</th><th>Oil<br>Hole<br>Center</th><th>Oil<br>Hole<br>Dia. </th><th>Lube<br>Fitting<br>Size</th><th>Min. <br>Boss<br>Dia. </th><th>Recom. <br>Bore<br>+. 0005<br>-. 0000</th><th>**Recom. <br>Torque<br>Inch<br>Pounds</th><th>Max<br>Static<br>Capacity<br>Pounds</th><th>Basic<br>Dynamic<br>Rating<br>Pounds</th></tr><tr><td>CNB-16</td><td>0. 500</td><td>0. 375</td><td>0. 190</td><td>0. 625</td><td>0. 250</td><td>10-32</td><td></td><td></td><td>1/ 8</td><td>19/64</td><td>0. 190</td><td>15</td><td>1, 085</td><td>930</td></tr></table>"
"2489854","<h5>Specifications</h5><table class=""description-table""><tr><th>Part Number</th><th>Roller</th><th colspan=""4"">Stud</th><th colspan=""3"">Lubrication</th><th colspan=""5"">Other Specs</th></tr><tr><th></th><th>A</th><th>B</th><th>C</th><th>D</th><th>E</th><th>F</th><th>G</th><th>H</th><th>J</th><th colspan=""5""></th></tr><tr><th>ID</th><th>Roller<br>O. D. <br>+. 000<br>-. 001</th><th>Roller<br>Width<br>+. 000<br>-. 005<br></th><th>Stud<br>Dia. <br>+. 001<br>-. 000</th><th>Stud<br>Length<br>+/-. 010</th><th>Min. <br>Eff. <br>Thread<br>Length<br>+/-. 030</th><th>Thread<br>Class<br>2A</th><th>Oil<br>Hole<br>Center</th><th>Oil<br>Hole<br>Dia. </th><th>Lube<br>Fitting<br>Size</th><th>Min. <br>Boss<br>Dia. </th><th>Recom. <br>Bore<br>+. 0005<br>-. 0000</th><th>**Recom. <br>Torque<br>Inch<br>Pounds</th><th>Max<br>Static<br>Capacity<br>Pounds</th><th>Basic<br>Dynamic<br>Rating<br>Pounds</th></tr><tr><td>CNB-20-N</td><td>0. 625</td><td>0. 406</td><td>0. 250</td><td>0. 625</td><td>0. 312</td><td>1/4-28</td><td></td><td></td><td>1/ 8</td><td>23/64</td><td>0. 250</td><td>35</td><td>1, 215</td><td>995</td></tr></table>"
"2489852","<h5>Specifications</h5><table class=""description-table""><tr><th>Part Number</th><th>Roller</th><th colspan=""4"">Stud</th><th colspan=""3"">Lubrication</th><th colspan=""5"">Other Specs</th></tr><tr><th></th><th>A</th><th>B</th><th>C</th><th>D</th><th>E</th><th>F</th><th>G</th><th>H</th><th>J</th><th colspan=""5""></th></tr><tr><th>ID</th><th>Roller<br>O. D. <br>+. 000<br>-. 001</th><th>Roller<br>Width<br>+. 000<br>-. 005<br></th><th>Stud<br>Dia. <br>+. 001<br>-. 000</th><th>Stud<br>Length<br>+/-. 010</th><th>Min. <br>Eff. <br>Thread<br>Length<br>+/-. 030</th><th>Thread<br>Class<br>2A</th><th>Oil<br>Hole<br>Center</th><th>Oil<br>Hole<br>Dia. </th><th>Lube<br>Fitting<br>Size</th><th>Min. <br>Boss<br>Dia. </th><th>Recom. <br>Bore<br>+. 0005<br>-. 0000</th><th>**Recom. <br>Torque<br>Inch<br>Pounds</th><th>Max<br>Static<br>Capacity<br>Pounds</th><th>Basic<br>Dynamic<br>Rating<br>Pounds</th></tr><tr><td>CNB-20</td><td>0. 625</td><td>0. 438</td><td>0. 250</td><td>0. 750</td><td>0. 312</td><td>1/4-28</td><td></td><td></td><td>1/ 8</td><td>23/64</td><td>0. 250</td><td>35</td><td>1, 215</td><td>995</td></tr></table>"
"2489862","<h5>Specifications</h5><table class=""description-table""><tr><th>Part Number</th><th>Roller</th><th colspan=""4"">Stud</th><th colspan=""3"">Lubrication</th><th colspan=""5"">Other Specs</th></tr><tr><th></th><th>A</th><th>B</th><th>C</th><th>D</th><th>E</th><th>F</th><th>G</th><th>H</th><th>J</th><th colspan=""5""></th></tr><tr><th>ID</th><th>Roller<br>O. D. <br>+. 000<br>-. 001</th><th>Roller<br>Width<br>+. 000<br>-. 005<br></th><th>Stud<br>Dia. <br>+. 001<br>-. 000</th><th>Stud<br>Length<br>+/-. 010</th><th>Min. <br>Eff. <br>Thread<br>Length<br>+/-. 030</th><th>Thread<br>Class<br>2A</th><th>Oil<br>Hole<br>Center</th><th>Oil<br>Hole<br>Dia. </th><th>Lube<br>Fitting<br>Size</th><th>Min. <br>Boss<br>Dia. </th><th>Recom. <br>Bore<br>+. 0005<br>-. 0000</th><th>**Recom. <br>Torque<br>Inch<br>Pounds</th><th>Max<br>Static<br>Capacity<br>Pounds</th><th>Basic<br>Dynamic<br>Rating<br>Pounds</th></tr><tr><td>CNB-22</td><td>0. 688</td><td>0. 438</td><td>0. 250</td><td>0. 750</td><td>0. 312</td><td>1/4-28</td><td></td><td></td><td>1/ 8</td><td>23/64</td><td>0. 250</td><td>35</td><td>1, 215</td><td>955</td></tr></table>"
"2489866","<h5>Specifications</h5><table class=""description-table""><tr><th>Part Number</th><th>Roller</th><th colspan=""4"">Stud</th><th colspan=""3"">Lubrication</th><th colspan=""5"">Other Specs</th></tr><tr><th></th><th>A</th><th>B</th><th>C</th><th>D</th><th>E</th><th>F</th><th>G</th><th>H</th><th>J</th><th colspan=""5""></th></tr><tr><th>ID</th><th>Roller<br>O. D. <br>+. 000<br>-. 001</th><th>Roller<br>Width<br>+. 000<br>-. 005<br></th><th>Stud<br>Dia. <br>+. 001<br>-. 000</th><th>Stud<br>Length<br>+/-. 010</th><th>Min. <br>Eff. <br>Thread<br>Length<br>+/-. 030</th><th>Thread<br>Class<br>2A</th><th>Oil<br>Hole<br>Center</th><th>Oil<br>Hole<br>Dia. </th><th>Lube<br>Fitting<br>Size</th><th>Min. <br>Boss<br>Dia. </th><th>Recom. <br>Bore<br>+. 0005<br>-. 0000</th><th>**Recom. <br>Torque<br>Inch<br>Pounds</th><th>Max<br>Static<br>Capacity<br>Pounds</th><th>Basic<br>Dynamic<br>Rating<br>Pounds</th></tr><tr><td>CNB-24</td><td>0. 750</td><td>0. 500</td><td>0. 375</td><td>0. 875</td><td>0. 375</td><td>3/8-24</td><td>1/ 4</td><td>3/32</td><td>3/16</td><td>1/ 2</td><td>0. 375</td><td>95</td><td>2, 065</td><td>1, 660</td></tr></table>"
"2489871","<h5>Specifications</h5><table class=""description-table""><tr><th>Part Number</th><th>Roller</th><th colspan=""4"">Stud</th><th colspan=""3"">Lubrication</th><th colspan=""5"">Other Specs</th></tr><tr><th></th><th>A</th><th>B</th><th>C</th><th>D</th><th>E</th><th>F</th><th>G</th><th>H</th><th>J</th><th colspan=""5""></th></tr><tr><th>ID</th><th>Roller<br>O. D. <br>+. 000<br>-. 001</th><th>Roller<br>Width<br>+. 000<br>-. 005<br></th><th>Stud<br>Dia. <br>+. 001<br>-. 000</th><th>Stud<br>Length<br>+/-. 010</th><th>Min. <br>Eff. <br>Thread<br>Length<br>+/-. 030</th><th>Thread<br>Class<br>2A</th><th>Oil<br>Hole<br>Center</th><th>Oil<br>Hole<br>Dia. </th><th>Lube<br>Fitting<br>Size</th><th>Min. <br>Boss<br>Dia. </th><th>Recom. <br>Bore<br>+. 0005<br>-. 0000</th><th>**Recom. <br>Torque<br>Inch<br>Pounds</th><th>Max<br>Static<br>Capacity<br>Pounds</th><th>Basic<br>Dynamic<br>Rating<br>Pounds</th></tr><tr><td>CNB-28</td><td>0. 875</td><td>0. 500</td><td>0. 375</td><td>0. 875</td><td>0. 375</td><td>3/8-24</td><td>1/ 4</td><td>3/32</td><td>3/16</td><td>1/ 2</td><td>0. 375</td><td>95</td><td>2, 065</td><td>1, 660</td></tr></table>"
"2489875","<h5>Specifications</h5><table class=""description-table""><tr><th>Part Number</th><th>Roller</th><th colspan=""4"">Stud</th><th colspan=""3"">Lubrication</th><th colspan=""5"">Other Specs</th></tr><tr><th></th><th>A</th><th>B</th><th>C</th><th>D</th><th>E</th><th>F</th><th>G</th><th>H</th><th>J</th><th colspan=""5""></th></tr><tr><th>ID</th><th>Roller<br>O. D. <br>+. 000<br>-. 001</th><th>Roller<br>Width<br>+. 000<br>-. 005<br></th><th>Stud<br>Dia. <br>+. 001<br>-. 000</th><th>Stud<br>Length<br>+/-. 010</th><th>Min. <br>Eff. <br>Thread<br>Length<br>+/-. 030</th><th>Thread<br>Class<br>2A</th><th>Oil<br>Hole<br>Center</th><th>Oil<br>Hole<br>Dia. </th><th>Lube<br>Fitting<br>Size</th><th>Min. <br>Boss<br>Dia. </th><th>Recom. <br>Bore<br>+. 0005<br>-. 0000</th><th>**Recom. <br>Torque<br>Inch<br>Pounds</th><th>Max<br>Static<br>Capacity<br>Pounds</th><th>Basic<br>Dynamic<br>Rating<br>Pounds</th></tr><tr><td>CNB-32</td><td>1. 000</td><td>0. 625</td><td>0. 438</td><td>1. 000</td><td>0. 500</td><td>7/16-20</td><td>1/ 4</td><td>3/32</td><td>3/16</td><td>41/64</td><td>0. 438</td><td>250</td><td>3, 060</td><td>2, 225</td></tr></table>"
"2489880","<h5>Specifications</h5><table class=""description-table""><tr><th>Part Number</th><th>Roller</th><th colspan=""4"">Stud</th><th colspan=""3"">Lubrication</th><th colspan=""5"">Other Specs</th></tr><tr><th></th><th>A</th><th>B</th><th>C</th><th>D</th><th>E</th><th>F</th><th>G</th><th>H</th><th>J</th><th colspan=""5""></th></tr><tr><th>ID</th><th>Roller<br>O. D. <br>+. 000<br>-. 001</th><th>Roller<br>Width<br>+. 000<br>-. 005<br></th><th>Stud<br>Dia. <br>+. 001<br>-. 000</th><th>Stud<br>Length<br>+/-. 010</th><th>Min. <br>Eff. <br>Thread<br>Length<br>+/-. 030</th><th>Thread<br>Class<br>2A</th><th>Oil<br>Hole<br>Center</th><th>Oil<br>Hole<br>Dia. </th><th>Lube<br>Fitting<br>Size</th><th>Min. <br>Boss<br>Dia. </th><th>Recom. <br>Bore<br>+. 0005<br>-. 0000</th><th>**Recom. <br>Torque<br>Inch<br>Pounds</th><th>Max<br>Static<br>Capacity<br>Pounds</th><th>Basic<br>Dynamic<br>Rating<br>Pounds</th></tr><tr><td>CNB-36</td><td>1. 125</td><td>0. 625</td><td>0. 438</td><td>1. 000</td><td>0. 500</td><td>7/16-20</td><td>1/ 4</td><td>3/32</td><td>3/16</td><td>41/64</td><td>0. 438</td><td>250</td><td>3, 060</td><td>2, 225</td></tr></table>"
"2489884","<h5>Specifications</h5><table class=""description-table""><tr><th>Part Number</th><th>Roller</th><th colspan=""4"">Stud</th><th colspan=""3"">Lubrication</th><th colspan=""5"">Other Specs</th></tr><tr><th></th><th>A</th><th>B</th><th>C</th><th>D</th><th>E</th><th>F</th><th>G</th><th>H</th><th>J</th><th colspan=""5""></th></tr><tr><th>ID</th><th>Roller<br>O. D. <br>+. 000<br>-. 001</th><th>Roller<br>Width<br>+. 000<br>-. 005<br></th><th>Stud<br>Dia. <br>+. 001<br>-. 000</th><th>Stud<br>Length<br>+/-. 010</th><th>Min. <br>Eff. <br>Thread<br>Length<br>+/-. 030</th><th>Thread<br>Class<br>2A</th><th>Oil<br>Hole<br>Center</th><th>Oil<br>Hole<br>Dia. </th><th>Lube<br>Fitting<br>Size</th><th>Min. <br>Boss<br>Dia. </th><th>Recom. <br>Bore<br>+. 0005<br>-. 0000</th><th>**Recom. <br>Torque<br>Inch<br>Pounds</th><th>Max<br>Static<br>Capacity<br>Pounds</th><th>Basic<br>Dynamic<br>Rating<br>Pounds</th></tr><tr><td>CNB-40</td><td>1. 250</td><td>0. 750</td><td>0. 500</td><td>1. 250</td><td>0. 625</td><td>1/2-20</td><td>5/16</td><td>3/32</td><td>3/16</td><td>49/64</td><td>0. 500</td><td>350</td><td>4, 250</td><td>3, 930</td></tr></table>"
"2489889","<h5>Specifications</h5><table class=""description-table""><tr><th>Part Number</th><th>Roller</th><th colspan=""4"">Stud</th><th colspan=""3"">Lubrication</th><th colspan=""5"">Other Specs</th></tr><tr><th></th><th>A</th><th>B</th><th>C</th><th>D</th><th>E</th><th>F</th><th>G</th><th>H</th><th>J</th><th colspan=""5""></th></tr><tr><th>ID</th><th>Roller<br>O. D. <br>+. 000<br>-. 001</th><th>Roller<br>Width<br>+. 000<br>-. 005<br></th><th>Stud<br>Dia. <br>+. 001<br>-. 000</th><th>Stud<br>Length<br>+/-. 010</th><th>Min. <br>Eff. <br>Thread<br>Length<br>+/-. 030</th><th>Thread<br>Class<br>2A</th><th>Oil<br>Hole<br>Center</th><th>Oil<br>Hole<br>Dia. </th><th>Lube<br>Fitting<br>Size</th><th>Min. <br>Boss<br>Dia. </th><th>Recom. <br>Bore<br>+. 0005<br>-. 0000</th><th>**Recom. <br>Torque<br>Inch<br>Pounds</th><th>Max<br>Static<br>Capacity<br>Pounds</th><th>Basic<br>Dynamic<br>Rating<br>Pounds</th></tr><tr><td>CNB-44</td><td>1. 375</td><td>0. 750</td><td>0. 500</td><td>1. 250</td><td>0. 625</td><td>1/2-20</td><td>5/16</td><td>3/32</td><td>3/16</td><td>49/64</td><td>0. 500</td><td>350</td><td>4, 250</td><td>3, 930</td></tr></table>"
"2489893","<h5>Specifications</h5><table class=""description-table""><tr><th>Part Number</th><th>Roller</th><th colspan=""4"">Stud</th><th colspan=""3"">Lubrication</th><th colspan=""5"">Other Specs</th></tr><tr><th></th><th>A</th><th>B</th><th>C</th><th>D</th><th>E</th><th>F</th><th>G</th><th>H</th><th>J</th><th colspan=""5""></th></tr><tr><th>ID</th><th>Roller<br>O. D. <br>+. 000<br>-. 001</th><th>Roller<br>Width<br>+. 000<br>-. 005<br></th><th>Stud<br>Dia. <br>+. 001<br>-. 000</th><th>Stud<br>Length<br>+/-. 010</th><th>Min. <br>Eff. <br>Thread<br>Length<br>+/-. 030</th><th>Thread<br>Class<br>2A</th><th>Oil<br>Hole<br>Center</th><th>Oil<br>Hole<br>Dia. </th><th>Lube<br>Fitting<br>Size</th><th>Min. <br>Boss<br>Dia. </th><th>Recom. <br>Bore<br>+. 0005<br>-. 0000</th><th>**Recom. <br>Torque<br>Inch<br>Pounds</th><th>Max<br>Static<br>Capacity<br>Pounds</th><th>Basic<br>Dynamic<br>Rating<br>Pounds</th></tr><tr><td>CNB-48</td><td>1. 500</td><td>0. 875</td><td>0. 625</td><td>1. 500</td><td>0. 750</td><td>5/8-18</td><td>3/ 8</td><td>3/32</td><td>3/16</td><td>57/64</td><td>0. 625</td><td>650</td><td>5, 640</td><td>4, 840</td></tr></table>"
"2489898","<h5>Specifications</h5><table class=""description-table""><tr><th>Part Number</th><th>Roller</th><th colspan=""4"">Stud</th><th colspan=""3"">Lubrication</th><th colspan=""5"">Other Specs</th></tr><tr><th></th><th>A</th><th>B</th><th>C</th><th>D</th><th>E</th><th>F</th><th>G</th><th>H</th><th>J</th><th colspan=""5""></th></tr><tr><th>ID</th><th>Roller<br>O. D. <br>+. 000<br>-. 001</th><th>Roller<br>Width<br>+. 000<br>-. 005<br></th><th>Stud<br>Dia. <br>+. 001<br>-. 000</th><th>Stud<br>Length<br>+/-. 010</th><th>Min. <br>Eff. <br>Thread<br>Length<br>+/-. 030</th><th>Thread<br>Class<br>2A</th><th>Oil<br>Hole<br>Center</th><th>Oil<br>Hole<br>Dia. </th><th>Lube<br>Fitting<br>Size</th><th>Min. <br>Boss<br>Dia. </th><th>Recom. <br>Bore<br>+. 0005<br>-. 0000</th><th>**Recom. <br>Torque<br>Inch<br>Pounds</th><th>Max<br>Static<br>Capacity<br>Pounds</th><th>Basic<br>Dynamic<br>Rating<br>Pounds</th></tr><tr><td>CNB-52</td><td>1. 625</td><td>0. 875</td><td>0. 625</td><td>1. 500</td><td>0. 750</td><td>5/8-18</td><td>3/ 8</td><td>3/32</td><td>3/16</td><td>57/64</td><td>0. 625</td><td>650</td><td>5, 640</td><td>4, 840</td></tr></table>"
"2489837","<h5>Specifications</h5><table class=""description-table""><tr><th>Part Number</th><th>Roller</th><th colspan=""4"">Stud</th><th colspan=""3"">Lubrication</th><th colspan=""5"">Other Specs</th></tr><tr><th></th><th>A</th><th>B</th><th>C</th><th>D</th><th>E</th><th>F</th><th>G</th><th>H</th><th>J</th><th colspan=""5""></th></tr><tr><th>ID</th><th>Roller<br>O. D. <br>+. 000<br>-. 001</th><th>Roller<br>Width<br>+. 000<br>-. 005<br></th><th>Stud<br>Dia. <br>+. 001<br>-. 000</th><th>Stud<br>Length<br>+/-. 010</th><th>Min. <br>Eff. <br>Thread<br>Length<br>+/-. 030</th><th>Thread<br>Class<br>2A</th><th>Oil<br>Hole<br>Center</th><th>Oil<br>Hole<br>Dia. </th><th>Lube<br>Fitting<br>Size</th><th>Min. <br>Boss<br>Dia. </th><th>Recom. <br>Bore<br>+. 0005<br>-. 0000</th><th>**Recom. <br>Torque<br>Inch<br>Pounds</th><th>Max<br>Static<br>Capacity<br>Pounds</th><th>Basic<br>Dynamic<br>Rating<br>Pounds</th></tr><tr><td>CNB-128</td><td>4. 000</td><td>2. 250</td><td>1. 500</td><td>3. 500</td><td>1. 500</td><td>1 1/2-12</td><td>3/ 4</td><td>1/ 8</td><td>1/ 4</td><td>2 9/32</td><td>1. 500</td><td>5, 000</td><td>44, 770</td><td>29, 985</td></tr></table>"
"2489845","<h5>Specifications</h5><table class=""description-table""><tr><th>Part Number</th><th>Roller</th><th colspan=""4"">Stud</th><th colspan=""3"">Lubrication</th><th colspan=""5"">Other Specs</th></tr><tr><th></th><th>A</th><th>B</th><th>C</th><th>D</th><th>E</th><th>F</th><th>G</th><th>H</th><th>J</th><th colspan=""5""></th></tr><tr><th>ID</th><th>Roller<br>O. D. <br>+. 000<br>-. 001</th><th>Roller<br>Width<br>+. 000<br>-. 005<br></th><th>Stud<br>Dia. <br>+. 001<br>-. 000</th><th>Stud<br>Length<br>+/-. 010</th><th>Min. <br>Eff. <br>Thread<br>Length<br>+/-. 030</th><th>Thread<br>Class<br>2A</th><th>Oil<br>Hole<br>Center</th><th>Oil<br>Hole<br>Dia. </th><th>Lube<br>Fitting<br>Size</th><th>Min. <br>Boss<br>Dia. </th><th>Recom. <br>Bore<br>+. 0005<br>-. 0000</th><th>**Recom. <br>Torque<br>Inch<br>Pounds</th><th>Max<br>Static<br>Capacity<br>Pounds</th><th>Basic<br>Dynamic<br>Rating<br>Pounds</th></tr><tr><td>CNB-16-NB</td><td>0. 500</td><td>0. 344</td><td>0. 190</td><td>0. 500</td><td>0. 250</td><td>10-32</td><td></td><td></td><td>1/ 8</td><td>19/64</td><td>0. 190</td><td>15</td><td>720</td><td>620</td></tr></table>"
"2489843","<h5>Specifications</h5><table class=""description-table""><tr><th>Part Number</th><th>Roller</th><th colspan=""4"">Stud</th><th colspan=""3"">Lubrication</th><th colspan=""5"">Other Specs</th></tr><tr><th></th><th>A</th><th>B</th><th>C</th><th>D</th><th>E</th><th>F</th><th>G</th><th>H</th><th>J</th><th colspan=""5""></th></tr><tr><th>ID</th><th>Roller<br>O. D. <br>+. 000<br>-. 001</th><th>Roller<br>Width<br>+. 000<br>-. 005<br></th><th>Stud<br>Dia. <br>+. 001<br>-. 000</th><th>Stud<br>Length<br>+/-. 010</th><th>Min. <br>Eff. <br>Thread<br>Length<br>+/-. 030</th><th>Thread<br>Class<br>2A</th><th>Oil<br>Hole<br>Center</th><th>Oil<br>Hole<br>Dia. </th><th>Lube<br>Fitting<br>Size</th><th>Min. <br>Boss<br>Dia. </th><th>Recom. <br>Bore<br>+. 0005<br>-. 0000</th><th>**Recom. <br>Torque<br>Inch<br>Pounds</th><th>Max<br>Static<br>Capacity<br>Pounds</th><th>Basic<br>Dynamic<br>Rating<br>Pounds</th></tr><tr><td>CNB-16-B</td><td>0. 500</td><td>0. 375</td><td>0. 190</td><td>0. 625</td><td>0. 250</td><td>10-32</td><td></td><td></td><td>1/ 8</td><td>19/64</td><td>0. 190</td><td>15</td><td>1, 085</td><td>930</td></tr></table>"
