"ID","ADDITIONAL_DESCRIPTION"
"966049","<table class=""description-table"">Product Information<tr><th>UPC Number: </th><td>781747023261</td></tr><tr><th>Primary Materials: </th><td>Brass</td></tr><tr><th>Finish: </th><td>Plain</td></tr><tr><th>Description: </th><td>Clamp, Ground, Threaded Hub, Brass, Rigid Conduit Size 1/2 Inch 1-1/4"" - 2""</td></tr><tr><th>Application: </th><td>For making connection with No. 4, 6, or 8 AWG copper ground wire through threaded rigid conduit. </td></tr></table><table class=""description-table"">Dimensional Data<tr><td>Threaded Hub Type - Brass</td></tr><tr><th>Trade Size: </th><td>1/2""</td></tr><tr><td colspan=""2"">Dimensions (inches)</td></tr><tr><th>Dimension A in Inches: </th><td>3-5/8</td></tr><tr><th>Dimension B in Inches: </th><td>1-7/8</td></tr><tr><th>Dimension C in Inches: </th><td>2-3/4</td></tr></table><table class=""description-table"">Available Documents<tr><td colspan=""2"">Grounding Products Brochure</td></tr></table><table class=""description-table""><tr><th>Federal Specification Number: </th><td>A-A-50552</td></tr><tr><th>NEMA Standard: </th><td>FB-1</td></tr></table><table class=""description-table""><tr><th>UL File Number: </th><td>E20412</td></tr><tr><th>UL Standard: </th><td>UL-467</td></tr><tr><th>UNSPSC: </th><td>39121613</td></tr></table><table class=""description-table""><tr><th>Additional Sizes: </th><td>1326-B</td></tr><tr><th>Std Pkg Qty: </th><td>20</td></tr></table><table class=""description-table""><tr><th>Unit Qty: </th><td>Bulk</td></tr></table>"
"968484","<table class=""description-table"">Product Information<tr><th>UPC Number: </th><td>781747009647</td></tr><tr><th>Primary Materials: </th><td>Malleable Iron</td></tr><tr><th>Finish: </th><td>Zinc electro-plate</td></tr><tr><th>Description: </th><td>Clamp, Conduit, Right Angle, Malleable Iron, Size 1 1/4 Inch</td></tr><tr><th>Application: </th><td>Used to secure conduit perpendicular to beam or channel. </td></tr></table><table class=""description-table"">Dimensional Data<tr><td>Right Angle Type</td></tr><tr><th>Trade Size: </th><td>1-1/4""</td></tr><tr><td colspan=""2"">Dimensions (inches)</td></tr><tr><th>Dimension A in Inches: </th><td>3-1/8</td></tr><tr><th>Dimension B in Inches: </th><td>2-15/16</td></tr><tr><th>Dimension C in Inches: </th><td>1-11/16</td></tr></table><table class=""description-table"">Available Documents<tr><td colspan=""2"">2014 Bridgeport Contractor Catalog</td></tr></table><table class=""description-table""><tr><th>UL File Number: </th><td>E161206</td></tr></table><table class=""description-table""><tr><th>UL Standard: </th><td>C(UL)US</td></tr><tr><th>UNSPSC: </th><td>31162906</td></tr></table><table class=""description-table""><tr><th>Additional Sizes: </th><td>964</td></tr><tr><th>Std Pkg Qty: </th><td>50</td></tr></table><table class=""description-table""><tr><th>Unit Qty: </th><td>10</td></tr></table>"
"967740","<table class=""description-table"">Product Information<tr><th>UPC Number: </th><td>781747165244</td></tr><tr><th>Primary Materials: </th><td>Zinc Die Cast</td></tr><tr><th>Finish: </th><td>Ball burnished, mirror smooth</td></tr><tr><th>Description: </th><td>Connector, Screw-In, Zinc Die Cast, 105°C Insulated Throat, Flex Size 1 1/2 Inch</td></tr><tr><th>Application: </th><td>Used to connect flexible metal conduit to box or enclosure. </td></tr></table><table class=""description-table"">Dimensional Data<tr><td>Screw-In - Zinc</td></tr><tr><th>Country of Manufacture: </th><td>USA</td></tr><tr><th>Trade Size: </th><td>1-1/2""</td></tr><tr><td colspan=""2"">Dimensions (inches)</td></tr><tr><th>Dimension A in Inches: </th><td>1-13/16</td></tr><tr><th>Dimension B in Inches: </th><td>11/16</td></tr><tr><th>Dimension C in Inches: </th><td>2-1/8</td></tr><tr><th>Dimension D in Inches: </th><td>1. 446</td></tr></table><table class=""description-table"">Available Documents<tr><td colspan=""2"">AC/MC Cable Fittings Brochure</td></tr></table><table class=""description-table""><tr><th>Federal Specification Number: </th><td>A-A-50552</td></tr><tr><th>NEMA Standard: </th><td>FB-1</td></tr></table><table class=""description-table""><tr><th>UL File Number: </th><td>E9391</td></tr><tr><th>UL Standard: </th><td>UL-514B</td></tr><tr><th>UNSPSC: </th><td>39121419</td></tr></table><table class=""description-table""><tr><th>Additional Sizes: </th><td>524-DCI2</td></tr><tr><th>Std Pkg Qty: </th><td>50</td></tr></table><table class=""description-table""><tr><th>Unit Qty: </th><td>5</td></tr></table>"
"968485","<table class=""description-table"">Product Information<tr><th>UPC Number: </th><td>781747009654</td></tr><tr><th>Primary Materials: </th><td>Malleable Iron</td></tr><tr><th>Finish: </th><td>Zinc electro-plate</td></tr><tr><th>Description: </th><td>Clamp, Conduit, Right Angle, Malleable Iron, Size 1 1/2 Inch. </td></tr><tr><th>Application: </th><td>Used to secure conduit perpendicular to beam or channel. </td></tr></table><table class=""description-table"">Dimensional Data<tr><td>Right Angle Type</td></tr><tr><th>Trade Size: </th><td>1-1/2""</td></tr><tr><td colspan=""2"">Dimensions (inches)</td></tr><tr><th>Dimension A in Inches: </th><td>3-11/16</td></tr><tr><th>Dimension B in Inches: </th><td>3-3/16</td></tr><tr><th>Dimension C in Inches: </th><td>1-11/16</td></tr></table><table class=""description-table"">Available Documents<tr><td colspan=""2"">2014 Bridgeport Contractor Catalog</td></tr></table><table class=""description-table""><tr><th>UL File Number: </th><td>E161206</td></tr></table><table class=""description-table""><tr><th>UL Standard: </th><td>C(UL)US</td></tr><tr><th>UNSPSC: </th><td>31162906</td></tr></table><table class=""description-table""><tr><th>Additional Sizes: </th><td>965</td></tr><tr><th>Std Pkg Qty: </th><td>25</td></tr></table><table class=""description-table""><tr><th>Unit Qty: </th><td>5</td></tr></table>"
"969519","<table class=""description-table"">Product Information<tr><th>UPC Number: </th><td>78174700753</td></tr><tr><th>Primary Materials: </th><td>Malleable Iron</td></tr><tr><th>Finish: </th><td>Zinc Plated</td></tr><tr><th>Description: </th><td>1-1/4"" Split Threaded Rigid Conduit Coupling</td></tr><tr><th>Application: </th><td>Split couplings used to join two lengths of threaded rigid and IMC conduit. </td></tr></table><table class=""description-table"">Dimensional Data<tr><td>Threaded - Malleable</td></tr><tr><th>Trade Size: </th><td>1-1/4""</td></tr><tr><td colspan=""2"">Dimensions (inches)</td></tr><tr><th>Dimension A in Inches: </th><td>3-1/8</td></tr><tr><th>Dimension B in Inches: </th><td>2-3/16</td></tr><tr><th>Dimension C in Inches: </th><td>1-11/16</td></tr></table><table class=""description-table"">Available Documents<tr><td colspan=""2"">Conduit Bodies and Rigid Conduit Fittings Brochure</td></tr></table><table class=""description-table""><tr><th>UL File Number: </th><td>E9391</td></tr></table><table class=""description-table""><tr><th>UL Standard: </th><td>UL514B</td></tr><tr><th>UNSPSC: </th><td>39131707</td></tr></table><table class=""description-table""><tr><th>Additional Sizes: </th><td>SRC-125</td></tr><tr><th>Std Pkg Qty: </th><td>25</td></tr></table><table class=""description-table""><tr><th>Unit Qty: </th><td>Bulk</td></tr></table>"
"968859","<table class=""description-table"">Product Information<tr><th>UPC Number: </th><td>78174787715</td></tr><tr><th>Primary Materials: </th><td>Aluminum</td></tr><tr><th>Description: </th><td>Connector, cord grip, straight, aluminum, k. o. size 3/4"", cord range. 550-. 650</td></tr><tr><th>Application: </th><td>These watertight fittings are designed for both indoor and outdoor applications. All fittings can be used in chemical and treatment plants as well as for offshore applications. Straight connector for use with portable cord provides liquid tight and water tight protection. Typical applications include wiring of motors, transformers, advanced machinery, refrigeration, and tools. </td></tr></table><table class=""description-table"">Dimensional Data<tr><td>Aluminum</td></tr><tr><th>Country of Manufacture: </th><td>USA</td></tr><tr><th>Trade Size: </th><td>3/4""</td></tr><tr><td colspan=""2"">Dimensions (inches)</td></tr><tr><th>Dimension A in Inches: </th><td>. 550-. 650</td></tr><tr><th>Dimension B in Inches: </th><td>. 687</td></tr><tr><th>Dimension C in Inches: </th><td>1. 210</td></tr><tr><th>Dimension D in Inches: </th><td>1. 220</td></tr><tr><th>Dimension E in Inches: </th><td>1-5/16</td></tr><tr><th>Dimension F in Inches: </th><td>13/16</td></tr></table><table class=""description-table"">Available Documents<tr><td colspan=""2"">2014 Bridgeport Contractor Catalog</td></tr></table><table class=""description-table""><tr><th>NEMA Standard: </th><td>FB-1</td></tr><tr><th>UL File Number: </th><td>E11259</td></tr></table><table class=""description-table""><tr><th>UL Standard: </th><td>UL514B</td></tr><tr><th>UNSPSC: </th><td>39121431</td></tr></table><table class=""description-table""><tr><th>Additional Sizes: </th><td>CGA771650</td></tr><tr><th>Std Pkg Qty: </th><td>100</td></tr></table><table class=""description-table""><tr><th>Unit Qty: </th><td>10</td></tr></table>"
"967933","<table class=""description-table"">Product Information<tr><th>UPC Number: </th><td>78174725688</td></tr><tr><th>Primary Materials: </th><td>Zinc Die Cast</td></tr><tr><th>Finish: </th><td>Ball burnished, mirror smooth</td></tr><tr><th>Description: </th><td>Connector, Strap, Two Screw, Zinc Die Cast, Size K. O. 3 Inch, Rectangular throat</td></tr><tr><th>Application: </th><td>Recomended cable types for use with steel or aluminum interlocked Metal Clad cable 2. 375"" to 3"" (4-500 MCM to 4-750 MCM)</td></tr></table><table class=""description-table"">Dimensional Data<tr><td>Large Size Feeder Cable - Two Screw Rectangle Opening - Zinc</td></tr><tr><th>Trade Size: </th><td>3""</td></tr><tr><td colspan=""2"">Dimensions (inches)</td></tr><tr><th>Dimension A in Inches: </th><td>4-1/4</td></tr><tr><th>Dimension B in Inches: </th><td>3-3/4</td></tr><tr><th>Dimension C in Inches: </th><td>1-1/4</td></tr><tr><th>Dimension D in Inches: </th><td>1-1/8</td></tr><tr><th>Dimension E in Inches: </th><td>2-3/8</td></tr></table><table class=""description-table"">Available Documents<tr><td colspan=""2"">AC/MC Cable Fittings Brochure</td></tr></table><table class=""description-table""><tr><th>Federal Specification Number: </th><td>A-A-50552</td></tr><tr><th>UL File Number: </th><td>E191676</td></tr></table><table class=""description-table""><tr><th>UL Standard: </th><td>UL514B</td></tr><tr><th>UNSPSC: </th><td>39121419</td></tr></table><table class=""description-table""><tr><th>Additional Sizes: </th><td>688-DCX2</td></tr><tr><th>Std Pkg Qty: </th><td>5</td></tr></table><table class=""description-table""><tr><th>Unit Qty: </th><td>1</td></tr></table>"
"966044","<table class=""description-table"">Product Information<tr><th>UPC Number: </th><td>781747023254</td></tr><tr><th>Primary Materials: </th><td>Brass</td></tr><tr><th>Finish: </th><td>Plain</td></tr><tr><th>Description: </th><td>Clamp, Ground, Threaded Hub, Brass, Rigid Conduit Size 1/2 Inch 1/2"" - 1""</td></tr><tr><th>Application: </th><td>For making connection with No. 4, 6, or 8 AWG copper ground wire through threaded rigid conduit. </td></tr></table><table class=""description-table"">Dimensional Data<tr><td>Threaded Hub Type - Brass</td></tr><tr><th>Trade Size: </th><td>1/2""</td></tr><tr><td colspan=""2"">Dimensions (inches)</td></tr><tr><th>Dimension A in Inches: </th><td>2-1/16</td></tr><tr><th>Dimension B in Inches: </th><td>1-1/16</td></tr><tr><th>Dimension C in Inches: </th><td>1-1/2</td></tr></table><table class=""description-table"">Available Documents<tr><td colspan=""2"">Grounding Products Brochure</td></tr></table><table class=""description-table""><tr><th>Federal Specification Number: </th><td>A-A-50552</td></tr><tr><th>NEMA Standard: </th><td>FB-1</td></tr></table><table class=""description-table""><tr><th>UL File Number: </th><td>E20412</td></tr><tr><th>UL Standard: </th><td>UL-467</td></tr><tr><th>UNSPSC: </th><td>39121613</td></tr></table><table class=""description-table""><tr><th>Additional Sizes: </th><td>1325-B</td></tr><tr><th>Std Pkg Qty: </th><td>50</td></tr></table><table class=""description-table""><tr><th>Unit Qty: </th><td>Bulk</td></tr></table>"
"966097","<table class=""description-table"">Product Information<tr><th>UPC Number: </th><td>781747915252</td></tr><tr><th>Primary Materials: </th><td>Zinc Die Cast</td></tr><tr><th>Finish: </th><td>Ball burnished, mirror smooth</td></tr><tr><th>Description: </th><td>Nipple, Offset, Zinc Die Cast, Size 2 Inch</td></tr><tr><th>Application: </th><td>Used to offset the axis of raceway 3/4 "". Dry Location Only. </td></tr></table><table class=""description-table"">Dimensional Data<tr><td>Zinc</td></tr><tr><th>Country of Manufacture: </th><td>USA</td></tr><tr><th>Trade Size: </th><td>2""</td></tr><tr><td colspan=""2"">Dimensions (inches)</td></tr><tr><th>Dimension A in Inches: </th><td>3. 250</td></tr><tr><th>Dimension B in Inches: </th><td>2. 750</td></tr><tr><th>Dimension C in Inches: </th><td>1. 625</td></tr><tr><th>Dimension D in Inches: </th><td>0. 760</td></tr></table><table class=""description-table"">Available Documents<tr><td colspan=""2"">Conduit Bodies and Rigid Conduit Fittings Brochure</td></tr></table><table class=""description-table""><tr><th>CSA File Number: </th><td>LR39354</td></tr><tr><th>Federal Specification Number: </th><td>A-A-50553</td></tr><tr><th>NEMA Standard: </th><td>FB-1</td></tr></table><table class=""description-table""><tr><th>UL File Number: </th><td>E9391</td></tr><tr><th>UL Standard: </th><td>UL-514B</td></tr><tr><th>UNSPSC: </th><td>39131718</td></tr></table><table class=""description-table""><tr><th>Additional Sizes: </th><td>1525-DC</td></tr><tr><th>Std Pkg Qty: </th><td>30</td></tr></table><table class=""description-table""><tr><th>Unit Qty: </th><td>5</td></tr></table>"
"968873","<table class=""description-table"">Product Information<tr><th>UPC Number: </th><td>78174787724</td></tr><tr><th>Primary Materials: </th><td>Aluminum</td></tr><tr><th>Description: </th><td>Connector, cord grip, straight, aluminum, k. o. size 1"", cord range. 750-. 850</td></tr><tr><th>Application: </th><td>These watertight fittings are designed for both indoor and outdoor applications. All fittings can be used in chemical and treatment plants as well as for offshore applications. Straight connector for use with portable cord provides liquid tight and water tight protection. Typical applications include wiring of motors, transformers, advanced machinery, refrigeration, and tools. </td></tr></table><table class=""description-table"">Dimensional Data<tr><td>Aluminum</td></tr><tr><th>Country of Manufacture: </th><td>USA</td></tr><tr><th>Trade Size: </th><td>1""</td></tr><tr><td colspan=""2"">Dimensions (inches)</td></tr><tr><th>Dimension A in Inches: </th><td>. 750-. 850</td></tr><tr><th>Dimension B in Inches: </th><td>. 937</td></tr><tr><th>Dimension C in Inches: </th><td>1. 440</td></tr><tr><th>Dimension D in Inches: </th><td>1. 500</td></tr><tr><th>Dimension E in Inches: </th><td>1-3/4</td></tr><tr><th>Dimension F in Inches: </th><td>1-1/8</td></tr></table><table class=""description-table"">Available Documents<tr><td colspan=""2"">2014 Bridgeport Contractor Catalog</td></tr></table><table class=""description-table""><tr><th>NEMA Standard: </th><td>FB-1</td></tr><tr><th>UL File Number: </th><td>E11259</td></tr></table><table class=""description-table""><tr><th>UL Standard: </th><td>UL514B</td></tr><tr><th>UNSPSC: </th><td>39121431</td></tr></table><table class=""description-table""><tr><th>Additional Sizes: </th><td>CGA772850</td></tr><tr><th>Std Pkg Qty: </th><td>50</td></tr></table><table class=""description-table""><tr><th>Unit Qty: </th><td>5</td></tr></table>"
