"ID","ADDITIONAL_DESCRIPTION"
"1329531","<table class=""description-table""><tr><th>Product Specifications</th></tr><tr><th>Ratio: 1</th><td>900</td></tr><tr><th>Input RPM</th><td>1750</td></tr><tr><th>Output RPM</th><td>1. 94</td></tr><tr><th>Input HP</th><td>0. 068</td></tr><tr><th>Output HP</th><td>0. 027</td></tr><tr><th>Output Torque (lb. -in. )</th><td>888</td></tr><tr><th>Housing Construction</th><td>Cast Iron 800 Worm Gear Reducers</td></tr><tr><th>Overhung Load (lbs. )</th><td>1200</td></tr><tr><th>Reducer Type</th><td>Worm - Right Angle</td></tr><tr><th>Center Distance (in)</th><td>1. 75</td></tr><tr><th>Input Style</th><td>Motorized, Quill Input</td></tr><tr><th>Frame Size</th><td>56</td></tr><tr><th>Output Orientation</th><td>R</td></tr><tr><th>Output Shaft Assembly</th><td>Solid Shaft</td></tr></table>"
"1329521","<table class=""description-table""><tr><th>Product Specifications</th></tr><tr><th>Ratio: 1</th><td>900</td></tr><tr><th>Input RPM</th><td>1750</td></tr><tr><th>Output RPM</th><td>1. 94</td></tr><tr><th>Input HP</th><td>0. 068</td></tr><tr><th>Output HP</th><td>0. 027</td></tr><tr><th>Output Torque (lb. -in. )</th><td>888</td></tr><tr><th>Housing Construction</th><td>Cast Iron 800 Worm Gear Reducers</td></tr><tr><th>Overhung Load (lbs. )</th><td>1200</td></tr><tr><th>Reducer Type</th><td>Worm - Right Angle</td></tr><tr><th>Center Distance (in)</th><td>1. 75</td></tr><tr><th>Input Style</th><td>Motorized, Quill Input</td></tr><tr><th>Frame Size</th><td>56</td></tr><tr><th>Output Orientation</th><td>L</td></tr><tr><th>Output Shaft Assembly</th><td>Solid Shaft</td></tr></table>"
"1328691","<table class=""description-table""><tr><th>Product Specifications</th></tr><tr><th>Ratio: 1</th><td>900</td></tr><tr><th>Input RPM</th><td>1750</td></tr><tr><th>Output RPM</th><td>1. 94</td></tr><tr><th>Input HP</th><td>0. 067</td></tr><tr><th>Output HP</th><td>0. 02</td></tr><tr><th>Output Torque (lb. -in. )</th><td>665</td></tr><tr><th>Housing Construction</th><td>Cast Iron 800 Worm Gear Reducers</td></tr><tr><th>Overhung Load (lbs. )</th><td>860</td></tr><tr><th>Reducer Type</th><td>Worm - Right Angle</td></tr><tr><th>Center Distance (in)</th><td>1. 54</td></tr><tr><th>Input Style</th><td>Motorized, Quill Input</td></tr><tr><th>Frame Size</th><td>56</td></tr><tr><th>Output Orientation</th><td>L</td></tr><tr><th>Output Shaft Assembly</th><td>Solid Shaft</td></tr></table>"
"1338066","<table class=""description-table""><tr><th>Product Specifications</th></tr><tr><th>Ratio: 1</th><td>80</td></tr><tr><th>Input RPM</th><td>1750</td></tr><tr><th>Output RPM</th><td>21. 9</td></tr><tr><th>Input HP</th><td>3. 702</td></tr><tr><th>Output HP</th><td>2. 522</td></tr><tr><th>Output Torque (lb. -in. )</th><td>7264</td></tr><tr><th>Housing Construction</th><td>Cast Iron 800 Worm Gear Reducers</td></tr><tr><th>Overhung Load (lbs. )</th><td>3723</td></tr><tr><th>Reducer Type</th><td>Worm - Right Angle</td></tr><tr><th>Center Distance (in)</th><td>6</td></tr><tr><th>Input Style</th><td>Motorized, Quill Input</td></tr><tr><th>Frame Size</th><td>56</td></tr><tr><th>Output Orientation</th><td>R</td></tr><tr><th>Output Shaft Assembly</th><td>Solid Shaft</td></tr></table>"
"1349364","<table class=""description-table""><tr><td align=""center"">Product Specifications</td></tr><tr><th align=""left"" valign=""top"">Ratio: 1</th><td align=""left"">80</td></tr><tr><th align=""left"" valign=""top"">Input RPM</th><td align=""left"">1750</td></tr><tr><th align=""left"" valign=""top"">Output RPM</th><td align=""left"">21. 9</td></tr><tr><th align=""left"" valign=""top"">Input HP</th><td align=""left"">1. 76</td></tr><tr><th align=""left"" valign=""top"">Output HP</th><td align=""left"">1. 257</td></tr><tr><th align=""left"" valign=""top"">Output Torque (lb. -in. )</th><td align=""left"">3620</td></tr><tr><th align=""left"" valign=""top"">Housing Construction</th><td align=""left"">Cast Iron</td></tr><tr><th align=""left"" valign=""top"">Overhung Load (lbs. )</th><td align=""left"">3740</td></tr><tr><th align=""left"" valign=""top"">Reducer Type</th><td align=""left"">Worm - Right Angle</td></tr><tr><th align=""left"" valign=""top"">Center Distance (in)</th><td align=""left"">4. 25</td></tr><tr><th align=""left"" valign=""top"">Input Style</th><td align=""left"">Motorized, Quill Input</td></tr><tr><th align=""left"" valign=""top"">Frame Size</th><td align=""left"">140</td></tr><tr><th align=""left"" valign=""top"">Output Orientation</th><td align=""left"">BMQ</td></tr><tr><th align=""left"" valign=""top"">Output Shaft Assembly</th><td align=""left"">L</td></tr></table>"
"1334374","<table class=""description-table""><tr><td align=""center"">Product Specifications</td></tr><tr><th align=""left"" valign=""top"">Ratio: 1</th><td align=""left"">80</td></tr><tr><th align=""left"" valign=""top"">Input RPM</th><td align=""left"">1750</td></tr><tr><th align=""left"" valign=""top"">Output RPM</th><td align=""left"">21. 9</td></tr><tr><th align=""left"" valign=""top"">Input HP</th><td align=""left"">1. 76</td></tr><tr><th align=""left"" valign=""top"">Output HP</th><td align=""left"">1. 257</td></tr><tr><th align=""left"" valign=""top"">Output Torque (lb. -in. )</th><td align=""left"">3620</td></tr><tr><th align=""left"" valign=""top"">Housing Construction</th><td align=""left"">Cast Iron 800 Worm Gear Reducers</td></tr><tr><th align=""left"" valign=""top"">Overhung Load (lbs. )</th><td align=""left"">3740</td></tr><tr><th align=""left"" valign=""top"">Reducer Type</th><td align=""left"">Worm - Right Angle</td></tr><tr><th align=""left"" valign=""top"">Center Distance (in)</th><td align=""left"">4. 25</td></tr><tr><th align=""left"" valign=""top"">Input Style</th><td align=""left"">Motorized, Quill Input</td></tr><tr><th align=""left"" valign=""top"">Frame Size</th><td align=""left"">180</td></tr><tr><th align=""left"" valign=""top"">Output Orientation</th><td align=""left"">L</td></tr><tr><th align=""left"" valign=""top"">Output Shaft Assembly</th><td align=""left"">Solid Shaft</td></tr></table>"
"1334350","<table class=""description-table""><tr><td align=""center"">Product Specifications</td></tr><tr><th align=""left"" valign=""top"">Ratio: 1</th><td align=""left"">80</td></tr><tr><th align=""left"" valign=""top"">Input RPM</th><td align=""left"">1750</td></tr><tr><th align=""left"" valign=""top"">Output RPM</th><td align=""left"">21. 9</td></tr><tr><th align=""left"" valign=""top"">Input HP</th><td align=""left"">1. 76</td></tr><tr><th align=""left"" valign=""top"">Output HP</th><td align=""left"">1. 257</td></tr><tr><th align=""left"" valign=""top"">Output Torque (lb. -in. )</th><td align=""left"">3620</td></tr><tr><th align=""left"" valign=""top"">Housing Construction</th><td align=""left"">Cast Iron 800 Worm Gear Reducers</td></tr><tr><th align=""left"" valign=""top"">Overhung Load (lbs. )</th><td align=""left"">3740</td></tr><tr><th align=""left"" valign=""top"">Reducer Type</th><td align=""left"">Worm - Right Angle</td></tr><tr><th align=""left"" valign=""top"">Center Distance (in)</th><td align=""left"">4. 25</td></tr><tr><th align=""left"" valign=""top"">Input Style</th><td align=""left"">Motorized, Quill Input</td></tr><tr><th align=""left"" valign=""top"">Frame Size</th><td align=""left"">140</td></tr><tr><th align=""left"" valign=""top"">Output Orientation</th><td align=""left"">R</td></tr><tr><th align=""left"" valign=""top"">Output Shaft Assembly</th><td align=""left"">Solid Shaft</td></tr></table>"
"1345146","<table class=""description-table""><tr><td align=""center"">Product Specifications</td></tr><tr><th align=""left"" valign=""top"">Ratio: 1</th><td align=""left"">80</td></tr><tr><th align=""left"" valign=""top"">Input RPM</th><td align=""left"">1750</td></tr><tr><th align=""left"" valign=""top"">Output RPM</th><td align=""left"">21. 9</td></tr><tr><th align=""left"" valign=""top"">Input HP</th><td align=""left"">0. 455</td></tr><tr><th align=""left"" valign=""top"">Output HP</th><td align=""left"">0. 288</td></tr><tr><th align=""left"" valign=""top"">Output Torque (lb. -in. )</th><td align=""left"">830</td></tr><tr><th align=""left"" valign=""top"">Housing Construction</th><td align=""left"">Cast Iron</td></tr><tr><th align=""left"" valign=""top"">Overhung Load (lbs. )</th><td align=""left"">1300</td></tr><tr><th align=""left"" valign=""top"">Reducer Type</th><td align=""left"">Worm - Right Angle</td></tr><tr><th align=""left"" valign=""top"">Center Distance (in)</th><td align=""left"">2. 38</td></tr><tr><th align=""left"" valign=""top"">Input Style</th><td align=""left"">Solid Shaft</td></tr><tr><th align=""left"" valign=""top"">Output Orientation</th><td align=""left"">B</td></tr><tr><th align=""left"" valign=""top"">Output Shaft Assembly</th><td align=""left"">D</td></tr></table>"
"1344599","<table class=""description-table""><tr><td align=""center"">Product Specifications</td></tr><tr><th align=""left"" valign=""top"">Ratio: 1</th><td align=""left"">80</td></tr><tr><th align=""left"" valign=""top"">Input RPM</th><td align=""left"">1750</td></tr><tr><th align=""left"" valign=""top"">Output RPM</th><td align=""left"">21. 9</td></tr><tr><th align=""left"" valign=""top"">Input HP</th><td align=""left"">0. 304</td></tr><tr><th align=""left"" valign=""top"">Output HP</th><td align=""left"">0. 19</td></tr><tr><th align=""left"" valign=""top"">Output Torque (lb. -in. )</th><td align=""left"">547</td></tr><tr><th align=""left"" valign=""top"">Housing Construction</th><td align=""left"">Cast Iron</td></tr><tr><th align=""left"" valign=""top"">Overhung Load (lbs. )</th><td align=""left"">775</td></tr><tr><th align=""left"" valign=""top"">Reducer Type</th><td align=""left"">Worm - Right Angle</td></tr><tr><th align=""left"" valign=""top"">Center Distance (in)</th><td align=""left"">2. 06</td></tr><tr><th align=""left"" valign=""top"">Input Style</th><td align=""left"">Motorized, Quill Input</td></tr><tr><th align=""left"" valign=""top"">Frame Size</th><td align=""left"">140</td></tr><tr><th align=""left"" valign=""top"">Output Orientation</th><td align=""left"">BMQ</td></tr><tr><th align=""left"" valign=""top"">Output Shaft Assembly</th><td align=""left"">D</td></tr></table>"
"1339469","<table class=""description-table""><tr><td align=""center"">Product Specifications</td></tr><tr><th align=""left"" valign=""top"">Ratio: 1</th><td align=""left"">80</td></tr><tr><th align=""left"" valign=""top"">Input RPM</th><td align=""left"">1750</td></tr><tr><th align=""left"" valign=""top"">Output RPM</th><td align=""left"">21. 9</td></tr><tr><th align=""left"" valign=""top"">Input HP</th><td align=""left"">0. 304</td></tr><tr><th align=""left"" valign=""top"">Output HP</th><td align=""left"">0. 19</td></tr><tr><th align=""left"" valign=""top"">Output Torque (lb. -in. )</th><td align=""left"">547</td></tr><tr><th align=""left"" valign=""top"">Housing Construction</th><td align=""left"">Cast Iron 800 Worm Gear Reducers</td></tr><tr><th align=""left"" valign=""top"">Overhung Load (lbs. )</th><td align=""left"">1200</td></tr><tr><th align=""left"" valign=""top"">Reducer Type</th><td align=""left"">Worm - Right Angle</td></tr><tr><th align=""left"" valign=""top"">Center Distance (in)</th><td align=""left"">2. 06</td></tr><tr><th align=""left"" valign=""top"">Input Style</th><td align=""left"">Solid Shaft</td></tr><tr><th align=""left"" valign=""top"">Output Orientation</th><td align=""left"">R</td></tr><tr><th align=""left"" valign=""top"">Output Shaft Assembly</th><td align=""left"">Solid Shaft</td></tr></table>"
