"ID","ADDITIONAL_DESCRIPTION"
"2780531","<table class=""description-table""><tbody><tr><td><h5>Magnification strength</h5></td><td><h5>ID number</h5></td></tr><tr><th>+1. 5</th><td>S4110R15</td></tr><tr><th>+2. 0</th><td>S4110R20</td></tr><tr><th>+2. 5</th><td>S4110R25</td></tr></tbody></table><ul><li>Lens insert is out of user's direct line of vision. </li> <li>Lightweight, frameless protection. </li> <li>Superior comfort and fit. </li> <li>Mini Intruder has all the great features of Intruder in a design better suited for smaller facial size. </li> <li>Scratch resistant polycarbonate lens provides 99% UVA/B/C protection. </li></ul><table class=""description-table""><p> Clear Lens: General purposes for indoor applications that require impact protection. </p><tbody><tr><th>Visible Light Transmitted<br> 380-780nm</th><td>96%</td></tr><tr><th>UVA, UVB Blocked<br> 200-380nm</th><td>100%</td></tr><tr><th>Blue Light Blocked<br> 400-700nm</th><td>9%</td></tr><tr><th>IR Blocked<br> 780-2000nm</th><td>18%</td></tr></tbody></table>"
"2780910","<ul><li>Built-in rubber nose piece. </li> <li>Rubber temple tips. </li> <li>Ventilated, straight-back temples. </li> <li>Includes RX insert which accomodates -3. 0 to +3. 0 prescription lenses. </li> <li>Includes black lanyard cord. </li></ul><table class=""description-table""><p> Clear Lens: General purposes for indoor applications that require impact protection. </p><tbody><tr><th>Visible Light Transmitted<br> 380-780nm</th><td>96%</td></tr><tr><th>UVA, UVB Blocked<br> 200-380nm</th><td>100%</td></tr><tr><th>Blue Light Blocked<br> 400-700nm</th><td>9%</td></tr><tr><th>IR Blocked<br> 780-2000nm</th><td>18%</td></tr></tbody></table>"
"2780911","<ul><li>Built-in rubber nose piece. </li> <li>Rubber temple tips. </li> <li>Ventilated, straight-back temples. </li> <li>Includes RX insert which accomodates -3. 0 to +3. 0 prescription lenses. </li> <li>Includes black lanyard cord. </li></ul><table class=""description-table""><p> Gray Lens: Commonly used in outdoor applications. Offers protectionfrom excessive glare. </p><tbody><tr><th>Visible Light Transmitted<br> 380-780nm</th><td>23%</td></tr><tr><th>UVA, UVB Blocked<br> 200-380nm</th><td>100%</td></tr><tr><th>Blue Light Blocked<br> 400-700nm</th><td>74%</td></tr><tr><th>IR Blocked<br> 780-2000nm</th><td>48%</td></tr></tbody></table>"
"2781120","<ul><li>IR5 shield 8"" x 15. 5"" /. 078"" thick</li> <li>Shield with holes</li> <li>Shown with HGBR sold separately. </li></ul>"
"2781121","<ul><li>IR5 shield 8"" x 15. 5"" /. 078"" thick</li> <li>Shown with HGBR sold separately. </li></ul>"
"2780451","<ul><li>NRR 32dB</li> <li>Convenient dispenser holds 500 pair of disposable earplugs. </li> <li>Quick and easy use for workers. </li> <li>Durable plastic design has easy twist knob and catch basin to prevent plugs from falling to the ground. </li> <li>500 pair of disposable earplugs are included. </li> <li>Replacement bag of earplugs is available for easy refill. </li></ul>"
"2780452","<ul><li>NRR 32dB</li> <li>Convenient dispenser holds 500 pair of disposable earplugs. </li> <li>Quick and easy use for workers. </li> <li>Durable plastic design has easy twist knob and catch basin to prevent plugs from falling to the ground. </li> <li>500 pair of disposable earplugs are included. </li> <li>Replacement bag of earplugs is available for easy refill. </li></ul>"
"2780141","<ul><li>Specially designed for Capstone 600 Series goggle to fit a variety of prescription lens options. </li> <li>Insert slides up and down for perfect placement. </li> <li>Rx lens insert easily snaps securely into place above nosepiece. </li> <li>Extremely lightweight for comfort. </li> <li>Includes micro-fiber storage case for protection. </li> <li>Take insert to local optometrist for Rx lens installation. </li></ul>"
"2781066","<ul><li>Specially designed for prescription models of the V3G sealed eyewear to fit a variety of prescription lens options. </li> <li>Rx lens insert easily snaps securely into place above nosepiece. </li> <li>Includes micro-fiber storage case for protection. </li> <li>Take insert to local optometrist for Rx lens installation. </li></ul>"
"2781053","<ul><li>Specially designed for V2G-Plus goggle to fit a variety of prescription lens options. </li> <li>Secures in the inner side of the V2G-Plus frame. </li> <li>Extremely lightweight for comfort. </li> <li>Includes micro-fiber storage case for protection. </li> <li>Take insert to local optometrist for Rx lens installation. </li></ul>"
"2780372",""
"2780438","<p> <h5>HGBR Headgear</h5> </p> <ul><li>Constructed from durable nylon</li> <li>Universal pegs will accommodate a wide variety of face shields</li> <li>Ratchet style adjustment for easy fit</li> <li>Pivoting action allows user to lift face shield while wearing</li> <li>Crown Width 6. 25"" Universal sizing</li></ul> <p> <h5>S1040 Aluminum bound PC face shield</h5> </p> <ul><li>Aluminum bound PC face shield</li> <li>PETG shield 8"" x 15"" /. 040"" thick</li> <li>Shown with HGBR sold separately. </li></ul> <p> <h5>HGBR Headgear General Specifications: </h5> Body Thickness: 2. 05mm<br> Weight: 7. 4oz (210g)<br> Packaging: Polybag: 1pc<br> Inner Box: 12pcs<br> Master box: 48pcs</p> <p> <h5>S1040 Aluminum bound PC face shield General Specifications: </h5> Lens Thickness: 0. 040”<br> Lens Base: 4. 0 curve<br> Overall Width (Hinge - Hinge): 8”</p>"
"2780145","<p> G604T2 </p> <ul><li>Modern co-material goggle provides superior protection against dust entry and chemical splash. </li> <li>Thermoplastic (TPE) body with universal nose bridge is flexible and contours to the user’s face. </li> <li>Indirect ventilation system prevents fogging. </li> <li>Includes interchangeable cloth and neoprene straps. </li> <li>The Capstone 600 Rx Insert can be clipped to this product to help with visual impairment. </li> <li>Passes MIL-PRF 32432 High Velocity Impact Standards. </li></ul> <p> <h5>General Specifications: </h5> Bridge: 45mm<br> Lens Base: 6 curve<br> Lens Size Diagonal: 167mm<br> Lens Size Vertical: 74. 1mm<br> Lens Thickness: 2. 3mm<br> Overall Length (Lens-Tip): 90mm<br> Overall Width (Hinge-Hinge): 160mm<br> PD: 68mm<br> Weight: 84gm<br> Closest point between lens: N/A<br> Closest point between strap holding parts: 150mm<br> Strap Length: 540mm<br> <br> <h5>Packaging: </h5> Hi-Density PE bag: 1pc<br> Display Box: 1 pc<br> Outer Carton: 72 pcs</p><table class=""description-table""><p> Clear Lens: General purposes for indoor applications that require impact protection. </p><tbody><tr><th>Visible Light Transmitted<br> 380-780nm</th><td>96%</td></tr><tr><th>UVA, UVB Blocked<br> 200-380nm</th><td>100%</td></tr><tr><th>Blue Light Blocked<br> 400-700nm</th><td>9%</td></tr><tr><th>IR Blocked<br> 780-2000nm</th><td>18%</td></tr></tbody></table>"
"2780340","<p> Standard options </p> <ul><li>ABS material — Strong, yet ultra-light for seemingly weightless protection</li> <li>Low profile design — Offers a low center of gravity for better balance</li> <li>Rear padded suspension — Provides additional level of comfort on the wearers’ neck</li> <li>4-position harness points — Allows you to move the harness forward, backward, up or down – allowing for the most optimal position for ultimate comfort</li> <li>Replaceable sweat band — Padded fabric and polyurethane foam for all day wear</li> <li>Vented pressure pad — Keeps the straps in place providing an additional level of comfort</li> <li>Easy to grasp triangle knob — Adjusts the suspension from 6 1/2 to 8-inch hat sizes</li> <li>Swinging hinge points — Allows you to find the most comfortable position on the back of your head</li></ul> <p> Vented options </p> <ul><li>Same options as standard Ridgeline with the addition of air vents at top and rear of hardhat, which help to circulate air and keep the head cool and dry</li></ul> <p> <h5>General Specifications: </h5> General Dimensions: 28cm x 21. 5cm x 16cm<br> Shell Thickness: 2-4. 5mm<br> Weight: 347g<br> <br> <h5>Packaging: </h5> Polybag: 1pc<br> Case: 16 pcs</p>"
"2780349","<p> Standard options </p> <ul><li>ABS material — Strong, yet ultra-light for seemingly weightless protection</li> <li>Low profile design — Offers a low center of gravity for better balance</li> <li>Rear padded suspension — Provides additional level of comfort on the wearers’ neck</li> <li>4-position harness points — Allows you to move the harness forward, backward, up or down – allowing for the most optimal position for ultimate comfort</li> <li>Replaceable sweat band — Padded fabric and polyurethane foam for all day wear</li> <li>Vented pressure pad — Keeps the straps in place providing an additional level of comfort</li> <li>Easy to grasp triangle knob — Adjusts the suspension from 6 1/2 to 8-inch hat sizes</li> <li>Swinging hinge points — Allows you to find the most comfortable position on the back of your head</li></ul> <p> Vented options </p> <ul><li>Same options as standard Ridgeline with the addition of air vents at top and rear of hardhat, which help to circulate air and keep the head cool and dry</li></ul> <p> <h5>General Specifications: </h5> General Dimensions: 28cm x 21. 5cm x 16cm<br> Shell Thickness: 2-4. 5mm<br> Weight: 347g<br> <br> <h5>Packaging: </h5> Polybag: 1pc<br> Case: 16 pcs</p>"
"2780333","<p> Standard options </p> <ul><li>ABS material — Strong, yet ultra-light for seemingly weightless protection</li> <li>Low profile design — Offers a low center of gravity for better balance</li> <li>Rear padded suspension — Provides additional level of comfort on the wearers’ neck</li> <li>4-position harness points — Allows you to move the harness forward, backward, up or down – allowing for the most optimal position for ultimate comfort</li> <li>Replaceable sweat band — Padded fabric and polyurethane foam for all day wear</li> <li>Vented pressure pad — Keeps the straps in place providing an additional level of comfort</li> <li>Easy to grasp triangle knob — Adjusts the suspension from 6 1/2 to 8-inch hat sizes</li> <li>Swinging hinge points — Allows you to find the most comfortable position on the back of your head</li></ul> <p> Vented options </p> <ul><li>Same options as standard Ridgeline with the addition of air vents at top and rear of hardhat, which help to circulate air and keep the head cool and dry</li></ul> <p> <h5>General Specifications: </h5> General Dimensions: 28cm x 21. 5cm x 16cm<br> Shell Thickness: 2-4. 5mm<br> Weight: 347g<br> <br> <h5>Packaging: </h5> Polybag: 1pc<br> Case: 16 pcs</p>"
"2780138",""
"2780369",""
"2780380","<p>4-point replacement suspension for all Ridgeline full brim hard hats. </p>"
"2781187","<p>8. 46"" x 2. 74"" /. 09"" thick</p>"
"2780836","<p>Kits contain the essentials for new hire and temporary workers. Includes white standard hard hat (ANSI Z89. 1), disposable corded ear plus (NRR 31), Class 2 Level 2 safety vest (sizes L – 2XL), foam nitrile palm coated gloves, and Intruder eye protection (clear or gray). </p> <p> Sizes: </p> <ul><li>Kit with clear lens safety glass and Large safety vest – NHCL</li> <li>Kit with clear lens safety glass and X-Large safety vest – NHCXL</li> <li>Kit with clear lens safety glass and 2X-Large safety vest – NHCX2</li> <li>Kit with gray lens safety glass and Large safety vest – NHGL</li> <li>Kit with gray lens safety glass and X-Large safety vest – NHGXL</li> <li>Kit with gray lens safety glass and 2X-Large safety vest – NHGX2</li></ul> <p> Cap Style Hard Hat </p> <ul><li>Exceeds ANSI Z89. 1-2009, Type 1, Class C, G, and E for industrial head protection</li> <li>Low profile design. </li> <li>Shell constructed from High Density Polyethylene materials. </li> <li>Rain trough on sides and back of helmet channel moisture away. </li> <li>Snap Lock suspension features ""tuck away"" adjustments for all day, hassle free wear. </li> <li>Soft brow pad, suspension and headbands are replaceable. </li></ul> <p> DP1001 </p> <ul><li>NRR 31dB / SNR 36dB</li> <li>Disposable Corded Earplugs. </li> <li>Contoured fit disposable polyurethane ear plugs. </li> <li>Plug gently expands and self adjusts to all size ear canals. </li></ul> <p> Safety Vest </p> <ul><li>ANSI/ISEA 107 - 2010 / Class 2 Level 2</li> <li>Available in large, extra-large and 2X large. </li> <li>Hi-Vis lightweight polyester mesh material. </li> <li>2 inch silver reflective material around bottom and over shoulders. </li> <li>Zipper front closure. </li> <li>Chest pocket with hook and loop closure. </li> <li>Deep and wide inside pocket. </li></ul> <p> Intruder </p> <ul><li> Exceeds ANSI Z87. 1 high impact, CE EN166, CAN/CSA Z94. 3-07, AS/NZS 1337</li> <li>Available in clear (S4110S) or gray (S4120S) lens. </li> <li>Lightweight, frameless protection. </li> <li>Superior comfort and fit. </li> <li>Scratch resistant polycarbonate lens provides 99% UVA/B/C protection. </li></ul> <p>​</p> <p> Foam Nitrile Palm Coated Gloves </p> <ul><li>Available in large - size 9</li> <li>Foam nitrile (NBR) is the most versatile coating offering tremendous barrier against a wide range of workplace hazards. </li> <li>It provides superior wear and solid resistance to snags, punctures, abrasion, and cuts. </li> <li>Nitrile coating on 15-gauge seamless nylon lining that stretches to the hand for excellent dexterity and comfort. </li> <li>Glove features easy on and off, superior dry grip, tactile sensitivity, and is machine washable. </li> <li>The palm coating allows airflow through back of glove for cooler comfort. </li> <li>Knitwrist cuff holds glove in place and keeps debris out. </li></ul>"
