ID,ADDITIONAL_DESCRIPTION
1386047,"<h5>Krylon OSHA Paints</h5> <p> KRYLON OSHA PAINTS are a full-line of quality aerosol paints that meet color standards approved by the Occupational Safety and Health Act Governing Board. </p> <ul><li>Color standards approved by the Occupational Safety and Health Act Governing Board</li><li>High visibility safety colors</li><li>Mark physical hazard, designate caution for workers' safety</li><li>Product Use Instructions</li></ul> <p> Always read the label before use. Surface preparation must be completed as indicated. Test spray on an inconspicuous area for substrate compatibility. Spray 10"" to 12"" from surface in a sweeping motion. Apply several thin coats. Do not apply in one continuous spray. Release the spray button after each pass. When finished, clean valve by holding can upside down and spraying until only clear gas is released. </p> <h5>Specifications</h5><p> Always read the label before use. Surface preparation must be completed as indicated. Test spray on an inconspicuous area for substrate compatibility. Spray 10"" to 12"" from surface in a sweeping motion. Apply several thin coats. Do not apply in one continuous spray. Release the spray button after each pass. When finished, clean valve by holding can upside down and spraying until only clear gas is released. </p>"
1386072,"<h5>Krylon OSHA Paints</h5> <p> KRYLON OSHA PAINTS are a full-line of quality aerosol paints that meet color standards approved by the Occupational Safety and Health Act Governing Board. </p> <ul><li>Color standards approved by the Occupational Safety and Health Act Governing Board</li><li>High visibility safety colors</li><li>Mark physical hazard, designate caution for workers' safety</li><li>Product Use Instructions</li></ul> <p> Always read the label before use. Surface preparation must be completed as indicated. Test spray on an inconspicuous area for substrate compatibility. Spray 10"" to 12"" from surface in a sweeping motion. Apply several thin coats. Do not apply in one continuous spray. Release the spray button after each pass. When finished, clean valve by holding can upside down and spraying until only clear gas is released. </p> <h5>Specifications</h5><p> Always read the label before use. Surface preparation must be completed as indicated. Test spray on an inconspicuous area for substrate compatibility. Spray 10"" to 12"" from surface in a sweeping motion. Apply several thin coats. Do not apply in one continuous spray. Release the spray button after each pass. When finished, clean valve by holding can upside down and spraying until only clear gas is released. </p>"
1386073,"<h5>Krylon OSHA Paints</h5> <p> KRYLON OSHA PAINTS are a full-line of quality aerosol paints that meet color standards approved by the Occupational Safety and Health Act Governing Board. </p> <ul><li>Color standards approved by the Occupational Safety and Health Act Governing Board</li><li>High visibility safety colors</li><li>Mark physical hazard, designate caution for workers' safety</li><li>Product Use Instructions</li></ul> <p> Always read the label before use. Surface preparation must be completed as indicated. Test spray on an inconspicuous area for substrate compatibility. Spray 10"" to 12"" from surface in a sweeping motion. Apply several thin coats. Do not apply in one continuous spray. Release the spray button after each pass. When finished, clean valve by holding can upside down and spraying until only clear gas is released. </p> <h5>Specifications</h5><p> Always read the label before use. Surface preparation must be completed as indicated. Test spray on an inconspicuous area for substrate compatibility. Spray 10"" to 12"" from surface in a sweeping motion. Apply several thin coats. Do not apply in one continuous spray. Release the spray button after each pass. When finished, clean valve by holding can upside down and spraying until only clear gas is released. </p>"
1385949,"<h5>Krylon 5-Ball Acrylic Crystal Clear</h5> <p> KRYLON INDUSTRIAL 5-BALL INTERIOR-EXTERIOR ACRYLIC CRYSTAL CLEAR provides a tough, long-lasting protective coating ideal for sealing porous surfaces. They also impede the fading of fluorescents and other paints. </p> <ul><li>Provides a tough, long-lasting, protective coating</li><li>Guards against electrical failures</li><li>Will not affect resistance values or conduct current</li><li>Meets MIL-C-17504B and TT-L-50G Type I and Type III performance requirements</li><li>PDS</li> <li>Product Use Instructions</li></ul> <p> Always read the label before use. Surface preparation must be completed as indicated. Test spray on an inconspicuous area for substrate compatibility. Spray 10"" to 12"" from surface in a sweeping motion. Apply several thin coats. Do not apply in one continuous spray. Release the spray button after each pass. When finished, clean valve by holding can upside down and spraying until only clear gas is released. </p> <h5>Specifications</h5><p> Always read the label before use. Surface preparation must be completed as indicated. Test spray on an inconspicuous area for substrate compatibility. Spray 10"" to 12"" from surface in a sweeping motion. Apply several thin coats. Do not apply in one continuous spray. Release the spray button after each pass. When finished, clean valve by holding can upside down and spraying until only clear gas is released. </p>"
1385970,"<h5>Krylon Metallic Paints</h5> <p> KRYLON METALLIC FINISHES dry quickly to a brilliant shine. </p> <ul><li>Durable brilliant metallic-like finish</li><li>Fast drying</li><li>Indoor Use</li><li>Product Use Instructions</li></ul> <p> Always read the label before use. Surface preparation must be completed as indicated. Test spray on an inconspicuous area for substrate compatibility. Spray 10"" to 12"" from surface in a sweeping motion. Apply several thin coats. Do not apply in one continuous spray. Release the spray button after each pass. When finished, clean valve by holding can upside down and spraying until only clear gas is released. </p> <h5>Specifications</h5><p> Always read the label before use. Surface preparation must be completed as indicated. Test spray on an inconspicuous area for substrate compatibility. Spray 10"" to 12"" from surface in a sweeping motion. Apply several thin coats. Do not apply in one continuous spray. Release the spray button after each pass. When finished, clean valve by holding can upside down and spraying until only clear gas is released. </p>"
1385968,"<h5>Krylon Metallic Paints</h5> <p> KRYLON METALLIC FINISHES dry quickly to a brilliant shine. </p> <ul><li>Durable brilliant metallic-like finish</li><li>Fast drying</li><li>Indoor Use</li><li>Product Use Instructions</li></ul> <p> Always read the label before use. Surface preparation must be completed as indicated. Test spray on an inconspicuous area for substrate compatibility. Spray 10"" to 12"" from surface in a sweeping motion. Apply several thin coats. Do not apply in one continuous spray. Release the spray button after each pass. When finished, clean valve by holding can upside down and spraying until only clear gas is released. </p> <h5>Specifications</h5><p> Always read the label before use. Surface preparation must be completed as indicated. Test spray on an inconspicuous area for substrate compatibility. Spray 10"" to 12"" from surface in a sweeping motion. Apply several thin coats. Do not apply in one continuous spray. Release the spray button after each pass. When finished, clean valve by holding can upside down and spraying until only clear gas is released. </p>"
1385969,"<h5>Krylon Metallic Paints</h5> <p> KRYLON METALLIC FINISHES dry quickly to a brilliant shine. </p> <ul><li>Durable brilliant metallic-like finish</li><li>Fast drying</li><li>Indoor Use</li><li>Product Use Instructions</li></ul> <p> Always read the label before use. Surface preparation must be completed as indicated. Test spray on an inconspicuous area for substrate compatibility. Spray 10"" to 12"" from surface in a sweeping motion. Apply several thin coats. Do not apply in one continuous spray. Release the spray button after each pass. When finished, clean valve by holding can upside down and spraying until only clear gas is released. </p> <h5>Specifications</h5><p> Always read the label before use. Surface preparation must be completed as indicated. Test spray on an inconspicuous area for substrate compatibility. Spray 10"" to 12"" from surface in a sweeping motion. Apply several thin coats. Do not apply in one continuous spray. Release the spray button after each pass. When finished, clean valve by holding can upside down and spraying until only clear gas is released. </p>"
1386315,"<h5>Silver Quality Interior Latex Paint</h5> <p> Our “SILVER” is an excellent choice for performance, efficiency and value. Silver offers a comprehensive product line for most commercial, residential and facilities maintenance painting jobs with a full line of better quality latex paints offering excellent hide, touch-up, scrubbability, washability and easy application. </p> <ul><li>Excellent hide and touch up</li><li>Scrubbable without burnishing the finish</li><li>Stain resistant for excellent washability</li><li>Easy to apply</li><li>Can be custom tinted</li><li>PDS</li> <li>Product Use Instructions</li></ul> <p> Apply at temperatures above 50°F. No reduction necessary. Brush Use a nylon/polyester brush. Roller Use a 3/8"" - 3/4"" nap synthetic cover. Spray—Airless Pressure 2000 psi Tip. 015""-. 019"" Clean spills, spatters, hands and tools immediately after use with soap and warm water. After cleaning, flush spray equipment with mineral spirits to prevent rusting of the equipment. </p> <h5>Specifications</h5><p> Apply at temperatures above 50°F. No reduction necessary. Brush Use a nylon/polyester brush. Roller Use a 3/8"" - 3/4"" nap synthetic cover. Spray—Airless Pressure 2000 psi Tip. 015""-. 019"" Clean spills, spatters, hands and tools immediately after use with soap and warm water. After cleaning, flush spray equipment with mineral spirits to prevent rusting of the equipment. </p>"
1386007,"<h5>Krylon Metallic Paints</h5> <p> KRYLON METALLIC FINISHES dry quickly to a brilliant shine. </p> <ul><li>Durable brilliant metallic-like finish</li><li>Fast drying</li><li>Indoor Use</li><li>Product Use Instructions</li></ul> <p> Always read the label before use. Surface preparation must be completed as indicated. Test spray on an inconspicuous area for substrate compatibility. Spray 10"" to 12"" from surface in a sweeping motion. Apply several thin coats. Do not apply in one continuous spray. Release the spray button after each pass. When finished, clean valve by holding can upside down and spraying until only clear gas is released. </p> <h5>Specifications</h5><p> Always read the label before use. Surface preparation must be completed as indicated. Test spray on an inconspicuous area for substrate compatibility. Spray 10"" to 12"" from surface in a sweeping motion. Apply several thin coats. Do not apply in one continuous spray. Release the spray button after each pass. When finished, clean valve by holding can upside down and spraying until only clear gas is released. </p>"
1386031,"<h5>Krylon OSHA Paints</h5> <p> KRYLON OSHA PAINTS are a full-line of quality aerosol paints that meet color standards approved by the Occupational Safety and Health Act Governing Board. </p> <ul><li>Color standards approved by the Occupational Safety and Health Act Governing Board</li><li>High visibility safety colors</li><li>Mark physical hazard, designate caution for workers' safety</li><li>Product Use Instructions</li></ul> <p> Always read the label before use. Surface preparation must be completed as indicated. Test spray on an inconspicuous area for substrate compatibility. Spray 10"" to 12"" from surface in a sweeping motion. Apply several thin coats. Do not apply in one continuous spray. Release the spray button after each pass. When finished, clean valve by holding can upside down and spraying until only clear gas is released. </p> <h5>Specifications</h5><p> Always read the label before use. Surface preparation must be completed as indicated. Test spray on an inconspicuous area for substrate compatibility. Spray 10"" to 12"" from surface in a sweeping motion. Apply several thin coats. Do not apply in one continuous spray. Release the spray button after each pass. When finished, clean valve by holding can upside down and spraying until only clear gas is released. </p>"
