"ID","ADDITIONAL_DESCRIPTION"
"1403435","<table class=""description-table""><tr><th>Type: </th><td>Aluminum Split Bolts</td></tr><tr><th>Wire Size: </th><td>10 SOL-4 STR</td></tr><tr><th>Material: </th><td>Aluminum Alloy-Tin Plated</td></tr><tr><th>Number Of Conductors: </th><td>2</td></tr><tr><th>Size: </th><td>L=1. 380 - W=. 620</td></tr><tr><th>Application: </th><td>Wire Termination</td></tr><tr><th>Color: </th><td>Aluminum</td></tr><tr><th>Finish: </th><td>Aluminum</td></tr><tr><th>Wire Type: </th><td>Class A &amp; B</td></tr><tr><th>Temperature Rating: </th><td>90 C</td></tr><tr><th>Voltage Rating: </th><td>600 V</td></tr><tr><th>Standard: </th><td>UL486B</td></tr><tr><th>Environmental Conditions: </th><td>90 C</td></tr></table>"
"1403436","<table class=""description-table""><tr><th>Type: </th><td>Aluminum Split Bolts</td></tr><tr><th>Wire Size: </th><td>10 SOL-6 STR</td></tr><tr><th>Material: </th><td>Aluminum Alloy-Tin Plated</td></tr><tr><th>Number Of Conductors: </th><td>2</td></tr><tr><th>Size: </th><td>L=1. 280 - W=. 560</td></tr><tr><th>Application: </th><td>Wire Termination</td></tr><tr><th>Color: </th><td>Aluminum</td></tr><tr><th>Finish: </th><td>Aluminum</td></tr><tr><th>Wire Type: </th><td>Class A &amp; B</td></tr><tr><th>Temperature Rating: </th><td>90 C</td></tr><tr><th>Voltage Rating: </th><td>600 V</td></tr><tr><th>Standard: </th><td>UL486B</td></tr><tr><th>Environmental Conditions: </th><td>90 C</td></tr></table>"
"1404324","<table class=""description-table""><tr><th>Type: </th><td>Non-Insulated Ring Terminal</td></tr><tr><th>Wire Size: </th><td>6 AWG</td></tr><tr><th>Terminal Size: </th><td># 10</td></tr><tr><th>Material: </th><td>Tin Plated Copper</td></tr><tr><th>Color: </th><td>Silver</td></tr><tr><th>Voltage Rating: </th><td>600 V</td></tr><tr><th>Temp Rating: </th><td>105 C</td></tr><tr><th>Number Of Terminals: </th><td>1</td></tr><tr><th>Application: </th><td>Wire Termination</td></tr><tr><th>Standard: </th><td>cULus</td></tr></table>"
"1400924","<table class=""description-table""><tr><th>Type: </th><td>U Type Compression Die</td></tr><tr><th>Color: </th><td>Black</td></tr><tr><th>Application: </th><td>Crimp Die</td></tr><tr><th>Capacity: </th><td>1 AWG Copper Lugs - 4 AWG Aluminum Lugs</td></tr></table>"
"1402329","<table class=""description-table""><tr><th>Type: </th><td>Spiral Wrap</td></tr><tr><th>Color: </th><td>Black</td></tr><tr><th>Application: </th><td>Wire Retainer</td></tr><tr><th>Material: </th><td>UV Polyethylene</td></tr><tr><th>Maximum Bundle Diameter: </th><td>1. 97</td></tr><tr><th>Minimum Bundle Diameter: </th><td>0. 157</td></tr><tr><th>Length: </th><td>100</td></tr></table>"
"1404462","<table class=""description-table""><tr><th>Category: </th><td>Copper Compression</td></tr><tr><th>Type: </th><td>Short Barrel - CU Splice - Belled End</td></tr><tr><th>Material: </th><td>Copper</td></tr><tr><th>Finish: </th><td>Tin Plated</td></tr><tr><th>Application: </th><td>Terminate, Splice, Tap Power Connectors</td></tr><tr><th>Conductor Range: </th><td># 1 AWG (STR)</td></tr><tr><th>Environmental Conditions: </th><td>90 C</td></tr><tr><th>Number Of Conductors: </th><td>2</td></tr><tr><th>Voltage Rating: </th><td>600 V</td></tr></table>"
"1404594","<table class=""description-table""><tr><th>Conductor Range (Tap/Secondary): </th><td>New Value</td></tr><tr><th>Type: </th><td>Bronze Terminal Lug</td></tr><tr><th>Material: </th><td>Bronze</td></tr><tr><th>Wire Size: </th><td>500-300 MCM</td></tr><tr><th>Number Of Conductors: </th><td>4</td></tr><tr><th>Stud Size: </th><td>1/2</td></tr><tr><th>Number Of Mounting Holes: </th><td>2</td></tr><tr><th>Number Of Ports: </th><td>4</td></tr><tr><th>Voltage Rating: </th><td>600 V</td></tr><tr><th>Temperature Rating: </th><td>90 C</td></tr><tr><th>Mounting Hole Spacing: </th><td>1. 75</td></tr><tr><th>Finish: </th><td>Bronze</td></tr><tr><th>Color: </th><td>Bronze</td></tr><tr><th>Application: </th><td>Wire Termination</td></tr><tr><th>Standard: </th><td>UL486B</td></tr><tr><th>Environmental Conditions: </th><td>90 C</td></tr></table>"
"1402298","<table class=""description-table""><tr><th>Type: </th><td>Screw Port Plug</td></tr><tr><th>Wire Size: </th><td># 4 AWG</td></tr><tr><th>Voltage Rating: </th><td>600 V</td></tr><tr><th>Application: </th><td>Wire Termination</td></tr><tr><th>Color: </th><td>Black</td></tr><tr><th>Environmental Conditions: </th><td>90 C</td></tr><tr><th>Material: </th><td>Vinyl</td></tr></table>"
"1404595","<table class=""description-table""><tr><th>Conductor Range (Tap/Secondary): </th><td>New Value</td></tr><tr><th>Type: </th><td>Bronze Terminal Lug</td></tr><tr><th>Material: </th><td>Bronze</td></tr><tr><th>Wire Size: </th><td>500-300 MCM</td></tr><tr><th>Number Of Conductors: </th><td>4</td></tr><tr><th>Stud Size: </th><td>1/2</td></tr><tr><th>Number Of Mounting Holes: </th><td>4</td></tr><tr><th>Number Of Ports: </th><td>4</td></tr><tr><th>Voltage Rating: </th><td>600 V</td></tr><tr><th>Temperature Rating: </th><td>90 C</td></tr><tr><th>Mounting Hole Spacing: </th><td>1. 75</td></tr><tr><th>Finish: </th><td>Bronze</td></tr><tr><th>Color: </th><td>Bronze</td></tr><tr><th>Application: </th><td>Wire Termination</td></tr><tr><th>Standard: </th><td>UL486B</td></tr><tr><th>Environmental Conditions: </th><td>90 C</td></tr></table>"
"1401223","<table class=""description-table""><tr><th>Wire Size: </th><td>2-6 AWG</td></tr><tr><th>Material: </th><td>aluminum</td></tr><tr><th>Application: </th><td>Intersystem Bonding of Power And Communication</td></tr><tr><th>Type: </th><td>Intersystem Bonding Connector</td></tr></table>"
