"ID","ADDITIONAL_DESCRIPTION"
"1414942","<table class=""description-table""><tbody><tr><th>Category</th><td>Line Voltage</td></tr><tr><th>Page</th><td>C13 / H6</td></tr><tr></tr><tr><th>Specifications: </th></tr><tr><th>Socket</th><td>Premium Grade Porcelain socket with Nickel contacts and Teflon-jacketed wire leads</td></tr><tr><th>Gasket</th><td>Sealed with High Grade Weatherproof Silicone Gasket</td></tr><tr><th>Wiring</th><td>Pre-wired with 24"" SPT-1 Cord</td></tr><tr><th>Voltage</th><td>120 Volts</td></tr><tr><td>Lamp type</td><td>PAR38 Lamp Not Included, <br>90W Max. </td></tr><tr><th>Accessories</th><td>O-Ring Silicone Gasket</td></tr><tr><td colspan=""3""></td></tr></tbody></table>"
"1414944","<table class=""description-table""><tbody><tr><th>Category</th><td>Line Voltage</td></tr><tr><th>Page</th><td>C13 / H6</td></tr><tr></tr><tr><th>Specifications: </th></tr><tr><th>Socket</th><td>Premium Grade Porcelain socket with Nickel contacts and Teflon-jacketed wire leads</td></tr><tr><th>Gasket</th><td>Sealed with High Grade Weatherproof Silicone Gasket</td></tr><tr><th>Wiring</th><td>Pre-wired with 24"" SPT-1 Cord</td></tr><tr><th>Voltage</th><td>120 Volts</td></tr><tr><td>Lamp type</td><td>PAR38 Lamp Not Included, <br>90W Max. </td></tr><tr><th>Accessories</th><td>O-Ring Silicone Gasket</td></tr><tr><td colspan=""3""></td></tr></tbody></table>"
"1414945","<table class=""description-table""><tbody><tr><th>Category</th><td>Line Voltage</td></tr><tr><th>Page</th><td>C13 / H6</td></tr><tr></tr><tr><th>Specifications: </th></tr><tr><th>Socket</th><td>Premium Grade Porcelain socket with Nickel contacts and Teflon-jacketed wire leads</td></tr><tr><th>Gasket</th><td>Sealed with High Grade Weatherproof Silicone Gasket</td></tr><tr><th>Wiring</th><td>Pre-wired with 24"" SPT-1 Cord</td></tr><tr><th>Voltage</th><td>120 Volts</td></tr><tr><td>Lamp type</td><td>PAR38 Lamp Not Included, <br>90W Max. </td></tr><tr><th>Accessories</th><td>O-Ring Silicone Gasket</td></tr><tr><td colspan=""3""></td></tr></tbody></table>"
"1414943","<table class=""description-table""><tbody><tr><th>Category</th><td>Line Voltage</td></tr><tr><th>Page</th><td>C13 / H6</td></tr><tr></tr><tr><th>Specifications: </th></tr><tr><th>Socket</th><td>Premium Grade Porcelain socket with Nickel contacts and Teflon-jacketed wire leads</td></tr><tr><th>Gasket</th><td>Sealed with High Grade Weatherproof Silicone Gasket</td></tr><tr><th>Wiring</th><td>Pre-wired with 24"" SPT-1 Cord</td></tr><tr><th>Voltage</th><td>120 Volts</td></tr><tr><td>Lamp type</td><td>PAR38 Lamp Not Included, <br>90W Max. </td></tr><tr><th>Accessories</th><td>O-Ring Silicone Gasket</td></tr><tr><td colspan=""3""></td></tr></tbody></table>"
"1412983","<table class=""description-table""><tbody><tr><th>Category</th><td>WEATHERPROOF</td></tr><tr><th>Page</th><td>C7</td></tr><tr><th>Barcode</th><td>8-35243-00522-8</td></tr><tr><th>Description: </th></tr><tr><td colspan=""2"">1-Gang box, 2"" Deep</td></tr><tr><th colspan=""2"">Features: </th></tr><tr><td colspan=""2"">- Die Cast Copper-Free aluminum<br>- Premium Powder Coat Finish<br>- Ground screw installed<br>- Lugs included<br>- Individually shrink-wrapped with barcode<br>- Retail shelf packaging</td></tr><tr><th colspan=""2"">Dimensions: </th></tr><tr><th>Width</th><td>2-3/4""</td></tr><tr><th>Height</th><td>4-1/2""</td></tr><tr><th>Volume</th><td>18. 3 cu. in. </td></tr><tr><th colspan=""2"">Specifications: </th></tr><tr><th>Outlet Holes</th><td>4</td></tr><tr><th>Hole Size</th><td>1/2""</td></tr><tr><th>Color</th><td>Bronze</td></tr><tr><th colspan=""2"">Packaging Info: </th></tr><tr><th>Std Pkg</th><td>20</td></tr><tr><td>Weight</td></tr><tr></tr><tr></tr></tbody></table>"
"2855277","<table class=""description-table""><tbody><tr><th>Category</th><td>Wiring Device</td></tr><tr><th>Page</th><td>A36, E10, 5 (Floor Box Catalog)</td></tr><tr><th>Description: </th></tr><tr><td colspan=""2"">Floor Box Pop-Up with Tamper Resistant Duplex Receptacle, <br>Square Cover, Brass<br></td></tr><tr><th colspan=""2"">Features: </th></tr><tr><td colspan=""2"">- 125 VAC<br>- 20A tamper-resistant receptacle<br>- For use with carpet, tile or wood floor installations<br>- Rated for counter top applications following NEC Code<br>- Steel floor boxes must be installed flush with finished floor prior to final installation<br>- Include cover, receptacle, screws and 1-Gang Floor Box<br>- Meets NEC Article 406. 12 for tamper-resistant receptacles<br></td></tr><tr><th colspan=""2"">Box Dimensions: </th></tr><tr><th>Length: </th><td>4""</td></tr><tr><th>Width: </th><td>4""</td></tr><tr><th>Depth: </th><td>3-1/2""</td></tr><tr><th>Volume: </th><td>46. 0 Cu. In. </td></tr><tr><th>Side KOs: </th><td>(2) - 1/2"", (2) - 3/4"" &amp; (4) CKO</td></tr><tr><th>Bottom KO: </th><td>(2) - 1/2"" &amp; (2) - 3/4""</td></tr><tr></tr><tr><th colspan=""2"">Packaging Info: </th></tr><tr><th>Std Pkg</th><td>1</td></tr><tr></tr></tbody></table>"
"1414757","<table class=""description-table""><tbody><tr><th>Category</th><td>Line Voltage</td></tr><tr><th>Page</th><td>C13 / H6</td></tr><tr></tr><tr><th>Specifications: </th></tr><tr><th>Socket</th><td>Premium Grade Porcelain socket with Nickel contacts and Teflon-jacketed wire leads</td></tr><tr><th>Gasket</th><td>Sealed with High Grade Weatherproof Silicone Gasket</td></tr><tr><th>Wiring</th><td>Pre-wired with 24"" SPT-1 Cord</td></tr><tr><th>Voltage</th><td>120 Volts</td></tr><tr><td>Lamp type</td><td>PAR38 Lamp Not Included, <br>90W Max. </td></tr><tr><th>Accessories</th><td>O-Ring Silicone Gasket</td></tr><tr><td colspan=""3""></td></tr></tbody></table>"
"1414758","<table class=""description-table""><tbody><tr><th>Category</th><td>Line Voltage</td></tr><tr><th>Page</th><td>C13 / H6</td></tr><tr></tr><tr><th>Specifications: </th></tr><tr><th>Socket</th><td>Premium Grade Porcelain socket with Nickel contacts and Teflon-jacketed wire leads</td></tr><tr><th>Gasket</th><td>Sealed with High Grade Weatherproof Silicone Gasket</td></tr><tr><th>Wiring</th><td>Pre-wired with 24"" SPT-1 Cord</td></tr><tr><th>Voltage</th><td>120 Volts</td></tr><tr><td>Lamp type</td><td>PAR38 Lamp Not Included, <br>90W Max. </td></tr><tr><th>Accessories</th><td>O-Ring Silicone Gasket</td></tr><tr><td colspan=""3""></td></tr></tbody></table>"
"1414759","<table class=""description-table""><tbody><tr><th>Category</th><td>Line Voltage</td></tr><tr><th>Page</th><td>C13 / H6</td></tr><tr></tr><tr><th>Specifications: </th></tr><tr><th>Socket</th><td>Premium Grade Porcelain socket with Nickel contacts and Teflon-jacketed wire leads</td></tr><tr><th>Gasket</th><td>Sealed with High Grade Weatherproof Silicone Gasket</td></tr><tr><th>Wiring</th><td>Pre-wired with 24"" SPT-1 Cord</td></tr><tr><th>Voltage</th><td>120 Volts</td></tr><tr><td>Lamp type</td><td>PAR38 Lamp Not Included, <br>90W Max. </td></tr><tr><th>Accessories</th><td>O-Ring Silicone Gasket</td></tr><tr><td colspan=""3""></td></tr></tbody></table>"
"1414760","<table class=""description-table""><tbody><tr><th>Category</th><td>Line Voltage</td></tr><tr><th>Page</th><td>C13 / H6</td></tr><tr></tr><tr><th>Specifications: </th></tr><tr><th>Socket</th><td>Premium Grade Porcelain socket with Nickel contacts and Teflon-jacketed wire leads</td></tr><tr><th>Gasket</th><td>Sealed with High Grade Weatherproof Silicone Gasket</td></tr><tr><th>Wiring</th><td>Pre-wired with 24"" SPT-1 Cord</td></tr><tr><th>Voltage</th><td>120 Volts</td></tr><tr><td>Lamp type</td><td>PAR38 Lamp Not Included, <br>90W Max. </td></tr><tr><th>Accessories</th><td>O-Ring Silicone Gasket</td></tr><tr><td colspan=""3""></td></tr></tbody></table>"
