"ID","ADDITIONAL_DESCRIPTION"
"2543306","<table class=""description-table""><tr><th>Item No. </th><td>95760</td></tr><tr><th>Description</th><td>VLR-5-1/2</td></tr><tr><th>Detail</th><td></td></tr><tr><th>Wt Std Pk lbs</th><td>10. 5 lbs</td></tr><tr><th>Std Pk</th><td>1</td></tr><tr><th>Type</th><td>LR Imperial</td></tr><tr><th>Brand</th><td>Osborn</td></tr><tr><th>Part Number</th><td>VLR-5-1/2</td></tr><tr><th>Scale</th><td>Imperial</td></tr><tr><th>A Roller Dia In</th><td>5-1/2 In</td></tr><tr><th>B Roller Width In</th><td>2 In</td></tr><tr><th>F Point Dia In</th><td>4 In</td></tr><tr><th>G Groove Location In</th><td>1 In</td></tr><tr><th>K Stud Dia In</th><td>1-1/4 In</td></tr><tr><th>K Tolerance</th><td>+0. 000 -0. 001</td></tr><tr><th>L Stud Length In</th><td>2-3/4 In</td></tr><tr><th>M Thread Length In</th><td>1-3/4 In</td></tr><tr><th>N Thread</th><td>1 1/4-12</td></tr><tr><th>R Shoulder Dia In</th><td>1-3/4 In</td></tr><tr><th>S Shoulder Length In</th><td>0. 062 In</td></tr><tr><th>Recommended Mounting Hole Size In</th><td>1. 251 In</td></tr><tr><th>Recommended Mounting Hole Tolerance</th><td>+0. 001 +0. 000</td></tr><tr><th>Approx Wt lbs</th><td>10. 5 lbs</td></tr><tr><th>Bearing</th><td>TRB</td></tr><tr><th>Radial Capacity 3000hrs L10 Life @100 RPM lbs</th><td>6000 lbs</td></tr><tr><th>Radial Capacity 500hrs L10 Life @33-1/3 RPM lbs</th><td>14270 lbs</td></tr><tr><th>Radial Capacity Static Limit lbs</th><td>20000 lbs</td></tr><tr><th>Thrust Capacity Static Limit lbs</th><td>12000 lbs</td></tr><tr><th>Mounting Member Thickness Max In</th><td>1-1/2 In</td></tr><tr><th>Mounting Member Thickness Min In</th><td>1-1/4 In</td></tr><tr><th>Stud Capacity Bend @V lbs</th><td>12660 lbs</td></tr><tr><th>Stud Capacity Shear lbs</th><td>40500 lbs</td></tr></table>"
"2543302","<table class=""description-table""><tr><th>Item No. </th><td>95660</td></tr><tr><th>Description</th><td>VLR-2-1/2</td></tr><tr><th>Detail</th><td></td></tr><tr><th>Wt Std Pk lbs</th><td>1. 3 lbs</td></tr><tr><th>Std Pk</th><td>1</td></tr><tr><th>Type</th><td>LR Imperial</td></tr><tr><th>Brand</th><td>Osborn</td></tr><tr><th>Part Number</th><td>VLR-2-1/2</td></tr><tr><th>Scale</th><td>Imperial</td></tr><tr><th>A Roller Dia In</th><td>2-1/2 In</td></tr><tr><th>B Roller Width In</th><td>1. 312 In</td></tr><tr><th>F Point Dia In</th><td>1-1/2 In</td></tr><tr><th>G Groove Location In</th><td>0. 687 In</td></tr><tr><th>K Stud Dia In</th><td>3/4 In</td></tr><tr><th>K Tolerance</th><td>+0. 000 -0. 001</td></tr><tr><th>L Stud Length In</th><td>1-3/4 In</td></tr><tr><th>M Thread Length In</th><td>7/8 In</td></tr><tr><th>N Thread</th><td>3/4-16</td></tr><tr><th>R Shoulder Dia In</th><td>1 In</td></tr><tr><th>S Shoulder Length In</th><td>0. 062 In</td></tr><tr><th>Recommended Mounting Hole Size In</th><td>0. 751 In</td></tr><tr><th>Recommended Mounting Hole Tolerance</th><td>+0. 001 +0. 000</td></tr><tr><th>Approx Wt lbs</th><td>1. 3 lbs</td></tr><tr><th>Bearing</th><td>BB</td></tr><tr><th>Radial Capacity 3000hrs L10 Life @100 RPM lbs</th><td>1050 lbs</td></tr><tr><th>Radial Capacity 500hrs L10 Life @33-1/3 RPM lbs</th><td>2760 lbs</td></tr><tr><th>Radial Capacity Static Limit lbs</th><td>1100 lbs</td></tr><tr><th>Thrust Capacity Static Limit lbs</th><td>680 lbs</td></tr><tr><th>Mounting Member Thickness Max In</th><td>1-1/4 In</td></tr><tr><th>Mounting Member Thickness Min In</th><td>1 In</td></tr><tr><th>Stud Capacity Bend @V lbs</th><td>1230 lbs</td></tr><tr><th>Stud Capacity Shear lbs</th><td>5780 lbs</td></tr><tr><th>Retaining Ring Capacity lbs</th><td>470 lbs</td></tr></table>"
"2543303","<table class=""description-table""><tr><th>Item No. </th><td>95678</td></tr><tr><th>Description</th><td>VLR-3-1/2</td></tr><tr><th>Detail</th><td></td></tr><tr><th>Wt Std Pk lbs</th><td>3. 4 lbs</td></tr><tr><th>Std Pk</th><td>1</td></tr><tr><th>Type</th><td>LR Imperial</td></tr><tr><th>Brand</th><td>Osborn</td></tr><tr><th>Part Number</th><td>VLR-3-1/2</td></tr><tr><th>Scale</th><td>Imperial</td></tr><tr><th>A Roller Dia In</th><td>3-1/2 In</td></tr><tr><th>B Roller Width In</th><td>1. 687 In</td></tr><tr><th>F Point Dia In</th><td>2-1/4 In</td></tr><tr><th>G Groove Location In</th><td>7/8 In</td></tr><tr><th>K Stud Dia In</th><td>7/8 In</td></tr><tr><th>K Tolerance</th><td>+0. 000 -0. 001</td></tr><tr><th>L Stud Length In</th><td>2 In</td></tr><tr><th>M Thread Length In</th><td>1-1/8 In</td></tr><tr><th>N Thread</th><td>7/8-14</td></tr><tr><th>R Shoulder Dia In</th><td>1 In</td></tr><tr><th>S Shoulder Length In</th><td>0. 062 In</td></tr><tr><th>Recommended Mounting Hole Size In</th><td>0. 876 In</td></tr><tr><th>Recommended Mounting Hole Tolerance</th><td>+0. 001 +0. 000</td></tr><tr><th>Approx Wt lbs</th><td>3. 4 lbs</td></tr><tr><th>Bearing</th><td>BB</td></tr><tr><th>Radial Capacity 3000hrs L10 Life @100 RPM lbs</th><td>1980 lbs</td></tr><tr><th>Radial Capacity 500hrs L10 Life @33-1/3 RPM lbs</th><td>5190 lbs</td></tr><tr><th>Radial Capacity Static Limit lbs</th><td>2270 lbs</td></tr><tr><th>Thrust Capacity Static Limit lbs</th><td>1400 lbs</td></tr><tr><th>Mounting Member Thickness Max In</th><td>1-1/4 In</td></tr><tr><th>Mounting Member Thickness Min In</th><td>1 In</td></tr><tr><th>Stud Capacity Bend @V lbs</th><td>3730 lbs</td></tr><tr><th>Stud Capacity Shear lbs</th><td>14580 lbs</td></tr><tr><th>Retaining Ring Capacity lbs</th><td>1340 lbs</td></tr></table>"
"2543304","<table class=""description-table""><tr><th>Item No. </th><td>95685</td></tr><tr><th>Description</th><td>VLR-3-1/2-16</td></tr><tr><th>Detail</th><td></td></tr><tr><th>Wt Std Pk lbs</th><td>3. 4 lbs</td></tr><tr><th>Std Pk</th><td>1</td></tr><tr><th>Type</th><td>LR Imperial</td></tr><tr><th>Brand</th><td>Osborn</td></tr><tr><th>Part Number</th><td>VLR-3-1/2-16</td></tr><tr><th>Scale</th><td>Imperial</td></tr><tr><th>A Roller Dia In</th><td>3-1/2 In</td></tr><tr><th>B Roller Width In</th><td>2 In</td></tr><tr><th>F Point Dia In</th><td>2-1/4 In</td></tr><tr><th>G Groove Location In</th><td>7/8 In</td></tr><tr><th>K Stud Dia In</th><td>3/4 In</td></tr><tr><th>K Tolerance</th><td>+0. 000 -0. 001</td></tr><tr><th>L Stud Length In</th><td>2 In</td></tr><tr><th>M Thread Length In</th><td>1-1/8 In</td></tr><tr><th>N Thread</th><td>3/4-16</td></tr><tr><th>R Shoulder Dia In</th><td>1-1/4 In</td></tr><tr><th>S Shoulder Length In</th><td>0. 062 In</td></tr><tr><th>Recommended Mounting Hole Size In</th><td>0. 751 In</td></tr><tr><th>Recommended Mounting Hole Tolerance</th><td>+0. 001 +0. 000</td></tr><tr><th>Approx Wt lbs</th><td>3. 4 lbs</td></tr><tr><th>Bearing</th><td>TRB</td></tr><tr><th>Radial Capacity 3000hrs L10 Life @100 RPM lbs</th><td>3780 lbs</td></tr><tr><th>Radial Capacity 500hrs L10 Life @33-1/3 RPM lbs</th><td>8990 lbs</td></tr><tr><th>Radial Capacity Static Limit lbs</th><td>7200 lbs</td></tr><tr><th>Thrust Capacity Static Limit lbs</th><td>3150 lbs</td></tr><tr><th>Mounting Member Thickness Max In</th><td>1-1/4 In</td></tr><tr><th>Mounting Member Thickness Min In</th><td>1 In</td></tr><tr><th>Stud Capacity Bend @V lbs</th><td>3120 lbs</td></tr><tr><th>Stud Capacity Shear lbs</th><td>14580 lbs</td></tr></table>"
"2543305","<table class=""description-table""><tr><th>Item No. </th><td>95729</td></tr><tr><th>Description</th><td>VLR-4-1/2</td></tr><tr><th>Detail</th><td></td></tr><tr><th>Wt Std Pk lbs</th><td>7 lbs</td></tr><tr><th>Std Pk</th><td>1</td></tr><tr><th>Type</th><td>LR Imperial</td></tr><tr><th>Brand</th><td>Osborn</td></tr><tr><th>Part Number</th><td>VLR-4-1/2</td></tr><tr><th>Scale</th><td>Imperial</td></tr><tr><th>A Roller Dia In</th><td>4-1/2 In</td></tr><tr><th>B Roller Width In</th><td>2 In</td></tr><tr><th>F Point Dia In</th><td>3 In</td></tr><tr><th>G Groove Location In</th><td>1 In</td></tr><tr><th>K Stud Dia In</th><td>1-1/4 In</td></tr><tr><th>K Tolerance</th><td>+0. 000 -0. 001</td></tr><tr><th>L Stud Length In</th><td>2-1/2 In</td></tr><tr><th>M Thread Length In</th><td>1-3/4 In</td></tr><tr><th>N Thread</th><td>1 1/4-12</td></tr><tr><th>R Shoulder Dia In</th><td>1-3/4 In</td></tr><tr><th>S Shoulder Length In</th><td>0. 062 In</td></tr><tr><th>Recommended Mounting Hole Size In</th><td>1. 251 In</td></tr><tr><th>Recommended Mounting Hole Tolerance</th><td>+0. 001 +0. 000</td></tr><tr><th>Approx Wt lbs</th><td>7 lbs</td></tr><tr><th>Bearing</th><td>TRB</td></tr><tr><th>Radial Capacity 3000hrs L10 Life @100 RPM lbs</th><td>6000 lbs</td></tr><tr><th>Radial Capacity 500hrs L10 Life @33-1/3 RPM lbs</th><td>14270 lbs</td></tr><tr><th>Radial Capacity Static Limit lbs</th><td>20000 lbs</td></tr><tr><th>Thrust Capacity Static Limit lbs</th><td>12000 lbs</td></tr><tr><th>Mounting Member Thickness Max In</th><td>1-1/4 In</td></tr><tr><th>Mounting Member Thickness Min In</th><td>1 In</td></tr><tr><th>Stud Capacity Bend @V lbs</th><td>12660 lbs</td></tr><tr><th>Stud Capacity Shear lbs</th><td>40500 lbs</td></tr></table>"
"2543309","<table class=""description-table""><tr><th>Item No. </th><td>95782</td></tr><tr><th>Description</th><td>VLR-8-1/2</td></tr><tr><th>Detail</th><td></td></tr><tr><th>Wt Std Pk lbs</th><td>46 lbs</td></tr><tr><th>Std Pk</th><td>1</td></tr><tr><th>Type</th><td>LR Imperial</td></tr><tr><th>Brand</th><td>Osborn</td></tr><tr><th>Part Number</th><td>VLR-8-1/2</td></tr><tr><th>Scale</th><td>Imperial</td></tr><tr><th>A Roller Dia In</th><td>8-1/2 In</td></tr><tr><th>B Roller Width In</th><td>3 In</td></tr><tr><th>F Point Dia In</th><td>7 In</td></tr><tr><th>G Groove Location In</th><td>1-1/2 In</td></tr><tr><th>K Stud Dia In</th><td>2-1/2 In</td></tr><tr><th>K Tolerance</th><td>+0. 000 -0. 001</td></tr><tr><th>L Stud Length In</th><td>5-1/2 In</td></tr><tr><th>M Thread Length In</th><td>3-1/4 In</td></tr><tr><th>N Thread</th><td>2 1/2-12</td></tr><tr><th>R Shoulder Dia In</th><td>3-1/4 In</td></tr><tr><th>S Shoulder Length In</th><td>0. 062 In</td></tr><tr><th>Recommended Mounting Hole Size In</th><td>2. 501 In</td></tr><tr><th>Recommended Mounting Hole Tolerance</th><td>+0. 001 +0. 000</td></tr><tr><th>Approx Wt lbs</th><td>46 lbs</td></tr><tr><th>Bearing</th><td>TRB</td></tr><tr><th>Radial Capacity 3000hrs L10 Life @100 RPM lbs</th><td>15060 lbs</td></tr><tr><th>Radial Capacity 500hrs L10 Life @33-1/3 RPM lbs</th><td>35840 lbs</td></tr><tr><th>Radial Capacity Static Limit lbs</th><td>56400 lbs</td></tr><tr><th>Thrust Capacity Static Limit lbs</th><td>33100 lbs</td></tr><tr><th>Mounting Member Thickness Max In</th><td>3-1/4 In</td></tr><tr><th>Mounting Member Thickness Min In</th><td>2-1/4 In</td></tr><tr><th>Stud Capacity Bend @V lbs</th><td>68130 lbs</td></tr><tr><th>Stud Capacity Shear lbs</th><td>161990 lbs</td></tr></table>"
"2543334","<table class=""description-table""><tr><th>Item No. </th><td>96283</td></tr><tr><th>Description</th><td>VLRY-5-1/2</td></tr><tr><th>Detail</th><td></td></tr><tr><th>Wt Std Pk lbs</th><td>11. 2 lbs</td></tr><tr><th>Std Pk</th><td>1</td></tr><tr><th>Type</th><td>LR Imperial</td></tr><tr><th>Brand</th><td>Osborn</td></tr><tr><th>Part Number</th><td>VLRY-5-1/2</td></tr><tr><th>Scale</th><td>Imperial</td></tr><tr><th>A Roller Dia In</th><td>5-1/2 In</td></tr><tr><th>B Roller Width In</th><td>2. 312 In</td></tr><tr><th>B Tolerance</th><td>+0. 005 -0. 010</td></tr><tr><th>E Tread Width In</th><td>2-1/4 In</td></tr><tr><th>F Point Dia In</th><td>4 In</td></tr><tr><th>G Groove Location In</th><td>1. 156 In</td></tr><tr><th>P Bore In</th><td>1-1/4 In</td></tr><tr><th>P Tolerance</th><td>+0. 0005 -0. 0000</td></tr><tr><th>R Shoulder Dia In</th><td>2-1/4 In</td></tr><tr><th>S Shoulder Length In</th><td>0. 031 In</td></tr><tr><th>Approx Wt lbs</th><td>11. 2 lbs</td></tr><tr><th>Bearing</th><td>TRB</td></tr><tr><th>Radial Capacity 3000hrs L10 Life @100 RPM lbs</th><td>7390 lbs</td></tr><tr><th>Radial Capacity 500hrs L10 Life @33-1/3 RPM lbs</th><td>17590 lbs</td></tr><tr><th>Radial Capacity Static Limit lbs</th><td>27200 lbs</td></tr><tr><th>Thrust Capacity Static Limit lbs</th><td>13100 lbs</td></tr></table>"
"2543335","<table class=""description-table""><tr><th>Item No. </th><td>96287</td></tr><tr><th>Description</th><td>VLRY-6-1/2</td></tr><tr><th>Detail</th><td></td></tr><tr><th>Wt Std Pk lbs</th><td>18. 8 lbs</td></tr><tr><th>Std Pk</th><td>1</td></tr><tr><th>Type</th><td>LR Imperial</td></tr><tr><th>Brand</th><td>Osborn</td></tr><tr><th>Part Number</th><td>VLRY-6-1/2</td></tr><tr><th>Scale</th><td>Imperial</td></tr><tr><th>A Roller Dia In</th><td>6-1/2 In</td></tr><tr><th>B Roller Width In</th><td>2-7/8 In</td></tr><tr><th>B Tolerance</th><td>+0. 005 -0. 010</td></tr><tr><th>E Tread Width In</th><td>2-3/4 In</td></tr><tr><th>F Point Dia In</th><td>5 In</td></tr><tr><th>G Groove Location In</th><td>1. 437 In</td></tr><tr><th>P Bore In</th><td>1-3/4 In</td></tr><tr><th>P Tolerance</th><td>+0. 0005 -0. 0000</td></tr><tr><th>R Shoulder Dia In</th><td>3-1/2 In</td></tr><tr><th>S Shoulder Length In</th><td>0. 062 In</td></tr><tr><th>Approx Wt lbs</th><td>18. 8 lbs</td></tr><tr><th>Bearing</th><td>TRB</td></tr><tr><th>Radial Capacity 3000hrs L10 Life @100 RPM lbs</th><td>15060 lbs</td></tr><tr><th>Radial Capacity 500hrs L10 Life @33-1/3 RPM lbs</th><td>35840 lbs</td></tr><tr><th>Radial Capacity Static Limit lbs</th><td>44600 lbs</td></tr><tr><th>Thrust Capacity Static Limit lbs</th><td>23010 lbs</td></tr></table>"
"2543338","<table class=""description-table""><tr><th>Item No. </th><td>96297</td></tr><tr><th>Description</th><td>VLRY-9-1/2</td></tr><tr><th>Detail</th><td></td></tr><tr><th>Wt Std Pk lbs</th><td>64. 2 lbs</td></tr><tr><th>Std Pk</th><td>1</td></tr><tr><th>Type</th><td>LR Imperial</td></tr><tr><th>Brand</th><td>Osborn</td></tr><tr><th>Part Number</th><td>VLRY-9-1/2</td></tr><tr><th>Scale</th><td>Imperial</td></tr><tr><th>A Roller Dia In</th><td>9-1/2 In</td></tr><tr><th>B Roller Width In</th><td>4-1/2 In</td></tr><tr><th>B Tolerance</th><td>+0. 005 -0. 010</td></tr><tr><th>E Tread Width In</th><td>4-1/4 In</td></tr><tr><th>F Point Dia In</th><td>8 In</td></tr><tr><th>G Groove Location In</th><td>2-1/4 In</td></tr><tr><th>P Bore In</th><td>3. 255 In</td></tr><tr><th>P Tolerance</th><td>+0. 001 -0. 000</td></tr><tr><th>R Shoulder Dia In</th><td>4-3/4 In</td></tr><tr><th>S Shoulder Length In</th><td>1/8 In</td></tr><tr><th>Approx Wt lbs</th><td>64. 2 lbs</td></tr><tr><th>Bearing</th><td>TRB</td></tr><tr><th>Radial Capacity 3000hrs L10 Life @100 RPM lbs</th><td>35250 lbs</td></tr><tr><th>Radial Capacity 500hrs L10 Life @33-1/3 RPM lbs</th><td>69540 lbs</td></tr><tr><th>Radial Capacity Static Limit lbs</th><td>69540 lbs</td></tr><tr><th>Thrust Capacity Static Limit lbs</th><td>34770 lbs</td></tr></table>"
"2543339","<table class=""description-table""><tr><th>Item No. </th><td>96300</td></tr><tr><th>Description</th><td>VLRY-10-1/2</td></tr><tr><th>Detail</th><td></td></tr><tr><th>Wt Std Pk lbs</th><td>77. 5 lbs</td></tr><tr><th>Std Pk</th><td>1</td></tr><tr><th>Type</th><td>LR Imperial</td></tr><tr><th>Brand</th><td>Osborn</td></tr><tr><th>Part Number</th><td>VLRY-10-1/2</td></tr><tr><th>Scale</th><td>Imperial</td></tr><tr><th>A Roller Dia In</th><td>10-1/2 In</td></tr><tr><th>B Roller Width In</th><td>5 In</td></tr><tr><th>B Tolerance</th><td>+0. 005 -0. 010</td></tr><tr><th>E Tread Width In</th><td>4-3/4 In</td></tr><tr><th>F Point Dia In</th><td>9 In</td></tr><tr><th>G Groove Location In</th><td>2-1/2 In</td></tr><tr><th>P Bore In</th><td>3. 755 In</td></tr><tr><th>P Tolerance</th><td>+0. 001 -0. 000</td></tr><tr><th>R Shoulder Dia In</th><td>5-1/2 In</td></tr><tr><th>S Shoulder Length In</th><td>1/8 In</td></tr><tr><th>Approx Wt lbs</th><td>77. 5 lbs</td></tr><tr><th>Bearing</th><td>TRB</td></tr><tr><th>Radial Capacity 3000hrs L10 Life @100 RPM lbs</th><td>56400 lbs</td></tr><tr><th>Radial Capacity 500hrs L10 Life @33-1/3 RPM lbs</th><td>77380 lbs</td></tr><tr><th>Radial Capacity Static Limit lbs</th><td>77380 lbs</td></tr><tr><th>Thrust Capacity Static Limit lbs</th><td>38690 lbs</td></tr></table>"
