id,supplier_id,brand_id,list_price,cost,description,category_id,catalog_number,weight,condition,is_obsolete,ship_time,freight_class
2929727,9,9,109.11,43.64,Climax 2CC-143-143 1 7/16 x1 7/16 ID Steel 2 Pc Black oxide,154,2CC-143-143,3.0625,1,FALSE,24,50
2929728,9,9,134.98,53.99,Climax 2CC-143-143-KW 1 7/16x1 7/16 ID Steel 2 Pc W/ KW BLACK OXIDE,154,2CC-143-143-KW,3.0625,1,FALSE,24,50
2929729,9,9,231.4,92.56,Climax 2CC-193-193-KW 1-15/16 x 1-15/16 ID Steel 2Pc Split Recessed Screws 1/2^KW,154,2CC-193-193-KW,6.125,1,FALSE,24,50
2929730,9,9,133.42,53.37,Climax 2ISCC-143-143 1 7/16^ X 1 7/16^ 2PC Clamp Coupling STL BO,154,2ISCC-143-143,2.982185,1,FALSE,24,50
2929731,9,9,170.25,68.1,Climax 2ISCC-143-143KW 1 7/16x1 7/16 ID Steel Special 2 PC SPLIT W/3/8^ KEYWAY,154,2ISCC-143-143KW,3.9531,1,FALSE,24,50
2929732,9,9,396.06,158.42,Climax 2ISCC-143-143-S 1 7/16^ X 1 7/16^ 2PC Clamp Coupling SS,154,2ISCC-143-143-S,2.965246,1,FALSE,24,50
2929733,9,9,471.32,188.53,Climax 2ISCC143-143SKW 3/16^ X 3/16^ 2PC KW Clamp Coupling SS,154,2ISCC143-143SKW,,1,FALSE,24,50
2929734,9,9,188.35,75.34,Climax 2ISCC-193-193 15/16^ X 15/16^ 2PC Clamp Coupling STL BO,154,2ISCC-193-193,6.605264,1,FALSE,24,50
2929735,9,9,231.29,92.52,Climax 2ISCC-193-193KW 1-15/16^ X 1-15/16^ 2PC KW Clamp Coupling STL BO,154,2ISCC-193-193KW,0,1,FALSE,24,50
2929736,9,9,469.9,187.96,Climax 2ISCC-193-193-S 15/16^ X 15/16/16^ 2PC Clamp Coupling SS,154,2ISCC-193-193-S,6.567744,1,FALSE,24,50
2929737,9,9,567.6,227.04,Climax 2ISCC193-193SKW 15/16^ X 15/16/16^ 2PC KW Clamp Coupling SS,154,2ISCC193-193SKW,,1,FALSE,24,50
2929738,9,9,73.9,31.04,Climax C801E-062 C801-Series 5/8 inch C801-Series 5/8 inch,116,C801E-062,0,1,FALSE,24,50
2929739,9,9,73.9,31.04,Climax C801E-068 C801-Series 11/16 inch C801-Series 11/16 inch,116,C801E-068,0,1,FALSE,24,50
2929740,9,9,73.9,31.04,Climax C801E-075 C801-Series 3/4 inch C801-Series 3/4 inch,116,C801E-075,0,1,FALSE,24,50
2929741,9,9,89.14,37.44,Climax C801E-081 C801-Series 13/16 inch C801-Series 13/16 inch,116,C801E-081,0,1,FALSE,24,50
2929742,9,9,89.14,37.44,Climax C801E-087 C801-Series 7/8 inch C801-Series 7/8 inch,116,C801E-087,0,1,FALSE,24,50
2929743,9,9,89.14,37.44,Climax C801E-093 C801-Series 15/16 inch C801-Series 15/16 inch,116,C801E-093,0,1,FALSE,24,50
2929744,9,9,89.14,37.44,Climax C801E-100 C801-Series 1 inch C801-Series 1 inch,116,C801E-100,0,1,FALSE,24,50
2929745,9,9,115.05,48.32,Climax C801E-106 C801-Series 1-1/16 inch C801-Series 1-1/16 inch,116,C801E-106,0,1,FALSE,24,50
2929746,9,9,115.05,48.32,Climax C801E-118 C801-Series 1-3/16 inch C801-Series 1-3/16 inch,116,C801E-118,0,1,FALSE,24,50
2929747,9,9,115.05,48.32,Climax C801E-125 C801-Series 1-1/4 inch C801-Series 1-1/4 inch,116,C801E-125,0,1,FALSE,24,50
2929748,9,9,141.71,59.52,Climax C801E-131 C801-Series 1-5/16 inch C801-Series 1-5/16 inch,116,C801E-131,0,1,FALSE,24,50
