ID,ADDITIONAL_DESCRIPTION
2931448,"<br><h5> Motor Model Details</h5><table class=""description-table""><tbody><tr><th>Model Number</th><td>0022SDJC41M-P</td></tr><tr><th>Multiplier Symbol</th><td>MTPCCP</td></tr><tr><th>Weight</th><td>55 lbs</td></tr></tbody></table><h5> 60 Hertz Data</h5><table class=""description-table""><tbody><tr><th>H. P. </th><td>2</td></tr><tr><th>FRAME</th><td>145JM</td></tr><tr><th>FORM</th><td>FCKL1</td></tr><tr><th>TYPE</th><td>IKH</td></tr><tr><th>MODEL NO. </th><td>0022SDJC41M-P</td></tr><tr><th>NOM. EFF. </th><td>85. 5</td></tr></tbody></table><table class=""description-table""><tbody><tr><th>VOLTS</th><td>575</td></tr><tr><th>ENCLOSURE</th><td>TEFC</td></tr><tr><th>S. F. </th><td>1. 15</td></tr><tr><th>AMB. </th><td>40 C</td></tr><tr><th>MIN. EFF. </th><td>82. 5</td></tr></tbody></table><table class=""description-table""><tbody><tr><th>FREQUENCY</th><td>60 Hz</td></tr><tr><th>FLAMPS</th><td>2. 10</td></tr><tr><th>NEMA DESIGN</th><td>B</td></tr><tr><th>CODE</th><td>K</td></tr><tr><th>kW. </th><td>1. 5</td></tr><tr><th>P. F. </th><td>84. 8</td></tr></tbody></table><table class=""description-table""><tbody><tr><th>S. RPM</th><td>3600</td></tr><tr><th>FLRPM</th><td>3490</td></tr><tr><th>INSUL CLASS</th><td>F</td></tr><tr><th>DUTY</th><td>CONT</td></tr><tr><th>SERIAL NO. </th><td></td></tr></tbody></table><h5>Amperage</h5><table class=""description-table""><tbody><tr><th>Locked Rotor: </th><td>18. 00</td></tr></tbody></table><h5>Torques</h5><table class=""description-table""><tbody><tr><th>FULL LOAD (lb-ft): </th><td>3. 01</td></tr><tr><th>LOCKED ROTOR: </th><td>285</td></tr><tr><th>BREAK DOWN: </th><td>370</td></tr></tbody></table><h5>Bearings</h5><table class=""description-table""><tbody><tr><th>Drive End: </th><td>6305ZZC3</td></tr><tr><th>Opposite Drive End: </th><td>6305ZZC3</td></tr></tbody></table><h5>Efficiency (%)</h5><table class=""description-table""><tbody><tr><th>FULL LOAD: </th><td>85. 5</td></tr><tr><th>3/4 LOAD: </th><td>85. 0</td></tr><tr><th>1/2 LOAD: </th><td>82. 3</td></tr></tbody></table><h5>Power Factor (%)</h5><table class=""description-table""><tbody><tr><th>FULL LOAD: </th><td>84. 8</td></tr><tr><th>3/4 LOAD: </th><td>79. 9</td></tr><tr><th>1/2 LOAD: </th><td>69. 6</td></tr></tbody></table>"
2790736,"<br><h5> Motor Model Details</h5><table class=""description-table""><tbody><tr><th>Model Number</th><td>0032XPEA42A-P</td></tr><tr><th>Multiplier Symbol</th><td>MTPXPP</td></tr><tr><th>Weight</th><td>112 lbs</td></tr></tbody></table><h5> 60 Hertz Data</h5><table class=""description-table""><tbody><tr><th>H. P. </th><td>3</td></tr><tr><th>FRAME</th><td>182TC</td></tr><tr><th>FORM</th><td>FCKL1XX</td></tr><tr><th>TYPE</th><td>IKH</td></tr><tr><th>MODEL NO. </th><td>0032XPEA42A-P</td></tr><tr><th>NOM. EFF. </th><td>86. 5</td></tr></tbody></table><table class=""description-table""><tbody><tr><th>VOLTS</th><td>230/460</td></tr><tr><th>ENCLOSURE</th><td>TEFC</td></tr><tr><th>S. F. </th><td>1. 15</td></tr><tr><th>AMB. </th><td>40 C</td></tr><tr><th>MIN. EFF. </th><td>84</td></tr></tbody></table><table class=""description-table""><tbody><tr><th>FREQUENCY</th><td>60 Hz</td></tr><tr><th>FLAMPS</th><td>8/4</td></tr><tr><th>NEMA DESIGN</th><td>B</td></tr><tr><th>CODE</th><td>J</td></tr><tr><th>kW. </th><td>2. 2</td></tr><tr><th>P. F. </th><td>88. 8</td></tr></tbody></table><table class=""description-table""><tbody><tr><th>S. RPM</th><td>3600</td></tr><tr><th>FLRPM</th><td>3500</td></tr><tr><th>INSUL CLASS</th><td>F</td></tr><tr><th>DUTY</th><td>CONT</td></tr><tr><th>SERIAL NO. </th><td></td></tr></tbody></table><h5>Amperage</h5><table class=""description-table""><tbody><tr><th>Locked Rotor: </th><td>29. 00</td></tr></tbody></table><h5>Torques</h5><table class=""description-table""><tbody><tr><th>FULL LOAD (lb-ft): </th><td>4. 5</td></tr><tr><th>LOCKED ROTOR: </th><td>195</td></tr><tr><th>BREAK DOWN: </th><td>335</td></tr></tbody></table><h5>Bearings</h5><table class=""description-table""><tbody><tr><th>Drive End: </th><td>6306ZZC3</td></tr><tr><th>Opposite Drive End: </th><td>6306ZZC3</td></tr></tbody></table><h5>Efficiency (%)</h5><table class=""description-table""><tbody><tr><th>FULL LOAD: </th><td>86. 7</td></tr><tr><th>3/4 LOAD: </th><td>86. 5</td></tr><tr><th>1/2 LOAD: </th><td>84. 5</td></tr></tbody></table><h5>Power Factor (%)</h5><table class=""description-table""><tbody><tr><th>FULL LOAD: </th><td>88. 8</td></tr><tr><th>3/4 LOAD: </th><td>85. 5</td></tr><tr><th>1/2 LOAD: </th><td>78. 0</td></tr></tbody></table>"
2931450,"<br><h5> Motor Model Details</h5><table class=""description-table""><tbody><tr><th>Model Number</th><td>0024SDJC41M-P</td></tr><tr><th>Multiplier Symbol</th><td>MTPCCP</td></tr><tr><th>Weight</th><td>66 lbs</td></tr></tbody></table><h5> 60 Hertz Data</h5><table class=""description-table""><tbody><tr><th>H. P. </th><td>2</td></tr><tr><th>FRAME</th><td>145JM</td></tr><tr><th>FORM</th><td>FCKL1</td></tr><tr><th>TYPE</th><td>IKH</td></tr><tr><th>MODEL NO. </th><td>0024SDJC41M-P</td></tr><tr><th>NOM. EFF. </th><td>86. 5</td></tr></tbody></table><table class=""description-table""><tbody><tr><th>VOLTS</th><td>575</td></tr><tr><th>ENCLOSURE</th><td>TEFC</td></tr><tr><th>S. F. </th><td>1. 15</td></tr><tr><th>AMB. </th><td>40 C</td></tr><tr><th>MIN. EFF. </th><td>84</td></tr></tbody></table><table class=""description-table""><tbody><tr><th>FREQUENCY</th><td>60 Hz</td></tr><tr><th>FLAMPS</th><td>2. 40</td></tr><tr><th>NEMA DESIGN</th><td>B</td></tr><tr><th>CODE</th><td>K</td></tr><tr><th>kW. </th><td>1. 5</td></tr><tr><th>P. F. </th><td>74. 7</td></tr></tbody></table><table class=""description-table""><tbody><tr><th>S. RPM</th><td>1800</td></tr><tr><th>FLRPM</th><td>1750</td></tr><tr><th>INSUL CLASS</th><td>F</td></tr><tr><th>DUTY</th><td>CONT</td></tr><tr><th>SERIAL NO. </th><td></td></tr></tbody></table><h5>Amperage</h5><table class=""description-table""><tbody><tr><th>Locked Rotor: </th><td>18. 00</td></tr></tbody></table><h5>Torques</h5><table class=""description-table""><tbody><tr><th>FULL LOAD (lb-ft): </th><td>6</td></tr><tr><th>LOCKED ROTOR: </th><td>255</td></tr><tr><th>BREAK DOWN: </th><td>390</td></tr></tbody></table><h5>Bearings</h5><table class=""description-table""><tbody><tr><th>Drive End: </th><td>6305ZZC3</td></tr><tr><th>Opposite Drive End: </th><td>6305ZZC3</td></tr></tbody></table><h5>Efficiency (%)</h5><table class=""description-table""><tbody><tr><th>FULL LOAD: </th><td>86. 5</td></tr><tr><th>3/4 LOAD: </th><td>86. 1</td></tr><tr><th>1/2 LOAD: </th><td>83. 5</td></tr></tbody></table><h5>Power Factor (%)</h5><table class=""description-table""><tbody><tr><th>FULL LOAD: </th><td>74. 7</td></tr><tr><th>3/4 LOAD: </th><td>67. 6</td></tr><tr><th>1/2 LOAD: </th><td>55. 3</td></tr></tbody></table>"
2790738,"<br><h5> Motor Model Details</h5><table class=""description-table""><tbody><tr><th>Model Number</th><td>0032XPEC42A-P</td></tr><tr><th>Multiplier Symbol</th><td>MTPXPP</td></tr><tr><th>Weight</th><td>112 lbs</td></tr></tbody></table><h5> 60 Hertz Data</h5><table class=""description-table""><tbody><tr><th>H. P. </th><td>3</td></tr><tr><th>FRAME</th><td>182TC</td></tr><tr><th>FORM</th><td>FCKL1XX</td></tr><tr><th>TYPE</th><td>IKH</td></tr><tr><th>MODEL NO. </th><td>0032XPEC42A-P</td></tr><tr><th>NOM. EFF. </th><td>86. 5</td></tr></tbody></table><table class=""description-table""><tbody><tr><th>VOLTS</th><td>575</td></tr><tr><th>ENCLOSURE</th><td>TEFC</td></tr><tr><th>S. F. </th><td>1. 15</td></tr><tr><th>AMB. </th><td>40 C</td></tr><tr><th>MIN. EFF. </th><td>85. 5</td></tr></tbody></table><table class=""description-table""><tbody><tr><th>FREQUENCY</th><td>60 Hz</td></tr><tr><th>FLAMPS</th><td>3</td></tr><tr><th>NEMA DESIGN</th><td>B</td></tr><tr><th>CODE</th><td>J</td></tr><tr><th>kW. </th><td>2. 2</td></tr><tr><th>P. F. </th><td>88. 7</td></tr></tbody></table><table class=""description-table""><tbody><tr><th>S. RPM</th><td>3600</td></tr><tr><th>FLRPM</th><td>3500</td></tr><tr><th>INSUL CLASS</th><td>F</td></tr><tr><th>DUTY</th><td>CONT</td></tr><tr><th>SERIAL NO. </th><td></td></tr></tbody></table><h5>Amperage</h5><table class=""description-table""><tbody><tr><th>Locked Rotor: </th><td>24. 00</td></tr></tbody></table><h5>Torques</h5><table class=""description-table""><tbody><tr><th>FULL LOAD (lb-ft): </th><td>4. 5</td></tr><tr><th>LOCKED ROTOR: </th><td>185</td></tr><tr><th>BREAK DOWN: </th><td>350</td></tr></tbody></table><h5>Bearings</h5><table class=""description-table""><tbody><tr><th>Drive End: </th><td>6306ZZC3</td></tr><tr><th>Opposite Drive End: </th><td>6306ZZC3</td></tr></tbody></table><h5>Efficiency (%)</h5><table class=""description-table""><tbody><tr><th>FULL LOAD: </th><td>86. 7</td></tr><tr><th>3/4 LOAD: </th><td>86. 6</td></tr><tr><th>1/2 LOAD: </th><td>84. 6</td></tr></tbody></table><h5>Power Factor (%)</h5><table class=""description-table""><tbody><tr><th>FULL LOAD: </th><td>88. 7</td></tr><tr><th>3/4 LOAD: </th><td>85. 6</td></tr><tr><th>1/2 LOAD: </th><td>78. 1</td></tr></tbody></table>"
2931452,"<br><h5> Motor Model Details</h5><table class=""description-table""><tbody><tr><th>Model Number</th><td>0026SDJC41M-P</td></tr><tr><th>Multiplier Symbol</th><td>MTPCCP</td></tr><tr><th>Weight</th><td>93 lbs</td></tr></tbody></table><h5> 60 Hertz Data</h5><table class=""description-table""><tbody><tr><th>H. P. </th><td>2</td></tr><tr><th>FRAME</th><td>184JM</td></tr><tr><th>FORM</th><td>FCKL1</td></tr><tr><th>TYPE</th><td>IKH</td></tr><tr><th>MODEL NO. </th><td>0026SDJC41M-P</td></tr><tr><th>NOM. EFF. </th><td>88. 5</td></tr></tbody></table><table class=""description-table""><tbody><tr><th>VOLTS</th><td>575</td></tr><tr><th>ENCLOSURE</th><td>TEFC</td></tr><tr><th>S. F. </th><td>1. 15</td></tr><tr><th>AMB. </th><td>40 C</td></tr><tr><th>MIN. EFF. </th><td>86. 5</td></tr></tbody></table><table class=""description-table""><tbody><tr><th>FREQUENCY</th><td>60 Hz</td></tr><tr><th>FLAMPS</th><td>3</td></tr><tr><th>NEMA DESIGN</th><td>B</td></tr><tr><th>CODE</th><td>L</td></tr><tr><th>kW. </th><td>1. 5</td></tr><tr><th>P. F. </th><td>62. 8</td></tr></tbody></table><table class=""description-table""><tbody><tr><th>S. RPM</th><td>1200</td></tr><tr><th>FLRPM</th><td>1170</td></tr><tr><th>INSUL CLASS</th><td>F</td></tr><tr><th>DUTY</th><td>CONT</td></tr><tr><th>SERIAL NO. </th><td></td></tr></tbody></table><h5>Amperage</h5><table class=""description-table""><tbody><tr><th>Locked Rotor: </th><td>20. 00</td></tr></tbody></table><h5>Torques</h5><table class=""description-table""><tbody><tr><th>FULL LOAD (lb-ft): </th><td>8. 98</td></tr><tr><th>LOCKED ROTOR: </th><td>275</td></tr><tr><th>BREAK DOWN: </th><td>460</td></tr></tbody></table><h5>Bearings</h5><table class=""description-table""><tbody><tr><th>Drive End: </th><td>6306ZZC3</td></tr><tr><th>Opposite Drive End: </th><td>6306ZZC3</td></tr></tbody></table><h5>Efficiency (%)</h5><table class=""description-table""><tbody><tr><th>FULL LOAD: </th><td>88. 5</td></tr><tr><th>3/4 LOAD: </th><td>86. 7</td></tr><tr><th>1/2 LOAD: </th><td>82. 4</td></tr></tbody></table><h5>Power Factor (%)</h5><table class=""description-table""><tbody><tr><th>FULL LOAD: </th><td>62. 8</td></tr><tr><th>3/4 LOAD: </th><td>54. 9</td></tr><tr><th>1/2 LOAD: </th><td>43. 0</td></tr></tbody></table>"
2790739,"<br><h5> Motor Model Details</h5><table class=""description-table""><tbody><tr><th>Model Number</th><td>0034XPEA41A-P</td></tr><tr><th>Multiplier Symbol</th><td>MTPXPP</td></tr><tr><th>Weight</th><td>117 lbs</td></tr></tbody></table><h5> 60 Hertz Data</h5><table class=""description-table""><tbody><tr><th>H. P. </th><td>3</td></tr><tr><th>FRAME</th><td>182T</td></tr><tr><th>FORM</th><td>FBK1XX</td></tr><tr><th>TYPE</th><td>IKH</td></tr><tr><th>MODEL NO. </th><td>0034XPEA41A-P</td></tr><tr><th>NOM. EFF. </th><td>89. 5</td></tr></tbody></table><table class=""description-table""><tbody><tr><th>VOLTS</th><td>230/460</td></tr><tr><th>ENCLOSURE</th><td>TEFC</td></tr><tr><th>S. F. </th><td>1. 15</td></tr><tr><th>AMB. </th><td>40 C</td></tr><tr><th>MIN. EFF. </th><td>87. 5</td></tr></tbody></table><table class=""description-table""><tbody><tr><th>FREQUENCY</th><td>60 Hz</td></tr><tr><th>FLAMPS</th><td>8/4</td></tr><tr><th>NEMA DESIGN</th><td>B</td></tr><tr><th>CODE</th><td>K</td></tr><tr><th>kW. </th><td>2. 2</td></tr><tr><th>P. F. </th><td>79. 6</td></tr></tbody></table><table class=""description-table""><tbody><tr><th>S. RPM</th><td>1800</td></tr><tr><th>FLRPM</th><td>1760</td></tr><tr><th>INSUL CLASS</th><td>F</td></tr><tr><th>DUTY</th><td>CONT</td></tr><tr><th>SERIAL NO. </th><td></td></tr></tbody></table><h5>Amperage</h5><table class=""description-table""><tbody><tr><th>Locked Rotor: </th><td>32. 00</td></tr></tbody></table><h5>Torques</h5><table class=""description-table""><tbody><tr><th>FULL LOAD (lb-ft): </th><td>8. 95</td></tr><tr><th>LOCKED ROTOR: </th><td>270</td></tr><tr><th>BREAK DOWN: </th><td>390</td></tr></tbody></table><h5>Bearings</h5><table class=""description-table""><tbody><tr><th>Drive End: </th><td>6306ZZC3</td></tr><tr><th>Opposite Drive End: </th><td>6306ZZC3</td></tr></tbody></table><h5>Efficiency (%)</h5><table class=""description-table""><tbody><tr><th>FULL LOAD: </th><td>89. 5</td></tr><tr><th>3/4 LOAD: </th><td>88. 9</td></tr><tr><th>1/2 LOAD: </th><td>86. 7</td></tr></tbody></table><h5>Power Factor (%)</h5><table class=""description-table""><tbody><tr><th>FULL LOAD: </th><td>79. 6</td></tr><tr><th>3/4 LOAD: </th><td>75. 0</td></tr><tr><th>1/2 LOAD: </th><td>65. 3</td></tr></tbody></table>"
2790743,"<br><h5> Motor Model Details</h5><table class=""description-table""><tbody><tr><th>Model Number</th><td>0036XPEA41A-P</td></tr><tr><th>Multiplier Symbol</th><td>MTPXPP</td></tr><tr><th>Weight</th><td>214 lbs</td></tr></tbody></table><h5> 60 Hertz Data</h5><table class=""description-table""><tbody><tr><th>H. P. </th><td>3</td></tr><tr><th>FRAME</th><td>213T</td></tr><tr><th>FORM</th><td>FBK1XX</td></tr><tr><th>TYPE</th><td>IKH</td></tr><tr><th>MODEL NO. </th><td>0036XPEA41A-P</td></tr><tr><th>NOM. EFF. </th><td>89. 5</td></tr></tbody></table><table class=""description-table""><tbody><tr><th>VOLTS</th><td>230/460</td></tr><tr><th>ENCLOSURE</th><td>TEFC</td></tr><tr><th>S. F. </th><td>1. 15</td></tr><tr><th>AMB. </th><td>40 C</td></tr><tr><th>MIN. EFF. </th><td>87. 5</td></tr></tbody></table><table class=""description-table""><tbody><tr><th>FREQUENCY</th><td>60 Hz</td></tr><tr><th>FLAMPS</th><td>8. 80/4. 40</td></tr><tr><th>NEMA DESIGN</th><td>B</td></tr><tr><th>CODE</th><td>K</td></tr><tr><th>kW. </th><td>2. 2</td></tr><tr><th>P. F. </th><td>74. 1</td></tr></tbody></table><table class=""description-table""><tbody><tr><th>S. RPM</th><td>1200</td></tr><tr><th>FLRPM</th><td>1170</td></tr><tr><th>INSUL CLASS</th><td>F</td></tr><tr><th>DUTY</th><td>CONT</td></tr><tr><th>SERIAL NO. </th><td></td></tr></tbody></table><h5>Amperage</h5><table class=""description-table""><tbody><tr><th>Locked Rotor: </th><td>32. 00</td></tr></tbody></table><h5>Torques</h5><table class=""description-table""><tbody><tr><th>FULL LOAD (lb-ft): </th><td>13. 5</td></tr><tr><th>LOCKED ROTOR: </th><td>225</td></tr><tr><th>BREAK DOWN: </th><td>370</td></tr></tbody></table><h5>Bearings</h5><table class=""description-table""><tbody><tr><th>Drive End: </th><td>6308ZZC3</td></tr><tr><th>Opposite Drive End: </th><td>6308ZZC3</td></tr></tbody></table><h5>Efficiency (%)</h5><table class=""description-table""><tbody><tr><th>FULL LOAD: </th><td>89. 6</td></tr><tr><th>3/4 LOAD: </th><td>89. 1</td></tr><tr><th>1/2 LOAD: </th><td>86. 5</td></tr></tbody></table><h5>Power Factor (%)</h5><table class=""description-table""><tbody><tr><th>FULL LOAD: </th><td>74. 1</td></tr><tr><th>3/4 LOAD: </th><td>67. 7</td></tr><tr><th>1/2 LOAD: </th><td>56. 0</td></tr></tbody></table>"
2931457,"<br><h5> Motor Model Details</h5><table class=""description-table""><tbody><tr><th>Model Number</th><td>0036SDJR41M-P</td></tr><tr><th>Multiplier Symbol</th><td>MTPCCP</td></tr><tr><th>Weight</th><td>147 lbs</td></tr></tbody></table><h5> 60 Hertz Data</h5><table class=""description-table""><tbody><tr><th>H. P. </th><td>3</td></tr><tr><th>FRAME</th><td>213JM</td></tr><tr><th>FORM</th><td>FCKL1</td></tr><tr><th>TYPE</th><td>IKH</td></tr><tr><th>MODEL NO. </th><td>0036SDJR41M-P</td></tr><tr><th>NOM. EFF. </th><td>89. 5</td></tr></tbody></table><table class=""description-table""><tbody><tr><th>VOLTS</th><td>230/460</td></tr><tr><th>ENCLOSURE</th><td>TEFC</td></tr><tr><th>S. F. </th><td>1. 15</td></tr><tr><th>AMB. </th><td>40 C</td></tr><tr><th>MIN. EFF. </th><td>87. 5</td></tr></tbody></table><table class=""description-table""><tbody><tr><th>FREQUENCY</th><td>60 Hz</td></tr><tr><th>FLAMPS</th><td>8. 80/4. 40</td></tr><tr><th>NEMA DESIGN</th><td>B</td></tr><tr><th>CODE</th><td>K</td></tr><tr><th>kW. </th><td>2. 2</td></tr><tr><th>P. F. </th><td>74. 1</td></tr></tbody></table><table class=""description-table""><tbody><tr><th>S. RPM</th><td>1200</td></tr><tr><th>FLRPM</th><td>1170</td></tr><tr><th>INSUL CLASS</th><td>F</td></tr><tr><th>DUTY</th><td>CONT</td></tr><tr><th>SERIAL NO. </th><td></td></tr></tbody></table><h5>Amperage</h5><table class=""description-table""><tbody><tr><th>Locked Rotor: </th><td>32. 00</td></tr></tbody></table><h5>Torques</h5><table class=""description-table""><tbody><tr><th>FULL LOAD (lb-ft): </th><td>13. 5</td></tr><tr><th>LOCKED ROTOR: </th><td>225</td></tr><tr><th>BREAK DOWN: </th><td>370</td></tr></tbody></table><h5>Bearings</h5><table class=""description-table""><tbody><tr><th>Drive End: </th><td>6308ZZC3</td></tr><tr><th>Opposite Drive End: </th><td>6308ZZC3</td></tr></tbody></table><h5>Efficiency (%)</h5><table class=""description-table""><tbody><tr><th>FULL LOAD: </th><td>89. 6</td></tr><tr><th>3/4 LOAD: </th><td>89. 1</td></tr><tr><th>1/2 LOAD: </th><td>86. 5</td></tr></tbody></table><h5>Power Factor (%)</h5><table class=""description-table""><tbody><tr><th>FULL LOAD: </th><td>74. 1</td></tr><tr><th>3/4 LOAD: </th><td>67. 7</td></tr><tr><th>1/2 LOAD: </th><td>56. 0</td></tr></tbody></table>"
2790745,"<br><h5> Motor Model Details</h5><table class=""description-table""><tbody><tr><th>Model Number</th><td>0036XPEC41A-P</td></tr><tr><th>Multiplier Symbol</th><td>MTPXPP</td></tr><tr><th>Weight</th><td>198 lbs</td></tr></tbody></table><h5> 60 Hertz Data</h5><table class=""description-table""><tbody><tr><th>H. P. </th><td>3</td></tr><tr><th>FRAME</th><td>213T</td></tr><tr><th>FORM</th><td>FBK1XX</td></tr><tr><th>TYPE</th><td>IKH</td></tr><tr><th>MODEL NO. </th><td>0036XPEC41A-P</td></tr><tr><th>NOM. EFF. </th><td>89. 5</td></tr></tbody></table><table class=""description-table""><tbody><tr><th>VOLTS</th><td>575</td></tr><tr><th>ENCLOSURE</th><td>TEFC</td></tr><tr><th>S. F. </th><td>1. 15</td></tr><tr><th>AMB. </th><td>40 C</td></tr><tr><th>MIN. EFF. </th><td>88. 5</td></tr></tbody></table><table class=""description-table""><tbody><tr><th>FREQUENCY</th><td>60 Hz</td></tr><tr><th>FLAMPS</th><td>3. 50</td></tr><tr><th>NEMA DESIGN</th><td>B</td></tr><tr><th>CODE</th><td>K</td></tr><tr><th>kW. </th><td>2. 2</td></tr><tr><th>P. F. </th><td>74. 2</td></tr></tbody></table><table class=""description-table""><tbody><tr><th>S. RPM</th><td>1200</td></tr><tr><th>FLRPM</th><td>1170</td></tr><tr><th>INSUL CLASS</th><td>F</td></tr><tr><th>DUTY</th><td>CONT</td></tr><tr><th>SERIAL NO. </th><td></td></tr></tbody></table><h5>Amperage</h5><table class=""description-table""><tbody><tr><th>Locked Rotor: </th><td>25. 00</td></tr></tbody></table><h5>Torques</h5><table class=""description-table""><tbody><tr><th>FULL LOAD (lb-ft): </th><td>13. 5</td></tr><tr><th>LOCKED ROTOR: </th><td>225</td></tr><tr><th>BREAK DOWN: </th><td>370</td></tr></tbody></table><h5>Bearings</h5><table class=""description-table""><tbody><tr><th>Drive End: </th><td>6308ZZC3</td></tr><tr><th>Opposite Drive End: </th><td>6308ZZC3</td></tr></tbody></table><h5>Efficiency (%)</h5><table class=""description-table""><tbody><tr><th>FULL LOAD: </th><td>89. 8</td></tr><tr><th>3/4 LOAD: </th><td>89. 2</td></tr><tr><th>1/2 LOAD: </th><td>86. 6</td></tr></tbody></table><h5>Power Factor (%)</h5><table class=""description-table""><tbody><tr><th>FULL LOAD: </th><td>74. 2</td></tr><tr><th>3/4 LOAD: </th><td>67. 8</td></tr><tr><th>1/2 LOAD: </th><td>56. 1</td></tr></tbody></table>"
2790746,"<br><h5> Motor Model Details</h5><table class=""description-table""><tbody><tr><th>Model Number</th><td>0036XPEC42A-P</td></tr><tr><th>Multiplier Symbol</th><td>MTPXPP</td></tr><tr><th>Weight</th><td>216 lbs</td></tr></tbody></table><h5> 60 Hertz Data</h5><table class=""description-table""><tbody><tr><th>H. P. </th><td>3</td></tr><tr><th>FRAME</th><td>213TC</td></tr><tr><th>FORM</th><td>FBK1XX</td></tr><tr><th>TYPE</th><td>IKH</td></tr><tr><th>MODEL NO. </th><td>0036XPEC42A-P</td></tr><tr><th>NOM. EFF. </th><td>89. 5</td></tr></tbody></table><table class=""description-table""><tbody><tr><th>VOLTS</th><td>575</td></tr><tr><th>ENCLOSURE</th><td>TEFC</td></tr><tr><th>S. F. </th><td>1. 15</td></tr><tr><th>AMB. </th><td>40 C</td></tr><tr><th>MIN. EFF. </th><td>88. 5</td></tr></tbody></table><table class=""description-table""><tbody><tr><th>FREQUENCY</th><td>60 Hz</td></tr><tr><th>FLAMPS</th><td>3. 5</td></tr><tr><th>NEMA DESIGN</th><td>B</td></tr><tr><th>CODE</th><td>K</td></tr><tr><th>kW. </th><td>2. 2</td></tr><tr><th>P. F. </th><td>74. 2</td></tr></tbody></table><table class=""description-table""><tbody><tr><th>S. RPM</th><td>1200</td></tr><tr><th>FLRPM</th><td>1170</td></tr><tr><th>INSUL CLASS</th><td>F</td></tr><tr><th>DUTY</th><td>CONT</td></tr><tr><th>SERIAL NO. </th><td></td></tr></tbody></table><h5>Amperage</h5><table class=""description-table""><tbody><tr><th>Locked Rotor: </th><td>25. 00</td></tr></tbody></table><h5>Torques</h5><table class=""description-table""><tbody><tr><th>FULL LOAD (lb-ft): </th><td>13. 5</td></tr><tr><th>LOCKED ROTOR: </th><td>225</td></tr><tr><th>BREAK DOWN: </th><td>370</td></tr></tbody></table><h5>Bearings</h5><table class=""description-table""><tbody><tr><th>Drive End: </th><td>6308ZZC3</td></tr><tr><th>Opposite Drive End: </th><td>6308ZZC3</td></tr></tbody></table><h5>Efficiency (%)</h5><table class=""description-table""><tbody><tr><th>FULL LOAD: </th><td>89. 8</td></tr><tr><th>3/4 LOAD: </th><td>86. 6</td></tr><tr><th>1/2 LOAD: </th><td>89. 2</td></tr></tbody></table><h5>Power Factor (%)</h5><table class=""description-table""><tbody><tr><th>FULL LOAD: </th><td>78. 6</td></tr><tr><th>3/4 LOAD: </th><td>56. 1</td></tr><tr><th>1/2 LOAD: </th><td>67. 8</td></tr></tbody></table>"
