"ID","ADDITIONAL_DESCRIPTION"
"107315","<h5> </p><table class=""description-table""><tr><th>Break torque</th><td>175 in. lbs. </td></tr><tr><th>Flow coefficient</th><td>230 CV</td></tr></table><h5> </p> <ul><li>Clamp End</li> <li>100% hydraulic tested / 100% inspected</li> <li>Field serviceable (no special tools required)</li></ul> <!-- /large-6 columns --> <h5> </p> <ul><li>All wetted surfaces are sanitary finished to </li></ul> <h5> </p> <ul><li>Pressure rating (PSI), Flow Coefficient (CV) and Break Torque (in. lbs. ) information supplied is based on water media at 68°F / 20°C </li> <li>Handle is not assembled when shipped. To order with handle assembled on the valve please request assembly in the special instructions of your order. </li></ul> <!-- /large-6 columns --> <!-- /row --> <!-- -->"
"107311","<h5> </p><table class=""description-table""><tr><th>Break torque</th><td>125 in. lbs. </td></tr><tr><th>Flow coefficient</th><td>80 CV</td></tr></table><h5> </p> <ul><li>Clamp End</li> <li>100% hydraulic tested / 100% inspected</li> <li>Field serviceable (no special tools required)</li></ul> <!-- /large-6 columns --> <h5> </p> <ul><li>All wetted surfaces are sanitary finished to </li></ul> <h5> </p> <ul><li>Pressure rating (PSI), Flow Coefficient (CV) and Break Torque (in. lbs. ) information supplied is based on water media at 68°F / 20°C </li> <li>Handle is not assembled when shipped. To order with handle assembled on the valve please request assembly in the special instructions of your order. </li></ul> <!-- /large-6 columns --> <!-- /row --> <!-- -->"
"105517","<h5> </p><table class=""description-table""><tr><th>Suitable for vacuum service </li> <li>Working pressure</th><td>suitable for use up to the maximum working pressure of the plastic tubing used. </td></tr></table><h5> </p><table class=""description-table""><tr><th>Positive seal</th><td>no leaks, after tubing is inserted, seal is made</td></tr><tr><th>Secure tube retention</th><td>pulling on tubing only serves to tighten the connection</td></tr><tr><th>Full flow design provides up to 60% more flow than conventional fittings with internal tube supports. </li></ul> <!-- /large-6 columns --> <h5> </p> <ul><li>Saves up to 75% of assembly time versus the standard compression fittings. </li> <li>Quick connect</th><td>simply push tubing in, no tools required. </td></tr><tr><th>Quick disconnect</th><td>hold two fingers on insert and pull tubing out, no tools required. </td></tr><tr><th>Reusable</th><td>connect and disconnect numerous times</td></tr></table><h5><table class=""description-table""><tr><th>Fittings are suitable for use up to the maximum working pressure of the plastic tubing used </li> <li>WARNING</th><td>This product contains a chemical known to the State of California to cause birth defects or other reproductive harm. Do not use in connection with drinking water. Wash hands after handling. </td></tr></table><!-- /large-6 columns --> <!-- /row --> <!-- -->"
"105516","<h5> </p><table class=""description-table""><tr><th>Suitable for vacuum service</li> <li>Working pressure</th><td>suitable for use up to the maximum working pressure of the plastic tubing used. </td></tr></table><h5> </p><table class=""description-table""><tr><th>Positive seal</th><td>no leaks, after tubing is inserted, seal is made</td></tr><tr><th>Secure tube retention</th><td>pulling on tubing only serves to tighten the connection</td></tr><tr><th>Full flow design provides up to 60% more flow than conventional fittings with internal tube supports. </li></ul> <!-- /large-6 columns --> <h5> </p> <ul><li>Saves up to 75% of assembly time versus the standard compression fittings. </li> <li>Quick connect</th><td>simply push tubing in, no tools required. </td></tr><tr><th>Quick disconnect</th><td>hold two fingers on insert and pull tubing out, no tools required. </td></tr><tr><th>Reusable</th><td>connect and disconnect numerous times</td></tr></table><h5><table class=""description-table""><tr><th>Fittings are suitable for use up to the maximum working pressure of the plastic tubing used</li> <li>WARNING</th><td>This product contains a chemical known to the State of California to cause birth defects or other reproductive harm. Do not use in connection with drinking water. Wash hands after handling. </td></tr></table><!-- /large-6 columns --> <!-- /row --> <!-- -->"
"105221","<h5><table class=""description-table""><tr><th>WARNING</th><td>This product contains a chemical known to the State of California to cause birth defects or other reproductive harm. Do not use in connection with drinking water. Wash hands after handling. </td></tr></table><!-- /large-6 columns --> <!-- /large-6 columns --> <!-- /row --> <!-- -->"
"105100","<h5><table class=""description-table""><tr><th>WARNING</th><td>This product contains a chemical known to the State of California to cause birth defects or other reproductive harm. Do not use in connection with drinking water. Wash hands after handling. </td></tr></table><!-- /large-6 columns --> <!-- /large-6 columns --> <!-- /row --> <!-- -->"
"105013","<h5><table class=""description-table""><tr><th>WARNING</th><td>This product contains a chemical known to the State of California to cause birth defects or other reproductive harm. Do not use in connection with drinking water. Wash hands after handling. </td></tr></table><!-- /large-6 columns --> <!-- /large-6 columns --> <!-- /row --> <!-- -->"
"105343","<h5><table class=""description-table""><tr><th>WARNING</th><td>This product contains a chemical known to the State of California to cause birth defects or other reproductive harm. Do not use in connection with drinking water. Wash hands after handling. </td></tr></table><!-- /large-6 columns --> <!-- /large-6 columns --> <!-- /row --> <!-- -->"
"104072","<h5><table class=""description-table""><tr><th>WARNING</th><td>This product contains a chemical known to the State of California to cause birth defects or other reproductive harm. Do not use in connection with drinking water. Wash hands after handling. </td></tr></table><!-- /large-6 columns --> <!-- /large-6 columns --> <!-- /row --> <!-- -->"
"105998","<h5> </p><table class=""description-table""><tr><th>Provides the required 500 GPM minimum to supplement the fire protection as an auxiliary inlet connection to the water supply. (250 GPM minimum per inlet. )</li></ul> <h5> </p> <ul><li>UL listed</li> <li>ULC listed</li></ul> <h5> </p> <ul><li>The swing clapper design provides an unobstructed waterway. </li> <li>Exposed Fire Department Connections (FDC) provide an economical method of satisfying local fire codes. </li></ul> <!-- /large-6 columns --> <h5> </p> <ul><li>Single swing clapper with (2) pin lug swivel inlets. </li></ul> <h5> <ul><li>Other thread options are available. Consult Dixon for pricing and availability. </li></ul> <h5> <ul><li>WARNING</th><td>This product contains a chemical known to the State of California to cause birth defects or other reproductive harm. Do not use in connection with drinking water. Wash hands after handling. </td></tr></table><!-- /large-6 columns --> <!-- /row --> <!-- -->"
"107314","<h5> </p><table class=""description-table""><tr><th>Break torque</th><td>125 in. lbs. </td></tr><tr><th>Flow coefficient</th><td>80 CV</td></tr></table><h5> </p> <ul><li>Clamp End</li> <li>Field serviceable (no special tools required)</li></ul> <!-- /large-6 columns --> <h5> </p> <ul><li>All wetted surfaces are sanitary finished to </li></ul> <h5> </p> <ul><li>Pressure rating (PSI), Flow Coefficient (CV) and Break Torque (in. lbs. ) information supplied is based on water media at 68°F / 20°C </li> <li>Handle is not assembled when shipped. To order with handle assembled on the valve please request assembly in the special instructions of your order. </li></ul> <!-- /large-6 columns --> <!-- /row --> <!-- -->"
"105952","<h5> </p><table class=""description-table""><tr><th>Use with 860 large hose crimper </li></ul> <!-- /large-6 columns --> <h5> <ul><li>WARNING</th><td>This product contains a chemical known to the State of California to cause birth defects or other reproductive harm. Do not use in connection with drinking water. Wash hands after handling. </td></tr></table><!-- /large-6 columns --> <!-- /row --> <!-- -->"
"108309","<h5> </p><table class=""description-table""><tr><th>ISO 9001, CS, CE and CSA-C US</li> <li>RoHS compliant</li></ul> <h5> </p> <ul><li>Valve has a brass ball, FKM elastomers, a blow-out proof brass stem, PTFE seats with double O-ring stem packing and an ISO 5211 mounting pad</li> <li>Electric actuator has lightweight powder coated aluminum alloy housing and is NEMA 4/4X waterproof and dustproof</li> <li>Actuator features extended duty cycle induction motor, high alloy steel gear train, H-insulation class, visual position indication, space heater and manual override standard</li> <li>Bracket &amp; coupler included</li></ul> <!-- /large-6 columns --> <h5> <ul><li>Even though there are torque safety factors built into our automated ball valve packages, actual service conditions must also be considered when selecting the proper product for the appropriate application. </li> <li>Severe service conditions such as dirty water, dirty air, all slurries, raw sewage water, oils, and other viscous fluids can have a dramatic affect in raising the torque requirements of ball valves as much as 75% and therefore larger actuators may be required. Please consult Dixon when dealing with these types of applications. </li> <li>WARNING</th><td>This product contains a chemical known to the State of California to cause birth defects or other reproductive harm. Do not use in connection with drinking water. Wash hands after handling. </td></tr></table><!-- /large-6 columns --> <!-- /row --> <!-- -->"
"108305","<h5> </p><table class=""description-table""><tr><th>ISO 9001, CS, CE and CSA-C US</li> <li>RoHS compliant</li></ul> <h5> </p> <ul><li>Valve has a brass ball, FKM elastomers, a blow-out proof brass stem, PTFE seats with double O-ring stem packing and an ISO 5211 mounting pad</li> <li>Electric actuator has lightweight powder coated aluminum alloy housing and is NEMA 4/4X waterproof and dustproof</li> <li>Actuator features extended duty cycle induction motor, high alloy steel gear train, H-insulation class, visual position indication, space heater and manual override standard</li> <li>Bracket &amp; coupler included</li></ul> <!-- /large-6 columns --> <h5> <ul><li>A wide variety of options are available</th><td>modulating, extra switches, transmitters, potentiometer, etc. Contact Dixon for details. </td></tr></table><h5><table class=""description-table""><tr><th>Even though there are torque safety factors built into our automated ball valve packages, actual service conditions must also be considered when selecting the proper product for the appropriate application. </li> <li>Severe service conditions such as dirty water, dirty air, all slurries, raw sewage water, oils, and other viscous fluids can have a dramatic affect in raising the torque requirements of ball valves as much as 75% and therefore larger actuators may be required. Please consult Dixon when dealing with these types of applications. </li> <li>WARNING</th><td>This product contains a chemical known to the State of California to cause birth defects or other reproductive harm. Do not use in connection with drinking water. Wash hands after handling. </td></tr></table><!-- /large-6 columns --> <!-- /row --> <!-- -->"
"108308","<h5> </p><table class=""description-table""><tr><th>ISO 9001, CS, CE and CSA-C US</li></ul> <h5> </p> <ul><li>Valve has a brass ball, FKM elastomers, a blow-out proof brass stem, PTFE seats with double O-ring stem packing and an ISO 5211 mounting pad</li> <li>Electric actuator has lightweight powder coated aluminum alloy housing and is NEMA 4/4X waterproof and dustproof</li> <li>Actuator features extended duty cycle induction motor, high alloy steel gear train, H-insulation class, visual position indication, space heater and manual override standard</li> <li>Bracket &amp; coupler included</li></ul> <!-- /large-6 columns --> <h5> <ul><li>A wide variety of options are available</th><td>modulating, extra switches, transmitters, potentiometer, etc. Contact Dixon for details. </td></tr></table><h5><table class=""description-table""><tr><th>Even though there are torque safety factors built into our automated ball valve packages, actual service conditions must also be considered when selecting the proper product for the appropriate application. </li> <li>Severe service conditions such as dirty water, dirty air, all slurries, raw sewage water, oils, and other viscous fluids can have a dramatic affect in raising the torque requirements of ball valves as much as 75% and therefore larger actuators may be required. Please consult Dixon when dealing with these types of applications. </li> <li>WARNING</th><td>This product contains a chemical known to the State of California to cause birth defects or other reproductive harm. Do not use in connection with drinking water. Wash hands after handling. </td></tr></table><!-- /large-6 columns --> <!-- /row --> <!-- -->"
"108320","<h5> </p><table class=""description-table""><tr><th>ISO 9001, CS, CE and CSA-C US</li> <li>RoHS compliant</li></ul> <h5> </p> <ul><li>Valve has 15% glass reinforced RTFE seats, a blow-out proof stainless steel stem, live-loaded stem packing and an ISO 5211 mounting pad. </li> <li>Swing out in-line easy maintenance</li> <li>Electric actuator has lightweight powder coated aluminum alloy housing and is NEMA 4/4X waterproof and dustproof</li> <li>Actuator features extended duty cycle induction motor, high alloy steel gear train, H-insulation class, visual position indication, space heater and manual override standard</li></ul> <!-- /large-6 columns --> <h5> <ul><li>A wide variety of options are available</th><td>modulating, extra switches, transmitters, potentiometer, etc. Contact Dixon for details. </td></tr></table><h5> <ul><li>Even though there are torque safety factors built into our automated ball valve packages, actual service conditions must also be considered when selecting the proper product for the appropriate application. </li> <li>Severe service conditions such as dirty water, dirty air, all slurries, raw sewage water, oils, and other viscous fluids can have a dramatic affect in raising the torque requirements of ball valves as much as 75% and therefore larger actuators may be required. Please consult Dixon when dealing with these types of applications. </li></ul> <!-- /large-6 columns --> <!-- /row --> <!-- -->"
