ID,ADDITIONAL_DESCRIPTION
2889890,"<table class=""description-table""><thead><tr><th>Product Line</th><th>Single Row Angular Contact</th></tr></thead><tbody><tr><th>Product Line</th><td >Single Row Angular Contact</td></tr><tr><th>Bore Dia (mm)</th><td >55</td></tr><tr><th>Series</th><td >7300B</td></tr><tr><th>Version</th><td >B</td></tr><tr><th>Bearing Material</th><td >52100 Bearing Steel</td></tr><tr><th>Contact Angle</th><td >40°</td></tr><tr><th>Precision Rating</th><td >P0</td></tr></tbody></table>"
2889878,"<table class=""description-table""><thead><tr><th>Product Line</th><th>Single Row Angular Contact</th></tr></thead><tbody><tr><th>Product Line</th><td >Single Row Angular Contact</td></tr><tr><th>Bore Dia (mm)</th><td >20</td></tr><tr><th>Series</th><td >7300B</td></tr><tr><th>Version</th><td >B</td></tr><tr><th>Bearing Material</th><td >52100 Bearing Steel</td></tr><tr><th>Contact Angle</th><td >40°</td></tr><tr><th>Precision Rating</th><td >P0</td></tr></tbody></table>"
2889886,"<table class=""description-table""><thead><tr><th>Product Line</th><th>Single Row Angular Contact</th></tr></thead><tbody><tr><th>Product Line</th><td >Single Row Angular Contact</td></tr><tr><th>Bore Dia (mm)</th><td >45</td></tr><tr><th>Series</th><td >7300B</td></tr><tr><th>Version</th><td >B</td></tr><tr><th>Bearing Material</th><td >52100 Bearing Steel</td></tr><tr><th>Contact Angle</th><td >40°</td></tr><tr><th>Precision Rating</th><td >P0</td></tr></tbody></table>"
2889894,"<table class=""description-table""><thead><tr><th>Product Line</th><th>Single Row Angular Contact</th></tr></thead><tbody><tr><th>Product Line</th><td >Single Row Angular Contact</td></tr><tr><th>Bore Dia (mm)</th><td >65</td></tr><tr><th>Series</th><td >7300B</td></tr><tr><th>Version</th><td >B</td></tr><tr><th>Bearing Material</th><td >52100 Bearing Steel</td></tr><tr><th>Contact Angle</th><td >40°</td></tr><tr><th>Precision Rating</th><td >P0</td></tr></tbody></table>"
2889910,"<table class=""description-table""><thead><tr><th>Product Line</th><th>Single Row Self-Aligning</th></tr></thead><tbody><tr><th>Product Line</th><td >Single Row Self-Aligning</td></tr><tr><th>Bore Dia (mm)</th><td >12</td></tr><tr><th>Series</th><td >1200</td></tr><tr><th>Version</th><td >Open</td></tr><tr><th>Radial Clearance</th><td >Normal</td></tr></tbody></table>"
2889874,"<table class=""description-table""><thead><tr><th>Product Line</th><th>Single Row Angular Contact</th></tr></thead><tbody><tr><th>Product Line</th><td >Single Row Angular Contact</td></tr><tr><th>Bore Dia (mm)</th><td >120</td></tr><tr><th>Series</th><td >7200B</td></tr><tr><th>Version</th><td >B</td></tr><tr><th>Bearing Material</th><td >52100 Bearing Steel</td></tr><tr><th>Contact Angle</th><td >40°</td></tr><tr><th>Precision Rating</th><td >P0</td></tr></tbody></table>"
2889918,"<table class=""description-table""><thead><tr><th>Product Line</th><th>Single Row Self-Aligning</th></tr></thead><tbody><tr><th>Product Line</th><td >Single Row Self-Aligning</td></tr><tr><th>Bore Dia (mm)</th><td >30</td></tr><tr><th>Series</th><td >1200</td></tr><tr><th>Version</th><td >Open</td></tr><tr><th>Radial Clearance</th><td >Normal</td></tr></tbody></table>"
2889870,"<table class=""description-table""><thead><tr><th>Product Line</th><th>Single Row Angular Contact</th></tr></thead><tbody><tr><th>Product Line</th><td >Single Row Angular Contact</td></tr><tr><th>Bore Dia (mm)</th><td >90</td></tr><tr><th>Series</th><td >7200B</td></tr><tr><th>Version</th><td >B</td></tr><tr><th>Bearing Material</th><td >52100 Bearing Steel</td></tr><tr><th>Contact Angle</th><td >40°</td></tr><tr><th>Precision Rating</th><td >P0</td></tr></tbody></table>"
2889934,"<table class=""description-table""><thead><tr><th>Product Line</th><th>Single Row Self-Aligning</th></tr></thead><tbody><tr><th>Product Line</th><td >Single Row Self-Aligning</td></tr><tr><th>Bore Dia (mm)</th><td >55</td></tr><tr><th>Series</th><td >1200</td></tr><tr><th>Version</th><td >Open</td></tr><tr><th>Radial Clearance</th><td >C3</td></tr></tbody></table>"
2889882,"<table class=""description-table""><thead><tr><th>Product Line</th><th>Single Row Angular Contact</th></tr></thead><tbody><tr><th>Product Line</th><td >Single Row Angular Contact</td></tr><tr><th>Bore Dia (mm)</th><td >35</td></tr><tr><th>Series</th><td >7300B</td></tr><tr><th>Version</th><td >B</td></tr><tr><th>Bearing Material</th><td >52100 Bearing Steel</td></tr><tr><th>Contact Angle</th><td >40°</td></tr><tr><th>Precision Rating</th><td >P0</td></tr></tbody></table>"
2889914,"<table class=""description-table""><thead><tr><th>Product Line</th><th>Single Row Self-Aligning</th></tr></thead><tbody><tr><th>Product Line</th><td >Single Row Self-Aligning</td></tr><tr><th>Bore Dia (mm)</th><td >25</td></tr><tr><th>Series</th><td >1200</td></tr><tr><th>Version</th><td >Open</td></tr><tr><th>Radial Clearance</th><td >C3</td></tr></tbody></table>"
2889898,"<table class=""description-table""><thead><tr><th>Product Line</th><th>Single Row Angular Contact</th></tr></thead><tbody><tr><th>Product Line</th><td >Single Row Angular Contact</td></tr><tr><th>Bore Dia (mm)</th><td >75</td></tr><tr><th>Series</th><td >7300B</td></tr><tr><th>Version</th><td >B</td></tr><tr><th>Bearing Material</th><td >52100 Bearing Steel</td></tr><tr><th>Contact Angle</th><td >40°</td></tr><tr><th>Precision Rating</th><td >P0</td></tr></tbody></table>"
2889938,"<table class=""description-table""><thead><tr><th>Product Line</th><th>Single Row Self-Aligning</th></tr></thead><tbody><tr><th>Product Line</th><td >Single Row Self-Aligning</td></tr><tr><th>Bore Dia (mm)</th><td >60</td></tr><tr><th>Series</th><td >1200</td></tr><tr><th>Version</th><td >Open</td></tr><tr><th>Radial Clearance</th><td >Normal</td></tr></tbody></table>"
2889946,"<table class=""description-table""><thead><tr><th>Product Line</th><th>Single Row Self-Aligning</th></tr></thead><tbody><tr><th>Product Line</th><td >Single Row Self-Aligning</td></tr><tr><th>Bore Dia (mm)</th><td >75</td></tr><tr><th>Series</th><td >1200</td></tr><tr><th>Version</th><td >Open</td></tr><tr><th>Radial Clearance</th><td >Normal</td></tr></tbody></table>"
2889902,"<table class=""description-table""><thead><tr><th>Product Line</th><th>Single Row Angular Contact</th></tr></thead><tbody><tr><th>Product Line</th><td >Single Row Angular Contact</td></tr><tr><th>Bore Dia (mm)</th><td >95</td></tr><tr><th>Series</th><td >7300B</td></tr><tr><th>Version</th><td >B</td></tr><tr><th>Bearing Material</th><td >52100 Bearing Steel</td></tr><tr><th>Contact Angle</th><td >40°</td></tr><tr><th>Precision Rating</th><td >P0</td></tr></tbody></table>"
2889906,"<table class=""description-table""><thead><tr><th>Product Line</th><th>Single Row Angular Contact</th></tr></thead><tbody><tr><th>Product Line</th><td >Single Row Angular Contact</td></tr><tr><th>Bore Dia (mm)</th><td >130</td></tr><tr><th>Series</th><td >7300B</td></tr><tr><th>Version</th><td >B</td></tr><tr><th>Bearing Material</th><td >52100 Bearing Steel</td></tr><tr><th>Contact Angle</th><td >40°</td></tr><tr><th>Precision Rating</th><td >P0</td></tr></tbody></table>"
2889922,"<table class=""description-table""><thead><tr><th>Product Line</th><th>Single Row Self-Aligning</th></tr></thead><tbody><tr><th>Product Line</th><td >Single Row Self-Aligning</td></tr><tr><th>Bore Dia (mm)</th><td >35</td></tr><tr><th>Series</th><td >1200</td></tr><tr><th>Version</th><td >Open</td></tr><tr><th>Radial Clearance</th><td >C3</td></tr></tbody></table>"
2889926,"<table class=""description-table""><thead><tr><th>Product Line</th><th>Single Row Self-Aligning</th></tr></thead><tbody><tr><th>Product Line</th><td >Single Row Self-Aligning</td></tr><tr><th>Bore Dia (mm)</th><td >40</td></tr><tr><th>Series</th><td >1200</td></tr><tr><th>Version</th><td >Open</td></tr><tr><th>Radial Clearance</th><td >C3</td></tr></tbody></table>"
2889930,"<table class=""description-table""><thead><tr><th>Product Line</th><th>Single Row Self-Aligning</th></tr></thead><tbody><tr><th>Product Line</th><td >Single Row Self-Aligning</td></tr><tr><th>Bore Dia (mm)</th><td >50</td></tr><tr><th>Series</th><td >1200</td></tr><tr><th>Version</th><td >Open</td></tr><tr><th>Radial Clearance</th><td >Normal</td></tr></tbody></table>"
2889942,"<table class=""description-table""><thead><tr><th>Product Line</th><th>Single Row Self-Aligning</th></tr></thead><tbody><tr><th>Product Line</th><td >Single Row Self-Aligning</td></tr><tr><th>Bore Dia (mm)</th><td >65</td></tr><tr><th>Series</th><td >1200</td></tr><tr><th>Version</th><td >Open</td></tr><tr><th>Radial Clearance</th><td >Normal</td></tr></tbody></table>"
2889950,"<table class=""description-table""><thead><tr><th>Product Line</th><th>Single Row Self-Aligning</th></tr></thead><tbody><tr><th>Product Line</th><td >Single Row Self-Aligning</td></tr><tr><th>Bore Dia (mm)</th><td >80</td></tr><tr><th>Series</th><td >1200</td></tr><tr><th>Version</th><td >Open</td></tr><tr><th>Radial Clearance</th><td >Normal</td></tr></tbody></table>"
2889954,"<table class=""description-table""><thead><tr><th>Product Line</th><th>Single Row Self-Aligning</th></tr></thead><tbody><tr><th>Product Line</th><td >Single Row Self-Aligning</td></tr><tr><th>Bore Dia (mm)</th><td >85</td></tr><tr><th>Series</th><td >1200</td></tr><tr><th>Version</th><td >Open</td></tr><tr><th>Radial Clearance</th><td >C3</td></tr></tbody></table>"
2889990,"<table class=""description-table""><thead><tr><th>Product Line</th><th>Single Row Self-Aligning</th></tr></thead><tbody><tr><th>Product Line</th><td >Single Row Self-Aligning</td></tr><tr><th>Bore Dia (mm)</th><td >55</td></tr><tr><th>Series</th><td >1300</td></tr><tr><th>Version</th><td >Open</td></tr><tr><th>Radial Clearance</th><td >C3</td></tr></tbody></table>"
2889966,"<table class=""description-table""><thead><tr><th>Product Line</th><th>Single Row Self-Aligning</th></tr></thead><tbody><tr><th>Product Line</th><td >Single Row Self-Aligning</td></tr><tr><th>Bore Dia (mm)</th><td >25</td></tr><tr><th>Series</th><td >1300</td></tr><tr><th>Version</th><td >Open</td></tr><tr><th>Radial Clearance</th><td >Normal</td></tr></tbody></table>"
2889974,"<table class=""description-table""><thead><tr><th>Product Line</th><th>Single Row Self-Aligning</th></tr></thead><tbody><tr><th>Product Line</th><td >Single Row Self-Aligning</td></tr><tr><th>Bore Dia (mm)</th><td >35</td></tr><tr><th>Series</th><td >1300</td></tr><tr><th>Version</th><td >Open</td></tr><tr><th>Radial Clearance</th><td >C3</td></tr></tbody></table>"
2889958,"<table class=""description-table""><thead><tr><th>Product Line</th><th>Single Row Self-Aligning</th></tr></thead><tbody><tr><th>Product Line</th><td >Single Row Self-Aligning</td></tr><tr><th>Bore Dia (mm)</th><td >90</td></tr><tr><th>Series</th><td >1200</td></tr><tr><th>Version</th><td >Open</td></tr><tr><th>Radial Clearance</th><td >C3</td></tr></tbody></table>"
2889998,"<table class=""description-table""><thead><tr><th>Product Line</th><th>Single Row Self-Aligning</th></tr></thead><tbody><tr><th>Product Line</th><td >Single Row Self-Aligning</td></tr><tr><th>Bore Dia (mm)</th><td >65</td></tr><tr><th>Series</th><td >1300</td></tr><tr><th>Version</th><td >Open</td></tr><tr><th>Radial Clearance</th><td >C3</td></tr></tbody></table>"
2890006,"<table class=""description-table""><thead><tr><th>Product Line</th><th>Single Row Self-Aligning</th></tr></thead><tbody><tr><th>Product Line</th><td >Single Row Self-Aligning</td></tr><tr><th>Bore Dia (mm)</th><td >80</td></tr><tr><th>Series</th><td >1300</td></tr><tr><th>Version</th><td >Open</td></tr><tr><th>Radial Clearance</th><td >Normal</td></tr></tbody></table>"
2889962,"<table class=""description-table""><thead><tr><th>Product Line</th><th>Single Row Self-Aligning</th></tr></thead><tbody><tr><th>Product Line</th><td >Single Row Self-Aligning</td></tr><tr><th>Bore Dia (mm)</th><td >100</td></tr><tr><th>Series</th><td >1200</td></tr><tr><th>Version</th><td >Open</td></tr><tr><th>Radial Clearance</th><td >C3</td></tr></tbody></table>"
2889970,"<table class=""description-table""><thead><tr><th>Product Line</th><th>Single Row Self-Aligning</th></tr></thead><tbody><tr><th>Product Line</th><td >Single Row Self-Aligning</td></tr><tr><th>Bore Dia (mm)</th><td >30</td></tr><tr><th>Series</th><td >1300</td></tr><tr><th>Version</th><td >Open</td></tr><tr><th>Radial Clearance</th><td >C3</td></tr></tbody></table>"
2889986,"<table class=""description-table""><thead><tr><th>Product Line</th><th>Single Row Self-Aligning</th></tr></thead><tbody><tr><th>Product Line</th><td >Single Row Self-Aligning</td></tr><tr><th>Bore Dia (mm)</th><td >50</td></tr><tr><th>Series</th><td >1300</td></tr><tr><th>Version</th><td >Open</td></tr><tr><th>Radial Clearance</th><td >C3</td></tr></tbody></table>"
2890002,"<table class=""description-table""><thead><tr><th>Product Line</th><th>Single Row Self-Aligning</th></tr></thead><tbody><tr><th>Product Line</th><td >Single Row Self-Aligning</td></tr><tr><th>Bore Dia (mm)</th><td >70</td></tr><tr><th>Series</th><td >1300</td></tr><tr><th>Version</th><td >Open</td></tr><tr><th>Radial Clearance</th><td >C3</td></tr></tbody></table>"
2889982,"<table class=""description-table""><thead><tr><th>Product Line</th><th>Single Row Self-Aligning</th></tr></thead><tbody><tr><th>Product Line</th><td >Single Row Self-Aligning</td></tr><tr><th>Bore Dia (mm)</th><td >45</td></tr><tr><th>Series</th><td >1300</td></tr><tr><th>Version</th><td >Open</td></tr><tr><th>Radial Clearance</th><td >C3</td></tr></tbody></table>"
2890010,"<table class=""description-table""><thead><tr><th>Product Line</th><th>Single Row Self-Aligning</th></tr></thead><tbody><tr><th>Product Line</th><td >Single Row Self-Aligning</td></tr><tr><th>Bore Dia (mm)</th><td >85</td></tr><tr><th>Series</th><td >1300</td></tr><tr><th>Version</th><td >Open</td></tr><tr><th>Radial Clearance</th><td >Normal</td></tr></tbody></table>"
2889978,"<table class=""description-table""><thead><tr><th>Product Line</th><th>Single Row Self-Aligning</th></tr></thead><tbody><tr><th>Product Line</th><td >Single Row Self-Aligning</td></tr><tr><th>Bore Dia (mm)</th><td >40</td></tr><tr><th>Series</th><td >1300</td></tr><tr><th>Version</th><td >Open</td></tr><tr><th>Radial Clearance</th><td >C3</td></tr></tbody></table>"
2890022,"<table class=""description-table""><thead><tr><th>Product Line</th><th>Single Row Self-Aligning</th></tr></thead><tbody><tr><th>Product Line</th><td >Single Row Self-Aligning</td></tr><tr><th>Bore Dia (mm)</th><td >20</td></tr><tr><th>Series</th><td >2200</td></tr><tr><th>Version</th><td >2RS - 2 Seals</td></tr><tr><th>Radial Clearance</th><td >Normal</td></tr></tbody></table>"
2889994,"<table class=""description-table""><thead><tr><th>Product Line</th><th>Single Row Self-Aligning</th></tr></thead><tbody><tr><th>Product Line</th><td >Single Row Self-Aligning</td></tr><tr><th>Bore Dia (mm)</th><td >60</td></tr><tr><th>Series</th><td >1300</td></tr><tr><th>Version</th><td >Open</td></tr><tr><th>Radial Clearance</th><td >C3</td></tr></tbody></table>"
2890026,"<table class=""description-table""><thead><tr><th>Product Line</th><th>Single Row Self-Aligning</th></tr></thead><tbody><tr><th>Product Line</th><td >Single Row Self-Aligning</td></tr><tr><th>Bore Dia (mm)</th><td >25</td></tr><tr><th>Series</th><td >2200</td></tr><tr><th>Version</th><td >2RS - 2 Seals</td></tr><tr><th>Radial Clearance</th><td >Normal</td></tr></tbody></table>"
2890046,"<table class=""description-table""><thead><tr><th>Product Line</th><th>Single Row Self-Aligning</th></tr></thead><tbody><tr><th>Product Line</th><td >Single Row Self-Aligning</td></tr><tr><th>Bore Dia (mm)</th><td >40</td></tr><tr><th>Series</th><td >2200</td></tr><tr><th>Version</th><td >2RS - 2 Seals</td></tr><tr><th>Radial Clearance</th><td >Normal</td></tr></tbody></table>"
2890018,"<table class=""description-table""><thead><tr><th>Product Line</th><th>Single Row Self-Aligning</th></tr></thead><tbody><tr><th>Product Line</th><td >Single Row Self-Aligning</td></tr><tr><th>Bore Dia (mm)</th><td >95</td></tr><tr><th>Series</th><td >1300</td></tr><tr><th>Version</th><td >Open</td></tr><tr><th>Radial Clearance</th><td >Normal</td></tr></tbody></table>"
2890042,"<table class=""description-table""><thead><tr><th>Product Line</th><th>Single Row Self-Aligning</th></tr></thead><tbody><tr><th>Product Line</th><td >Single Row Self-Aligning</td></tr><tr><th>Bore Dia (mm)</th><td >35</td></tr><tr><th>Series</th><td >2200</td></tr><tr><th>Version</th><td >2RS - 2 Seals</td></tr><tr><th>Radial Clearance</th><td >Normal</td></tr></tbody></table>"
2890030,"<table class=""description-table""><thead><tr><th>Product Line</th><th>Single Row Self-Aligning</th></tr></thead><tbody><tr><th>Product Line</th><td >Single Row Self-Aligning</td></tr><tr><th>Bore Dia (mm)</th><td >25</td></tr><tr><th>Series</th><td >2200</td></tr><tr><th>Version</th><td >2RS - 2 Seals</td></tr><tr><th>Radial Clearance</th><td >C3</td></tr></tbody></table>"
2890014,"<table class=""description-table""><thead><tr><th>Product Line</th><th>Single Row Self-Aligning</th></tr></thead><tbody><tr><th>Product Line</th><td >Single Row Self-Aligning</td></tr><tr><th>Bore Dia (mm)</th><td >90</td></tr><tr><th>Series</th><td >1300</td></tr><tr><th>Version</th><td >Open</td></tr><tr><th>Radial Clearance</th><td >Normal</td></tr></tbody></table>"
2890034,"<table class=""description-table""><thead><tr><th>Product Line</th><th>Single Row Self-Aligning</th></tr></thead><tbody><tr><th>Product Line</th><td >Single Row Self-Aligning</td></tr><tr><th>Bore Dia (mm)</th><td >30</td></tr><tr><th>Series</th><td >2200</td></tr><tr><th>Version</th><td >2RS - 2 Seals</td></tr><tr><th>Radial Clearance</th><td >Normal</td></tr></tbody></table>"
2890050,"<table class=""description-table""><thead><tr><th>Product Line</th><th>Single Row Self-Aligning</th></tr></thead><tbody><tr><th>Product Line</th><td >Single Row Self-Aligning</td></tr><tr><th>Bore Dia (mm)</th><td >45</td></tr><tr><th>Series</th><td >2200</td></tr><tr><th>Version</th><td >Open</td></tr><tr><th>Radial Clearance</th><td >Normal</td></tr></tbody></table>"
2890038,"<table class=""description-table""><thead><tr><th>Product Line</th><th>Single Row Self-Aligning</th></tr></thead><tbody><tr><th>Product Line</th><td >Single Row Self-Aligning</td></tr><tr><th>Bore Dia (mm)</th><td >35</td></tr><tr><th>Series</th><td >2200</td></tr><tr><th>Version</th><td >Open</td></tr><tr><th>Radial Clearance</th><td >Normal</td></tr></tbody></table>"
2890070,"<table class=""description-table""><thead><tr><th>Product Line</th><th>Single Row Self-Aligning</th></tr></thead><tbody><tr><th>Product Line</th><td >Single Row Self-Aligning</td></tr><tr><th>Bore Dia (mm)</th><td >20</td></tr><tr><th>Series</th><td >2300</td></tr><tr><th>Version</th><td >Open</td></tr><tr><th>Radial Clearance</th><td >C3</td></tr></tbody></table>"
2890066,"<table class=""description-table""><thead><tr><th>Product Line</th><th>Single Row Self-Aligning</th></tr></thead><tbody><tr><th>Product Line</th><td >Single Row Self-Aligning</td></tr><tr><th>Bore Dia (mm)</th><td >65</td></tr><tr><th>Series</th><td >2200</td></tr><tr><th>Version</th><td >Open</td></tr><tr><th>Radial Clearance</th><td >C3</td></tr></tbody></table>"
2890082,"<table class=""description-table""><thead><tr><th>Product Line</th><th>Single Row Self-Aligning</th></tr></thead><tbody><tr><th>Product Line</th><td >Single Row Self-Aligning</td></tr><tr><th>Bore Dia (mm)</th><td >35</td></tr><tr><th>Series</th><td >2300</td></tr><tr><th>Version</th><td >Open</td></tr><tr><th>Radial Clearance</th><td >Normal</td></tr></tbody></table>"
2890054,"<table class=""description-table""><thead><tr><th>Product Line</th><th>Single Row Self-Aligning</th></tr></thead><tbody><tr><th>Product Line</th><td >Single Row Self-Aligning</td></tr><tr><th>Bore Dia (mm)</th><td >45</td></tr><tr><th>Series</th><td >2200</td></tr><tr><th>Version</th><td >Open</td></tr><tr><th>Radial Clearance</th><td >C3</td></tr></tbody></table>"
2890094,"<table class=""description-table""><thead><tr><th>Product Line</th><th>Single Row Self-Aligning</th></tr></thead><tbody><tr><th>Product Line</th><td >Single Row Self-Aligning</td></tr><tr><th>Bore Dia (mm)</th><td >50</td></tr><tr><th>Series</th><td >2300</td></tr><tr><th>Version</th><td >Open</td></tr><tr><th>Radial Clearance</th><td >Normal</td></tr></tbody></table>"
2890090,"<table class=""description-table""><thead><tr><th>Product Line</th><th>Single Row Self-Aligning</th></tr></thead><tbody><tr><th>Product Line</th><td >Single Row Self-Aligning</td></tr><tr><th>Bore Dia (mm)</th><td >45</td></tr><tr><th>Series</th><td >2300</td></tr><tr><th>Version</th><td >Open</td></tr><tr><th>Radial Clearance</th><td >Normal</td></tr></tbody></table>"
2890078,"<table class=""description-table""><thead><tr><th>Product Line</th><th>Single Row Self-Aligning</th></tr></thead><tbody><tr><th>Product Line</th><td >Single Row Self-Aligning</td></tr><tr><th>Bore Dia (mm)</th><td >30</td></tr><tr><th>Series</th><td >2300</td></tr><tr><th>Version</th><td >Open</td></tr><tr><th>Radial Clearance</th><td >C3</td></tr></tbody></table>"
2890062,"<table class=""description-table""><thead><tr><th>Product Line</th><th>Single Row Self-Aligning</th></tr></thead><tbody><tr><th>Product Line</th><td >Single Row Self-Aligning</td></tr><tr><th>Bore Dia (mm)</th><td >60</td></tr><tr><th>Series</th><td >2200</td></tr><tr><th>Version</th><td >Open</td></tr><tr><th>Radial Clearance</th><td >C3</td></tr></tbody></table>"
2890086,"<table class=""description-table""><thead><tr><th>Product Line</th><th>Single Row Self-Aligning</th></tr></thead><tbody><tr><th>Product Line</th><td >Single Row Self-Aligning</td></tr><tr><th>Bore Dia (mm)</th><td >40</td></tr><tr><th>Series</th><td >2300</td></tr><tr><th>Version</th><td >Open</td></tr><tr><th>Radial Clearance</th><td >Normal</td></tr></tbody></table>"
2890074,"<table class=""description-table""><thead><tr><th>Product Line</th><th>Single Row Self-Aligning</th></tr></thead><tbody><tr><th>Product Line</th><td >Single Row Self-Aligning</td></tr><tr><th>Bore Dia (mm)</th><td >25</td></tr><tr><th>Series</th><td >2300</td></tr><tr><th>Version</th><td >Open</td></tr><tr><th>Radial Clearance</th><td >C3</td></tr></tbody></table>"
2890098,"<table class=""description-table""><thead><tr><th>Product Line</th><th>Single Row Self-Aligning</th></tr></thead><tbody><tr><th>Product Line</th><td >Single Row Self-Aligning</td></tr><tr><th>Bore Dia (mm)</th><td >55</td></tr><tr><th>Series</th><td >2300</td></tr><tr><th>Version</th><td >Open</td></tr><tr><th>Radial Clearance</th><td >Normal</td></tr></tbody></table>"
2890058,"<table class=""description-table""><thead><tr><th>Product Line</th><th>Single Row Self-Aligning</th></tr></thead><tbody><tr><th>Product Line</th><td >Single Row Self-Aligning</td></tr><tr><th>Bore Dia (mm)</th><td >50</td></tr><tr><th>Series</th><td >2200</td></tr><tr><th>Version</th><td >Open</td></tr><tr><th>Radial Clearance</th><td >Normal</td></tr></tbody></table>"
