ID,ADDITIONAL_DESCRIPTION
2283434,"<table class=""description-table""><thead><tr><th>Type</th><th>Double Adjusting Drive Tighteners</th></tr></thead><tbody><tr><th>Type</th><td>Double Adjusting Drive Tighteners</td></tr><tr><th>Material</th><td>Malleable</td></tr><tr><th>Std Package Quantity</th><td>1</td></tr><tr><th>Warranty</th><td>1 Year</td></tr></tbody></table>"
2283490,"<table class=""description-table""><thead><tr><th>Type</th><th>Single Adjusting Drive Tighteners</th></tr></thead><tbody><tr><th>Type</th><td>Single Adjusting Drive Tighteners</td></tr><tr><th>Material</th><td>Malleable</td></tr><tr><th>Std Package Quantity</th><td>1</td></tr><tr><th>Warranty</th><td>1 Year</td></tr></tbody></table>"
2272032,"<table class=""description-table""><thead><tr><th>Product Type</th><th>Browning - Standard</th></tr></thead><tbody><tr><th>Product Type</th><td>Browning - Standard</td></tr><tr><th>Shaft Size (mm)</th><td>50</td></tr><tr><th>Rolling Element</th><td>Ball</td></tr><tr><th>Housing Type</th><td>Two Bolt Flange</td></tr><tr><th>Locking Device</th><td>Setscrew</td></tr><tr><th>Seal Type</th><td>Single Lip Contact with Flinger</td></tr><tr><th>Duty Series</th><td>Normal</td></tr></tbody></table>"
446192,"<table class=""description-table""><thead><tr><th>Accessory Type</th><th>Motor Base</th></tr></thead><tbody><tr><th>Accessory Type</th><td>Motor Base</td></tr><tr><th>AGMA Reducer Size</th><td>215-307SMTP/SMFP</td></tr><tr><th>Ratio</th><td>5: 1, 9: 1, 15: 1, 25: 1 or 35: 1</td></tr><tr><th>Ordering Note</th><td>Motor Mount Assembly consists of (1) Motor Base Kit, (1) Motor Mount Support and (1) Motor Mount Adapter</td></tr><tr><th>Note</th><td>Suitable for 56-365 NEMA Frame Motors</td></tr><tr><th>Dimensional Note</th><td>Please select a Motor Mount Support for Related Dimensions. </td></tr><tr><th>Warranty</th><td>2 Year</td></tr><tr><th>Feature 1</th><td>All steel construction, adjustable motor base</td></tr></tbody></table>"
450285,"<table class=""description-table""><thead><tr><th>Type</th><th>Coupling Split-Taper Grid HUB</th></tr></thead><tbody><tr><th>Type</th><td>Coupling Split-Taper Grid HUB</td></tr><tr><th>Style</th><td>N/A</td></tr><tr><th>Coupling Size</th><td>1070</td></tr><tr><th>Bore Type</th><td>No Bore</td></tr><tr><th>Max. Bore</th><td>1. 750</td></tr><tr><th>Bushing</th><td>P1</td></tr><tr><th>Hub Material</th><td>Carbon Steel</td></tr></tbody></table>"
445385,"<table class=""description-table""><thead><tr><th>Product Type</th><th>Split Taper Bushing</th></tr></thead><tbody><tr><th>Product Type</th><td>Split Taper Bushing</td></tr><tr><th>Bushing Type</th><td>Q1</td></tr><tr><th>Bore Size (in)</th><td>1. 688</td></tr><tr><th>Keyseat</th><td>3/8 x 3/16</td></tr><tr><th>Cap Screws (No. )</th><td>3</td></tr><tr><th>Cap Screws (Size)</th><td>3/8 x 1 1/4</td></tr><tr><th>Feature 1</th><td>Lifetime Warranty - If this bushing ever fails EPT will replace it Free of charge. </td></tr></tbody></table>"
446366,"<table class=""description-table""><thead><tr><th>Size</th><th>3</th></tr></thead><tbody><tr><th>Size</th><td>3</td></tr><tr><th>Ratio</th><td>1: 1</td></tr><tr><th>Assembly Position</th><td>LR</td></tr><tr><th>Mounting Position</th><td>Horizontal</td></tr><tr><th>Feature 1</th><td>Rugged cast iron housings, line bored for precise gear and bearing alignment. </td></tr><tr><th>Feature 2</th><td>Commercially available tapered roller and ball bearings provide large overhung load capacity. </td></tr><tr><th>Feature 3</th><td>Carburized alloy steel gears manufactured to AGMA standards for long life and quiet operation. </td></tr></tbody></table>"
2888951,"<table class=""description-table""><thead><tr><th>Product</th><th>Browning - Standard</th></tr></thead><tbody><tr><th>Product</th><td>Browning - Standard</td></tr><tr><th>Shaft Size (mm)</th><td>50</td></tr><tr><th>Rolling Element</th><td>Ball</td></tr><tr><th>Locking Device</th><td>BOA Concentric</td></tr><tr><th>Seal Type</th><td>Single Lip Contact with Flinger</td></tr><tr><th>Duty Series</th><td>Normal</td></tr><tr><th>Housing Base</th><td>Semi-Solid</td></tr></tbody></table>"
2888947,"<table class=""description-table""><thead><tr><th>Product</th><th>Browning - Air Handling</th></tr></thead><tbody><tr><th>Product</th><td>Browning - Air Handling</td></tr><tr><th>Shaft Size (mm)</th><td>30</td></tr><tr><th>Rolling Element</th><td>Ball</td></tr><tr><th>Locking Device</th><td>BOA Concentric</td></tr><tr><th>Seal Type</th><td>Single Lip Contact with Flinger</td></tr><tr><th>Duty Series</th><td>Normal</td></tr><tr><th>Housing Base</th><td>Semi-Solid</td></tr></tbody></table>"
2889271,"<table class=""description-table""><thead><tr><th>IEC Frame</th><th>90S-90L</th></tr></thead><tbody><tr><th>IEC Frame</th><td>90S-90L</td></tr><tr><th>Max. Motor Weight</th><td>90</td></tr><tr><th>Min. Sheave/Pulley Diameter</th><td>2</td></tr><tr><th>Industry Flyer</th><td>Browning Tenso-set Self-Tensioning Motor Base</td></tr><tr><th>Feature 1</th><td>Closed latch and operating position. </td></tr><tr><th>Feature 2</th><td>De-tensioned drive allows release lever gate to slide open. </td></tr><tr><th>Feature 3</th><td>Motor carriage slides forward and tensioning bolt passes through frame allowing a significant reduction in time required to safely change v-belts and maintenance system. </td></tr></tbody></table>"
