ID,ADDITIONAL_DESCRIPTION
2790327,"<table class=""description-table""><thead><tr><th>NOTE</th><th>No longer offered if no stock on hand. </th></tr></thead><tbody><tr><th>NOTE</th><td>No longer offered if no stock on hand. </td></tr><tr><th>Shaft/Bore Dia</th><td>1. 5000</td></tr><tr><th>Includes Inner Ring</th><td>Yes</td></tr><tr><th>Series</th><td>Standard</td></tr><tr><th>Sealing</th><td>Sealed</td></tr><tr><th>Basic Dynamic Rating</th><td>11, 200</td></tr><tr><th>Category</th><td>Unmounted Needle Roller Bearings</td></tr></tbody></table>"
2790325,"<table class=""description-table""><thead><tr><th>Category</th><th>Unmounted Needle Roller Bearings</th></tr></thead><tbody><tr><th>Category</th><td>Unmounted Needle Roller Bearings</td></tr><tr><th>Type</th><td>CAGEROL Needle Bearings</td></tr><tr><th>Material</th><td>52100 Bearing Steel</td></tr><tr><th>Precision Rating</th><td>P0</td></tr></tbody></table>"
2790308,"<table class=""description-table""><thead><tr><th>Shaft/Bore Dia</th><th>0. 5000</th></tr></thead><tbody><tr><th>Shaft/Bore Dia</th><td>0. 5000</td></tr><tr><th>Includes Inner Ring</th><td>Yes</td></tr><tr><th>Series</th><td>Narrow</td></tr><tr><th>Sealing</th><td>Unsealed</td></tr><tr><th>Basic Dynamic Rating</th><td>4, 990</td></tr><tr><th>Category</th><td>Unmounted Needle Roller Bearings</td></tr><tr><th>Type</th><td>CAGEROL Needle Bearings</td></tr></tbody></table>"
460254,"<table class=""description-table""><thead><tr><th>Product Type</th><th>McGill CAMROL Cam Followers</th></tr></thead><tbody><tr><th>Product Type</th><td>McGill CAMROL Cam Followers</td></tr><tr><th>Series</th><td>Heavy Stud CAMROL</td></tr><tr><th>Roller Dia. </th><td>2. 0000</td></tr><tr><th>O. D. Configuration</th><td>Crowned</td></tr><tr><th>Sealing</th><td>Sealed</td></tr><tr><th>Hex/Slot</th><td>Screwdriver Slot</td></tr><tr><th>Adjustment</th><td>None</td></tr></tbody></table>"
459059,"<table class=""description-table""><thead><tr><th>Product Type</th><th>Unmounted Yoke Roller Bearing</th></tr></thead><tbody><tr><th>Product Type</th><td>Unmounted Yoke Roller Bearing</td></tr><tr><th>Series</th><td>Metric CAMROL (MCYR)</td></tr><tr><th>Roller Dia. (mm)</th><td>52</td></tr><tr><th>O. D. Configuration</th><td>Cylindrical</td></tr><tr><th>Sealing</th><td>Sealed</td></tr><tr><th>Rolling Element</th><td>Needle Rollers</td></tr><tr><th>Precision Rating</th><td>P0</td></tr></tbody></table>"
460079,"<table class=""description-table""><thead><tr><th>Product Type</th><th>Unmounted Yoke Roller Bearing</th></tr></thead><tbody><tr><th>Product Type</th><td>Unmounted Yoke Roller Bearing</td></tr><tr><th>Series</th><td>Corrosion Resistant (CRES) Inch CAMROL (CYR)</td></tr><tr><th>Roller Dia. (Inch)</th><td>1. 3750</td></tr><tr><th>O. D. Configuration</th><td>Cylindrical</td></tr><tr><th>Sealing</th><td>Sealed</td></tr><tr><th>Rolling Element</th><td>Needle Roller</td></tr><tr><th>Precision Rating</th><td>P0</td></tr></tbody></table>"
458662,"<table class=""description-table""><thead><tr><th>Shaft/Bore Dia</th><th>1. 5000</th></tr></thead><tbody><tr><th>Shaft/Bore Dia</th><td>1. 5000</td></tr><tr><th>Includes Inner Ring</th><td>No</td></tr><tr><th>Series</th><td>Standard</td></tr><tr><th>Sealing</th><td>Sealed</td></tr><tr><th>Basic Dynamic Rating</th><td>10, 300</td></tr><tr><th>Category</th><td>Unmounted Needle Roller Bearings</td></tr><tr><th>Type</th><td>CAGEROL Needle Bearings</td></tr></tbody></table>"
459884,"<table class=""description-table""><thead><tr><th>Bore Dia</th><th>4. 3307</th></tr></thead><tbody><tr><th>Bore Dia</th><td>4. 3307</td></tr><tr><th>Bore Configuration</th><td>Round/Tapered</td></tr><tr><th>Series</th><td>22200</td></tr><tr><th>Internal Clearance</th><td>C3</td></tr><tr><th>Seal Type</th><td>Standard</td></tr><tr><th>Basic Dynamic Rating</th><td>100, 000</td></tr><tr><th>Type</th><td>Spherical Roller Bearing</td></tr></tbody></table>"
460083,"<table class=""description-table""><thead><tr><th>Product Type</th><th>Unmounted Yoke Roller Bearing</th></tr></thead><tbody><tr><th>Product Type</th><td>Unmounted Yoke Roller Bearing</td></tr><tr><th>Series</th><td>Corrosion Resistant (CRES) Inch CAMROL (CYR)</td></tr><tr><th>Roller Dia. (Inch)</th><td>0. 7500</td></tr><tr><th>O. D. Configuration</th><td>Cylindrical</td></tr><tr><th>Sealing</th><td>Sealed</td></tr><tr><th>Rolling Element</th><td>Needle Roller</td></tr><tr><th>Precision Rating</th><td>P0</td></tr></tbody></table>"
460287,"<table class=""description-table""><thead><tr><th>Product Type</th><th>McGill CAMROL Cam Followers</th></tr></thead><tbody><tr><th>Product Type</th><td>McGill CAMROL Cam Followers</td></tr><tr><th>Series</th><td>Heavy Stud CAMROL</td></tr><tr><th>Roller Dia. </th><td>1. 5000</td></tr><tr><th>O. D. Configuration</th><td>Cylindrical</td></tr><tr><th>Sealing</th><td>Sealed</td></tr><tr><th>Hex/Slot</th><td>Screwdriver Slot</td></tr><tr><th>Adjustment</th><td>None</td></tr></tbody></table>"
460376,"<table class=""description-table""><thead><tr><th>Series</th><th>Inch CAMROL (CF)</th></tr></thead><tbody><tr><th>Series</th><td>Inch CAMROL (CF)</td></tr><tr><th>Roller Dia. (Inch)</th><td>1 1/2</td></tr><tr><th>Bearing Material</th><td>52100 Bearing Steel</td></tr><tr><th>Sealing</th><td>Sealed</td></tr><tr><th>Thread Type</th><td>UNC</td></tr><tr><th>Bearing Type</th><td>Cam Follower</td></tr><tr><th>O. D. Configuration</th><td>Crowned</td></tr></tbody></table>"
460543,"<table class=""description-table""><thead><tr><th>Product Type</th><th>Unmounted Yoke Roller Bearing</th></tr></thead><tbody><tr><th>Product Type</th><td>Unmounted Yoke Roller Bearing</td></tr><tr><th>Series</th><td>Inch CAMROL (CYR)</td></tr><tr><th>Roller Dia. (Inch)</th><td>0. 7500</td></tr><tr><th>O. D. Configuration</th><td>Crowned</td></tr><tr><th>Sealing</th><td>Sealed</td></tr><tr><th>Rolling Element</th><td>Needle Roller</td></tr><tr><th>Precision Rating</th><td>P0</td></tr></tbody></table>"
460696,"<table class=""description-table""><thead><tr><th>Series</th><th>Inch CAMROL (CF)</th></tr></thead><tbody><tr><th>Series</th><td>Inch CAMROL (CF)</td></tr><tr><th>Roller Dia. (Inch)</th><td>3/4</td></tr><tr><th>Bearing Material</th><td>52100 Bearing Steel</td></tr><tr><th>Sealing</th><td>Sealed</td></tr><tr><th>Thread Type</th><td>UNC</td></tr><tr><th>Bearing Type</th><td>Cam Follower</td></tr><tr><th>O. D. Configuration</th><td>Crowned</td></tr></tbody></table>"
460617,"<table class=""description-table""><thead><tr><th>Series</th><th>Inch CAMROL (CF)</th></tr></thead><tbody><tr><th>Series</th><td>Inch CAMROL (CF)</td></tr><tr><th>Roller Dia. (Inch)</th><td>1 1/2</td></tr><tr><th>Bearing Material</th><td>52100 Bearing Steel</td></tr><tr><th>Sealing</th><td>Sealed</td></tr><tr><th>Thread Type</th><td>UNC</td></tr><tr><th>Bearing Type</th><td>Cam Follower</td></tr><tr><th>O. D. Configuration</th><td>Crowned</td></tr></tbody></table>"
460586,"<table class=""description-table""><thead><tr><th>Product Type</th><th>Unmounted Yoke Roller Bearing</th></tr></thead><tbody><tr><th>Product Type</th><td>Unmounted Yoke Roller Bearing</td></tr><tr><th>Series</th><td>Inch CAMROL (CYR)</td></tr><tr><th>Roller Dia. (Inch)</th><td>3. 5000</td></tr><tr><th>O. D. Configuration</th><td>Cylindrical</td></tr><tr><th>Sealing</th><td>Unsealed</td></tr><tr><th>Rolling Element</th><td>Needle Roller</td></tr><tr><th>Precision Rating</th><td>P0</td></tr></tbody></table>"
459038,"<table class=""description-table""><thead><tr><th>Product Type</th><th>Unmounted Yoke Roller Bearing</th></tr></thead><tbody><tr><th>Product Type</th><td>Unmounted Yoke Roller Bearing</td></tr><tr><th>Series</th><td>Metric CAMROL (MCYR)</td></tr><tr><th>Roller Dia. (mm)</th><td>30</td></tr><tr><th>O. D. Configuration</th><td>Crowned</td></tr><tr><th>Sealing</th><td>Sealed</td></tr><tr><th>Rolling Element</th><td>Needle Rollers</td></tr><tr><th>Precision Rating</th><td>P0</td></tr></tbody></table>"
