ID,ADDITIONAL_DESCRIPTION
2380997,"<table class=""description-table""><thead><tr><th>Materials</th><th>Ultra High Molecular Weight Polyethylene</th></tr></thead><tbody><tr><th>Materials</th><td>Ultra High Molecular Weight Polyethylene</td></tr><tr><th>Color</th><td>White</td></tr><tr><th>Product Type</th><td>Bar Caps</td></tr><tr><th>Note</th><td>Clips onto 3/8? flat bar. </td></tr></tbody></table>"
2889453,"<table class=""description-table""><thead><tr><th>Product Type</th><th>Conveyor Chain Split Sprocket</th></tr></thead><tbody><tr><th>Product Type</th><td>Conveyor Chain Split Sprocket</td></tr><tr><th>Bore size (mm)</th><td>40</td></tr><tr><th>Number of Teeth</th><td>25</td></tr><tr><th>Construction</th><td>Two Piece Molded Sprockets</td></tr><tr><th>Material</th><td>Polyamide</td></tr><tr><th>Chain Series</th><td>812 - 815 - 815VG - 881M - 881MO</td></tr><tr><th>Feature 1</th><td>Quickly replaceable, reinforced version, high wear and</td></tr></tbody></table>"
2889439,"<table class=""description-table""><thead><tr><th>Product Type</th><th>Conveyor Chain Split Sprocket</th></tr></thead><tbody><tr><th>Product Type</th><td>Conveyor Chain Split Sprocket</td></tr><tr><th>Bore size (mm)</th><td>45</td></tr><tr><th>Number of Teeth</th><td>25</td></tr><tr><th>Construction</th><td>Two Piece Machined Sprockets</td></tr><tr><th>Material</th><td>Reinforced Polyamide</td></tr><tr><th>Chain Series</th><td>812 - 815 - 815VG - 881M - 881MO</td></tr><tr><th>Feature 1</th><td>Completely closed structure, easier to clean and to disinfect. </td></tr></tbody></table>"
2380201,"<table class=""description-table""><thead><tr><th>Materials</th><th>Ultra High Molecular Weight</th></tr></thead><tbody><tr><th>Materials</th><td>Ultra High Molecular Weight</td></tr><tr><th>Color</th><td>Whtie</td></tr><tr><th>Product Type</th><td>Chain Tracks</td></tr><tr><th>Length (ft)</th><td>10</td></tr></tbody></table>"
2380301,"<table class=""description-table""><thead><tr><th>Materials</th><th>Ultra High Molecular Weight Polyethylene</th></tr></thead><tbody><tr><th>Materials</th><td>Ultra High Molecular Weight Polyethylene</td></tr><tr><th>Color</th><td>Black</td></tr><tr><th>Product Type</th><td>Wear Strips</td></tr><tr><th>Length (m)</th><td>6</td></tr></tbody></table>"
2380457,"<table class=""description-table""><thead><tr><th>Materials</th><th>Nolu-S</th></tr></thead><tbody><tr><th>Materials</th><td>Nolu-S</td></tr><tr><th>Color</th><td>Grey</td></tr><tr><th>Product Type</th><td>Guide Rail</td></tr><tr><th>Length (ft)</th><td>10</td></tr></tbody></table>"
2380453,"<table class=""description-table""><thead><tr><th>Materials</th><th>Nolu-S</th></tr></thead><tbody><tr><th>Materials</th><td>Nolu-S</td></tr><tr><th>Color</th><td>Grey</td></tr><tr><th>Product Type</th><td>Solid Tee Guide Rails</td></tr><tr><th>Length (ft)</th><td>10</td></tr></tbody></table>"
2380701,"<table class=""description-table""><thead><tr><th>Materials</th><th>Nolu-S</th></tr></thead><tbody><tr><th>Materials</th><td>Nolu-S</td></tr><tr><th>Color</th><td>Grey</td></tr><tr><th>Product Type</th><td>Wear Strips</td></tr><tr><th>Length (ft)</th><td>10</td></tr><tr><th>Note</th><td>Holds tight onto 11 or 12 ga. sheet metal or 1/8? bar. </td></tr></tbody></table>"
2380813,"<table class=""description-table""><thead><tr><th>Materials</th><th>Nolu-SX</th></tr></thead><tbody><tr><th>Materials</th><td>Nolu-SX</td></tr><tr><th>Color</th><td>Dark Grey</td></tr><tr><th>Product Type</th><td>Neck Guides</td></tr></tbody></table>"
2380709,"<table class=""description-table""><thead><tr><th>Materials</th><th>Nolu-S</th></tr></thead><tbody><tr><th>Materials</th><td>Nolu-S</td></tr><tr><th>Color</th><td>Grey</td></tr><tr><th>Product Type</th><td>Wear Strips</td></tr><tr><th>Length (ft)</th><td>10</td></tr><tr><th>Note</th><td>Holds tight onto 11 or 12 ga. sheet metal or 1/8? bar. </td></tr></tbody></table>"
