ID,ADDITIONAL_DESCRIPTION
2941681,<ul><li>Meets MUTCD Standards</li><li>NCHRP-350 Certified</li><li>Fiberglass Ribsets are included and are ready for use</li><li>Ribs add rigidity to the sign construction and are coated to prevent splinters and fraying</li><li>Overlays available for changeable message signs</li></ul>
2941680,<ul><li>Meets MUTCD Standards</li><li>NCHRP-350 Certified</li><li>Fiberglass Ribsets are included and are ready for use</li><li>Ribs add rigidity to the sign construction and are coated to prevent splinters and fraying</li><li>Overlays available for changeable message signs</li></ul>
2941679,<ul><li>Meets MUTCD Standards</li><li>NCHRP-350 Certified</li><li>Fiberglass Ribsets are included and are ready for use</li><li>Ribs add rigidity to the sign construction and are coated to prevent splinters and fraying</li><li>Overlays available for changeable message signs</li></ul>
2941678,<ul><li>Meets MUTCD Standards</li><li>NCHRP-350 Certified</li><li>Fiberglass Ribsets are included and are ready for use</li><li>Ribs add rigidity to the sign construction and are coated to prevent splinters and fraying</li><li>Overlays available for changeable message signs</li></ul>
2941677,<ul><li>Meets MUTCD Standards</li><li>NCHRP-350 Certified</li><li>Fiberglass Ribsets are included and are ready for use</li><li>Ribs add rigidity to the sign construction and are coated to prevent splinters and fraying</li><li>Overlays available for changeable message signs</li></ul>
2941676,<ul><li>Meets MUTCD Standards</li><li>NCHRP-350 Certified</li><li>Fiberglass Ribsets are included and are ready for use</li><li>Ribs add rigidity to the sign construction and are coated to prevent splinters and fraying</li><li>Overlays available for changeable message signs</li></ul>
2941675,<ul><li>Meets MUTCD Standards</li><li>NCHRP-350 Certified</li><li>Fiberglass Ribsets are included and are ready for use</li><li>Ribs add rigidity to the sign construction and are coated to prevent splinters and fraying</li><li>Overlays available for changeable message signs</li></ul>
2941674,<ul><li>Meets MUTCD Standards</li><li>NCHRP-350 Certified</li><li>Fiberglass Ribsets are included and are ready for use</li><li>Ribs add rigidity to the sign construction and are coated to prevent splinters and fraying</li><li>Overlays available for changeable message signs</li></ul>
2941673,<ul><li>Meets MUTCD Standards</li><li>NCHRP-350 Certified</li><li>Fiberglass Ribsets are included and are ready for use</li><li>Ribs add rigidity to the sign construction and are coated to prevent splinters and fraying</li><li>Overlays available for changeable message signs</li></ul>
2941672,<ul><li>Meets MUTCD Standards</li><li>NCHRP-350 Certified</li><li>Fiberglass Ribsets are included and are ready for use</li><li>Ribs add rigidity to the sign construction and are coated to prevent splinters and fraying</li><li>Overlays available for changeable message signs</li></ul>
2941671,<ul><li>Meets MUTCD Standards</li><li>NCHRP-350 Certified</li><li>Fiberglass Ribsets are included and are ready for use</li><li>Ribs add rigidity to the sign construction and are coated to prevent splinters and fraying</li><li>Overlays available for changeable message signs</li></ul>
