"ID","ADDITIONAL_DESCRIPTION"
"5027989","<p>A real workhorse. Combines carrying capacity with space saving storage when not in use. Built with 1"" square heavy-gauge steel tubing with heavy-duty 4"" swivel casters in front and 10""Wheels in back. Top basket is chrome plated, comes with a legal file folder rack. Bottom basket accommodates bulkier items. Weight capacity is 50 lbs per basket. Overall Dimensions: 38.5""L x 16.5""W x 40.5""H.</p>"
"5027990","<p>Single glove box dispenser with our unique side loading - left & right, ""Side-Slide System"" allows you to maximize space and efficiency with any combination of dispensers. This unique design will accommodate all standard glove boxes. Our sturdy dispensers are constructed from 7 gauge wire and are powder coated in white for maximize protection and easy cleaning. Our mounting brackets allow for convenient mounting and all hardware is included. We also offer double and triple dispensers. You may also purchase glove box dispensers in bulk packs of 4 each. Dimensions: 10.5""L x 4.25""W x 6.75""H.</p>"
"5027991","<p>Double glove box dispenser with our unique side loading - left & right, ""Side-Slide System"" allows you to maximize space and efficiency with any combination of dispensers. This unique design will accommodate all standard glove boxes. Our sturdy dispensers are constructed from 7 gauge wire and are powder coated in white for maximize protection and easy cleaning. Our mounting brackets allow for convenient mounting and all hardware is included. We also offer double and triple dispensers. You may also purchase glove box dispensers in bulk packs of 4 each. Dimensions: 10.5""L x 4.25""W x 13.5""H.</p>"
"5027992","<p>Triple glove box dispenser with our unique side loading - left & right, ""Side-Slide System"" allows you to maximize space and efficiency with any combination of dispensers. This unique design will accommodate all standard glove boxes. Our sturdy dispensers are constructed from 7 gauge wire and are powder coated in white for maximize protection and easy cleaning. Our mounting brackets allow for convenient mounting and all hardware is included. We also offer double and triple dispensers. You may also purchase glove box dispensers in bulk packs of 4 each. Dimensions: 10.5""L x 4.25""W x 20.25""H.</p>"
"5027993","<p>This high impact ABS crack resistant blue lid is a replacement lid for all R&B hampers if color coordinating is important. This light weight lid allows for complete hands free operation of your R&B hamper. Please see our complete line of colored and replacement white lids along with our complete line of high quality standard and custom labels.</p>"
"5027995","<p>This convenient wire accessory bag holder is chrome plated and is made specifically for the 697 X-frame hamper. This basket allows you to store replacement liners or other appropriate products with the hamper.</p>"
"5027996","<p>This heavy duty canvas bag is made exclusively for the R&B 652 Collapsible Hamper. The bag is easy to carry with the snap closure shoulder strap dedicated to the 652 Collapsible Hamper</p>"
"5027997","<p>This heavy-duty 1"" tubular hamper by R&B Wire Producys has a bright and durable chrome finish and will accommodate most bags. This product offers great strength and durability to any laundry function. The solid folding bottom shelf provides quality strength to this unit. The 3"" non-marking casters provide smooth-rolling and easy mobility. Folds to approximately 5"" for convenient and safe storage. See our selection of bags and poly-liners to meet your needs. Bags not included. Dimensions: 18.5""L x 18""W x 37""H</p>"
"5028010","<p>This 60"" stack-rack garment rack is constructed form strong 1""Heavy-duty steel tubing and is coated in a sturdy silver powder coated finish. The accessory crossbar allows you to add a second level of hanging on this 60"" stack-rack garment rack. This sturdy crossbar will allow to double your unit capacity. The unit comes with our 4"" non-marking casters for smooth rolling and convenient transporting. This unit has a weight capacity of up to 150 lbs. A complete flame retardant nylon cover and cover kit frame is available for this garment rack by ordering our item 731. Ships knock down for easy shipping. Dimensions: 63""L x 22""W x 68""H.</p>"
"5028011","<p>This accessory crossbar allows you to add a second level of hanging on this 60"" 735 stack-rack garment rack. This sturdy crossbar will allow to double your unit capacity. It comes complete with the additional mounting brackets and hardware.</p>"
"5028012","<p>This 60"" stack-rack garment rack is constructed form strong 1""Heavy-duty steel tubing and is coated in a sturdy silver powder coated finish. The accessory crossbar allows you to add a second level of hanging on this 60"" stack-rack garment rack. This sturdy crossbar will allow to double your unit capacity. It comes complete with the additional mounting brackets and hardware. The unit comes with our 4"" non-marking casters for smooth rolling and convenient transporting. This unit has a weight capacity of up to 150 lbs. A complete flame retardant nylon cover and cover kit frame is available for this garment rack by ordering our item 731. Ships knock down for easy shipping. Dimensions: 63""L x 22""W x 68""H.</p>"
"5028013","<p>This 2-piece shelf allows you to add a bottom shelf to the 703 garment rack for boots or additional storage. Also handy for transporting other small items along with garments. This unit is constructed from heavy-duty wire with a bright and sturdy chrome finish. A useful accessory that attaches to the bottom of the 703 garment rack with ease. This shelf has a 50 lb. capacity.</p>"
"5028014","<p>This 2-piece shelf allows you to add a bottom shelf to the 704 garment rack for boots or additional storage. Also handy for transporting other small items along with garments. This unit is constructed from heavy-duty wire with a bright and sturdy chrome finish. A useful accessory that attaches to the bottom of the 704 garment rack with ease. This shelf has a 50 lb. capacity.</p>"
"5028015","<p>This 2-piece shelf allows you to add a bottom shelf to the 715 or 725 garment rack for boots or additional storage. Also handy for transporting other small items along with garments. This unit is constructed from heavy-duty wire with a bright and sturdy chrome finish. A useful accessory that attaches to the bottom of the garment rack with ease. This shelf has a 50 lb. capacity.</p>"
"5028016","<p>This 2-piece shelf allows you to add a bottom shelf to the 721 or 722 garment rack for boots or additional storage. Also handy for transporting other small items along with garments. This unit is constructed from heavy-duty wire with a bright and sturdy chrome finish. A useful accessory that attaches to the bottom of the garment rack with ease. This shelf has a 50 lb. capacity.</p>"
"5028017","<p>This heavy-duty white vinyl cover provides great protection and easy access to the truck's contents. The top incorporates a shock corded rim for a snug fit and easy removal. The Velcro closures keep the front of the trucks protected and secure. This cover fits the 748 turnabout truck. This cover comes in white only.</p>"
"5027998","<p>This heavy-duty 1"" tubular hamper by R&B Wire Products has a bright and durable chrome finish and will accommodate most bags. This product offers great strength and durability to any laundry function. The solid folding bottom shelf provides quality strength to this unit. The 3"" non-marking casters provide smooth-rolling and easy mobility. Folds to approximately 5"" for convenient and safe storage. See our selection of bags and poly-liners to meet your needs. Bags not included. Dimensions: 20""L x 22""W x 37""H</p>"
"5027999","<p>This heavy-duty 1"" tubular hamper by R&B Wire Products has a bright and durable chrome finish and will accommodate most bags - depending on the selected width. This unit offers great strength and durability to any laundry function. The 3"" non-marking casters provide smooth-rolling and easy mobility. This adjustable unit has a wire bottom shelf and will adjust to 3 settings - 18"", 22"" or 25""Widths. Folds to approximately 5"" for convenient and safe storage. See our selection of bags and poly-liners to meet your needs. Bags not included. Dimensions: 18""L x 18""W x 37""H (adjusts to 18"", 22"" or 25""Widths)</p>"
"5028000","<p>This convenient wire accessory bag holder is chrome plated and is made specifically for the 670 series and 680 series deluxe hampers. This basket allows you to store replacement liners or other appropriate products with the hamper.</p>"
"5028001","<p>This Standard Triangular Hamper by R&B Wire Products is made from 1"" tubular steel. Dual access foot pedal activation makes it easy to access opening from either side of the hamper. This medical grade hamper has a lid damper to allow for easy opening and a quiet, smooth and controlled closure. The rear support adjustable legs allow the user to control leg height to provide stability in all locations. These legs also keep the hamper the right distance from the wall which prevents the lid from hitting it during use. Units are powder coated with an attractive silver finish including the steel lid. Ships fully assembled. Dimensions: 21""L x 21""W x 32""H (width = front to back).</p>"
"5028002","<p>This hamper is constructed from heavy-duty 3/8""Wire with a sturdy zinc finish. When mobility and a lid are not required just unfold this hamper and it is ready for use. This hamper accommodates R&B's poly-liners and 640, 641 and 680 bags (Bags not included). Dimensions: 17.5""L x 14.5""W x 32.25""H.</p>"
"5028003","<p>This hamper is constructed from 7/8"" tubular steel for the base - 7 .25""High and 3 gauge wire for the tension arms. The sturdy and bright chrome finish makes this an attractive hamper. The unit has four 2""Hooded ball casters insuring smooth rolling. This unit collapses completely for shipping allowing for a great freight value. Dimensions: 17.5""L x 14.5""W x 34""H.</p>"
"5028004","<p>R&B Wire Products has a complete line of high quality garment racks including single, double and stack racks to meet all of your needs. This 36"" single pole garment rack is constructed form strong 7/8"" tubing and is plated in a bright and sturdy chrome finish. The unit comes with our 5"" non-marking polyurethane casters for smooth rolling and convenient transporting. Dimensions: 36""L x 18""W x 65.5""H.</p>"
"5028005","<p>R&B Wire Products has a complete line of high quality garment racks including single, double and stack racks to meet all of your needs. This 48"" single pole garment rack is constructed form strong 7/8"" tubing and is plated in a bright and sturdy chrome finish. The unit comes with our 5"" non-marking polyurethane casters for smooth rolling and convenient transporting. This unit has a weight capacity of up to 75 lbs. A complete flame retardant nylon cover and cover kit frame is available for this garment rack by ordering our item #750. You may also add a chrome plated wire bottom shelf to this unit by adding item 782. Ships knocked down for easy shipping. Dimensions: 48""L x 18""W x 69.5""H.</p>"
"5028006","<p>R&B Wire Products has a complete line of high quality garment racks including single, double and stack racks to meet all of your needs. This 60"" single pole garment rack is constructed from strong 1""Heavy-duty steel tubing and is plated in a bright and sturdy chrome finish. The unit comes with our 5"" non-marking polyurethane casters for smooth rolling and convenient transporting. This unit has a weight capacity of up to 175 lbs. A complete flame retardant nylon cover and cover kit frame is available for this garment rack by ordering our item 741. You may also add a chrome plated wite bottom shelf to this unit by adding item 783. Ships knocked down for easy shipping. Dimensions: 60""L x 27""W x 68""H.</p>"
"5028007","<p>R&B Wire Products has a complete line of high quality garment racks including single, double and stack racks to meet all of your needs. This 72"" single pole garment rack is constructed form strong 1""Heavy-duty steel tubing and is plated in a bright and sturdy chrome finish. The unit comes with our 5""non-marking polyurethane casters for smooth rolling and convenient transporting. This unit has a weight capacity of up to 175 lbs. A complete flame retardant nylon cover and cover kit frame is available for this garment rack by ordering our item 751. You may also add a chrome plated wite bottom shelf to this unit by adding item 784. Ships knock down for easy shipping. Dimensions: 72""L x 27""W x 68""H.</p>"
"5028008","<p>R&B Wire Products has a complete line of high quality garment racks including single, double and stack racks to meet all of your needs. This 72"" double pole garment rack is constructed form strong 1""Heavy-duty steel tubing and is plated in a bright and sturdy chrome finish. The unit comes with our 5"" non-marking polyurethane casters for smooth rolling and convenient transporting. This unit has a weight capacity of up to 200 lbs. A complete flame retardant nylon cover and cover kit frame is available for this garment rack by ordering our item 752. You may also add a chrome plated wite bottom shelf to this unit by adding item 784. Ship knock down for easy shipping. Dimensions: 72""L x 27""W x 68""H.</p>"
"5028009","<p>R&B Wire Products has a complete line of high quality garment racks including single, double and stack racks to meet all of your needs. This 60"" double pole garment rack is constructed from strong 1""Heavy-duty steel tubing and is plated in a bright and sturdy chrome finish. The unit comes with our 5"" non-marking polyurethane casters for smooth rolling and convenient transporting. This unit has a weight capacity of up to 200 lbs. A complete flame retardant nylon cover and cover kit frame is available for this garment rack by ordering our item #742. You may also add a chrome plated wite bottom shelf to this unit by adding item 783. Ships knocked down for easy shipping. Dimensions: 60""L x 27""W x 68""H.</p>"
"5027978","<p>This non-marking, air-cushion bumper by R&B Wire Products provides complete protection on all four sides of the basket. By minimizing bumps and markings on walls and doors, this air-cushion bumper will save your wallet long term. Non-marking grey vinyl fits F and S baskets. 108""Long.</p>"
"5027980","<p>This non-marking, air-cushion bumper by R&B Wire Products provides complete protection on all four sides of the basket. By minimizing bumps and markings on walls and doors, this air-cushion bumper will save your wallet long term. Non-marking gray vinyl fits on the F and S Basket. 101""Long.</p>"
"5027981","<p>This adhesive attaches bumpers to baskets securely. It will accommodate both 59 and 63 bumpers. Enough adhesive for 3-4 bumpers to be secured to baskets. Fast drying, exceptional strength and oil/water resistant.</p>"
"5027982","<p>This non-marking, air-cushion bumper by R&B Wire Products provides complete protection on all four sides of the basket. By minimizing bumps and markings on walls and doors, this air-cushion bumper will save your wallet long term. Non-marking grey vinyl fits E, D, T and G baskets. 93""Long.</p>"
"5027983","<p>This protective .75"" inside black plastic cap will fit the top of R&B Wire's double pole racks - including the 55, 56 and 58 double pole racks.</p>"
