ID,ADDITIONAL_DESCRIPTION
2938412,"<p>Dongan K-Factor transformers are specifically engineered to operate at full load and full harmonic rating without exceeding the rated insulation system values - effectively neutralizing the dangerous effects of temperature and circulating currents. Windings and cores are designed to operate in the presence of triple harmonics without overheating or forcing the core into saturation. These transformers will provide years of trouble free service to large office buildings, industrial plants, processing equipment and any load with a designated harmonic content. Electrostatic shield between windings provides cleaner output voltage and helps to reduce spikes and transients.</p><br><ul><li>Aluminum windings connect to bus bar style terminations equipped with NEMA standard holes for compression style terminals.</li><li>UL Class 220C Insulation system with 150CK - 13, Primary 480 Volts Delta, Secondary 208Y / 120, 60 Hz (All TK series meet DOE TP1 standards)K - 20, Primary 480 Volts Delta, Secondary 208Y / 120, 60 Hz (All TK series meet DOE TP1 standards)15 - 150 kVA Floor Mount - Ventilated - NEMA Type 3Rtemperature rise at full load and rated ambient.</li><li>NEMA Type 3R, ventilated, cabinet style, floor mount enclosure suitable for indoor or outdoor use.</li><li>Vibration dampening pads provide quiet operation.</li><li>Wall Mounting brackets are available in sizes up to 75 kVA.</li><li>Ground studs provided for bonding compatibility with both metallic and nonmetallic conduit.</li></ul>"
2938411,"<p>Dongan K-Factor transformers are specifically engineered to operate at full load and full harmonic rating without exceeding the rated insulation system values - effectively neutralizing the dangerous effects of temperature and circulating currents. Windings and cores are designed to operate in the presence of triple harmonics without overheating or forcing the core into saturation. These transformers will provide years of trouble free service to large office buildings, industrial plants, processing equipment and any load with a designated harmonic content. Electrostatic shield between windings provides cleaner output voltage and helps to reduce spikes and transients.</p><br><ul><li>Aluminum windings connect to bus bar style terminations equipped with NEMA standard holes for compression style terminals.</li><li>UL Class 220C Insulation system with 150C temperature rise at full load and rated ambient.</li><li>NEMA Type 3R, ventilated, cabinet style, floor mount enclosure suitable for indoor or outdoor use.</li><li>Vibration dampening pads provide quiet operation.</li><li>Wall Mounting brackets are available in sizes up to 75 kVA.</li><li>Ground studs provided for bonding compatibility with both metallic and nonmetallic conduit.</li></ul>"
2938406,"<p>Dongan K-Factor transformers are specifically engineered to operate at full load and full harmonic rating without exceeding the rated insulation system values - effectively neutralizing the dangerous effects of temperature and circulating currents. Windings and cores are designed to operate in the presence of triple harmonics without overheating or forcing the core into saturation. These transformers will provide years of trouble free service to large office buildings, industrial plants, processing equipment and any load with a designated harmonic content. Features</p><br><ul><li>Electrostatic shield between windings provides cleaner output voltage and helps to reduce spikes and transients.</li><li>Aluminum windings connect to bus bar style terminations equipped with NEMA standard holes for compression style terminals</li><li>NEMA Type 3R, ventilated, cabinet style, floor mount enclosure suitable for indoor or outdoor use.</li><li>Vibration dampening pads provide quiet operation.</li><li>Wall Mounting brackets are available in sizes up to 75 kVA.</li><li>Ground studs provided for bonding compatibility with both metallic and nonmetallic conduit.</li></ul>"
2938405,"<p>Dongan K-Factor transformers are specifically engineered to operate at full load and full harmonic rating without exceeding the rated insulation system values - effectively neutralizing the dangerous effects of temperature and circulating currents. Windings and cores are designed to operate in the presence of triple harmonics without overheating or forcing the core into saturation. These transformers will provide years of trouble free service to large office buildings, industrial plants, processing equipment and any load with a designated harmonic content. Electrostatic shield between windings provides cleaner output voltage and helps to reduce spikes and transients.</p><br><ul><li>Aluminum windings connect to bus bar style terminations equipped with NEMA standard holes for compression style terminals.</li><li>UL Class 220C Insulation system with 150C temperature rise at full load and rated ambient.</li><li>NEMA Type 3R, ventilated, cabinet style, floor mount enclosure suitable for indoor or outdoor use.</li><li>Vibration dampening pads provide quiet operation.</li><li>Wall Mounting brackets are available in sizes up to 75 kVA.</li><li>Ground studs provided for bonding compatibility with both metallic and nonmetallic conduit</li></ul>"
2938410,"<p>Dongan K-Factor transformers are specifically engineered to operate at full load and full harmonic rating without exceeding the rated insulation system values - effectively neutralizing the dangerous effects of temperature and circulating currents. Windings and cores are designed to operate in the presence of triple harmonics without overheating or forcing the core into saturation. These transformers will provide years of trouble free service to large office buildings, industrial plants, processing equipment and any load with a designated harmonic content. Three Phase: 12-150 kVA</p><br><ul><li>Electrostatic shield between windings provides cleaner output voltage and helps to reduce spikes and transients.</li><li>Aluminum windings connect to bus bar style terminations equipped with NEMA standard holes for compression style terminals.</li><li>UL Class 220C Insulation system with 150C temperature rise at full load and rated ambient.</li><li>NEMA Type 3R, ventilated, cabinet style, floor mount enclosure suitable for indoor or outdoor use.</li><li>Vibration dampening pads provide quiet operation.</li><li>Wall Mounting brackets are available in sizes up to 75 kVA.</li><li>Ground studs provided for bonding compatibility with both metallic and nonmetallic conduit.</li></ul>"
2938409,"<p>Dongan K-Factor transformers are specifically engineered to operate at full load and full harmonic rating without exceeding the rated insulation system values - effectively neutralizing the dangerous effects of temperature and circulating currents. Windings and cores are designed to operate in the presence of triple harmonics without overheating or forcing the core into saturation. These transformers will provide years of trouble free service to large office buildings, industrial plants, processing equipment and any load with a designated harmonic content. Electrostatic shield between windings provides cleaner output voltage and helps to reduce spikes and transients.</p><br><ul><li>Aluminum windings connect to bus bar style terminations equipped with NEMA standard holes for compression style terminals.</li><li>UL Class 220C Insulation system with 150C temperature rise at full load and rated ambient.</li><li>NEMA Type 3R, ventilated, cabinet style, floor mount enclosure suitable for indoor or outdoor use.</li><li>Vibration dampening pads provide quiet operation.</li><li>Wall Mounting brackets are available in sizes up to 75 kVA.</li><li>Ground studs provided for bonding compatibility with both metallic and nonmetallic conduit.</li></ul>"
2938408,"<p>Dongan K-Factor transformers are specifically engineered to operate at full load and full harmonic rating without exceeding the rated insulation system values - effectively neutralizing the dangerous effects of temperature and circulating currents. Windings and cores are designed to operate in the presence of triple harmonics without overheating or forcing the core into saturation. These transformers will provide years of trouble free service to large office buildings, industrial plants, processing equipment and any load with a designated harmonic content. Electrostatic shield between windings provides cleaner output voltage and helps to reduce spikes and transients.</p><br><ul><li>Aluminum windings connect to bus bar style terminations equipped with NEMA standard holes for compression style terminals.</li><li>UL Class 220C Insulation system with 150C temperature rise at full load and rated ambient.</li><li>NEMA Type 3R, ventilated, cabinet style, floor mount enclosure suitable for indoor or outdoor use.</li><li>Vibration dampening pads provide quiet operation.</li><li>Wall Mounting brackets are available in sizes up to 75 kVA</li></ul>"
2938407,"<p>Dongan K-Factor transformers are specifically engineered to operate at full load and full harmonic rating without exceeding the rated insulation system values - effectively neutralizing the dangerous effects of temperature and circulating currents. Windings and cores are designed to operate in the presence of triple harmonics without overheating or forcing the core into saturation. These transformers will provide years of trouble free service to large office buildings, industrial plants, processing equipment and any load with a designated harmonic content. Electrostatic shield between windings provides cleaner output voltage and helps to reduce spikes and transients.</p><br><ul><li>Aluminum windings connect to bus bar style terminations equipped with NEMA standard holes for compression style terminals.</li><li>UL Class 220C Insulation system with 150C temperature rise at full load and rated ambient.</li><li>NEMA Type 3R, ventilated, cabinet style, floor mount enclosure suitable for indoor or outdoor use.</li><li>Vibration dampening pads provide quiet operation.</li><li>Wall Mounting brackets are available in sizes up to 75 kVA.</li><li>Ground studs provided for bonding compatibility with both metallic and nonmetallic conduit.</li></ul>"
2938415,"<p>Dongan K-Factor transformers are specifically engineered to operate at full load and full harmonic rating without exceeding the rated insulation system values - effectively neutralizing the dangerous effects of temperature and circulating currents. Windings and cores are designed to operate in the presence of triple harmonics without overheating or forcing the core into saturation. These transformers will provide years of trouble free service to large office buildings, industrial plants, processing equipment and any load with a designated harmonic content. Features Electrostatic shield between windings provides cleaner output voltage and helps to reduce spikes and transients.</p><br><ul><li>Aluminum windings connect to bus bar style terminations equipped with NEMA standard holes for compression style terminals.</li><li>UL Class 220C Insulation system with 150CK - 13, Primary 480 Volts Delta, Secondary 208Y / 120, 60 Hz (All TK series meet DOE TP1 standards)K - 20, Primary 480 Volts Delta, Secondary 208Y / 120, 60 Hz (All TK series meet DOE TP1 standards)15 - 150 kVA Floor Mount - Ventilated - NEMA Type 3Rtemperature rise at full load and rated ambient.</li><li>NEMA Type 3R, ventilated, cabinet style, floor mount enclosure suitable for indoor or outdoor use.</li><li>Vibration dampening pads provide quiet operation.</li><li>Wall Mounting brackets are available in sizes up to 75 kVA.</li><li>Ground studs provided for bonding compatibility with both metallic and nonmetallic conduit.</li></ul>"
2938414,"<p>Dongan K-Factor transformers are specifically engineered to operate at full load and full harmonic rating without exceeding the rated insulation system values - effectively neutralizing the dangerous effects of temperature and circulating currents. Windings and cores are designed to operate in the presence of triple harmonics without overheating or forcing the core into saturation. These transformers will provide years of trouble free service to large office buildings, industrial plants, processing equipment and any load with a designated harmonic content. Electrostatic shield between windings provides cleaner output voltage and helps to reduce spikes and transients.</p><br><ul><li>Aluminum windings connect to bus bar style terminations equipped with NEMA standard holes for compression style terminals.</li><li>UL Class 220C Insulation system with 150CK - 13, Primary 480 Volts Delta, Secondary 208Y / 120, 60 Hz (All TK series meet DOE TP1 standards)K - 20, Primary 480 Volts Delta, Secondary 208Y / 120, 60 Hz (All TK series meet DOE TP1 standards)15 - 150 kVA Floor Mount - Ventilated - NEMA Type 3Rtemperature rise at full load and rated ambient.</li><li>NEMA Type 3R, ventilated, cabinet style, floor mount enclosure suitable for indoor or outdoor use.</li><li>Vibration dampening pads provide quiet operation.</li><li>Wall Mounting brackets are available in sizes up to 75 kVA.</li><li>Ground studs provided for bonding compatibility with both metallic and nonmetallic conduit. Electrostatic shield between windings provides cleaner output voltage and helps to reduce spikes and transients.</li><li>Aluminum windings connect to bus bar style terminations equipped with NEMA standard holes for compression style terminals.</li><li>UL Class 220C Insulation system with 150CK - 13, Primary 480 Volts Delta, Secondary 208Y / 120, 60 Hz (All TK series meet DOE TP1 standards)K - 20, Primary 480 Volts Delta, Secondary 208Y / 120, 60 Hz (All TK series meet DOE TP1 standards)15 - 150 kVA Floor Mount - Ventilated - NEMA Type 3Rtemperature rise at full load and rated ambient.</li><li>NEMA Type 3R, ventilated, cabinet style, floor mount enclosure suitable for indoor or outdoor use.</li><li>Vibration dampening pads provide quiet operation.</li><li>Wall Mounting brackets are available in sizes up to 75 kVA.</li><li>Ground studs provided for bonding compatibility with both metallic and nonmetallic conduit.</li></ul>"
