"ID","ADDITIONAL_DESCRIPTION"
"783333","<table class=""description-table""><tr><th >Belt Width</th><td>72-84 ''</td></tr><tr><th >Description</th><td>Diagonal Plow</td></tr><tr><th >Belt Speed</th><td>1000 FPM</td></tr><tr><th >Reversing</th><td>No</td></tr><tr><th >Belt Width</th><td>72-84 ''</td></tr><tr><th >Blade Material</th><td>UHMWPE</td></tr><tr><th >BladeDurometer</th><td>67-D</td></tr><tr><th >Temperature Rating</th><td>-40-160 Fahrenheit</td></tr><tr><th >Brand</th><td>Flexco</td></tr><tr><th >Compatible with Mechanical Splice</th><td>Yes</td></tr><tr><th >Compatible with Vulcanized Splice</th><td>Yes</td></tr><tr><th >Description</th><td>Diagonal Plow</td></tr></table>"
"783331","<table class=""description-table""><tr><th >Belt Width</th><td>36-42 ''</td></tr><tr><th >Description</th><td>Diagonal Plow</td></tr><tr><th >Belt Speed</th><td>1000 FPM</td></tr><tr><th >Reversing</th><td>No</td></tr><tr><th >Belt Width</th><td>36-42 ''</td></tr><tr><th >Blade Material</th><td>UHMWPE</td></tr><tr><th >BladeDurometer</th><td>67-D</td></tr><tr><th >Temperature Rating</th><td>-40-160 Fahrenheit</td></tr><tr><th >Brand</th><td>Flexco</td></tr><tr><th >Compatible with Mechanical Splice</th><td>Yes</td></tr><tr><th >Compatible with Vulcanized Splice</th><td>Yes</td></tr><tr><th >Description</th><td>Diagonal Plow</td></tr></table>"
"783332","<table class=""description-table""><tr><th >Belt Width</th><td>48-60 ''</td></tr><tr><th >Description</th><td>Diagonal Plow</td></tr><tr><th >Belt Speed</th><td>1000 FPM</td></tr><tr><th >Reversing</th><td>No</td></tr><tr><th >Belt Width</th><td>48-60 ''</td></tr><tr><th >Blade Material</th><td>UHMWPE</td></tr><tr><th >BladeDurometer</th><td>67-D</td></tr><tr><th >Temperature Rating</th><td>-40-160 Fahrenheit</td></tr><tr><th >Brand</th><td>Flexco</td></tr><tr><th >Compatible with Mechanical Splice</th><td>Yes</td></tr><tr><th >Compatible with Vulcanized Splice</th><td>Yes</td></tr><tr><th >Description</th><td>Diagonal Plow</td></tr></table>"
"783054","<table class=""description-table""><tr><th >Product Family</th><td>Flexco SR Rivets</td></tr><tr><th >Package</th><td>Bucket (1200 Rivets)</td></tr><tr><th >Rivet Style</th><td>Collated with Washer</td></tr><tr><th >Rivet Size</th><td>E</td></tr><tr><th >Rivet Material</th><td>Steel with Washer</td></tr><tr><th >Description</th><td>Flexco SR Rivets</td></tr><tr><th >Brand</th><td>Flexco</td></tr></table>"
"783073","<table class=""description-table""><tr><th >Product Family</th><td>Flexco SR Rivets</td></tr><tr><th >Package</th><td>Bucket (1200 Rivets)</td></tr><tr><th >Rivet Style</th><td>Collated with Washer</td></tr><tr><th >Rivet Size</th><td>D</td></tr><tr><th >Rivet Material</th><td>Stainless Steel with Washer</td></tr><tr><th >Description</th><td>Flexco SR Rivets</td></tr><tr><th >Brand</th><td>Flexco</td></tr></table>"
"783052","<table class=""description-table""><tr><th >Product Family</th><td>Flexco SR Rivets</td></tr><tr><th >Package</th><td>Bucket (1200 Rivets)</td></tr><tr><th >Rivet Style</th><td>Collated with Washer</td></tr><tr><th >Rivet Size</th><td>D</td></tr><tr><th >Rivet Material</th><td>Steel with Washer</td></tr><tr><th >Description</th><td>Flexco SR Rivets</td></tr><tr><th >Brand</th><td>Flexco</td></tr></table>"
"783056","<table class=""description-table""><tr><th >Product Family</th><td>Flexco SR Rivets</td></tr><tr><th >Package</th><td>Bucket (1200 Rivets)</td></tr><tr><th >Rivet Style</th><td>Collated with Washer</td></tr><tr><th >Rivet Size</th><td>F</td></tr><tr><th >Rivet Material</th><td>Steel with Washer</td></tr><tr><th >Description</th><td>Flexco SR Rivets</td></tr><tr><th >Brand</th><td>Flexco</td></tr></table>"
"783049","<table class=""description-table""><tr><th >Product Family</th><td>Flexco SR Rivets</td></tr><tr><th >Package</th><td>Bucket (1200 Rivets)</td></tr><tr><th >Rivet Style</th><td>Collated with Washer</td></tr><tr><th >Rivet Size</th><td>C</td></tr><tr><th >Rivet Material</th><td>Steel with Washer</td></tr><tr><th >Description</th><td>Flexco SR Rivets</td></tr><tr><th >Brand</th><td>Flexco</td></tr></table>"
"783330","<table class=""description-table""><tr><th >Belt Width</th><td>18-30 ''</td></tr><tr><th >Description</th><td>Diagonal Plow</td></tr><tr><th >Belt Speed</th><td>1000 FPM</td></tr><tr><th >Reversing</th><td>No</td></tr><tr><th >Belt Width</th><td>18-30 ''</td></tr><tr><th >Blade Material</th><td>UHMWPE</td></tr><tr><th >BladeDurometer</th><td>67-D</td></tr><tr><th >Temperature Rating</th><td>-40-160 Fahrenheit</td></tr><tr><th >Brand</th><td>Flexco</td></tr><tr><th >Compatible with Mechanical Splice</th><td>Yes</td></tr><tr><th >Compatible with Vulcanized Splice</th><td>Yes</td></tr><tr><th >Description</th><td>Diagonal Plow</td></tr></table>"
"783325","<table class=""description-table""><tr><th >Belt Width</th><td>72-96 ''</td></tr><tr><th >Belt Width</th><td>72-96 ''</td></tr><tr><th >Positioner Width</th><td>72-120 ''</td></tr><tr><th >Belt Width</th><td>72-96 ''</td></tr><tr><th >Roller Type</th><td>Steel</td></tr><tr><th >Positioner Width</th><td>72-120 ''</td></tr><tr><th >Roller Length</th><td>21 ''</td></tr><tr><th >Belt Speed</th><td>1000 FPM</td></tr><tr><th >Roller Diameter</th><td>6 ''</td></tr><tr><th >Roller Material</th><td>Steel</td></tr><tr><th >Reversing</th><td>Yes</td></tr><tr><th >Roller Length</th><td>21 ''</td></tr><tr><th >Roller Diameter</th><td>6 ''</td></tr><tr><td >Roller Bearings</td><td><spanTapered Roller ''</td></tr><tr><th >Roller Durometer</th><td></td></tr><tr><th >Roller Shaft Diameter</th><td>0.749 ''</td></tr><tr><th >Roller Wall Thickness</th><td>1/4 inches ''</td></tr><tr><th >Roller Rating</th><td>CEMA E</td></tr><tr><td >Roller Bearings</td><td><spanTapered Roller ''</td></tr><tr><th >Roller Specific Gravity</th><td>Over 1</td></tr><tr><th >Roller Shaft Diameter</th><td>0.749 ''</td></tr><tr><th >GreaseChemResistRoller</th><td>Good</td></tr><tr><th >Roller Wall Thickness</th><td>1/4 inches ''</td></tr><tr><th >Sticky Material Performance</th><td>Good</td></tr><tr><th >Compatible with Vulcanized Splice</th><td>Yes</td></tr><tr><th >Temperature Rating</th><td>- Fahrenheit</td></tr></table>"
