"ID","ADDITIONAL_DESCRIPTION"
"2986101","<p>Aramax v-belts are designed for outdoor power equipment. Aramax features a brown smooth clutching cover and strong aramid cord. The high performance construction delivers more horsepower, less stretch and longer service life.</p><p>Features/Advantages</p><ul><li>New and improved rubber compound</li><li><h5>New smooth clutching cover for shock loaded, backside-idler driven equipment</h5><ul><li>Superior clutching fabric</li><li>Increased thread count</li><li>Resistance to rollover</li></ul></li><li>Aramid tensile cords</li><li>Oil and heat resistant</li><li>Reduced stretch</li><li>Increased strength and durability</li></ul><p>Applications</p>Specifically designed for aggressive applications with heavy shock loads such as mowers, snow throwers, tillers, cultivators, shredders, splitters, and more<br><p>NOTE: When Aramax belts are used as a matched set, all belts must have the same SAG number. These high modulus aramid cord belts require closer matching than standard belts in order to tension properly and work together as a set.</p><p>Sizes</p><ul><li>3L, A, B cross-sections from 15"" to 117""</li><li>3L sizes use the industry standard part number ending in K</li><li>Classical part numbers are AK, BK</li></ul>"
"2986100","<p>Aramax v-belts are designed for outdoor power equipment. Aramax features a brown smooth clutching cover and strong aramid cord. The high performance construction delivers more horsepower, less stretch and longer service life.</p><p>Features/Advantages</p><ul><li>New and improved rubber compound</li><li><h5>New smooth clutching cover for shock loaded, backside-idler driven equipment</h5><ul><li>Superior clutching fabric</li><li>Increased thread count</li><li>Resistance to rollover</li></ul></li><li>Aramid tensile cords</li><li>Oil and heat resistant</li><li>Reduced stretch</li><li>Increased strength and durability</li></ul><p>Applications</p>Specifically designed for aggressive applications with heavy shock loads such as mowers, snow throwers, tillers, cultivators, shredders, splitters, and more<br><p>NOTE: When Aramax belts are used as a matched set, all belts must have the same SAG number. These high modulus aramid cord belts require closer matching than standard belts in order to tension properly and work together as a set.</p><p>Sizes</p><ul><li>3L, A, B cross-sections from 15"" to 117""</li><li>3L sizes use the industry standard part number ending in K</li><li>Classical part numbers are AK, BK</li></ul>"
"2986118","<p>Thoro-Twist v-belting is a perfect candidate for drives that have no take-up adjustment capability or for use as an emergency replacement belt. Thoro-Twist belts can be assembled by hand and rolled onto the drive just like a bicycle chain. A Thoro-Twist belt has the same cross-section dimensions as regular belts and can be installed on existing sheaves with no changes in setup.</p><p>Features/Advantages</p><ul><li>High performance urethane construction</li><li>Reinforced with multiple plies of strong but flexible fabric</li><li>Oil, chemical and heat resistant</li></ul>Applications<br><ul><li>Emergency replacement belt</li></ul><h5>Sizes</h5><ul><li>3L, A, B, and C cross-sections in 30 meter rolls</li></ul>"
"2986109","<p>Aramax v-belts are designed for outdoor power equipment. Aramax features a brown smooth clutching cover and strong aramid cord. The high performance construction delivers more horsepower, less stretch and longer service life.</p><p>Features/Advantages</p><ul><li>New and improved rubber compound</li><li><h5>New smooth clutching cover for shock loaded, backside-idler driven equipment</h5><ul><li>Superior clutching fabric</li><li>Increased thread count</li><li>Resistance to rollover</li></ul></li><li>Aramid tensile cords</li><li>Oil and heat resistant</li><li>Reduced stretch</li><li>Increased strength and durability</li></ul><p>Applications</p>Specifically designed for aggressive applications with heavy shock loads such as mowers, snow throwers, tillers, cultivators, shredders, splitters, and more<br><p>NOTE: When Aramax belts are used as a matched set, all belts must have the same SAG number. These high modulus aramid cord belts require closer matching than standard belts in order to tension properly and work together as a set.</p><p>Sizes</p><ul><li>3L, A, B cross-sections from 15"" to 117""</li><li>3L sizes use the industry standard part number ending in K</li><li>Classical part numbers are AK, BK</li></ul>"
"2986108","<p>Aramax v-belts are designed for outdoor power equipment. Aramax features a brown smooth clutching cover and strong aramid cord. The high performance construction delivers more horsepower, less stretch and longer service life.</p><p>Features/Advantages</p><ul><li>New and improved rubber compound</li><li><h5>New smooth clutching cover for shock loaded, backside-idler driven equipment</h5><ul><li>Superior clutching fabric</li><li>Increased thread count</li><li>Resistance to rollover</li></ul></li><li>Aramid tensile cords</li><li>Oil and heat resistant</li><li>Reduced stretch</li><li>Increased strength and durability</li></ul><p>Applications</p>Specifically designed for aggressive applications with heavy shock loads such as mowers, snow throwers, tillers, cultivators, shredders, splitters, and more<br><p>NOTE: When Aramax belts are used as a matched set, all belts must have the same SAG number. These high modulus aramid cord belts require closer matching than standard belts in order to tension properly and work together as a set.</p><p>Sizes</p><ul><li>3L, A, B cross-sections from 15"" to 117""</li><li>3L sizes use the industry standard part number ending in K</li><li>Classical part numbers are AK, BK</li></ul>"
"2986107","<p>Aramax v-belts are designed for outdoor power equipment. Aramax features a brown smooth clutching cover and strong aramid cord. The high performance construction delivers more horsepower, less stretch and longer service life.</p><p>Features/Advantages</p><ul><li>New and improved rubber compound</li><li><h5>New smooth clutching cover for shock loaded, backside-idler driven equipment</h5><ul><li>Superior clutching fabric</li><li>Increased thread count</li><li>Resistance to rollover</li></ul></li><li>Aramid tensile cords</li><li>Oil and heat resistant</li><li>Reduced stretch</li><li>Increased strength and durability</li></ul><p>Applications</p>Specifically designed for aggressive applications with heavy shock loads such as mowers, snow throwers, tillers, cultivators, shredders, splitters, and more<br><p>NOTE: When Aramax belts are used as a matched set, all belts must have the same SAG number. These high modulus aramid cord belts require closer matching than standard belts in order to tension properly and work together as a set.</p><p>Sizes</p><ul><li>3L, A, B cross-sections from 15"" to 117""</li><li>3L sizes use the industry standard part number ending in K</li><li>Classical part numbers are AK, BK</li></ul>"
"2986106","<p>Aramax v-belts are designed for outdoor power equipment. Aramax features a brown smooth clutching cover and strong aramid cord. The high performance construction delivers more horsepower, less stretch and longer service life.</p><p>Features/Advantages</p><ul><li>New and improved rubber compound</li><li><h5>New smooth clutching cover for shock loaded, backside-idler driven equipment</h5><ul><li>Superior clutching fabric</li><li>Increased thread count</li><li>Resistance to rollover</li></ul></li><li>Aramid tensile cords</li><li>Oil and heat resistant</li><li>Reduced stretch</li><li>Increased strength and durability</li></ul><p>Applications</p>Specifically designed for aggressive applications with heavy shock loads such as mowers, snow throwers, tillers, cultivators, shredders, splitters, and more<br><p>NOTE: When Aramax belts are used as a matched set, all belts must have the same SAG number. These high modulus aramid cord belts require closer matching than standard belts in order to tension properly and work together as a set.</p><p>Sizes</p><ul><li>3L, A, B cross-sections from 15"" to 117""</li><li>3L sizes use the industry standard part number ending in K</li><li>Classical part numbers are AK, BK</li></ul>"
"2986105","<p>Aramax v-belts are designed for outdoor power equipment. Aramax features a brown smooth clutching cover and strong aramid cord. The high performance construction delivers more horsepower, less stretch and longer service life.</p><p>Features/Advantages</p><ul><li>New and improved rubber compound</li><li><h5>New smooth clutching cover for shock loaded, backside-idler driven equipment</h5><ul><li>Superior clutching fabric</li><li>Increased thread count</li><li>Resistance to rollover</li></ul></li><li>Aramid tensile cords</li><li>Oil and heat resistant</li><li>Reduced stretch</li><li>Increased strength and durability</li></ul><p>Applications</p>Specifically designed for aggressive applications with heavy shock loads such as mowers, snow throwers, tillers, cultivators, shredders, splitters, and more<br><p>NOTE: When Aramax belts are used as a matched set, all belts must have the same SAG number. These high modulus aramid cord belts require closer matching than standard belts in order to tension properly and work together as a set.</p><p>Sizes</p><ul><li>3L, A, B cross-sections from 15"" to 117""</li><li>3L sizes use the industry standard part number ending in K</li><li>Classical part numbers are AK, BK</li></ul>"
"2986104","<p>Aramax v-belts are designed for outdoor power equipment. Aramax features a brown smooth clutching cover and strong aramid cord. The high performance construction delivers more horsepower, less stretch and longer service life.</p><p>Features/Advantages</p><ul><li>New and improved rubber compound</li><li><h5>New smooth clutching cover for shock loaded, backside-idler driven equipment</h5><ul><li>Superior clutching fabric</li><li>Increased thread count</li><li>Resistance to rollover</li></ul></li><li>Aramid tensile cords</li><li>Oil and heat resistant</li><li>Reduced stretch</li><li>Increased strength and durability</li></ul><p>Applications</p>Specifically designed for aggressive applications with heavy shock loads such as mowers, snow throwers, tillers, cultivators, shredders, splitters, and more<br><p>NOTE: When Aramax belts are used as a matched set, all belts must have the same SAG number. These high modulus aramid cord belts require closer matching than standard belts in order to tension properly and work together as a set.</p><p>Sizes</p><ul><li>3L, A, B cross-sections from 15"" to 117""</li><li>3L sizes use the industry standard part number ending in K</li><li>Classical part numbers are AK, BK</li></ul>"
"2986103","<p>Aramax v-belts are designed for outdoor power equipment. Aramax features a brown smooth clutching cover and strong aramid cord. The high performance construction delivers more horsepower, less stretch and longer service life.</p><p>Features/Advantages</p><ul><li>New and improved rubber compound</li><li><h5>New smooth clutching cover for shock loaded, backside-idler driven equipment</h5><ul><li>Superior clutching fabric</li><li>Increased thread count</li><li>Resistance to rollover</li></ul></li><li>Aramid tensile cords</li><li>Oil and heat resistant</li><li>Reduced stretch</li><li>Increased strength and durability</li></ul><p>Applications</p>Specifically designed for aggressive applications with heavy shock loads such as mowers, snow throwers, tillers, cultivators, shredders, splitters, and more<br><p>NOTE: When Aramax belts are used as a matched set, all belts must have the same SAG number. These high modulus aramid cord belts require closer matching than standard belts in order to tension properly and work together as a set.</p><p>Sizes</p><ul><li>3L, A, B cross-sections from 15"" to 117""</li><li>3L sizes use the industry standard part number ending in K</li><li>Classical part numbers are AK, BK</li></ul>"
