"ID","ADDITIONAL_DESCRIPTION"
"260394","<p>Metric A Plates are flat sprockets with no hub extension on either side. They can be altered for your application with bolt holes, custom bores, hardened teeth or special hubs welded to them</p>"
"252002","<p>Conveyor Coupling Bolts are manufactured from special analysis high-torque steel. The close tolerance minimizes wear and maintenance. Designed with short thread length and close tolerance to fit distinctively in conveyor screws. Lock nuts are furnished with each bolt</p>"
"252006","<p>Conveyor Coupling Bolts are manufactured from special analysis high-torque steel. The close tolerance minimizes wear and maintenance. Designed with short thread length and close tolerance to fit distinctively in conveyor screws. Lock nuts are furnished with each bolt</p>"
"251982","<p>Conveyor Coupling Bolts are manufactured from special analysis high-torque steel. The close tolerance minimizes wear and maintenance. Designed with short thread length and close tolerance to fit distinctively in conveyor screws. Lock nuts are furnished with each bolt</p>"
"252406","<p>Outside trough ends less feet are used to support end bearing and cover when no trough support is required. Drilling for ball bearings or roller bearings</p>"
"251457","<p>Steel Gears are furnished in plain style and plain style with hub. Cast gears are furnished, plain with hub, web with lightening holes, and spoke</p>"
"251473","<p>Steel Gears are furnished in plain style and plain style with hub. Cast gears are furnished, plain with hub, web with lightening holes, and spoke</p>"
"251461","<p>Steel Gears are furnished in plain style and plain style with hub. Cast gears are furnished, plain with hub, web with lightening holes, and spoke</p>"
"251551","<p>Martin Stock Spur Gears are available in five different styles. Steel Gears are furnished in plain style and plain style with hub. Cast gears are furnished, plain with hub, web with lightening holes, and spoke. Cast gears are machined on all operating surfaces. Martin cast gears are cast with a larger hub to provide extra strength and to allow for larger bores. Spur gears are stocked in both 14 ½ and 20 degree pressure angles</p>"
"252742","<p>Outside trough ends less feet are used to support end bearing and cover when no trough support is required. Drilling for ball bearings or roller bearings</p>"
"252818","<p>Outside trough ends less feet are used to support end bearing and cover when no trough support is required. Drilling for ball bearings or roller bearings</p>"
"252898","<p>Outside trough ends less feet are used to support end bearing and cover when no trough support is required. Drilling for ball bearings or roller bearings</p>"
"251472","<p>Steel Gears are furnished in plain style and plain style with hub. Cast gears are furnished, plain with hub, web with lightening holes, and spoke</p>"
"252357","<p>No. 60 hangers are furnished with a heavy duty, permanently lubricated and sealed, self-aligning ball bearing which permits temperatures up to 245º F. and will allow for up to 4 º shaft misalignments. This hanger is mounted on top of the trough flanges. Grease fitting can be furnished if specified</p>"
"252409","<p>Outside trough ends less feet are used to support end bearing and cover when no trough support is required. Drilling for ball bearings or roller bearings</p>"
"252713","<p>The angle flange U-trough has a fabricated U-shaped steel body with angle iron top flanges and drilled end flanges</p>"
"2926452","<p>Conventional (wide/classical) sheaves are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced</p>"
"2926460","<p>Conventional (wide/classical) sheaves are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced</p>"
"2926480","<p>Hi cap sheaves (narrow v-belts) are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced</p>"
"2926504","<p>Hi cap sheaves (narrow v-belts) are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced</p>"
"2926540","<p>Hi cap sheaves (narrow v-belts) are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced</p>"
"2926484","<p>Hi cap sheaves (narrow v-belts) are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced</p>"
"2926544","<p>Hi cap sheaves (narrow v-belts) are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced</p>"
"2926261","<p>Round Shank Screwdrivers have rust and corrosion resistant finish chrome vanadium steel blades and user friendly industrial design fluted plastic grips. These are special purpose tools with a variety of lengths and tip configurations designed to insert, remove, loosen and tighten screws. The round shape allows you to quickly turn the screwdriver by supporting the shank with one hand while turning the handle with the other. Typically, use a parallel sided tip (Cabinetmakers or Electricians) configuration for slotted flat head screws, and a standard slotted flared or winged tip (Mechanics Blade) for slotted round or oval head screws. Use Phillips tip only for Phillips head screws. Always match the appropriate screwdriver tip to the specific size and type of screw</p>"
"2926269","<p>This tool set includes 5 screwdrivers, which come in a pouch for storage. The screwdrivers included are 4 different sizes of mechanical screwdrivers and an electrical screwdriver. All drivers meet or exceed ANSI/ASME standards and specifications for hardness and torque. They have ergonomically and accurately sized cellulose acetate handles, have serrated faces to resist slipping, and bright zinc plated to resist corrosion</p>"
"2926273","<p>Stubby screwdrivers are a tight clearance, sturdy driver. They have ergonomically and accurately sized cellulose acetate handles with color coded inlays for easy identification. The serrated faces are resistant to slipping and they are bright zinc plated to resist corrosion. All drivers meet or exceed ANSI/ASME standards and specifications for hardness and torque</p>"
"252712","<p>Standard flanged conveyor inlets are designed to be bolted or welded to either a flat or flanged conveyor trough cover. The inlet size and bolt arrangement is the same as the standard conveyor discharge spout per CEMA standards</p>"
"252740","<p>Outside trough ends with feet are used to support end bearing and cover. Drilling for ball bearings or roller bearings</p>"
"252744","<p>Outside trough ends less feet are used to support end bearing and cover when no trough support is required. Drilling for ball bearings or roller bearings</p>"
"252816","<p>Outside trough ends less feet are used to support end bearing and cover when no trough support is required. Drilling for ball bearings or roller bearings</p>"
"2974018","<p>Conventional (wide/classical) sheaves are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced. Dynamic balancing should be considered for any sheaves exceeding 5000 FPM, or if they will be used on equipment where vibration is a problem. Martin has extensive inventories of both QD and TB style V-Belt sheaves to accept “A”, “B”, “C”, and “D” belts</p>"
"2926260","<p>Round Shank Screwdrivers have rust and corrosion resistant finish chrome vanadium steel blades and user friendly industrial design fluted plastic grips. These are special purpose tools with a variety of lengths and tip configurations designed to insert, remove, loosen and tighten screws. The round shape allows you to quickly turn the screwdriver by supporting the shank with one hand while turning the handle with the other. Typically, use a parallel sided tip (Cabinetmakers or Electricians) configuration for slotted flat head screws, and a standard slotted flared or winged tip (Mechanics Blade) for slotted round or oval head screws. Use Phillips tip only for Phillips head screws. Always match the appropriate screwdriver tip to the specific size and type of screw</p>"
"2926268","<p>This tool set includes 4 screwdrivers, which come in a pouch for storage. The screwdrivers included are a mechanics screwdriver, an electrical screwdriver, and 2 phillips screwdrivers.. All drivers meet or exceed ANSI/ASME standards and specifications for hardness and torque. They have ergonomically and accurately sized cellulose acetate handles, have serrated faces to resist slipping, and bright zinc plated to resist corrosion</p>"
"2926272","<p>Round Shank Screwdrivers have rust and corrosion resistant finish chrome vanadium steel blades and user friendly industrial design fluted plastic grips. These are special purpose tools with a variety of lengths and tip configurations designed to insert, remove, loosen and tighten screws. The round shape allows you to quickly turn the screwdriver by supporting the shank with one hand while turning the handle with the other. Typically, use a parallel sided tip (Cabinetmakers or Electricians) configuration for slotted flat head screws, and a standard slotted flared or winged tip (Mechanics Blade) for slotted round or oval head screws. Use Phillips tip only for Phillips head screws. Always match the appropriate screwdriver tip to the specific size and type of screw</p>"
"2926276","<p>This tool set includes 3 square-blade screwdrivers of various sizes, which come in a pouch for storage. Square Shank Screwdrivers have rust and corrosion resistant finish chrome vanadium steel blades and user friendly industrial design fluted plastic grips. These are special purpose tools with a variety of lengths and tip configurations designed to insert, remove, loosen and tighten screws which require a greater amount of torque. The square shape allows you to quickly and conveniently apply an adjustable, or other style, wrench to the shank of the screwdriver for additional torque. Always match the appropriate screwdriver tip to the specific size and type of screw</p>"
"2926280","<p>This tool set includes a combination of 10 screwdrivers. All drivers meet or exceed ANSI/ASME standards and specifications for hardness and torque. They have ergonomically and accurately sized cellulose acetate handles, have serrated faces to resist slipping, and bright zinc plated to resist corrosion</p>"
"2926264","<p>Round Shank Screwdrivers have rust and corrosion resistant finish chrome vanadium steel blades and user friendly industrial design fluted plastic grips. These are special purpose tools with a variety of lengths and tip configurations designed to insert, remove, loosen and tighten screws. The round shape allows you to quickly turn the screwdriver by supporting the shank with one hand while turning the handle with the other. Typically, use a parallel sided tip (Cabinetmakers or Electricians) configuration for slotted flat head screws, and a standard slotted flared or winged tip (Mechanics Blade) for slotted round or oval head screws. Use Phillips tip only for Phillips head screws. Always match the appropriate screwdriver tip to the specific size and type of screw</p>"
"2926292","<p>Conventional (wide/classical) sheaves are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced</p>"
"2926296","<p>Conventional (wide/classical) sheaves are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced</p>"
"2926392","<p>Conventional (wide/classical) sheaves are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced</p>"
"2926396","<p>Conventional (wide/classical) sheaves are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced</p>"
"2926416","<p>Conventional (wide/classical) sheaves are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced</p>"
"2926428","<p>Conventional (wide/classical) sheaves are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced</p>"
"2926436","<p>Hi cap sheaves (narrow v-belts) are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced</p>"
"2926432","<p>Conventional (wide/classical) sheaves are manufactured from class 30 gray iron (30,000 tensile strength) and can have a maximum speed of 6500 FPM. All Martin sheaves are statically balanced</p>"
"2925934","<p>MST Bushings are easy to install and remove. They are split through the barrel and have a taper to provide a true clamp on the shaft. They are keyed to both the shaft and the hub to help during “blind” installations</p>"
"2925926","<p>MST Bushings are easy to install and remove. They are split through the barrel and have a taper to provide a true clamp on the shaft. They are keyed to both the shaft and the hub to help during “blind” installations</p>"
"2925930","<p>MST Bushings are easy to install and remove. They are split through the barrel and have a taper to provide a true clamp on the shaft. They are keyed to both the shaft and the hub to help during “blind” installations</p>"
"2925931","<p>MST Bushings are easy to install and remove. They are split through the barrel and have a taper to provide a true clamp on the shaft. They are keyed to both the shaft and the hub to help during “blind” installations</p>"
"2925927","<p>MST Bushings are easy to install and remove. They are split through the barrel and have a taper to provide a true clamp on the shaft. They are keyed to both the shaft and the hub to help during “blind” installations</p>"
