ID,ADDITIONAL_DESCRIPTION
1358413,"<h5>Specifications: </h5> <ul><li>16 Port Managed Industrial Ethernet Switch <ul><li>Fourteen 10/100BaseTX RJ-45 Ports</li> <li>Two 100BaseFX Singlemode 80km Fiber Ports with ST Connectors</li></ul></li> <li>-40°C to 70°C Operating Temperature</li> <li>ESD and Surge Protection on all Built-in Ports</li> <li>Auto Sensing 10/100BaseTX, Duplex, and MDIX</li> <li>Store-and-forward Technology</li> <li>Redundant Power Inputs (10-30 VDC)</li> <li>8000 MAC Addresses</li> <li>Configurable Alarm Contact</li> <li>Configurable Bi-Color Fault Status LED</li> <li>Rugged Industrial DIN-Rail Enclosure</li> <li>Fully Managed Features: <ul><li>SNMP v1, v2, v3 and Web Browser Management</li> <li>N-Ring Technology with ~30ms Healing</li> <li>N-Link Redundant Ring Technology</li> <li>N-View Monitoring Technology</li> <li>EtherNet/IP CIP Messaging</li> <li>Web configuration</li> <li>IGMP Auto Configuration</li> <li>802.1Q tag VLAN and Port VLAN</li> <li>802.1p QoS and Port QoS</li> <li>Port Trunking</li> <li>Port Mirroring</li> <li>802.1d, 802.1w, 802.1D RSTP</li> <li>DHCP Server with Option 82 Relay, Option 61, and IP Fallback</li> <li>Local Port IP Addressing</li> <li>802.1AB-2005 LLDP (Link Layer Discovery Protocol)</li> <li>Port Security - MAC Address Based Filtering</li></ul></li></ul>"
1357614,"<h5>Specifications: </h5> <ul><li>N-View Monitoring Technology</li> <li>8 Port Industrial Ethernet Switch <ul><li>Eight 10/100BaseTX RJ-45 Ports</li></ul></li> <li>IEEE 802.3 Compliance</li> <li>​-40°C to 70°C Operating Temperature</li> <li>Autosensing 10/100BaseTX, Duplex, and MDIX</li> <li>Redundant Power Inputs (10-30VDC)</li> <li>Rugged Industrial DIN-Rail Enclosure</li></ul>"
286323,"<h5>Specifications: </h5> <ul><li>Adapter with Hess Sensor 56C Ring Kit</li> <li>Easily Installs to NEMA Type ""C"" Face Motor Frames</li> <li>Magnetic Pickup Versions for High Speed Applications</li> <li>Magneto Resistive Sensor Versions for Zero or Low Speed Applications</li> <li>Cast Aluminum Ring with .5"" NPT Conduit Junction Box</li></ul>"
1358055,"<h5>Specifications: </h5> <ul><li>N-View Monitoring Technology</li> <li>17 Port Industrial Ethernet Switch <ul><li>16 10/100BaseTX RJ-45 Ports</li> <li>One 100BaseFX Singlemode 15km Port with ST Connectors</li></ul></li> <li>IEEE 802.3 Compliance</li> <li>​-40°C to 85°C Operating Temperature</li> <li>Autosensing 10/100BaseTX, Duplex, and MDIX</li> <li>Redundant Power Inputs (10-30VDC)</li> <li>Rugged Industrial DIN-Rail Enclosure</li></ul>"
1357786,"<h5>Specifications: </h5> <p>Slide In Module for 9000 Series Chassis (Multimode or Singlemode Available)<br> Two 100BaseFX Fiber Ports, SC Available<br> Full IEEE 802.3 Compliance<br> Extended Environmental Specifications<br> -20°C to 70°C Operating Temperature<br> -40°C to 85°C Storage Temperature</p>"
1358119,"<h5>Specifications: </h5> <ul><li>Unmanaged Plug and Play Operation</li> <li>17 Port Industrial Ethernet Switch <ul><li>Sixteen 10/100 BaseTX RJ-45 Ports</li> <li>One 100BaseFX Multimode Fiber Port with ST Style Connector</li></ul></li> <li>IEEE 802.3 Compliance</li> <li>Extended Environmental Specifications <ul><li>-40° to 85° C Operating Temperature</li></ul></li> <li>Autosensing 10/100BaseTX, Duplex, and MDIX</li> <li>ESD and Surge Protection on all Built-in Ports</li> <li>Up to 2.6 Gb/s Throughput</li> <li>Redundant Power Inputs (10-30 VDC)</li> <li>Rugged Industrial DIN-Rail Enclosure</li></ul>"
287052,"<h5>Specifications: </h5> <ul><li>Dual Setpoint Relay Alarms</li> <li>4-Way Isolation</li> <li>PC Configuration Software</li> <li>Accepts Thermocouple, RTD, mV or Resistance inputs</li> <li>Supports MODBUS RTU and ASCII modes</li></ul>"
1358130,"<h5>Specifications: </h5> <ul><li>Unmanaged Plug and Play Operation</li> <li>17 Port Industrial Ethernet Switch <ul><li>Sixteen 10/100 BaseTX RJ-45 Ports</li> <li>One 100BaseFX Singlemode 15km Fiber Port with SC Style Connector</li></ul></li> <li>IEEE 802.3 Compliance</li> <li>Extended Environmental Specifications <ul><li>-40° to 85° C Operating Temperature</li></ul></li> <li>Autosensing 10/100BaseTX, Duplex, and MDIX</li> <li>ESD and Surge Protection on all Built-in Ports</li> <li>Up to 2.6 Gb/s Throughput</li> <li>Redundant Power Inputs (10-30 VDC)</li> <li>Rugged Industrial DIN-Rail Enclosure</li></ul>"
1358392,"<h5>Specifications: </h5> <ul><li>10 Port Managed Industrial Ethernet Switch <ul><li>Eight 10/100BaseTX RJ-45 Ports</li> <li>Two 100BaseFX Singlemode 80km Fiber Ports with ST Connectors</li></ul></li> <li>-40°C to 70°C Operating Temperature</li> <li>ESD and Surge Protection on all Built-in Ports</li> <li>Auto Sensing 10/100BaseTX, Duplex, and MDIX</li> <li>Store-and-forward Technology</li> <li>Redundant Power Inputs (10-49 VDC)</li> <li>8000 MAC Addresses</li> <li>Configurable Alarm Contact</li> <li>Configurable Bi-Color Fault Status LED</li> <li>Rugged Industrial DIN-Rail Enclosure</li> <li>Fully Managed Features: <ul><li>SNMP v1, v2, v3 and Web Browser Management</li> <li>N-Ring Technology with ~30ms Healing</li> <li>N-Link Redundant Ring Technology</li> <li>N-View Monitoring Technology</li> <li>EtherNet/IP CIP Messaging</li> <li>Web configuration</li> <li>IGMP Auto Configuration</li> <li>802.1Q tag VLAN and Port VLAN</li> <li>802.1p QoS and Port QoS</li> <li>Port Trunking</li> <li>Port Mirroring</li> <li>802.1d, 802.1w, 802.1D RSTP</li> <li>DHCP Server with Option 82 Relay, Option 61, and IP Fallback</li> <li>Local Port IP Addressing</li> <li>802.1AB-2005 LLDP (Link Layer Discovery Protocol)</li> <li>Port Security - MAC Address Based Filtering</li></ul></li></ul>"
1358376,"<h5>Specifications: </h5> <ul><li>26 Port Industrial Ethernet Switch <ul><li>Twenty-Four 10/100 BaseTX RJ-45 Ports</li> <li>Two 100BaseFX Singlemode 40km Fiber Ports with ST Connectors</li></ul></li> <li>IEEE 802.3 Compliance</li> <li>-40° to 85° C Operating Temperature</li> <li>Autosensing 10/100BaseTX, Duplex, and MDIX</li> <li>ESD and Surge Protection on all Built-in Ports</li> <li>Up to 2.6 Gb/s Backplane</li> <li>Redundant Power Inputs (10-30 VDC)</li> <li>Bi-Color LED's For Link, Speed, Activity &amp; Duplex Status</li> <li>Rugged Industrial Rackmount Enclosure</li> <li>N-View Remote Monitoring Technology</li></ul>"
