"ID","ADDITIONAL_DESCRIPTION"
"2887669","<p>12 Gauge Cabinet with 126 Hook-On-Bins</p>"
"2887670","<p>12 Gauge Cabinet with 126 Hook-On-Bins</p>"
"2887688","<p>12 Gauge Cabinet with 162 Hook-On-Bins</p>"
"2887687","<p>12 Gauge Cabinet with 162 Hook-On-Bins</p>"
"2887686","<p>12 Gauge Cabinet with 162 Hook-On-Bins</p>"
"2887689","<p>12 Gauge Cabinet with 192 Hook-On-Bins</p>"
"2887696","<p>12 Gauge Cabinet with 198 Hook-On-Bins</p>"
"2887697","<p>12 Gauge Cabinet with 198 Hook-On-Bins</p>"
"2887698","<p>12 Gauge Cabinet with 198 Hook-On-Bins</p>"
"2887704","<p>12 Gauge Cabinet with 240 Hook-On-Bins</p>"
"2887703","<p>12 Gauge Cabinet with 240 Hook-On-Bins</p>"
"2887705","<p>12 Gauge Cabinet with 240 Hook-On-Bins</p>"
"2887739","<p>12 Gauge Cabinet with 4 Shelves. (for outdoor use)</p>"
"2887737","<p>12 Gauge Cabinet with 4 Shelves. (for outdoor use)</p>"
"2887738","<p>12 Gauge Cabinet with 4 Shelves. (for outdoor use)</p>"
"2887764","<p>12 Gauge Cabinets</p><br>Extra Heavy Duty with Hook-On Bins"
"2887776","<p>12 Gauge Cabinets</p><br>Extra Heavy Duty with Hook-On Bins"
"2887763","<p>12 Gauge Cabinets</p><br>Extra Heavy Duty with Hook-On Bins"
"2887775","<p>12 Gauge Cabinets</p><br>Extra Heavy Duty with Hook-On Bins"
"2887783","<p>12 Gauge Cabinets</p><br>Extra Heavy Duty with Hook-On Bins"
"2887765","<p>12 Gauge Cabinets</p><br>Extra Heavy Duty with Hook-On Bins"
"2887777","<p>12 Gauge Cabinets</p><br>Extra Heavy Duty with Hook-On Bins"
"2887781","<p>12 Gauge Cabinets</p><br>Extra Heavy Duty with Hook-On Bins"
"2887782","<p>12 Gauge Cabinets</p><br>Extra Heavy Duty with Hook-On Bins"
"2887760","<p>12 Gauge Cabinets</p><br>Extra Heavy Duty with Hook-On Bins and Shelves"
"2887768","<p>12 Gauge Cabinets</p><br>Extra Heavy Duty with Hook-On Bins and Shelves"
"2887772","<p>12 Gauge Cabinets</p><br>Extra Heavy Duty with Hook-On Bins and Shelves"
"2887780","<p>12 Gauge Cabinets</p><br>Extra Heavy Duty with Hook-On Bins and Shelves"
"2887771","<p>12 Gauge Cabinets</p><br>Extra Heavy Duty with Hook-On Bins and Shelves"
"2887767","<p>12 Gauge Cabinets</p><br>Extra Heavy Duty with Hook-On Bins and Shelves"
"2887779","<p>12 Gauge Cabinets</p><br>Extra Heavy Duty with Hook-On Bins and Shelves"
"2887761","<p>12 Gauge Cabinets</p><br>Extra Heavy Duty with Hook-On Bins and Shelves"
"2887769","<p>12 Gauge Cabinets</p><br>Extra Heavy Duty with Hook-On Bins and Shelves"
"2887773","<p>12 Gauge Cabinets</p><br>Extra Heavy Duty with Hook-On Bins and Shelves"
"2887762","<p>12 Gauge Cabinets</p><br>Extra Heavy Duty with Hook-On Bins and Shelves"
"2887766","<p>12 Gauge Cabinets</p><br>Extra Heavy Duty with Hook-On Bins and Shelves"
"2887770","<p>12 Gauge Cabinets</p><br>Extra Heavy Duty with Hook-On Bins and Shelves"
"2887778","<p>12 Gauge Cabinets</p><br>Extra Heavy Duty with Hook-On Bins and Shelves"
"2887774","<p>12 Gauge Cabinets</p><br>Extra Heavy Duty with Hook-On Bins and Shelves"
"2887348","<p>12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins</p>"
"2887344","<p>12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins</p>"
"2887352","<p>12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins</p>"
"2887360","<p>12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins</p>"
"2887364","<p>12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins</p>"
"2887372","<p>12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins</p>"
"2887368","<p>12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins</p>"
"2887356","<p>12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins</p>"
"2887314","<p>20 Pockets Literature Rack (large)</p>"
"2887276","<p>23 Pocket</p>"
"2887275","<p>23 Pocket</p>"
"2887279","<p>23 Pocket</p>"
"2887277","<p>23 Pocket</p>"
"2887274","<p>23 Pocket</p>"
"2887278","<p>23 Pocket</p>"
"2886886","<p>24 Drawers feature sides slotted on one inch centers to hold high impact plastic dividers in place. They also have two easy glide runners and full width handles.</p>"
"2886884","<p>24 Drawers feature sides slotted on one inch centers to hold high impact plastic dividers in place. They also have two easy glide runners and full width handles.</p>"
"2886868","<p>24 Drawers feature sides slotted on one inch centers to hold high impact plastic dividers in place. They also have two easy glide runners and full width handles.</p>"
"2888324","<p>24 Unit HIPS With fold-down polypropylene combination handle/hanger.</p>"
"2888319","<p>24 Unit One partition.</p>"
"2888100","<p>3 Shelf Stock Carts</p>"
"2888112","<p>3 Shelf Stock Carts</p>"
"2888128","<p>3 Shelf Stock Carts</p>"
"2888099","<p>3 Shelf Stock Carts</p>"
"2888127","<p>3 Shelf Stock Carts</p>"
"2888111","<p>3 Shelf Stock Carts</p>"
"2888129","<p>3 Shelf Stock Carts</p>"
"2888086","<p>3 Shelf Stock Carts</p>"
"2888098","<p>3 Shelf Stock Carts</p>"
"2888082","<p>3 Shelf Stock Carts</p>"
"2888110","<p>3 Shelf Stock Carts</p>"
"2888090","<p>3 Shelf Stock Carts</p>"
"2888122","<p>3 Shelf Stock Carts</p>"
"2887244","<p>3 Sided Low Deck Stock Truck</p><br>Capacity 1200 lbs. / 544 kgs. (Polyurethane Casters)"
"2887242","<p>3 Sided Low Deck Stock Truck</p><br>Capacity 1200 lbs. / 544 kgs. (Polyurethane Casters)"
"2887246","<p>3 Sided Low Deck Stock Truck</p><br>Capacity 1200 lbs. / 544 kgs. (Polyurethane Casters)"
"2887247","<p>3 Sided Low Deck Stock Truck</p><br>Capacity 2000 lbs. / 907 kgs. (Phenolic Casters)"
"2887243","<p>3 Sided Low Deck Stock Truck</p><br>Capacity 2000 lbs. / 907 kgs. (Phenolic Casters)"
"2887245","<p>3 Sided Low Deck Stock Truck</p><br>Capacity 2000 lbs. / 907 kgs. (Phenolic Casters)"
"2887249","<p>3 Sided Low Deck Stock Truck</p><br>Capacity 2000 lbs. / 907 kgs. (Phenolic Casters)"
"2887256","<p>3 Sided Mesh Stock Truck</p>"
"2887264","<p>3 Sided Mesh Stock Truck</p>"
"2887252","<p>3 Sided Mesh Stock Truck</p>"
"2887260","<p>3 Sided Mesh Stock Truck</p>"
"2887251","<p>3 Sided Mesh Stock Truck</p>"
"2887255","<p>3 Sided Mesh Stock Truck</p>"
"2887267","<p>3 Sided Mesh Stock Truck</p>"
"2887259","<p>3 Sided Mesh Stock Truck</p>"
"2887257","<p>3 Sided Mesh Stock Truck</p>"
"2887261","<p>3 Sided Mesh Stock Truck</p>"
"2887265","<p>3 Sided Mesh Stock Truck</p>"
"2887253","<p>3 Sided Mesh Stock Truck</p>"
"2887250","<p>3 Sided Mesh Stock Truck</p>"
"2887254","<p>3 Sided Mesh Stock Truck</p>"
"2887258","<p>3 Sided Mesh Stock Truck</p>"
"2887262","<p>3 Sided Mesh Stock Truck</p>"
"2887266","<p>3 Sided Mesh Stock Truck</p>"
"2886871","<p>30 Drawers feature sides slotted on one inch centers to hold high impact plastic dividers in place. They also have two easy glide runners and full width handles.</p>"
"2886887","<p>30 Drawers feature sides slotted on one inch centers to hold high impact plastic dividers in place. They also have two easy glide runners and full width handles.</p>"
"2886888","<p>30 Drawers feature sides slotted on one inch centers to hold high impact plastic dividers in place. They also have two easy glide runners and full width handles.</p>"
"2888307","<p>36 Unit HIPS With fold-down polypropylene combination handle/hanger.</p>"
"2887387","<p>12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins</p>"
"2887383","<p>12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins</p>"
"2887379","<p>12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins</p>"
"2887391","<p>12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins</p>"
"2887345","<p>12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins</p>"
"2887353","<p>12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins</p>"
"2887349","<p>12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins</p>"
"2887365","<p>12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins</p>"
"2887361","<p>12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins</p>"
"2887377","<p>12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins</p>"
"2887373","<p>12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins</p>"
"2887381","<p>12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins</p>"
"2887389","<p>12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins</p>"
"2887385","<p>12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins</p>"
"2887357","<p>12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins</p>"
"2887369","<p>12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins</p>"
"2887346","<p>12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins</p>"
"2887350","<p>12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins</p>"
"2887366","<p>12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins</p>"
"2887354","<p>12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins</p>"
"2887358","<p>12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins</p>"
"2887370","<p>12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins</p>"
"2887378","<p>12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins</p>"
"2887382","<p>12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins</p>"
"2887386","<p>12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins</p>"
"2887390","<p>12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins</p>"
"2887362","<p>12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins</p>"
"2887374","<p>12 Gauge Heavy Duty Enclosed Shelving with Hook-On Bins</p>"
"2887759","<p>12 Gauge ventilated cabinets</p>"
"2887757","<p>12 Gauge ventilated cabinets</p>"
"2887758","<p>12 Gauge ventilated cabinets</p>"
"2887167","<p>14 Gauge Cabinet with Adjustable Shelves</p>"
"2887196","<p>14 Gauge Cabinet with Adjustable Shelves</p>"
"2887204","<p>14 Gauge Cabinet with Adjustable Shelves</p>"
"2887158","<p>14 Gauge Cabinet with Adjustable Shelves</p>"
"2887110","<p>14 Gauge Cabinet with Adjustable Shelves</p>"
