id,additional_description
5121686,"<p>Premium efficiency three phase phaseinduction motors are totally enclosed fan cooled squirrel cage motors that are manufactured with new meterialand technology. Have some notable advantages such as high efficiency, good starting performance, low noise, improved structure, improved cooling capabilities. This series motors are three phase induction motors which can be used to drive all kinds of general purpose machines such as compressors, ventilators, pumps and other uses such as petrol, medical, chemical industries and mining.</p>"
5121687,"<p>Premium efficiency three phase phaseinduction motors are totally enclosed fan cooled squirrel cage motors that are manufactured with new meterialand technology. Have some notable advantages such as high efficiency, good starting performance, low noise, improved structure, improved cooling capabilities. This series motors are three phase induction motors which can be used to drive all kinds of general purpose machines such as compressors, ventilators, pumps and other uses such as petrol, medical, chemical industries and mining.</p>"
5121688,"<p>Premium efficiency three phase phaseinduction motors are totally enclosed fan cooled squirrel cage motors that are manufactured with new meterialand technology. Have some notable advantages such as high efficiency, good starting performance, low noise, improved structure, improved cooling capabilities. This series motors are three phase induction motors which can be used to drive all kinds of general purpose machines such as compressors, ventilators, pumps and other uses such as petrol, medical, chemical industries and mining.</p>"
5121689,"<p>Premium efficiency three phase phaseinduction motors are totally enclosed fan cooled squirrel cage motors that are manufactured with new meterialand technology. Have some notable advantages such as high efficiency, good starting performance, low noise, improved structure, improved cooling capabilities. This series motors are three phase induction motors which can be used to drive all kinds of general purpose machines such as compressors, ventilators, pumps and other uses such as petrol, medical, chemical industries and mining.</p>"
5121690,"<p>Premium efficiency three phase phaseinduction motors are totally enclosed fan cooled squirrel cage motors that are manufactured with new meterialand technology. Have some notable advantages such as high efficiency, good starting performance, low noise, improved structure, improved cooling capabilities. This series motors are three phase induction motors which can be used to drive all kinds of general purpose machines such as compressors, ventilators, pumps and other uses such as petrol, medical, chemical industries and mining.</p>"
5121691,"<p>Premium efficiency three phase phaseinduction motors are totally enclosed fan cooled squirrel cage motors that are manufactured with new meterialand technology. Have some notable advantages such as high efficiency, good starting performance, low noise, improved structure, improved cooling capabilities. This series motors are three phase induction motors which can be used to drive all kinds of general purpose machines such as compressors, ventilators, pumps and other uses such as petrol, medical, chemical industries and mining.</p>"
5121692,"<p>Premium efficiency three phase phaseinduction motors are totally enclosed fan cooled squirrel cage motors that are manufactured with new meterialand technology. Have some notable advantages such as high efficiency, good starting performance, low noise, improved structure, improved cooling capabilities. This series motors are three phase induction motors which can be used to drive all kinds of general purpose machines such as compressors, ventilators, pumps and other uses such as petrol, medical, chemical industries and mining.</p>"
5121693,"<p>Premium efficiency three phase phaseinduction motors are totally enclosed fan cooled squirrel cage motors that are manufactured with new meterialand technology. Have some notable advantages such as high efficiency, good starting performance, low noise, improved structure, improved cooling capabilities. This series motors are three phase induction motors which can be used to drive all kinds of general purpose machines such as compressors, ventilators, pumps and other uses such as petrol, medical, chemical industries and mining.</p>"
5121694,"<p>Premium efficiency three phase phaseinduction motors are totally enclosed fan cooled squirrel cage motors that are manufactured with new meterialand technology. Have some notable advantages such as high efficiency, good starting performance, low noise, improved structure, improved cooling capabilities. This series motors are three phase induction motors which can be used to drive all kinds of general purpose machines such as compressors, ventilators, pumps and other uses such as petrol, medical, chemical industries and mining.</p>"
5121695,"<p>Premium efficiency three phase phaseinduction motors are totally enclosed fan cooled squirrel cage motors that are manufactured with new meterialand technology. Have some notable advantages such as high efficiency, good starting performance, low noise, improved structure, improved cooling capabilities. This series motors are three phase induction motors which can be used to drive all kinds of general purpose machines such as compressors, ventilators, pumps and other uses such as petrol, medical, chemical industries and mining.</p>"
