ID,ADDITIONAL_DESCRIPTION
1616244,"<p>UniModules offer the ultimate in Clutch/ Brake performance and convenience. UniModules offer the same performance as EM’s without the assembly required. Completely pre-assembled one-piece clutch and clutch/brake packages in five sizes. Can be motor or reducer mounted or used as a separate drive unit powered by a prime mover. Pre-assembled, pre-aligned, and preburnished at the factory for rated torque directly out-of-the-box.</p>"
2079750,<p>Shaft Assemblies - Niflor Coated Tubes Materials & finishes Joints: Huco-Pol plastic universal joints. Tubes: Niflor coated brass. Niflor is a proprietary PTFE impregnated electroless nickel plating process.</p>
2266531,"<p>UniModules offer the ultimate in Clutch/ Brake performance and convenience. UniModules offer the same performance as EM’s without the assembly required. Completely pre-assembled one-piece clutch and clutch/brake packages in five sizes. Can be motor or reducer mounted or used as a separate drive unit powered by a prime mover. Pre-assembled, pre-aligned, and preburnished at the factory for rated torque directly out-of-the-box.</p>"
402976,"<p>Warner Electric's EP Series Electro Packs are rugged, pre-assembled clutch and brake combinations in an enclosed, foot mounted housing. They are factory aligned and pre-assembled and have been designed to mate easily with industry standard motors and reducers with v-belts, pulleys, chain and sprockets, in line couplings and timing belt drives.</p>"
402683,"<p>Warner Electric's EP Series Electro Packs are rugged, pre-assembled clutch and brake combinations in an enclosed, foot mounted housing. They are factory aligned and pre-assembled and have been designed to mate easily with industry standard motors and reducers with v-belts, pulleys, chain and sprockets, in line couplings and timing belt drives.</p>"
403486,"<p>Warner Electric's EP Series Electro Packs are rugged, pre-assembled clutch and brake combinations in an enclosed, foot mounted housing. They are factory aligned and pre-assembled and have been designed to mate easily with industry standard motors and reducers with v-belts, pulleys, chain and sprockets, in line couplings and timing belt drives.</p>"
401970,"<p>Electro Modules are individual clutch or brake units which are assembled together to comprise a clutch, brake, or clutch/brake combination. Electro Modules can be bolted directly to a NEMA C-face motor or reducer or they can be base mounted for stand alone operation. Electro Modules offer the ultimate in clutch/brake convenience. They are easy and quick to install and require no lubrication or maintenance for life.</p>"
404926,"<p>The completely solid state MCS-203 Dancer Control Module is designed for automatic web tensioning through the use of a dancer roll. The MCS-203 can control two 24 VDC tension brakes in parallel. It works on the concept of a P-I-D controller and has internal P, I & D adjustments for optimum performance regardless of brake size.</p>"
405838,"<p>The CBC-100 and CBC-150 series are UL listed, conduit box mounted controls for 90 volt clutches and brakes. Models are available for either 120 VAC or 220/240 VAC input.</p>"
670515,"<p>UniModules offer the ultimate in Clutch/ Brake performance and convenience. UniModules offer the same performance as EM’s without the assembly required. Completely pre-assembled one-piece clutch and clutch/brake packages in five sizes. Can be motor or reducer mounted or used as a separate drive unit powered by a prime mover. Pre-assembled, pre-aligned, and preburnished at the factory for rated torque directly out-of-the-box.</p>"
