"ID","ADDITIONAL_DESCRIPTION"
"5122912","<p>ANSI Class III Economy Vest with 2"" Silver Reflective Tape. 100% Polyester Orange Mesh.</p> <p>Features:</p> <ul><li>2 interior oversized pockets</li> <li>2"" reflective tape</li> <li>ANSI Class 3, Type R</li> <li>Exterior chest pocket</li> <li>H-shape reflective tape pattern</li> <li>Hook &amp; loop closure</li></ul>"
"5122913","<p>ANSI Class III Economy Vest with 2"" Silver Reflective Tape. 100% Polyester Orange Mesh.</p> <p>Features:</p> <ul><li>2 interior oversized pockets</li> <li>2"" reflective tape</li> <li>ANSI Class 3, Type R</li> <li>Exterior chest pocket</li> <li>H-shape reflective tape pattern</li> <li>Hook &amp; loop closure</li></ul>"
"5122914","<p>ANSI Class III Standard Vest with 2"" Silver Reflective Tape. 100% Polyester Lime Green Mesh.</p> <p>Features:</p> <ul><li>2 interior oversized pockets</li> <li>2"" reflective tape</li> <li>ANSI Class 3, Type R</li> <li>Exterior double chest pocket with pen-slot pocket</li> <li>H-shape reflective tape pattern</li> <li>Mic tabs on both shoulders</li> <li>Zipper closure</li></ul>"
"5122915","<p>ANSI Class III Standard Vest with 2"" Silver Reflective Tape. 100% Polyester Lime Green Mesh.</p> <p>Features:</p> <ul><li>2 interior oversized pockets</li> <li>2"" reflective tape</li> <li>ANSI Class 3, Type R</li> <li>Exterior double chest pocket with pen-slot pocket</li> <li>H-shape reflective tape pattern</li> <li>Mic tabs on both shoulders</li> <li>Zipper closure</li></ul>"
"5122916","<p>ANSI Class III Standard Vest with 2"" Silver Reflective Tape. 100% Polyester Lime Green Mesh.</p> <p>Features:</p> <ul><li>2 interior oversized pockets</li> <li>2"" reflective tape</li> <li>ANSI Class 3, Type R</li> <li>Exterior double chest pocket with pen-slot pocket</li> <li>H-shape reflective tape pattern</li> <li>Mic tabs on both shoulders</li> <li>Zipper closure</li></ul>"
"5122917","<p>ANSI Class III Standard Vest with 2"" Silver Reflective Tape. 100% Polyester Lime Green Mesh.</p> <p>Features:</p> <ul><li>2 interior oversized pockets</li> <li>2"" reflective tape</li> <li>ANSI Class 3, Type R</li> <li>Exterior double chest pocket with pen-slot pocket</li> <li>H-shape reflective tape pattern</li> <li>Mic tabs on both shoulders</li> <li>Zipper closure</li></ul>"
"5122918","<p>ANSI Class III Standard Vest with 2"" Silver Reflective Tape. 100% Polyester Lime Green Mesh.</p> <p>Features:</p> <ul><li>2 interior oversized pockets</li> <li>2"" reflective tape</li> <li>ANSI Class 3, Type R</li> <li>Exterior double chest pocket with pen-slot pocket</li> <li>H-shape reflective tape pattern</li> <li>Mic tabs on both shoulders</li> <li>Zipper closure</li></ul>"
"5122919","<p>ANSI Class III Standard Vest with 2"" Silver Reflective Tape. 100% Polyester Lime Green Mesh.</p> <p>Features:</p> <ul><li>2 interior oversized pockets</li> <li>2"" reflective tape</li> <li>ANSI Class 3, Type R</li> <li>Exterior double chest pocket with pen-slot pocket</li> <li>H-shape reflective tape pattern</li> <li>Mic tabs on both shoulders</li> <li>Zipper closure</li></ul>"
"5122920","<p>ANSI Class III Standard Vest with 2"" Silver Reflective Tape. 100% Polyester Orange Mesh.</p> <p>Features:</p> <ul><li>2 interior oversized pockets</li> <li>2"" reflective tape</li> <li>ANSI Class 3, Type R</li> <li>Exterior double chest pocket with pen-slot pocket</li> <li>H-shape reflective tape pattern</li> <li>Mic tabs on both shoulders</li> <li>Zipper closure</li></ul>"
"5122934","<p>ANSI Class III Surveyor Vest with 6 storage pockets and ventilated mesh back. 100% Polyester Hi-Vis Orange.</p> <p>Features:</p> <ul><li>2 exterior oversized pockets</li> <li>2"" reflective tape</li> <li>ANSI Class 3, Type R</li> <li>D-ring slot</li> <li>Exterior phone pocket with sealable flap</li> <li>H-shape reflective tape pattern</li> <li>Mic tabs on both shoulders</li> <li>Pen-slot pocket on chest</li> <li>Solid fabric front/Mesh fabric back</li> <li>Two-toned contrast tape, silver with colored border</li> <li>Zipper closure</li></ul>"
"5122935","<p>ANSI Class III Surveyor Vest with 6 storage pockets and ventilated mesh back. 100% Polyester Hi-Vis Orange.</p> <p>Features:</p> <ul><li>2 exterior oversized pockets</li> <li>2"" reflective tape</li> <li>ANSI Class 3, Type R</li> <li>D-ring slot</li> <li>Exterior phone pocket with sealable flap</li> <li>H-shape reflective tape pattern</li> <li>Mic tabs on both shoulders</li> <li>Pen-slot pocket on chest</li> <li>Solid fabric front/Mesh fabric back</li> <li>Two-toned contrast tape, silver with colored border</li> <li>Zipper closure</li></ul>"
"5122936","<p>ANSI Class III Surveyor Vest with 6 storage pockets and ventilated mesh back. 100% Polyester Hi-Vis Orange.</p> <p>Features:</p> <ul><li>2 exterior oversized pockets</li> <li>2"" reflective tape</li> <li>ANSI Class 3, Type R</li> <li>D-ring slot</li> <li>Exterior phone pocket with sealable flap</li> <li>H-shape reflective tape pattern</li> <li>Mic tabs on both shoulders</li> <li>Pen-slot pocket on chest</li> <li>Solid fabric front/Mesh fabric back</li> <li>Two-toned contrast tape, silver with colored border</li> <li>Zipper closure</li></ul>"
"5122937","<p>ANSI Class III Surveyor Vest with 6 storage pockets and ventilated mesh back. 100% Polyester Hi-Vis Orange.</p> <p>Features:</p> <ul><li>2 exterior oversized pockets</li> <li>2"" reflective tape</li> <li>ANSI Class 3, Type R</li> <li>D-ring slot</li> <li>Exterior phone pocket with sealable flap</li> <li>H-shape reflective tape pattern</li> <li>Mic tabs on both shoulders</li> <li>Pen-slot pocket on chest</li> <li>Solid fabric front/Mesh fabric back</li> <li>Two-toned contrast tape, silver with colored border</li> <li>Zipper closure</li></ul>"
"5122938","<p>ANSI Class III Self Extinguishing Vest with 2"" Silver Reflective Tape. 100% Polyester Lime Green Mesh.</p> <p>Features:</p> <ul><li>2 interior oversized pockets</li> <li>2"" reflective tape</li> <li>ANSI Cass 3, Type R</li> <li>ASTM D6413 tested</li> <li>Exterior square pocket on chest</li> <li>H-shape reflective tape pattern</li> <li>Hook &amp; loop closure</li> <li>Treated mesh fabric self extinguishes when exposed to flame</li></ul>"
"5122939","<p>ANSI Class III Self Extinguishing Vest with 2"" Silver Reflective Tape. 100% Polyester Lime Green Mesh.</p> <p>Features:</p> <ul><li>2 interior oversized pockets</li> <li>2"" reflective tape</li> <li>ANSI Cass 3, Type R</li> <li>ASTM D6413 tested</li> <li>Exterior square pocket on chest</li> <li>H-shape reflective tape pattern</li> <li>Hook &amp; loop closure</li> <li>Treated mesh fabric self extinguishes when exposed to flame</li></ul>"
"5122921","<p>ANSI Class III Standard Vest with 2"" Silver Reflective Tape. 100% Polyester Orange Mesh.</p> <p>Features:</p> <ul><li>2 interior oversized pockets</li> <li>2"" reflective tape</li> <li>ANSI Class 3, Type R</li> <li>Exterior double chest pocket with pen-slot pocket</li> <li>H-shape reflective tape pattern</li> <li>Mic tabs on both shoulders</li> <li>Zipper closure</li></ul>"
"5122922","<p>ANSI Class III Standard Vest with 2"" Silver Reflective Tape. 100% Polyester Orange Mesh.</p> <p>Features:</p> <ul><li>2 interior oversized pockets</li> <li>2"" reflective tape</li> <li>ANSI Class 3, Type R</li> <li>Exterior double chest pocket with pen-slot pocket</li> <li>H-shape reflective tape pattern</li> <li>Mic tabs on both shoulders</li> <li>Zipper closure</li></ul>"
"5122923","<p>ANSI Class III Standard Vest with 2"" Silver Reflective Tape. 100% Polyester Orange Mesh.</p> <p>Features:</p> <ul><li>2 interior oversized pockets</li> <li>2"" reflective tape</li> <li>ANSI Class 3, Type R</li> <li>Exterior double chest pocket with pen-slot pocket</li> <li>H-shape reflective tape pattern</li> <li>Mic tabs on both shoulders</li> <li>Zipper closure</li></ul>"
"5122924","<p>ANSI Class III Standard Vest with 2"" Silver Reflective Tape. 100% Polyester Orange Mesh.</p> <p>Features:</p> <ul><li>2 interior oversized pockets</li> <li>2"" reflective tape</li> <li>ANSI Class 3, Type R</li> <li>Exterior double chest pocket with pen-slot pocket</li> <li>H-shape reflective tape pattern</li> <li>Mic tabs on both shoulders</li> <li>Zipper closure</li></ul>"
"5122925","<p>ANSI Class III Standard Vest with 2"" Silver Reflective Tape. 100% Polyester Orange Mesh.</p> <p>Features:</p> <ul><li>2 interior oversized pockets</li> <li>2"" reflective tape</li> <li>ANSI Class 3, Type R</li> <li>Exterior double chest pocket with pen-slot pocket</li> <li>H-shape reflective tape pattern</li> <li>Mic tabs on both shoulders</li> <li>Zipper closure</li></ul>"
"5122926","<p>ANSI Class III Surveyor Vest with 6 storage pockets and ventilated mesh back. 100% Polyester Hi-Vis Lime Green.</p> <p>Features:</p> <ul><li>2 exterior oversized pockets</li> <li>2"" reflective tape</li> <li>ANSI Class 3, Type R</li> <li>D-ring slot</li> <li>Exterior phone pocket with sealable flap</li> <li>H-shape reflective tape pattern</li> <li>Mic tabs on both shoulders</li> <li>Pen-slot pocket on chest</li> <li>Solid fabric front/Mesh fabric back</li> <li>Two-toned contrast tape, silver with colored border</li> <li>Zipper closure</li></ul>"
"5122927","<p>ANSI Class III Surveyor Vest with 6 storage pockets and ventilated mesh back. 100% Polyester Hi-Vis Lime Green.</p> <p>Features:</p> <ul><li>2 exterior oversized pockets</li> <li>2"" reflective tape</li> <li>ANSI Class 3, Type R</li> <li>D-ring slot</li> <li>Exterior phone pocket with sealable flap</li> <li>H-shape reflective tape pattern</li> <li>Mic tabs on both shoulders</li> <li>Pen-slot pocket on chest</li> <li>Solid fabric front/Mesh fabric back</li> <li>Two-toned contrast tape, silver with colored border</li> <li>Zipper closure</li></ul>"
"5122928","<p>ANSI Class III Surveyor Vest with 6 storage pockets and ventilated mesh back. 100% Polyester Hi-Vis Lime Green.</p> <p>Features:</p> <ul><li>2 exterior oversized pockets</li> <li>2"" reflective tape</li> <li>ANSI Class 3, Type R</li> <li>D-ring slot</li> <li>Exterior phone pocket with sealable flap</li> <li>H-shape reflective tape pattern</li> <li>Mic tabs on both shoulders</li> <li>Pen-slot pocket on chest</li> <li>Solid fabric front/Mesh fabric back</li> <li>Two-toned contrast tape, silver with colored border</li> <li>Zipper closure</li></ul>"
"5122929","<p>ANSI Class III Surveyor Vest with 6 storage pockets and ventilated mesh back. 100% Polyester Hi-Vis Lime Green.</p> <p>Features:</p> <ul><li>2 exterior oversized pockets</li> <li>2"" reflective tape</li> <li>ANSI Class 3, Type R</li> <li>D-ring slot</li> <li>Exterior phone pocket with sealable flap</li> <li>H-shape reflective tape pattern</li> <li>Mic tabs on both shoulders</li> <li>Pen-slot pocket on chest</li> <li>Solid fabric front/Mesh fabric back</li> <li>Two-toned contrast tape, silver with colored border</li> <li>Zipper closure</li></ul>"
"5122930","<p>ANSI Class III Surveyor Vest with 6 storage pockets and ventilated mesh back. 100% Polyester Hi-Vis Lime Green.</p> <p>Features:</p> <ul><li>2 exterior oversized pockets</li> <li>2"" reflective tape</li> <li>ANSI Class 3, Type R</li> <li>D-ring slot</li> <li>Exterior phone pocket with sealable flap</li> <li>H-shape reflective tape pattern</li> <li>Mic tabs on both shoulders</li> <li>Pen-slot pocket on chest</li> <li>Solid fabric front/Mesh fabric back</li> <li>Two-toned contrast tape, silver with colored border</li> <li>Zipper closure</li></ul>"
"5122931","<p>ANSI Class III Surveyor Vest with 6 storage pockets and ventilated mesh back. 100% Polyester Hi-Vis Lime Green.</p> <p>Features:</p> <ul><li>2 exterior oversized pockets</li> <li>2"" reflective tape</li> <li>ANSI Class 3, Type R</li> <li>D-ring slot</li> <li>Exterior phone pocket with sealable flap</li> <li>H-shape reflective tape pattern</li> <li>Mic tabs on both shoulders</li> <li>Pen-slot pocket on chest</li> <li>Solid fabric front/Mesh fabric back</li> <li>Two-toned contrast tape, silver with colored border</li> <li>Zipper closure</li></ul>"
"5122932","<p>ANSI Class III Surveyor Vest with 6 storage pockets and ventilated mesh back. 100% Polyester Hi-Vis Orange.</p> <p>Features:</p> <ul><li>2 exterior oversized pockets</li> <li>2"" reflective tape</li> <li>ANSI Class 3, Type R</li> <li>D-ring slot</li> <li>Exterior phone pocket with sealable flap</li> <li>H-shape reflective tape pattern</li> <li>Mic tabs on both shoulders</li> <li>Pen-slot pocket on chest</li> <li>Solid fabric front/Mesh fabric back</li> <li>Two-toned contrast tape, silver with colored border</li> <li>Zipper closure</li></ul>"
"5122933","<p>ANSI Class III Surveyor Vest with 6 storage pockets and ventilated mesh back. 100% Polyester Hi-Vis Orange.</p> <p>Features:</p> <ul><li>2 exterior oversized pockets</li> <li>2"" reflective tape</li> <li>ANSI Class 3, Type R</li> <li>D-ring slot</li> <li>Exterior phone pocket with sealable flap</li> <li>H-shape reflective tape pattern</li> <li>Mic tabs on both shoulders</li> <li>Pen-slot pocket on chest</li> <li>Solid fabric front/Mesh fabric back</li> <li>Two-toned contrast tape, silver with colored border</li> <li>Zipper closure</li></ul>"
"5122902","<p>ANSI Class III Economy Vest with 2"" Silver Reflective Tape. 100% Polyester Lime Green Mesh.</p> <p>Features:</p> <ul><li>2 interior oversized pockets</li> <li>2"" reflective tape</li> <li>ANSI Class 3, Type R</li> <li>Exterior chest pocket</li> <li>H-shape reflective tape pattern</li> <li>Hook &amp; loop closure</li></ul>"
"5122903","<p>ANSI Class III Economy Vest with 2"" Silver Reflective Tape. 100% Polyester Lime Green Mesh.</p> <p>Features:</p> <ul><li>2 interior oversized pockets</li> <li>2"" reflective tape</li> <li>ANSI Class 3, Type R</li> <li>Exterior chest pocket</li> <li>H-shape reflective tape pattern</li> <li>Hook &amp; loop closure</li></ul>"
"5122904","<p>ANSI Class III Economy Vest with 2"" Silver Reflective Tape. 100% Polyester Lime Green Mesh.</p> <p>Features:</p> <ul><li>2 interior oversized pockets</li> <li>2"" reflective tape</li> <li>ANSI Class 3, Type R</li> <li>Exterior chest pocket</li> <li>H-shape reflective tape pattern</li> <li>Hook &amp; loop closure</li></ul>"
"5122905","<p>ANSI Class III Economy Vest with 2"" Silver Reflective Tape. 100% Polyester Lime Green Mesh.</p> <p>Features:</p> <ul><li>2 interior oversized pockets</li> <li>2"" reflective tape</li> <li>ANSI Class 3, Type R</li> <li>Exterior chest pocket</li> <li>H-shape reflective tape pattern</li> <li>Hook &amp; loop closure</li></ul>"
"5122906","<p>ANSI Class III Economy Vest with 2"" Silver Reflective Tape. 100% Polyester Lime Green Mesh.</p> <p>Features:</p> <ul><li>2 interior oversized pockets</li> <li>2"" reflective tape</li> <li>ANSI Class 3, Type R</li> <li>Exterior chest pocket</li> <li>H-shape reflective tape pattern</li> <li>Hook &amp; loop closure</li></ul>"
