ID</li></ul>,ADDITIONAL_DESCRIPTION</li></ul>
2785206</li></ul>,<p>Specifications</p><ul><li>H Tapped Mounting Holes (in):1/4-20 UNC x 1/2 DP</li><li>Product Name:Inch Model Linear Actuators</li><li>Shaft Diameter (in):3/4</li><li>Thrust Rating (N):267</li></ul>
2785214</li></ul>,<p>Specifications</p><ul><li>H Tapped Mounting Holes (in):1/4-20 UNC x 1/2 DP</li><li>Product Name:Inch Model Linear Actuators</li><li>Shaft Diameter (in):5/8</li><li>Thrust Rating (N):267</li></ul>
2785238</li></ul>,<p>Specifications</p><ul><li>Product Name:Metric Model Linear Actuators</li><li>Thrust Rating (N):266</li></ul>
2785239</li></ul>,<p>Specifications</p><ul><li>Product Name:Metric Model Linear Actuators</li><li>Thrust Rating (N):266</li></ul>
2785247</li></ul>,<p>Specifications</p><ul><li>Product Name:Metric Model Linear Actuators</li><li>Thrust Rating (N):266</li></ul>
2785248</li></ul>,<p>Specifications</p><ul><li>Product Name:Metric Model Linear Actuators</li><li>Thrust Rating (N):266</li></ul>
2785249</li></ul>,<p>Specifications</p><ul><li>Product Name:Metric Model Linear Actuators</li><li>Thrust Rating (N):266</li></ul>
2785267</li></ul>,<p>Specifications</p><ul><li>H Tapped Mounting Holes (in):1/4-20 UNC x 1/2 DP</li><li>Product Name:Inch Model Linear Actuators</li><li>Shaft Diameter (in):1</li><li>Thrust Rating (N):445</li></ul>
2785268</li></ul>,<p>Specifications</p><ul><li>H Tapped Mounting Holes (in):1/4-20 UNC x 1/2 DP</li><li>Product Name:Inch Model Linear Actuators</li><li>Shaft Diameter (in):1</li><li>Thrust Rating (N):445</li></ul>
2785273</li></ul>,<p>Specifications</p><ul><li>H Tapped Mounting Holes (in):1/4-20 UNC x 1/2 DP</li><li>Product Name:Inch Model Linear Actuators</li><li>Shaft Diameter (in):1</li><li>Thrust Rating (N):445</li></ul>
2785275</li></ul>,<p>Specifications</p><ul><li>H Tapped Mounting Holes (in):1/4-20 UNC x 1/2 DP</li><li>Product Name:Inch Model Linear Actuators</li><li>Shaft Diameter (in):1</li><li>Thrust Rating (N):445</li></ul>
2785293</li></ul>,<p>Specifications</p><ul><li>Product Name:Metric Model Linear Actuators</li><li>Thrust Rating (N):444</li></ul>
2785294</li></ul>,<p>Specifications</p><ul><li>Product Name:Metric Model Linear Actuators</li><li>Thrust Rating (N):444</li></ul>
2785295</li></ul>,<p>Specifications</p><ul><li>Product Name:Metric Model Linear Actuators</li><li>Thrust Rating (N):444</li></ul>
2785302</li></ul>,"<p>Specifications</p><ul><li>Axial Stiffness (N/mm):76.4</li><li>Clamp Screw Size M:M6</li><li>Coupling Size for Drawing References:60</li><li>Material Map:servo</li><li>Maximum Speed (RPM):10,000</li><li>Misalignments Angular (deg):1</li><li>Moment of Inertia (lb-in²):0.49100</li><li>Operating Torque (Nm):60.0</li><li>Product Name:ServoClass Single Flex Couplings</li><li>Style:A</li><li>Tightening Torque (Nm):14.010</li><li>Torsional Stiffness (Nm/Rad):70,000</li><li>Torsional Stiffness (in-lb/deg):10,813</li><li>Weight (g):277.83</li></ul>"
2785306</li></ul>,<p>Specifications</p><ul><li>H Tapped Mounting Holes (in):1/4-20 UNC x 1/2 DP</li><li>Product Name:Inch Model Linear Actuators</li><li>Shaft Diameter (in):1-1/2</li><li>Thrust Rating (N):890</li></ul>
2785308</li></ul>,<p>Specifications</p><ul><li>H Tapped Mounting Holes (in):1/4-20 UNC x 1/2 DP</li><li>Product Name:Inch Model Linear Actuators</li><li>Shaft Diameter (in):2</li><li>Thrust Rating (N):890</li></ul>
2785311</li></ul>,<p>Specifications</p><ul><li>H Tapped Mounting Holes (in):1/4-20 UNC x 1/2 DP</li><li>Product Name:Inch Model Linear Actuators</li><li>Shaft Diameter (in):2</li><li>Thrust Rating (N):890</li></ul>
2785329</li></ul>,<p>Specifications</p><ul><li>Product Name:Metric Model Linear Actuators</li><li>Thrust Rating (N):889</li></ul>
2785330</li></ul>,<p>Specifications</p><ul><li>Product Name:Metric Model Linear Actuators</li><li>Thrust Rating (N):889</li></ul>
2785331</li></ul>,<p>Specifications</p><ul><li>Product Name:Metric Model Linear Actuators</li><li>Thrust Rating (N):889</li></ul>
