ID</li></ul>,ADDITIONAL_DESCRIPTION</li></ul>
5059102</li></ul>,"<p>specifications</p><ul><li>Bearing Weight:3.14 lb</li><li>Bearing Width:1.1417 in</li><li>C0 - Static Radial Rating:10000 lbf</li><li>Ce - Dynamic Radial Rating:18300 lbf</li><li>D - Outer Diameter:4.7244 in</li><li>Da - Outer Ring Backing Diameter:4.330 in</li><li>Design Units:METRIC</li><li>Limiting Speed (Grease):3430 rpm</li><li>Limiting Speed (Oil):4000 rpm</li><li>R - Inner Ring ""To Clear"" Radius:0.079 in</li><li>d - Bore:2.1654 in</li><li>da - Inner Ring Backing Diameter:2.560 in</li><li>do - Ball Diameter:0.81250 in</li><li>r - Outer Ring ""To Clear"" Radius:0.079 in</li></ul>"
5059108</li></ul>,"<p>specifications</p><ul><li>Bearing Weight:7.61 lb</li><li>Bearing Width:1.4567 in</li><li>C0 - Static Radial Rating:22000 lbf</li><li>Cage Type:Ball Piloted, Pressed Brass Cage</li><li>Ce - Dynamic Radial Rating:32000 lbf</li><li>Contact Angle:40 &deg;</li><li>D - Outer Diameter:6.2992 in</li><li>Da - Outer Ring Backing Diameter:5.108 in</li><li>Design Units:METRIC</li><li>R - Inner Ring ""To Clear"" Radius:0.079 in</li><li>d - Bore:2.9528 in</li><li>da - Inner Ring Backing Diameter:4.1905 in</li><li>do - Ball Diameter:1.06250 in</li><li>r - Outer Ring ""To Clear"" Radius:0.079 in</li></ul>"
5059111</li></ul>,"<p>specifications</p><ul><li>Bearing Weight:9.92 lb</li><li>Bearing Width:1.5354 in</li><li>C0 - Static Radial Rating:24500 lbf</li><li>Cage Type:Ball Piloted, Pressed Brass Cage</li><li>Ce - Dynamic Radial Rating:34500 lbf</li><li>Contact Angle:40 &deg;</li><li>D - Outer Diameter:6.6929 in</li><li>Da - Outer Ring Backing Diameter:6.220 in</li><li>Design Units:METRIC</li><li>Limiting Speed (Grease):2800 rpm</li><li>Limiting Speed (Oil):3200 rpm</li><li>R - Inner Ring ""To Clear"" Radius:0.083 in</li><li>d - Bore:3.1496 in</li><li>da - Inner Ring Backing Diameter:3.620 in</li><li>do - Ball Diameter:1.12500 in</li><li>r - Outer Ring ""To Clear"" Radius:0.083 in</li></ul>"
5059113</li></ul>,"<p>specifications</p><ul><li>Bearing Weight:10.88 lb</li><li>Bearing Width:1.6142 in</li><li>C0 - Static Radial Rating:27500 lbf</li><li>Cage Type:Ball Piloted, Pressed Brass Cage</li><li>Ce - Dynamic Radial Rating:37500 lbf</li><li>Contact Angle:40 &deg;</li><li>D - Outer Diameter:7.0866 in</li><li>Da - Outer Ring Backing Diameter:6.540 in</li><li>Design Units:METRIC</li><li>Limiting Speed (Grease):2640 rpm</li><li>Limiting Speed (Oil):3020 rpm</li><li>R - Inner Ring ""To Clear"" Radius:0.118 in</li><li>d - Bore:3.3465 in</li><li>da - Inner Ring Backing Diameter:3.900 in</li><li>do - Ball Diameter:1.18750 in</li><li>r - Outer Ring ""To Clear"" Radius:0.118 in</li></ul>"
5059162</li></ul>,"<p>specifications</p><ul><li>Bearing Weight:0.99 lb</li><li>Bearing Width:0.7087 in</li><li>C0 - Static Radial Rating:5650 lbf</li><li>Cage Type:CR - Phenolic Inner Land Riding Cage</li><li>Ce - Dynamic Radial Rating:7610 lbf</li><li>D - Outer Diameter:3.9370 in</li><li>Da - Outer Ring Backing Diameter:3.670 in</li><li>Design Units:METRIC</li><li>Limiting Speed (Grease):11600 rpm</li><li>Limiting Speed (Oil):23200 rpm</li><li>Precision Class:ISO P4S (ABEC 7/9)</li><li>R - Inner Ring ""To Clear"" Radius:0.039 in</li><li>d - Bore:2.5591 in</li><li>da - Inner Ring Backing Diameter:2.840 in</li><li>do - Ball Diameter:0.406250 in</li><li>r - Outer Ring ""To Clear"" Radius:0.039 in</li></ul>"
5059261</li></ul>,"<p>specifications</p><ul><li>Bearing Weight:0.65 lb</li><li>C - Ring Width:0.9380 in</li><li>C0 - Static Radial Rating:4900 lbf</li><li>Cage Type:Snap In</li><li>Ce - Dynamic Radial Rating:7800 lbf</li><li>Contact Angle:20 &deg;</li><li>D - Outer Diameter:2.4409 in</li><li>Da - Outer Ring Backing Diameter:2.185 in</li><li>Design Units:METRIC</li><li>R - Inner Ring ""To Clear"" Radius:0.039 in</li><li>d - Bore:1.1811 in</li><li>da - Inner Ring Backing Diameter:1.405 in</li><li>do - Ball Diameter:0.37500 in</li><li>r - Outer Ring ""To Clear"" Radius:0.039 in</li></ul>"
5059501</li></ul>,"<p>specifications</p><ul><li>Bearing Weight:3.19 lb</li><li>Bearing Width:1.0236 in</li><li>C0 - Static Radial Rating:17300 lbf</li><li>Cage Type:CR - Phenolic Outer Land Riding Cage</li><li>Ce - Dynamic Radial Rating:23100 lbf</li><li>Contact Angle:15 &deg;</li><li>D - Outer Diameter:5.5118 in</li><li>Da - Outer Ring Backing Diameter:5.120 in</li><li>Design Units:METRIC</li><li>Limiting Speed (Grease):10100 rpm</li><li>Limiting Speed (Oil):20200 rpm</li><li>Precision Class:ISO P4S (ABEC 7/9)</li><li>R - Inner Ring ""To Clear"" Radius:0.079 in</li><li>d - Bore:3.1496 in</li><li>da - Inner Ring Backing Diameter:3.570 in</li><li>do - Ball Diameter:0.75000 in</li><li>r - Outer Ring ""To Clear"" Radius:0.079 in</li></ul>"
5059621</li></ul>,<p>specifications</p><ul><li>Angle between Set Screws:90 &deg;</li><li>Bearing Type:Ball Bearing</li><li>Center of Bearing from End S:0.295 in</li><li>Dimension B1:1.220 in</li><li>Dimension B2:0.531 in</li><li>Dimension S1:0.926 in</li><li>Dynamic Load Rating:3550 lbf</li><li>Inside Ring Width B:0.844 in</li><li>Lubrication Type:Non-Relubricatable</li><li>O.D. Type:Cylindrical OD</li><li>Outside Diameter D:2.047 in</li><li>Outside Ring Width C:0.591 in</li><li>Radius r:0.024 in</li><li>Seal Type:Molded Shroud</li><li>Series:Standard</li><li>Static Load Rating:1730 lbf</li><li>Sub Series:RAE..RR</li><li>Weight:0.5 lb</li></ul>
5059622</li></ul>,<p>specifications</p><ul><li>Angle between Set Screws:90 &deg;</li><li>Bearing Type:Ball Bearing</li><li>Center of Bearing from End S:0.843 in</li><li>Dimension B1:2.220 in</li><li>Dimension B2:0.720 in</li><li>Dimension S1:1.378 in</li><li>Dynamic Load Rating:8160 lbf</li><li>Inside Ring Width B:1.687 in</li><li>Lubrication Type:Non-Relubricatable</li><li>O.D. Type:Cylindrical OD</li><li>Outside Diameter D:3.346 in</li><li>Outside Ring Width C:0.866 in</li><li>Radius r:0.024 in</li><li>Seal Type:Labyrinth Seal</li><li>Series:Industrial</li><li>Static Load Rating:4500 lbf</li><li>Sub Series:1..KLL</li><li>Weight:0.5 lb</li></ul>
5059630</li></ul>,<p>specifications</p><ul><li>D - Outside Diameter:24.409 in</li><li>D1 - Cup Bore:16.969 in</li><li>Dynamic Load Rating:5920 kN 1331000 lbf</li><li>E - Shoulder Diameter - Housing (Max):18.620 in</li><li>H - Shoulder Diameter - Shaft (Min):19.690 in</li><li>S - Dimension:7.953 in</li><li>Static Load Rating:22030 kN 4953000 lbf</li><li>T - Total Width:6.693 in</li><li>T1 - Cage Position:4.868 in</li><li>T2 - Groove Position:2.835 in</li><li>T3 - Cup Width:3.465 in</li><li>Thermal Speed Rating:490 rpm</li><li>Weight:456.3 lb</li><li>d - Bore:13.386 in</li><li>d1 - Cone Outside Diameter:21.654 in</li><li>r - Fillet Radius:0.240 in</li></ul>
