id,additional_description
2785168,"<p>Specifications</p><table class=""description-table""><tr><th>Product Name</th><td>Metric Model Linear Actuators</td></tr><tr><th>Thrust Rating (N)</th><td>133</td></tr></table>"
2785169,"<p>Specifications</p><table class=""description-table""><tr><th>Product Name</th><td>Metric Model Linear Actuators</td></tr><tr><th>Thrust Rating (N)</th><td>133</td></tr></table>"
2785183,"<p>Specifications</p><table class=""description-table""><tr><th>H Tapped Mounting Holes (in)</th><td>1/4-20 UNC x 1/2 DP</td></tr><tr><th>Product Name</th><td>Inch Model Linear Actuators</td></tr><tr><th>Shaft Diameter (in)</th><td>3/4</td></tr><tr><th>Thrust Rating (N)</th><td>267</td></tr></table>"
2785187,"<p>Specifications</p><table class=""description-table""><tr><th>H Tapped Mounting Holes (in)</th><td>1/4-20 UNC x 1/2 DP</td></tr><tr><th>Product Name</th><td>Inch Model Linear Actuators</td></tr><tr><th>Shaft Diameter (in)</th><td>3/4</td></tr><tr><th>Thrust Rating (N)</th><td>267</td></tr></table>"
2785189,"<p>Specifications</p><table class=""description-table""><tr><th>H Tapped Mounting Holes (in)</th><td>1/4-20 UNC x 1/2 DP</td></tr><tr><th>Product Name</th><td>Inch Model Linear Actuators</td></tr><tr><th>Shaft Diameter (in)</th><td>1/2</td></tr><tr><th>Thrust Rating (N)</th><td>267</td></tr></table>"
2785190,"<p>Specifications</p><table class=""description-table""><tr><th>H Tapped Mounting Holes (in)</th><td>1/4-20 UNC x 1/2 DP</td></tr><tr><th>Product Name</th><td>Inch Model Linear Actuators</td></tr><tr><th>Shaft Diameter (in)</th><td>5/8</td></tr><tr><th>Thrust Rating (N)</th><td>267</td></tr></table>"
2785200,"<p>Specifications</p><table class=""description-table""><tr><th>H Tapped Mounting Holes (in)</th><td>1/4-20 UNC x 1/2 DP</td></tr><tr><th>Product Name</th><td>Inch Model Linear Actuators</td></tr><tr><th>Shaft Diameter (in)</th><td>1/2</td></tr><tr><th>Thrust Rating (N)</th><td>267</td></tr></table>"
2785204,"<p>Specifications</p><table class=""description-table""><tr><th>H Tapped Mounting Holes (in)</th><td>1/4-20 UNC x 1/2 DP</td></tr><tr><th>Product Name</th><td>Inch Model Linear Actuators</td></tr><tr><th>Shaft Diameter (in)</th><td>1/2</td></tr><tr><th>Thrust Rating (N)</th><td>267</td></tr></table>"
2785206,"<p>Specifications</p><table class=""description-table""><tr><th>H Tapped Mounting Holes (in)</th><td>1/4-20 UNC x 1/2 DP</td></tr><tr><th>Product Name</th><td>Inch Model Linear Actuators</td></tr><tr><th>Shaft Diameter (in)</th><td>3/4</td></tr><tr><th>Thrust Rating (N)</th><td>267</td></tr></table>"
2785214,"<p>Specifications</p><table class=""description-table""><tr><th>H Tapped Mounting Holes (in)</th><td>1/4-20 UNC x 1/2 DP</td></tr><tr><th>Product Name</th><td>Inch Model Linear Actuators</td></tr><tr><th>Shaft Diameter (in)</th><td>5/8</td></tr><tr><th>Thrust Rating (N)</th><td>267</td></tr></table>"
2785238,"<p>Specifications</p><table class=""description-table""><tr><th>Product Name</th><td>Metric Model Linear Actuators</td></tr><tr><th>Thrust Rating (N)</th><td>266</td></tr></table>"
2785239,"<p>Specifications</p><table class=""description-table""><tr><th>Product Name</th><td>Metric Model Linear Actuators</td></tr><tr><th>Thrust Rating (N)</th><td>266</td></tr></table>"
2785247,"<p>Specifications</p><table class=""description-table""><tr><th>Product Name</th><td>Metric Model Linear Actuators</td></tr><tr><th>Thrust Rating (N)</th><td>266</td></tr></table>"
2785248,"<p>Specifications</p><table class=""description-table""><tr><th>Product Name</th><td>Metric Model Linear Actuators</td></tr><tr><th>Thrust Rating (N)</th><td>266</td></tr></table>"
2785249,"<p>Specifications</p><table class=""description-table""><tr><th>Product Name</th><td>Metric Model Linear Actuators</td></tr><tr><th>Thrust Rating (N)</th><td>266</td></tr></table>"
2785361,"<p>Specifications</p><table class=""description-table""><tr><th>Input Bore - Keyway</th><td>0. 875 - 1/4 x 1/8</td></tr><tr><th>Output Shaft - Keyway</th><td>1. 500 - 3/8 x 3/16</td></tr><tr><th>Product Name</th><td>SAE B Mount Overhung Load Adaptors</td></tr></table>"
2785362,"<p>Specifications</p><table class=""description-table""><tr><th>Input Bore - Keyway</th><td>15 Tooth 16/32 Spline</td></tr><tr><th>Output Shaft - Keyway</th><td>1. 500 - 3/8 x 3/16 1</td></tr><tr><th>Product Name</th><td>SAE B Mount Overhung Load Adaptors</td></tr></table>"
2785363,"<p>Specifications</p><table class=""description-table""><tr><th>Input Bore - Keyway</th><td>1. 000 - 1/4 x 1/8</td></tr><tr><th>Output Shaft - Keyway</th><td>1. 500 - 3/8 x 3/16</td></tr><tr><th>Product Name</th><td>SAE B Mount Overhung Load Adaptors</td></tr></table>"
2785364,"<p>Specifications</p><table class=""description-table""><tr><th>Input Bore - Keyway</th><td>1. 250 - 5/16 x 5/32</td></tr><tr><th>Output Shaft - Keyway</th><td>1. 500 - 3/8 x 3/16</td></tr><tr><th>Product Name</th><td>SAE B Mount Overhung Load Adaptors</td></tr></table>"
2785365,"<p>Specifications</p><table class=""description-table""><tr><th>Product Name</th><td>SAE B Mount Overhung Load Adaptors</td></tr></table>"
2785366,"<p>Specifications</p><table class=""description-table""><tr><th>Product Name</th><td>SAE B Mount Overhung Load Adaptors</td></tr></table>"
2785368,"<p>Specifications</p><table class=""description-table""><tr><th>Continuous Torque (Nm)</th><td>20</td></tr><tr><th>Coupling Size for Drawing References</th><td>18</td></tr><tr><th>D (Bolt)</th><td>M6</td></tr><tr><th>D Torque (Nm)</th><td>13. 00</td></tr><tr><th>Material Map</th><td>a1c</td></tr><tr><th>Maximum Misalignments Angular (deg)</th><td>2. 0</td></tr><tr><th>Maximum Speed (RPM)</th><td>15, 000</td></tr><tr><th>Peak Torque (Nm)</th><td>40</td></tr><tr><th>Product Name</th><td>Single Clamp Aluminum A1C Hubs</td></tr><tr><th>Torsional Stiffness (Nm/Rad)</th><td>11, 650</td></tr><tr><th>Torsional Stiffness (in-lb/deg)</th><td>1, 800</td></tr></table>"
2785369,"<p>Specifications</p><table class=""description-table""><tr><th>Clamped Hub Unit inertia At 1/2 Max Bore (lb-in²)</th><td>0. 13</td></tr><tr><th>Clamped Hub Unit inertia At Max Bore (lb-in²)</th><td>0. 15</td></tr><tr><th>Continuous Rated Torque (Nm)</th><td>20. 3</td></tr><tr><th>Coupling Size for Drawing References</th><td>18</td></tr><tr><th>Material Map</th><td>aluminum</td></tr><tr><th>Maximum Speed Clamp Style Hub (RPM)</th><td>15, 000</td></tr><tr><th>Misalignments Angular (deg)</th><td>3</td></tr><tr><th>Peak Rated Torque (Nm)</th><td>40. 7</td></tr><tr><th>Product Name</th><td>Single Clamp Aluminum Hubs</td></tr><tr><th>Torsional Stiffness (Nm/Rad)</th><td>11, 650</td></tr><tr><th>Torsional Stiffness (in-lb/deg)</th><td>1, 800</td></tr></table>"
2785370,"<p>Specifications</p><table class=""description-table""><tr><th>Clamped Hub Unit inertia At Max Bore (lb-in²)</th><td>0. 35</td></tr><tr><th>Continuous Rated Torque (Nm)</th><td>20. 3</td></tr><tr><th>Coupling Size for Drawing References</th><td>18</td></tr><tr><th>Material Map</th><td>steel</td></tr><tr><th>Maximum Speed Clamp Style Hub (RPM)</th><td>12, 000</td></tr><tr><th>Misalignments Angular (deg)</th><td>3</td></tr><tr><th>Peak Rated Torque (Nm)</th><td>40. 7</td></tr><tr><th>Product Name</th><td>Single Clamp Steel Hubs</td></tr><tr><th>Torsional Stiffness (Nm/Rad)</th><td>11, 650</td></tr><tr><th>Torsional Stiffness (in-lb/deg)</th><td>1, 800</td></tr></table>"
