id,additional_description
389919,"<p>Specifications</p><table class=""description-table""><tr><th>A</th><td>7. 750 in</td></tr><tr><th>B</th><td>4. 000 in</td></tr><tr><th>C</th><td>1. 500 in</td></tr><tr><th>D</th><td>1. 000 in</td></tr><tr><th>F</th><td>0. 375 in</td></tr><tr><th>For Use with Bushing</th><td>4040</td></tr><tr><th>G</th><td>7. 250 in</td></tr><tr><th>J</th><td>5. 750 in</td></tr><tr><th>K</th><td>7. 000 in</td></tr><tr><th>Max. Bore of Bushing</th><td>1. 438 in</td></tr><tr><th>Type </th><td>W</td></tr><tr><th>Weight</th><td>29. 000 lb</td></tr></table>"
389920,"<p>Specifications</p><table class=""description-table""><tr><th>D</th><td>6. 250 in</td></tr><tr><th>L</th><td>1. 625 in</td></tr><tr><th>P</th><td>5. 875 in</td></tr><tr><th>T</th><td>0. 562 in</td></tr><tr><th>Type </th><td>C</td></tr><tr><th>Use Bushing</th><td>E</td></tr><tr><th>Weight</th><td>7. 700 lb</td></tr></table>"
389921,"<p>Specifications</p><table class=""description-table""><tr><th>D</th><td>5. 000 in</td></tr><tr><th>L</th><td>1. 250 in</td></tr><tr><th>P</th><td>4. 625 in</td></tr><tr><th>T</th><td>0. 562 in</td></tr><tr><th>Type </th><td>B</td></tr><tr><th>Use Bushing</th><td>SF</td></tr><tr><th>Weight</th><td>3. 500 lb</td></tr></table>"
389922,"<p>Specifications</p><table class=""description-table""><tr><th>D</th><td>3. 625 in</td></tr><tr><th>Information</th><td>TAPER-LOCK type W weld-on hubs are designed for use in applications such as welding to plate sprockets, pulleys, and agitators. They are made of steel, drilled, tapped, and taper bored for TAPER-LOCK bushings</td></tr><tr><th>L</th><td>1. 250 in</td></tr><tr><th>P</th><td>3. 438 in</td></tr><tr><th>T</th><td>0. 438 in</td></tr><tr><th>Use Bushing</th><td>2012</td></tr><tr><th>Weight</th><td>1. 500 lb</td></tr></table>"
389924,"<p>Specifications</p><table class=""description-table""><tr><th>D</th><td>3. 625 in</td></tr><tr><th>Information</th><td>TAPER-LOCK type W weld-on hubs are designed for use in applications such as welding to plate sprockets, pulleys, and agitators. They are made of steel, drilled, tapped, and taper bored for TAPER-LOCK bushings</td></tr><tr><th>L</th><td>1. 250 in</td></tr><tr><th>P</th><td>3. 438 in</td></tr><tr><th>T</th><td>0. 562 in</td></tr><tr><th>Use Bushing</th><td>2012</td></tr><tr><th>Weight</th><td>1. 500 lb</td></tr></table>"
389944,"<p>Specifications</p><table class=""description-table""><tr><th>D</th><td>7. 750 in</td></tr><tr><th>Information</th><td>TAPER-LOCK type W weld-on hubs are designed for use in applications such as welding to plate sprockets, pulleys, and agitators. They are made of steel, drilled, tapped, and taper bored for TAPER-LOCK bushings</td></tr><tr><th>L</th><td>4. 000 in</td></tr><tr><th>P</th><td>7. 750 in</td></tr><tr><th>T</th><td>1. 000 in</td></tr><tr><th>Use Bushing</th><td>4040</td></tr><tr><th>Weight</th><td>25. 000 lb</td></tr></table>"
389946,"<p>Specifications</p><table class=""description-table""><tr><th>D</th><td>5. 250 in</td></tr><tr><th>Information</th><td>TAPER-LOCK type W weld-on hubs are designed for use in applications such as welding to plate sprockets, pulleys, and agitators. They are made of steel, drilled, tapped, and taper bored for TAPER-LOCK bushings</td></tr><tr><th>L</th><td>2. 000 in</td></tr><tr><th>P</th><td>5. 000 in</td></tr><tr><th>T</th><td>0. 875 in</td></tr><tr><th>Use Bushing</th><td>3020</td></tr><tr><th>Weight</th><td>4. 200 lb</td></tr></table>"
389972,"<p>Specifications</p><table class=""description-table""><tr><th>D</th><td>3. 625 in</td></tr><tr><th>Information</th><td>TAPER-LOCK type W weld-on hubs are designed for use in applications such as welding to plate sprockets, pulleys, and agitators. They are made of steel, drilled, tapped, and taper bored for TAPER-LOCK bushings</td></tr><tr><th>L</th><td>1. 250 in</td></tr><tr><th>P</th><td>3. 438 in</td></tr><tr><th>T</th><td>0. 250 in</td></tr><tr><th>Use Bushing</th><td>2012</td></tr><tr><th>Weight</th><td>1. 500 lb</td></tr></table>"
389973,"<p>Specifications</p><table class=""description-table""><tr><th>D</th><td>4. 250 in</td></tr><tr><th>Information</th><td>TAPER-LOCK type W weld-on hubs are designed for use in applications such as welding to plate sprockets, pulleys, and agitators. They are made of steel, drilled, tapped, and taper bored for TAPER-LOCK bushings</td></tr><tr><th>L</th><td>1. 750 in</td></tr><tr><th>P</th><td>4. 125 in</td></tr><tr><th>T</th><td>0. 250 in</td></tr><tr><th>Use Bushing</th><td>2517</td></tr><tr><th>Weight</th><td>2. 700 lb</td></tr></table>"
389974,"<p>Specifications</p><table class=""description-table""><tr><th>D</th><td>5. 250 in</td></tr><tr><th>Information</th><td>TAPER-LOCK type W weld-on hubs are designed for use in applications such as welding to plate sprockets, pulleys, and agitators. They are made of steel, drilled, tapped, and taper bored for TAPER-LOCK bushings</td></tr><tr><th>L</th><td>2. 000 in</td></tr><tr><th>P</th><td>5. 000 in</td></tr><tr><th>T</th><td>0. 562 in</td></tr><tr><th>Use Bushing</th><td>3020</td></tr><tr><th>Weight</th><td>4. 300 lb</td></tr></table>"
