"ID","ADDITIONAL_DESCRIPTION"
"2928078","<p>Specifications</p><table class=""description-table""><tr><th>IDENTITY NUMBER</th><td>1997610</td></tr><tr><th>TYPE</th><td>LOCKING ASSEMBLY</td></tr><tr><th>WEIGHT</th><td>191 LBS</td></tr></table>"
"2928079","<p>Specifications</p><table class=""description-table""><tr><th>IDENTITY NUMBER</th><td>1997629</td></tr><tr><th>TYPE</th><td>LOCKING ASSEMBLY</td></tr><tr><th>WEIGHT</th><td>243 LBS</td></tr></table>"
"2928080","<p>Specifications</p><table class=""description-table""><tr><th>IDENTITY NUMBER</th><td>1997637</td></tr><tr><th>TYPE</th><td>LOCKING ASSEMBLY</td></tr><tr><th>WEIGHT</th><td>251 LBS</td></tr></table>"
"2928081","<p>Specifications</p><table class=""description-table""><tr><th>IDENTITY NUMBER</th><td>1997645</td></tr><tr><th>TYPE</th><td>LOCKING ASSEMBLY</td></tr><tr><th>WEIGHT</th><td>262 LBS</td></tr></table>"
"2928082","<p>Specifications</p><table class=""description-table""><tr><th>IDENTITY NUMBER</th><td>1997653</td></tr><tr><th>TYPE</th><td>LOCKING ASSEMBLY</td></tr><tr><th>WEIGHT</th><td>271 LBS</td></tr></table>"
"2928083","<p>Specifications</p><table class=""description-table""><tr><th>IDENTITY NUMBER</th><td>1997661</td></tr><tr><th>TYPE</th><td>LOCKING ASSEMBLY</td></tr><tr><th>WEIGHT</th><td>326 LBS</td></tr></table>"
"2928084","<p>Specifications</p><table class=""description-table""><tr><th>IDENTITY NUMBER</th><td>1997670</td></tr><tr><th>TYPE</th><td>LOCKING ASSEMBLY</td></tr><tr><th>WEIGHT</th><td>340 LBS</td></tr></table>"
"2928085","<p>Specifications</p><table class=""description-table""><tr><th>IDENTITY NUMBER</th><td>1997718</td></tr><tr><th>TYPE</th><td>LOCKING ASSEMBLY</td></tr><tr><th>WEIGHT</th><td>9.0 LBS</td></tr></table>"
"2928086","<p>Specifications</p><table class=""description-table""><tr><th>IDENTITY NUMBER</th><td>1997726</td></tr><tr><th>TYPE</th><td>LOCKING ASSEMBLY</td></tr><tr><th>WEIGHT</th><td>9.7 LBS</td></tr></table>"
"2928087","<p>Specifications</p><table class=""description-table""><tr><th>IDENTITY NUMBER</th><td>1997734</td></tr><tr><th>TYPE</th><td>LOCKING ASSEMBLY</td></tr><tr><th>WEIGHT</th><td>11 LBS</td></tr></table>"
"2928088","<p>Specifications</p><table class=""description-table""><tr><th>IDENTITY NUMBER</th><td>1997742</td></tr><tr><th>TYPE</th><td>LOCKING ASSEMBLY</td></tr><tr><th>WEIGHT</th><td>14 LBS</td></tr></table>"
"2928089","<p>Specifications</p><table class=""description-table""><tr><th>IDENTITY NUMBER</th><td>1997750</td></tr><tr><th>TYPE</th><td>LOCKING ASSEMBLY</td></tr><tr><th>WEIGHT</th><td>15 LBS</td></tr></table>"
"2928090","<p>Specifications</p><table class=""description-table""><tr><th>IDENTITY NUMBER</th><td>1997769</td></tr><tr><th>TYPE</th><td>LOCKING ASSEMBLY</td></tr><tr><th>WEIGHT</th><td>16 LBS</td></tr></table>"
"2928091","<p>Specifications</p><table class=""description-table""><tr><th>IDENTITY NUMBER</th><td>1997777</td></tr><tr><th>TYPE</th><td>LOCKING ASSEMBLY</td></tr><tr><th>WEIGHT</th><td>17 LBS</td></tr></table>"
"2928092","<p>Specifications</p><table class=""description-table""><tr><th>IDENTITY NUMBER</th><td>1997785</td></tr><tr><th>TYPE</th><td>LOCKING ASSEMBLY</td></tr><tr><th>WEIGHT</th><td>22 LBS</td></tr></table>"
"2928093","<p>Specifications</p><table class=""description-table""><tr><th>IDENTITY NUMBER</th><td>1997793</td></tr><tr><th>TYPE</th><td>LOCKING ASSEMBLY</td></tr><tr><th>WEIGHT</th><td>23 LBS</td></tr></table>"
"2928094","<p>Specifications</p><table class=""description-table""><tr><th>IDENTITY NUMBER</th><td>1997807</td></tr><tr><th>TYPE</th><td>LOCKING ASSEMBLY</td></tr><tr><th>WEIGHT</th><td>32 LBS</td></tr></table>"
"2928095","<p>Specifications</p><table class=""description-table""><tr><th>IDENTITY NUMBER</th><td>1997815</td></tr><tr><th>TYPE</th><td>LOCKING ASSEMBLY</td></tr><tr><th>WEIGHT</th><td>33 LBS</td></tr></table>"
