"ID","ADDITIONAL_DESCRIPTION"
"2173084","<p>Specifications</p><table class=""description-table""><tr><th>Customs tariff number</th><td>8482105060</td></tr><tr><th>Manufacturer part number</th><td>0167065600030</td></tr><tr><th>Weight (lbs)</th><td>0.348</td></tr><tr><th>Width (in)</th><td>0.748</td></tr></table>"
"2173142","<p>Specifications</p><table class=""description-table""><tr><th>Customs tariff number</th><td>8482105060</td></tr><tr><th>Manufacturer part number</th><td>0167068460030</td></tr><tr><th>Weight (lbs)</th><td>0.461</td></tr><tr><th>Width (in)</th><td>0.827</td></tr></table>"
"2173163","<p>Specifications</p><table class=""description-table""><tr><th>Customs tariff number</th><td>8482300080</td></tr><tr><th>Manufacturer part number</th><td>0750712660030</td></tr><tr><th>Weight (lbs)</th><td>72.091</td></tr><tr><th>Width (in)</th><td>3.622</td></tr></table>"
"2173192","<p>Specifications</p><table class=""description-table""><tr><th>Customs tariff number</th><td>8482300080</td></tr><tr><th>Manufacturer part number</th><td>0798741340000</td></tr><tr><th>Weight (lbs)</th><td>111.995</td></tr><tr><th>Width (in)</th><td>4.173</td></tr></table>"
"2173214","<p>Specifications</p><table class=""description-table""><tr><th>Customs tariff number</th><td>8482300080</td></tr><tr><th>Manufacturer part number</th><td>0801822080030</td></tr><tr><th>Weight (lbs)</th><td>216.273</td></tr><tr><th>Width (in)</th><td>5.236</td></tr></table>"
"2173231","<p>Specifications</p><table class=""description-table""><tr><th>Customs tariff number</th><td>8482300080</td></tr><tr><th>Manufacturer part number</th><td>0807855300040</td></tr><tr><th>Weight (lbs)</th><td>248.681</td></tr><tr><th>Width (in)</th><td>5.315</td></tr></table>"
"2173232","<p>Specifications</p><table class=""description-table""><tr><th>Customs tariff number</th><td>8482300080</td></tr><tr><th>Manufacturer part number</th><td>0807855300040</td></tr><tr><th>Weight (lbs)</th><td>248.681</td></tr><tr><th>Width (in)</th><td>5.315</td></tr></table>"
"2174058","<p>Specifications</p><table class=""description-table""><tr><th>Customs tariff number</th><td>8482300080</td></tr><tr><th>Manufacturer part number</th><td>0783050200030</td></tr><tr><th>Weight (lbs)</th><td>341.275</td></tr><tr><th>Width (in)</th><td>7.087</td></tr></table>"
"2174295","<p>Specifications</p><table class=""description-table""><tr><th>Customs tariff number</th><td>8483909500</td></tr><tr><th>Manufacturer part number</th><td>0397055870000</td></tr><tr><th>Weight (lbs)</th><td>0.331</td></tr><tr><th>Width (in)</th><td>0.688</td></tr></table>"
"2174328","<p>Specifications</p><table class=""description-table""><tr><th>Customs tariff number</th><td>8482105028</td></tr><tr><th>Manufacturer part number</th><td>0709259760000</td></tr><tr><th>Weight (lbs)</th><td>0.338</td></tr><tr><th>Width (in)</th><td>0.811</td></tr></table>"
"2174329","<p>Specifications</p><table class=""description-table""><tr><th>Customs tariff number</th><td>8482105028</td></tr><tr><th>Manufacturer part number</th><td>0702179980000</td></tr><tr><th>Weight (lbs)</th><td>0.139</td></tr><tr><th>Width (in)</th><td>0.626</td></tr></table>"
"2174330","<p>Specifications</p><table class=""description-table""><tr><th>Customs tariff number</th><td>8482105028</td></tr><tr><th>Manufacturer part number</th><td>0702179980000</td></tr><tr><th>Weight (lbs)</th><td>0.139</td></tr><tr><th>Width (in)</th><td>0.626</td></tr></table>"
"2174341","<p>Specifications</p><table class=""description-table""><tr><th>Customs tariff number</th><td>8482105028</td></tr><tr><th>Manufacturer part number</th><td>0816585320030</td></tr><tr><th>Weight (lbs)</th><td>0.216</td></tr><tr><th>Width (in)</th><td>0.689</td></tr></table>"
"2174464","<p>Specifications</p><table class=""description-table""><tr><th>Customs tariff number</th><td>8482105028</td></tr><tr><th>Manufacturer part number</th><td>0167124470030</td></tr><tr><th>Weight (lbs)</th><td>7.319</td></tr><tr><th>Width (in)</th><td>1.937</td></tr></table>"
"2174465","<p>Specifications</p><table class=""description-table""><tr><th>Customs tariff number</th><td>8482105028</td></tr><tr><th>Manufacturer part number</th><td>0167124630030</td></tr><tr><th>Weight (lbs)</th><td>9.127</td></tr><tr><th>Width (in)</th><td>2.063</td></tr></table>"
"2174469","<p>Specifications</p><table class=""description-table""><tr><th>Customs tariff number</th><td>8482105028</td></tr><tr><th>Manufacturer part number</th><td>0167124980030</td></tr><tr><th>Weight (lbs)</th><td>13.173</td></tr><tr><th>Width (in)</th><td>2.374</td></tr></table>"
"2174539","<p>Specifications</p><table class=""description-table""><tr><th>Customs tariff number</th><td>8482200060</td></tr><tr><th>Manufacturer part number</th><td>0388168900000</td></tr><tr><th>Weight (lbs)</th><td>8.433</td></tr><tr><th>Width (in)</th><td>1.85</td></tr></table>"
"2174544","<p>Specifications</p><table class=""description-table""><tr><th>Customs tariff number</th><td>8482105028</td></tr><tr><th>Manufacturer part number</th><td>0702099360000</td></tr><tr><th>Weight (lbs)</th><td>0.265</td></tr><tr><th>Width (in)</th><td>0.748</td></tr></table>"
"2174551","<p>Specifications</p><table class=""description-table""><tr><th>Customs tariff number</th><td>8482105028</td></tr><tr><th>Manufacturer part number</th><td>0698202280030</td></tr><tr><th>Weight (lbs)</th><td>0.392</td></tr><tr><th>Width (in)</th><td>0.874</td></tr></table>"
