"ID","ADDITIONAL_DESCRIPTION"
"2877894","<p>Best quality chrome nickel alloy steel. Hardened and tempered for maximum life. Ends are beveled, slip easily into screws. Wrenches easily replaced by removing a single bolt; snap into right angle position, can be used at any angle. Folds up like knife. Handle fits the hand; easy-to-grip and turn. For smaller size socket screws:</p><p>Type: Hex Keys & Accessories</p>"
"2878422","<p>Screwdrivers, Screwdriver, Tip Style Group Hex, Screwdriver Tip Style Ball Hex, Tip Size 2.0mm, Handle Material Acetate, Shank Length 2-13/16 In., Overall Length 6 In., Standard Tool (Accessory Needed for Tethering), ESD Safe No, Uninsulated, No, Handle Design Fluted, Hex Shank Shape, Shank Material Steel, Black Oxide Finish, Features Turns Socket Headed Fastener at up to 25 Degrees Angle</p><p>Type: Screwdrivers</p>"
"2878425","<p>Screwdrivers, Screwdriver, Tip Style Group Hex, Screwdriver Tip Style Ball Hex, Tip Size 4.0mm, Handle Material Acetate, Shank Length 5-1/4 In., Overall Length 9 In., Standard Tool (Accessory Needed for Tethering), ESD Safe No, Uninsulated, No, Handle Design Fluted, Hex Shank Shape, Shank Material Steel, Black Oxide Finish, Features Turns Socket Headed Fastener at up to 25 Degrees Angle</p><p>Type: Screwdrivers</p>"
"2878407","<p>Screwdrivers, Screwdriver, Tip Style Group Hex, Screwdriver Tip Style Ball Hex, Tip Size 5/64 In., Handle Material Acetate, Shank Length 2-13/16 In., Overall Length 6 In., Standard Tool (Accessory Needed for Tethering), ESD Safe No, Uninsulated, No, Handle Design Fluted, Hex Shank Shape, Shank Material Steel, Black Oxide Finish, Features Turns Socket Headed Fastener at up to 25 Degrees Angle</p><p>Type: Screwdrivers</p>"
"2877793","<p>Ball End Hex Key, L Shape, SAE, Tip Size 1/2 In., Arm Length 8-1/4 In., Handle Length 1-5/8 In., Blade Material Alloy Steel, Finish Black Oxide, Working Angle Up To 35 Degrees, Meets/Exceeds ANSI B18.3, Federal Specification GGG-K-275D, Package Quantity 5 L-Shaped and T-Handle Hex KeysAll hex keys are precision formed to exact dimensional tolerances for precise fit. Heat-treated alloy steel provides high strength and resistance to rotational distortion.Meet ANSI B18.3 and Federal Specification GGG-K-275D as applicable.L-ShapedScrew-holding keys hold fasteners during installation and removal, preventing them from dropping to the ground or into equipment. Ball-end hex keys are designed to provide 360 rotation at angles up to 35 .</p><p>Type: Hex/Torx Keys</p>"
"2877940","<p>Hex/Torx Key Set, Measurement Type SAE/Metric/Torx, Handle Type Fold-Up, Ergonomic, Number of Pieces 36, Arm Length 3.60 to 5.20 In., Sizes Included 0.050, 1/16, 5/64, 3/32, 7/64, 1/8, 9/64, 5/32, 3/16, 7/32, 1/4, 5/16, 3/8 In., 1.5, 2, 2.5, 3, 4, 5, 6, 8, 10mm, T8, T10, T15, T20, T25, T27, T30, T40, Blade Material Alloy Steel, Black Finish RestrictionsNOTE: The Selection Guide below indicates the number and type of keys in a set. Use the Ordering Table to select the type of set, piece count, and measurement type that you want. Set contents are indicated by matching the Size Codes from Ordering Table and Selection Guide. Hex and Torx Key SetsT-Handle hex keys have color-coded handles</p><p>Type: Hex Keys & Accessories</p><p>Color, Finish: Black Oxide</p>"
"2877341","<p>Hex Key Set, Measurement Type SAE/Metric, Arm Type Short, Handle Type L-Shaped, Number of Pieces 22, Arm Length 1.70 to 4.30 In., Sizes Included 0.050, 1/16, 5/64, 3/32, 7/64, 1/8, 9/64, 5/32, 3/16, 7/32, 1/4, 5/16, 3/8 In., 1.5, 2, 2.5, 3, 4, 5, 6, 8, 10mm, Blade Material Alloy Steel, Black Finish, Meets/Exceeds ANSI B18.3, Federal Specification GGG-K-275D, Includes Plastic Holder RestrictionsNOTE: The Selection Guide below indicates the number and type of keys in a set. Use the Ordering Table to select the type of set, piece count, and measurement type that you want. Set contents are indicated by matching the Size Codes from Ordering Table and Selection Guide. Hex and Torx Key SetsT-Handle hex keys have color-coded handles</p><p>Type: Hex/Torx Keys</p>"
"2877866","<p>Ball End Hex Key, Shape L, SAE, Tip Size 1/4 In., Arm Length 5-1/4 In., Handle Length 1-1/8 In., Blade Material Alloy Steel, Finish Bright, Standard Tool (Accessory Needed for Tethering), Handle Type Plain, Handle Color Gray, Handle Material Steel, Working Angle 35 Degrees, Meets/Exceeds ANSI/ASME B18.3</p><p>Type: Hex/Torx Keys</p>"
"2877758","<p>Torx Key, L ShapeTip Size T30, Arm Length 4-1/2 In.Blade Material Alloy Steel, Finish PlatedWorking Angle 90 Degrees, Meets/Exceeds ANSI B18.3, Federal Specification GGG-K-275D</p><p>Type: Hex/Torx Keys</p><p>Color, Finish: Plated</p>"
"2877633","<p>Hex Key, L Shape, Metric, Tip Size 17mm, Arm Length 9-43/64 In., Handle Length 2-27/64 In., Blade Material Alloy Steel, Finish Black Oxide, Handle Color Blue, Working Angle Up to 35 Degrees L-Shaped and T-Handle Hex KeysAll hex keys are precision formed to exact dimensional tolerances for precise fit. Heat-treated alloy steel provides high strength and resistance to rotational distortion.Meet ANSI B18.3 and Federal Specification GGG-K-275D as applicable.L-ShapedScrew-holding keys hold fasteners during installation and removal, preventing them from dropping to the ground or into equipment. Ball-end hex keys are designed to provide 360 rotation at angles up to 35 .</p><p>Type: Hex/Torx Keys</p>"
"2877594","<p>Hex Key, L Shape, Metric, Tip Size 4mm, Arm Length 2-43/64 In., Handle Length 1 In., Blade Material Alloy Steel, Finish Black Oxide, Package Quantity 10 L-Shaped and T-Handle Hex KeysAll hex keys are precision formed to exact dimensional tolerances for precise fit. Heat-treated alloy steel provides high strength and resistance to rotational distortion.Meet ANSI B18.3 and Federal Specification GGG-K-275D as applicable.L-ShapedScrew-holding keys hold fasteners during installation and removal, preventing them from dropping to the ground or into equipment. Ball-end hex keys are designed to provide 360 rotation at angles up to 35 .</p><p>Type: Hex/Torx Keys</p>"
"2877684","<p>Torx Key, L Shape, Tip Size T50, Arm Length 6 In., Handle Length 1-1/4 In., Blade Material Alloy Steel, Finish Black Oxide, Working Angle Up To 35 Degrees L-Shaped and T-Handle Hex KeysAll hex keys are precision formed to exact dimensional tolerances for precise fit. Heat-treated alloy steel provides high strength and resistance to rotational distortion.Meet ANSI B18.3 and Federal Specification GGG-K-275D as applicable.L-ShapedScrew-holding keys hold fasteners during installation and removal, preventing them from dropping to the ground or into equipment. Ball-end hex keys are designed to provide 360 rotation at angles up to 35 .</p><p>Type: Hex/Torx Keys</p><p>Color, Finish: Black Oxide</p>"
