"ID","ADDITIONAL_DESCRIPTION"
"1055672","<p>Specifications</p><table class=""description-table""><tr><th>IP degree of protection</th><td>IP65 (standard)IP67 (with IP67 kit)</td></tr><tr><th>Warranty period</th><td>18 months</td></tr><tr><th>device short name</th><td>BSHshaft end</td></tr><tr><th>electrical connection</th><td>Rotatable right-angled connectors</td></tr><tr><th>holding brake</th><td>Without</td></tr><tr><th>mounting support</th><td>International standard flange</td></tr><tr><th>product or component type</th><td>Servo motor</td></tr><tr><th>speed feedback resolution</th><td>131072 points/turn</td></tr></table>"
"1055673","<p>Specifications</p><table class=""description-table""><tr><th>IP degree of protection</th><td>IP50 (standard)</td></tr><tr><th>Warranty period</th><td>18 months</td></tr><tr><th>device short name</th><td>BSHshaft end</td></tr><tr><th>electrical connection</th><td>Rotatable right-angled connectors</td></tr><tr><th>holding brake</th><td>Without</td></tr><tr><th>mounting support</th><td>International standard flange</td></tr><tr><th>product or component type</th><td>Servo motor</td></tr><tr><th>speed feedback resolution</th><td>131072 points/turn</td></tr></table>"
"1055674","<p>Specifications</p><table class=""description-table""><tr><th>IP degree of protection</th><td>IP50 (standard)</td></tr><tr><th>Warranty period</th><td>18 months</td></tr><tr><th>device short name</th><td>BSHshaft end</td></tr><tr><th>electrical connection</th><td>Rotatable right-angled connectors</td></tr><tr><th>holding brake</th><td>With</td></tr><tr><th>mounting support</th><td>International standard flange</td></tr><tr><th>product or component type</th><td>Servo motor</td></tr><tr><th>speed feedback resolution</th><td>131072 points/turn</td></tr></table>"
"1055675","<p>Specifications</p><table class=""description-table""><tr><th>IP degree of protection</th><td>IP65 (standard)IP67 (with IP67 kit)</td></tr><tr><th>Warranty period</th><td>18 months</td></tr><tr><th>device short name</th><td>BSHshaft end</td></tr><tr><th>electrical connection</th><td>Rotatable right-angled connectors</td></tr><tr><th>holding brake</th><td>Without</td></tr><tr><th>mounting support</th><td>International standard flange</td></tr><tr><th>product or component type</th><td>Servo motor</td></tr><tr><th>speed feedback resolution</th><td>131072 points/turn</td></tr></table>"
"1055676","<p>Specifications</p><table class=""description-table""><tr><th>IP degree of protection</th><td>IP65 (standard)IP67 (with IP67 kit)</td></tr><tr><th>Warranty period</th><td>18 months</td></tr><tr><th>device short name</th><td>BSHshaft end</td></tr><tr><th>electrical connection</th><td>Rotatable right-angled connectors</td></tr><tr><th>holding brake</th><td>With</td></tr><tr><th>mounting support</th><td>International standard flange</td></tr><tr><th>product or component type</th><td>Servo motor</td></tr><tr><th>speed feedback resolution</th><td>131072 points/turn</td></tr></table>"
"1055679","<p>Specifications</p><table class=""description-table""><tr><th>IP degree of protection</th><td>IP50 (standard)</td></tr><tr><th>Warranty period</th><td>18 months</td></tr><tr><th>device short name</th><td>BSHshaft end</td></tr><tr><th>electrical connection</th><td>Straight connectors</td></tr><tr><th>holding brake</th><td>Without</td></tr><tr><th>mounting support</th><td>International standard flange</td></tr><tr><th>product or component type</th><td>Servo motor</td></tr><tr><th>speed feedback resolution</th><td>131072 points/turn x 4096 turns</td></tr></table>"
"885546","<p>Specifications</p><table class=""description-table""><tr><th>System Voltage</th><td>&lt;= 300 V DC power circuit&lt;= 690 V AC 25...400 Hz power circuit</td></tr><tr><th>Warranty period</th><td>18 months</td></tr><tr><th>[Icw] rated short-time withstand current</th><td>105 A &lt;= 104 °F (40 °C) 10 s power circuit210 A &lt;= 104 °F (40 °C) 1 s power circuit30 A &lt;= 104 °F (40 °C) 10 min power circuit61 A &lt;= 104 °F (40 °C) 1 min power circuit100 A 1 s signalling circuit120 A 500 ms signalling circuit140 A 100 ms signalling circuitaverage impedance</td></tr><tr><th>[Ie] rated operational current</th><td>12 A (&lt;= 140 °F (60 °C)) at &lt;= 440 V AC AC-3 power circuit25 A (&lt;= 140 °F (60 °C)) at &lt;= 440 V AC AC-1 power circuit</td></tr><tr><th>[Ith] conventional free air thermal current</th><td>25 A at &lt;= 140 °F (60 °C) power circuit10 A at &lt;= 140 °F (60 °C) signalling circuitrated breaking capacity</td></tr><tr><th>[Uc] control circuit voltage</th><td>110 V AC 50/60 Hz</td></tr><tr><th>auxiliary contact composition</th><td>1 NO + 1 NCovervoltage category</td></tr><tr><th>contactor application</th><td>Motor controlResistive load</td></tr><tr><th>control circuit type</th><td>AC 50/60 Hz</td></tr><tr><th>device presentation</th><td>Preassembled with reversing power busbar</td></tr><tr><th>device short name</th><td>LC2D</td></tr><tr><th>interlocking type</th><td>Mechanical</td></tr><tr><th>motor power kW</th><td>3 kW at 220...230 V AC 50/60 Hz7.5 kW at 500 V AC 50/60 Hz7.5 kW at 660...690 V AC 50/60 Hz5.5 kW at 380...400 V AC 50/60 Hz5.5 kW at 415...440 V AC 50/60 Hz</td></tr><tr><th>mounting support</th><td>PlateRail</td></tr><tr><th>operating rate</th><td>3600 cyc/h at &lt;= 140 °F (60 °C)</td></tr><tr><th>operating time</th><td>4...19 ms opening12...22 ms closingmechanical durability</td></tr><tr><th>pole contact composition</th><td>3 NO</td></tr><tr><th>poles description</th><td>3P</td></tr><tr><th>power dissipation per pole</th><td>0.36 W AC-31.56 W AC-1</td></tr><tr><th>product certifications</th><td>BVCCCCSADNVGLGOSTLROS (Lloyds register of shipping)RINAULtightening torque</td></tr><tr><th>product name</th><td>TeSys D</td></tr><tr><th>product or component type</th><td>Reversing contactor</td></tr><tr><th>protective cover</th><td>With</td></tr><tr><th>range</th><td>TeSys</td></tr><tr><th>standards</th><td>CSA C22.2 No 14EN 60947-4-1EN 60947-5-1IEC 60947-4-1IEC 60947-5-1UL 508</td></tr><tr><th>utilisation category</th><td>AC-1AC-3</td></tr></table>"
"1055637","<p>Specifications</p><table class=""description-table""><tr><th>IP degree of protection</th><td>IP50 (standard)</td></tr><tr><th>Warranty period</th><td>18 months</td></tr><tr><th>device short name</th><td>BSH</td></tr><tr><th>electrical connection</th><td>Straight connectors</td></tr><tr><th>holding brake</th><td>Without</td></tr><tr><th>maximum mechanical speed</th><td>9000 rpmnominal torque</td></tr><tr><th>mounting support</th><td>International standard flange</td></tr><tr><th>product or component type</th><td>Servo motor</td></tr><tr><th>shaft end</th><td>Keyed</td></tr><tr><th>speed feedback resolution</th><td>131072 points/turn</td></tr></table>"
"1055638","<p>Specifications</p><table class=""description-table""><tr><th>IP degree of protection</th><td>IP50 (standard)</td></tr><tr><th>Warranty period</th><td>18 months</td></tr><tr><th>device short name</th><td>BSH</td></tr><tr><th>electrical connection</th><td>Rotatable right-angled connectors</td></tr><tr><th>holding brake</th><td>Without</td></tr><tr><th>maximum mechanical speed</th><td>9000 rpmnominal torque</td></tr><tr><th>mounting support</th><td>International standard flange</td></tr><tr><th>product or component type</th><td>Servo motor</td></tr><tr><th>shaft end</th><td>Keyed</td></tr><tr><th>speed feedback resolution</th><td>131072 points/turn</td></tr></table>"
"1055640","<p>Specifications</p><table class=""description-table""><tr><th>IP degree of protection</th><td>IP65 (standard)IP67 (with IP67 kit)</td></tr><tr><th>Warranty period</th><td>18 months</td></tr><tr><th>device short name</th><td>BSH</td></tr><tr><th>electrical connection</th><td>Rotatable right-angled connectors</td></tr><tr><th>holding brake</th><td>With</td></tr><tr><th>maximum mechanical speed</th><td>9000 rpmnominal torque</td></tr><tr><th>mounting support</th><td>International standard flange</td></tr><tr><th>product or component type</th><td>Servo motor</td></tr><tr><th>shaft end</th><td>Untapped</td></tr><tr><th>speed feedback resolution</th><td>131072 points/turn</td></tr></table>"
