"ID","ADDITIONAL_DESCRIPTION"
"576592","<p>Specifications</p><table class=""description-table""><tr><th>Installed Bearing I.D. Max</th><td>0.2518 in</td></tr><tr><th>Installed Bearing I.D. Min</th><td>0.2492 in</td></tr><tr><th>Length</th><td>1/4 in</td></tr><tr><th>Length Tolerance</th><td>+/-0.015 in</td></tr><tr><th>Max. Temperature</th><td>536 ºF</td></tr><tr><th>Min. Temperature</th><td>328 ºF</td></tr><tr><th>P Value (Max.)</th><td>36250</td></tr><tr><th>PV Value (Max.)</th><td>51000</td></tr><tr><th>Recommended Housing Bore Max</th><td>0.3128 in</td></tr><tr><th>Recommended Housing Bore Min</th><td>0.3122 in</td></tr><tr><th>Recommended Shaft Size Max</th><td>0.2490 in</td></tr><tr><th>Recommended Shaft Size Min</th><td>0.2481 in</td></tr><tr><th>Stock Item? 1</th><td>Yes</td></tr><tr><th>V Value (Max.)</th><td>1000</td></tr></table>"
"576593","<p>Specifications</p><table class=""description-table""><tr><th>Installed Bearing I.D. Max</th><td>0.2518 in</td></tr><tr><th>Installed Bearing I.D. Min</th><td>0.2492 in</td></tr><tr><th>Length</th><td>3/8 in</td></tr><tr><th>Length Tolerance</th><td>+/-0.015 in</td></tr><tr><th>Max. Temperature</th><td>536 ºF</td></tr><tr><th>Min. Temperature</th><td>328 ºF</td></tr><tr><th>P Value (Max.)</th><td>36250</td></tr><tr><th>PV Value (Max.)</th><td>51000</td></tr><tr><th>Recommended Housing Bore Max</th><td>0.3128 in</td></tr><tr><th>Recommended Housing Bore Min</th><td>0.3122 in</td></tr><tr><th>Recommended Shaft Size Max</th><td>0.2490 in</td></tr><tr><th>Recommended Shaft Size Min</th><td>0.2481 in</td></tr><tr><th>Stock Item? 1</th><td>Yes</td></tr><tr><th>V Value (Max.)</th><td>1000</td></tr></table>"
"576594","<p>Specifications</p><table class=""description-table""><tr><th>Installed Bearing I.D. Max</th><td>0.3143 in</td></tr><tr><th>Installed Bearing I.D. Min</th><td>0.3117 in</td></tr><tr><th>Length</th><td>3/8 in</td></tr><tr><th>Length Tolerance</th><td>+/-0.015 in</td></tr><tr><th>Max. Temperature</th><td>536 ºF</td></tr><tr><th>Min. Temperature</th><td>328 ºF</td></tr><tr><th>P Value (Max.)</th><td>36250</td></tr><tr><th>PV Value (Max.)</th><td>51000</td></tr><tr><th>Recommended Housing Bore Max</th><td>0.3753 in</td></tr><tr><th>Recommended Housing Bore Min</th><td>0.3747 in</td></tr><tr><th>Recommended Shaft Size Max</th><td>0.3115 in</td></tr><tr><th>Recommended Shaft Size Min</th><td>0.3106 in</td></tr><tr><th>Stock Item? 1</th><td>Yes</td></tr><tr><th>V Value (Max.)</th><td>1000</td></tr></table>"
"576595","<p>Specifications</p><table class=""description-table""><tr><th>Installed Bearing I.D. Max</th><td>0.3143 in</td></tr><tr><th>Installed Bearing I.D. Min</th><td>0.3117 in</td></tr><tr><th>Length</th><td>1/2 in</td></tr><tr><th>Length Tolerance</th><td>+/-0.015 in</td></tr><tr><th>Max. Temperature</th><td>536 ºF</td></tr><tr><th>Min. Temperature</th><td>328 ºF</td></tr><tr><th>P Value (Max.)</th><td>36250</td></tr><tr><th>PV Value (Max.)</th><td>51000</td></tr><tr><th>Recommended Housing Bore Max</th><td>0.3753 in</td></tr><tr><th>Recommended Housing Bore Min</th><td>0.3747 in</td></tr><tr><th>Recommended Shaft Size Max</th><td>0.3115 in</td></tr><tr><th>Recommended Shaft Size Min</th><td>0.3106 in</td></tr><tr><th>Stock Item? 1</th><td>Yes</td></tr><tr><th>V Value (Max.)</th><td>1000</td></tr></table>"
"576604","<p>Specifications</p><table class=""description-table""><tr><th>Installed Bearing I.D. Max</th><td>0.5019 in</td></tr><tr><th>Installed Bearing I.D. Min</th><td>0.4992 in</td></tr><tr><th>Length</th><td>3/8 in</td></tr><tr><th>Length Tolerance</th><td>+/-0.010 in</td></tr><tr><th>Max. Temperature</th><td>536 ºF</td></tr><tr><th>Min. Temperature</th><td>328 ºF</td></tr><tr><th>P Value (Max.)</th><td>36250</td></tr><tr><th>PV Value (Max.)</th><td>51000</td></tr><tr><th>Recommended Housing Bore Max</th><td>0.5941 in</td></tr><tr><th>Recommended Housing Bore Min</th><td>0.5934 in</td></tr><tr><th>Recommended Shaft Size Max</th><td>0.4990 in</td></tr><tr><th>Recommended Shaft Size Min</th><td>0.4980 in</td></tr><tr><th>Stock Item? 1</th><td>Yes</td></tr><tr><th>V Value (Max.)</th><td>1000</td></tr></table>"
"576605","<p>Specifications</p><table class=""description-table""><tr><th>Installed Bearing I.D. Max</th><td>0.5019 in</td></tr><tr><th>Installed Bearing I.D. Min</th><td>0.4992 in</td></tr><tr><th>Length</th><td>1/2 in</td></tr><tr><th>Length Tolerance</th><td>+/-0.010 in</td></tr><tr><th>Max. Temperature</th><td>536 ºF</td></tr><tr><th>Min. Temperature</th><td>328 ºF</td></tr><tr><th>P Value (Max.)</th><td>36250</td></tr><tr><th>PV Value (Max.)</th><td>51000</td></tr><tr><th>Recommended Housing Bore Max</th><td>0.5941 in</td></tr><tr><th>Recommended Housing Bore Min</th><td>0.5934 in</td></tr><tr><th>Recommended Shaft Size Max</th><td>0.4990 in</td></tr><tr><th>Recommended Shaft Size Min</th><td>0.4980 in</td></tr><tr><th>Stock Item? 1</th><td>Yes</td></tr><tr><th>V Value (Max.)</th><td>1000</td></tr></table>"
"576607","<p>Specifications</p><table class=""description-table""><tr><th>Installed Bearing I.D. Max</th><td>0.5019 in</td></tr><tr><th>Installed Bearing I.D. Min</th><td>0.4992 in</td></tr><tr><th>Length</th><td>3/4 in</td></tr><tr><th>Length Tolerance</th><td>+/-0.010 in</td></tr><tr><th>Max. Temperature</th><td>536 ºF</td></tr><tr><th>Min. Temperature</th><td>328 ºF</td></tr><tr><th>P Value (Max.)</th><td>36250</td></tr><tr><th>PV Value (Max.)</th><td>51000</td></tr><tr><th>Recommended Housing Bore Max</th><td>0.5941 in</td></tr><tr><th>Recommended Housing Bore Min</th><td>0.5934 in</td></tr><tr><th>Recommended Shaft Size Max</th><td>0.4990 in</td></tr><tr><th>Recommended Shaft Size Min</th><td>0.4980 in</td></tr><tr><th>Stock Item? 1</th><td>Yes</td></tr><tr><th>V Value (Max.)</th><td>1000</td></tr></table>"
"576608","<p>Specifications</p><table class=""description-table""><tr><th>Installed Bearing I.D. Max</th><td>0.5019 in</td></tr><tr><th>Installed Bearing I.D. Min</th><td>0.4992 in</td></tr><tr><th>Length</th><td>7/8 in</td></tr><tr><th>Length Tolerance</th><td>+/-0.010 in</td></tr><tr><th>Max. Temperature</th><td>536 ºF</td></tr><tr><th>Min. Temperature</th><td>328 ºF</td></tr><tr><th>P Value (Max.)</th><td>36250</td></tr><tr><th>PV Value (Max.)</th><td>51000</td></tr><tr><th>Recommended Housing Bore Max</th><td>0.5941 in</td></tr><tr><th>Recommended Housing Bore Min</th><td>0.5934 in</td></tr><tr><th>Recommended Shaft Size Max</th><td>0.4990 in</td></tr><tr><th>Recommended Shaft Size Min</th><td>0.4980 in</td></tr><tr><th>Stock Item? 1</th><td>Yes</td></tr><tr><th>V Value (Max.)</th><td>1000</td></tr></table>"
"576596","<p>Specifications</p><table class=""description-table""><tr><th>Installed Bearing I.D. Max</th><td>0.3769 in</td></tr><tr><th>Installed Bearing I.D. Min</th><td>0.3742 in</td></tr><tr><th>Length</th><td>1/4 in</td></tr><tr><th>Length Tolerance</th><td>+/-0.015 in</td></tr><tr><th>Max. Temperature</th><td>536 ºF</td></tr><tr><th>Min. Temperature</th><td>328 ºF</td></tr><tr><th>P Value (Max.)</th><td>36250</td></tr><tr><th>PV Value (Max.)</th><td>51000</td></tr><tr><th>Recommended Housing Bore Max</th><td>0.4691 in</td></tr><tr><th>Recommended Housing Bore Min</th><td>0.4684 in</td></tr><tr><th>Recommended Shaft Size Max</th><td>0.3740 in</td></tr><tr><th>Recommended Shaft Size Min</th><td>0.3731 in</td></tr><tr><th>Stock Item? 1</th><td>Yes</td></tr><tr><th>V Value (Max.)</th><td>1000</td></tr></table>"
"576597","<p>Specifications</p><table class=""description-table""><tr><th>Installed Bearing I.D. Max</th><td>0.3769 in</td></tr><tr><th>Installed Bearing I.D. Min</th><td>0.3742 in</td></tr><tr><th>Length</th><td>3/8 in</td></tr><tr><th>Length Tolerance</th><td>+/-0.015 in</td></tr><tr><th>Max. Temperature</th><td>536 ºF</td></tr><tr><th>Min. Temperature</th><td>328 ºF</td></tr><tr><th>P Value (Max.)</th><td>36250</td></tr><tr><th>PV Value (Max.)</th><td>51000</td></tr><tr><th>Recommended Housing Bore Max</th><td>0.4691 in</td></tr><tr><th>Recommended Housing Bore Min</th><td>0.4684 in</td></tr><tr><th>Recommended Shaft Size Max</th><td>0.3740 in</td></tr><tr><th>Recommended Shaft Size Min</th><td>0.3731 in</td></tr><tr><th>Stock Item? 1</th><td>Yes</td></tr><tr><th>V Value (Max.)</th><td>1000</td></tr></table>"
