"ID","ADDITIONAL_DESCRIPTION"
"2074095","<p>Specifications</p><table class=""description-table""><tr><th>B</th><td>0.3937 in</td></tr><tr><th>Cor</th><td>1.26 kN</td></tr><tr><th>Corresponding adapter sleeve</th><td>1201</td></tr><tr><th>Cr</th><td>5.59 kN</td></tr><tr><th>D</th><td>1.25984 in</td></tr><tr><th>D (max)</th><td>18</td></tr><tr><th>Design</th><td>Double row self aligning ball bearings</td></tr><tr><th>MFO - olej</th><td>28 000 kN</td></tr><tr><th>MFO-pl. maz</th><td>24 000 kN</td></tr><tr><th>Pu</th><td>0.060 kN</td></tr><tr><th>Typ Type</th><td>1201</td></tr><tr><th>Y</th><td>1.9</td></tr><tr><th>Y</th><td>2</td></tr><tr><th>Y</th><td>2.9</td></tr><tr><th>[ lbs ]</th><td>0.088</td></tr><tr><th>d</th><td>0.47244 in</td></tr><tr><th>d</th><td>12</td></tr><tr><th>d (min)</th><td>16</td></tr><tr><th>e</th><td>0.34</td></tr><tr><th>r (max)</th><td>0.6</td></tr><tr><th>r (min)</th><td>0.02362 in</td></tr></table>"
"2074096","<p>Specifications</p><table class=""description-table""><tr><th>B</th><td>0.43307 in</td></tr><tr><th>Cor</th><td>1.74 kN</td></tr><tr><th>Corresponding adapter sleeve</th><td>1202</td></tr><tr><th>Cr</th><td>7.41 kN</td></tr><tr><th>D</th><td>1.37795 in</td></tr><tr><th>D (max)</th><td>31</td></tr><tr><th>Design</th><td>Double row self aligning ball bearings</td></tr><tr><th>MFO - olej</th><td>25 000 kN</td></tr><tr><th>MFO-pl. maz</th><td>21 000 kN</td></tr><tr><th>Pu</th><td>0.080 kN</td></tr><tr><th>Typ Type</th><td>1202</td></tr><tr><th>Y</th><td>1.9</td></tr><tr><th>Y</th><td>2</td></tr><tr><th>Y</th><td>2.9</td></tr><tr><th>[ lbs ]</th><td>0.108</td></tr><tr><th>d</th><td>0.59055 in</td></tr><tr><th>d</th><td>15</td></tr><tr><th>d (min)</th><td>19</td></tr><tr><th>e</th><td>0.33</td></tr><tr><th>r (max)</th><td>0.6</td></tr><tr><th>r (min)</th><td>0.02362 in</td></tr></table>"
"2074118","<p>Specifications</p><table class=""description-table""><tr><th>B</th><td>0.90551 in</td></tr><tr><th>Cor</th><td>12.3 kN</td></tr><tr><th>Corresponding adapter sleeve</th><td>1213</td></tr><tr><th>Cr</th><td>31.93 kN</td></tr><tr><th>D</th><td>4.72441 in</td></tr><tr><th>D (max)</th><td>111</td></tr><tr><th>Design</th><td>Double row self aligning ball bearings</td></tr><tr><th>K [ lbs ]</th><td>2.491</td></tr><tr><th>MFO - olej</th><td>6 300 kN</td></tr><tr><th>MFO-pl. maz</th><td>5 300 kN</td></tr><tr><th>Pu</th><td>0.560 kN</td></tr><tr><th>Typ Type</th><td>1213</td></tr><tr><th>Y</th><td>3.7</td></tr><tr><th>Y</th><td>3.9</td></tr><tr><th>Y</th><td>5.7</td></tr><tr><th>[ lbs ]</th><td>2.535</td></tr><tr><th>d</th><td>2.55906 in</td></tr><tr><th>d</th><td>65</td></tr><tr><th>d (min)</th><td>72</td></tr><tr><th>e</th><td>0.17</td></tr><tr><th>r (max)</th><td>1.5</td></tr><tr><th>r (min)</th><td>0.05906 in</td></tr><tr><th>witd tapered bore</th><td>1213 K</td></tr></table>"
"2074141","<p>Specifications</p><table class=""description-table""><tr><th>B</th><td>1.22047 in</td></tr><tr><th>Cor</th><td>20.7 kN</td></tr><tr><th>Corresponding adapter sleeve</th><td>1312</td></tr><tr><th>Cr</th><td>58.81 kN</td></tr><tr><th>D</th><td>5.11811 in</td></tr><tr><th>D (max)</th><td>118</td></tr><tr><th>Design</th><td>Double row self aligning ball bearings</td></tr><tr><th>K [ lbs ]</th><td>4.255</td></tr><tr><th>MFO - olej</th><td>5 600 kN</td></tr><tr><th>MFO-pl. maz</th><td>4 700 kN</td></tr><tr><th>Pu</th><td>0.940 kN</td></tr><tr><th>Typ Type</th><td>1312</td></tr><tr><th>Y</th><td>2.8</td></tr><tr><th>Y</th><td>2.9</td></tr><tr><th>Y</th><td>4.3</td></tr><tr><th>[ lbs ]</th><td>4.321</td></tr><tr><th>d</th><td>2.3622 in</td></tr><tr><th>d</th><td>60</td></tr><tr><th>d (min)</th><td>72</td></tr><tr><th>e</th><td>0.23</td></tr><tr><th>r (max)</th><td>2</td></tr><tr><th>r (min)</th><td>0.07874 in</td></tr><tr><th>witd tapered bore</th><td>1312 K</td></tr></table>"
"2074143","<p>Specifications</p><table class=""description-table""><tr><th>B</th><td>1.45669 in</td></tr><tr><th>Cor</th><td>29.9 kN</td></tr><tr><th>Corresponding adapter sleeve</th><td>1315</td></tr><tr><th>Cr</th><td>81.68 kN</td></tr><tr><th>D</th><td>6.29921 in</td></tr><tr><th>D (max)</th><td>148</td></tr><tr><th>Design</th><td>Double row self aligning ball bearings</td></tr><tr><th>K [ lbs ]</th><td>7.738</td></tr><tr><th>MFO - olej</th><td>4 500 kN</td></tr><tr><th>MFO-pl. maz</th><td>3 800 kN</td></tr><tr><th>Pu</th><td>1.250 kN</td></tr><tr><th>Typ Type</th><td>1315</td></tr><tr><th>Y</th><td>2.8</td></tr><tr><th>Y</th><td>3</td></tr><tr><th>Y</th><td>4.4</td></tr><tr><th>[ lbs ]</th><td>7.848</td></tr><tr><th>d</th><td>2.95276 in</td></tr><tr><th>d</th><td>75</td></tr><tr><th>d (min)</th><td>86</td></tr><tr><th>e</th><td>0.22</td></tr><tr><th>r (max)</th><td>2</td></tr><tr><th>r (min)</th><td>0.08268 in</td></tr><tr><th>witd tapered bore</th><td>1315 K</td></tr></table>"
"2074152","<p>Specifications</p><table class=""description-table""><tr><th>B</th><td>0.31496 in</td></tr><tr><th>Cor</th><td>2.860 kN</td></tr><tr><th>Cr</th><td>5.594 kN</td></tr><tr><th>D</th><td>1.25984 in</td></tr><tr><th>D (max)</th><td>30</td></tr><tr><th>Design</th><td>Single row deep groove ball bearings d = 2 - 170 mm</td></tr><tr><th>MFO - olej</th><td>25 000 kN</td></tr><tr><th>MFO-pl. maz</th><td>21 000 kN</td></tr><tr><th>Pu</th><td>0.130 kN</td></tr><tr><th>Typ Type</th><td>16002</td></tr><tr><th>[ lbs ]</th><td>0.06</td></tr><tr><th>d</th><td>0.59055 in</td></tr><tr><th>d (min)</th><td>17</td></tr><tr><th>r (max)</th><td>0.3</td></tr><tr><th>rs min</th><td>0.01181 in</td></tr></table>"
"2074154","<p>Specifications</p><table class=""description-table""><tr><th>B</th><td>0.31496 in</td></tr><tr><th>Cor</th><td>4.550 kN</td></tr><tr><th>Cr</th><td>6.950 kN</td></tr><tr><th>D</th><td>1.85039 in</td></tr><tr><th>D (max)</th><td>43</td></tr><tr><th>Design</th><td>Single row deep groove ball bearings d = 2 - 170 mm</td></tr><tr><th>MFO - olej</th><td>17 000 kN</td></tr><tr><th>MFO-pl. maz</th><td>14 000 kN</td></tr><tr><th>Pu</th><td>0.207 kN</td></tr><tr><th>Typ Type</th><td>16005</td></tr><tr><th>[ lbs ]</th><td>0.117</td></tr><tr><th>d</th><td>0.98425 in</td></tr><tr><th>d (min)</th><td>27</td></tr><tr><th>r (max)</th><td>0.3</td></tr><tr><th>rs min</th><td>0.01181 in</td></tr></table>"
"2074155","<p>Specifications</p><table class=""description-table""><tr><th>B</th><td>0.35433 in</td></tr><tr><th>Cor</th><td>7.360 kN</td></tr><tr><th>Cr</th><td>11.200 kN</td></tr><tr><th>D</th><td>2.16535 in</td></tr><tr><th>D (max)</th><td>53</td></tr><tr><th>Design</th><td>Single row deep groove ball bearings d = 2 - 170 mm</td></tr><tr><th>MFO - olej</th><td>14 000 kN</td></tr><tr><th>MFO-pl. maz</th><td>12 000 kN</td></tr><tr><th>Pu</th><td>0.335 kN</td></tr><tr><th>Typ Type</th><td>16006</td></tr><tr><th>[ lbs ]</th><td>0.192</td></tr><tr><th>d</th><td>1.1811 in</td></tr><tr><th>d (min)</th><td>32</td></tr><tr><th>r (max)</th><td>0.3</td></tr><tr><th>rs min</th><td>0.01181 in</td></tr></table>"
"2074156","<p>Specifications</p><table class=""description-table""><tr><th>B</th><td>0.35433 in</td></tr><tr><th>Cor</th><td>7.362 kN</td></tr><tr><th>Cr</th><td>9.960 kN</td></tr><tr><th>D</th><td>2.44094 in</td></tr><tr><th>D (max)</th><td>60</td></tr><tr><th>Design</th><td>Single row deep groove ball bearings d = 2 - 170 mm</td></tr><tr><th>MFO - olej</th><td>12 600 kN</td></tr><tr><th>MFO-pl. maz</th><td>10 600 kN</td></tr><tr><th>Pu</th><td>0.335 kN</td></tr><tr><th>Typ Type</th><td>16007</td></tr><tr><th>[ lbs ]</th><td>0.243</td></tr><tr><th>d</th><td>1.37795 in</td></tr><tr><th>d (min)</th><td>37</td></tr><tr><th>r (max)</th><td>0.3</td></tr><tr><th>rs min</th><td>0.01181 in</td></tr></table>"
"2074157","<p>Specifications</p><table class=""description-table""><tr><th>B</th><td>0.35433 in</td></tr><tr><th>Cor</th><td>9.617 kN</td></tr><tr><th>Cr</th><td>12.667 kN</td></tr><tr><th>D</th><td>2.67717 in</td></tr><tr><th>D (max)</th><td>62</td></tr><tr><th>Design</th><td>Single row deep groove ball bearings d = 2 - 170 mm</td></tr><tr><th>MFO - olej</th><td>11 000 kN</td></tr><tr><th>MFO-pl. maz</th><td>9 400 kN</td></tr><tr><th>Pu</th><td>0.437 kN</td></tr><tr><th>Typ Type</th><td>16008</td></tr><tr><th>[ lbs ]</th><td>0.287</td></tr><tr><th>d</th><td>1.5748 in</td></tr><tr><th>d (min)</th><td>42</td></tr><tr><th>r (max)</th><td>0.3</td></tr><tr><th>rs min</th><td>0.01181 in</td></tr></table>"
"2074158","<p>Specifications</p><table class=""description-table""><tr><th>B</th><td>0.3937 in</td></tr><tr><th>Cor</th><td>12.172 kN</td></tr><tr><th>Cr</th><td>15.659 kN</td></tr><tr><th>D</th><td>2.95276 in</td></tr><tr><th>D (max)</th><td>71</td></tr><tr><th>Design</th><td>Single row deep groove ball bearings d = 2 - 170 mm</td></tr><tr><th>MFO - olej</th><td>10 000 kN</td></tr><tr><th>MFO-pl. maz</th><td>8 400 kN</td></tr><tr><th>Pu</th><td>0.553 kN</td></tr><tr><th>Typ Type</th><td>16009</td></tr><tr><th>[ lbs ]</th><td>0.375</td></tr><tr><th>d</th><td>1.77165 in</td></tr><tr><th>d (min)</th><td>49</td></tr><tr><th>r (max)</th><td>1</td></tr><tr><th>rs min</th><td>0.02362 in</td></tr></table>"
"2074160","<p>Specifications</p><table class=""description-table""><tr><th>B</th><td>0.43307 in</td></tr><tr><th>Cor</th><td>14.000 kN</td></tr><tr><th>Cr</th><td>20.300 kN</td></tr><tr><th>D</th><td>3.54331 in</td></tr><tr><th>D (max)</th><td>86.8</td></tr><tr><th>Design</th><td>Single row deep groove ball bearings d = 2 - 170 mm</td></tr><tr><th>MFO - olej</th><td>9 000 kN</td></tr><tr><th>MFO-pl. maz</th><td>7 500 kN</td></tr><tr><th>Pu</th><td>0.700 kN</td></tr><tr><th>Typ Type</th><td>16011</td></tr><tr><th>[ lbs ]</th><td>0.573</td></tr><tr><th>d</th><td>2.16535 in</td></tr><tr><th>d (min)</th><td>58.2</td></tr><tr><th>r (max)</th><td>0.6</td></tr><tr><th>rs min</th><td>0.02362 in</td></tr></table>"
"2074122","<p>Specifications</p><table class=""description-table""><tr><th>B</th><td>1.02362 in</td></tr><tr><th>Cor</th><td>16.8 kN</td></tr><tr><th>Corresponding adapter sleeve</th><td>1216</td></tr><tr><th>Cr</th><td>40.99 kN</td></tr><tr><th>D</th><td>5.51181 in</td></tr><tr><th>D (max)</th><td>130</td></tr><tr><th>Design</th><td>Double row self aligning ball bearings</td></tr><tr><th>K [ lbs ]</th><td>3.616</td></tr><tr><th>MFO - olej</th><td>5 300 kN</td></tr><tr><th>MFO-pl. maz</th><td>4 500 kN</td></tr><tr><th>Pu</th><td>0.730 kN</td></tr><tr><th>Typ Type</th><td>1216</td></tr><tr><th>Y</th><td>3.9</td></tr><tr><th>Y</th><td>4.1</td></tr><tr><th>Y</th><td>6.1</td></tr><tr><th>[ lbs ]</th><td>3.682</td></tr><tr><th>d</th><td>3.14961 in</td></tr><tr><th>d</th><td>80</td></tr><tr><th>d (min)</th><td>90</td></tr><tr><th>e</th><td>0.16</td></tr><tr><th>r (max)</th><td>2</td></tr><tr><th>r (min)</th><td>0.07874 in</td></tr><tr><th>witd tapered bore</th><td>1216 K</td></tr></table>"
"2074127","<p>Specifications</p><table class=""description-table""><tr><th>B</th><td>1.25984 in</td></tr><tr><th>Cor</th><td>27.1 kN</td></tr><tr><th>Corresponding adapter sleeve</th><td>1219</td></tr><tr><th>Cr</th><td>65.61 kN</td></tr><tr><th>D</th><td>6.69291 in</td></tr><tr><th>D (max)</th><td>158</td></tr><tr><th>Design</th><td>Double row self aligning ball bearings</td></tr><tr><th>K [ lbs ]</th><td>6.724</td></tr><tr><th>MFO - olej</th><td>4 200 kN</td></tr><tr><th>MFO-pl. maz</th><td>3 500 kN</td></tr><tr><th>Pu</th><td>1.700 kN</td></tr><tr><th>Typ Type</th><td>1219</td></tr><tr><th>Y</th><td>3.6</td></tr><tr><th>Y</th><td>3.9</td></tr><tr><th>Y</th><td>5.7</td></tr><tr><th>[ lbs ]</th><td>6.834</td></tr><tr><th>d</th><td>3.74016 in</td></tr><tr><th>d</th><td>95</td></tr><tr><th>d (min)</th><td>107</td></tr><tr><th>e</th><td>0.17</td></tr><tr><th>r (max)</th><td>2</td></tr><tr><th>r (min)</th><td>0.08268 in</td></tr><tr><th>witd tapered bore</th><td>1219 K</td></tr></table>"
"2074130","<p>Specifications</p><table class=""description-table""><tr><th>B</th><td>1.49606 in</td></tr><tr><th>Cor</th><td>38.3 kN</td></tr><tr><th>Corresponding adapter sleeve</th><td>1222</td></tr><tr><th>Cr</th><td>90.54 kN</td></tr><tr><th>D</th><td>7.87402 in</td></tr><tr><th>D (max)</th><td>188</td></tr><tr><th>Design</th><td>Double row self aligning ball bearings</td></tr><tr><th>K [ lbs ]</th><td>11.177</td></tr><tr><th>MFO - olej</th><td>3 500 kN</td></tr><tr><th>MFO-pl. maz</th><td>3 000 kN</td></tr><tr><th>Pu</th><td>1.400 kN</td></tr><tr><th>Typ Type</th><td>1222</td></tr><tr><th>Y</th><td>3.6</td></tr><tr><th>Y</th><td>3.8</td></tr><tr><th>Y</th><td>5.6</td></tr><tr><th>[ lbs ]</th><td>11.354</td></tr><tr><th>d</th><td>110</td></tr><tr><th>d</th><td>4.33071 in</td></tr><tr><th>d (min)</th><td>122</td></tr><tr><th>e</th><td>0.17</td></tr><tr><th>r (max)</th><td>2</td></tr><tr><th>r (min)</th><td>0.08268 in</td></tr><tr><th>witd tapered bore</th><td>1222 K</td></tr></table>"
"2074132","<p>Specifications</p><table class=""description-table""><tr><th>B</th><td>0.66929 in</td></tr><tr><th>Cor</th><td>5.1 kN</td></tr><tr><th>Corresponding adapter sleeve</th><td>1305</td></tr><tr><th>Cr</th><td>18.49 kN</td></tr><tr><th>D</th><td>2.44094 in</td></tr><tr><th>D (max)</th><td>55</td></tr><tr><th>Design</th><td>Double row self aligning ball bearings</td></tr><tr><th>K [ lbs ]</th><td>0.573</td></tr><tr><th>MFO - olej</th><td>13 000 kN</td></tr><tr><th>MFO-pl. maz</th><td>10 000 kN</td></tr><tr><th>Pu</th><td>0.230 kN</td></tr><tr><th>Typ Type</th><td>1305</td></tr><tr><th>Y</th><td>2.3</td></tr><tr><th>Y</th><td>2.4</td></tr><tr><th>Y</th><td>3.5</td></tr><tr><th>[ lbs ]</th><td>0.573</td></tr><tr><th>d</th><td>0.98425 in</td></tr><tr><th>d</th><td>25</td></tr><tr><th>d (min)</th><td>32</td></tr><tr><th>e</th><td>0.28</td></tr><tr><th>r (max)</th><td>1</td></tr><tr><th>r (min)</th><td>0.04331 in</td></tr><tr><th>witd tapered bore</th><td>1305 K</td></tr></table>"
"2074133","<p>Specifications</p><table class=""description-table""><tr><th>B</th><td>0.74803 in</td></tr><tr><th>Cor</th><td>6.31 kN</td></tr><tr><th>Corresponding adapter sleeve</th><td>1306</td></tr><tr><th>Cr</th><td>22.4 kN</td></tr><tr><th>D</th><td>2.83465 in</td></tr><tr><th>D (max)</th><td>65</td></tr><tr><th>Design</th><td>Double row self aligning ball bearings</td></tr><tr><th>K [ lbs ]</th><td>0.838</td></tr><tr><th>MFO - olej</th><td>11 000 kN</td></tr><tr><th>MFO-pl. maz</th><td>9 400 kN</td></tr><tr><th>Pu</th><td>0.290 kN</td></tr><tr><th>Typ Type</th><td>1306</td></tr><tr><th>Y</th><td>2.5</td></tr><tr><th>Y</th><td>2.6</td></tr><tr><th>Y</th><td>3.8</td></tr><tr><th>[ lbs ]</th><td>0.86</td></tr><tr><th>d</th><td>1.1811 in</td></tr><tr><th>d</th><td>30</td></tr><tr><th>d (min)</th><td>36</td></tr><tr><th>e</th><td>0.26</td></tr><tr><th>r (max)</th><td>1</td></tr><tr><th>r (min)</th><td>0.04331 in</td></tr><tr><th>witd tapered bore</th><td>1306 K</td></tr></table>"
"2074135","<p>Specifications</p><table class=""description-table""><tr><th>B</th><td>0.90551 in</td></tr><tr><th>Cor</th><td>9.81 kN</td></tr><tr><th>Corresponding adapter sleeve</th><td>1308</td></tr><tr><th>Cr</th><td>29.87 kN</td></tr><tr><th>D</th><td>3.54331 in</td></tr><tr><th>D (max)</th><td>81</td></tr><tr><th>Design</th><td>Double row self aligning ball bearings</td></tr><tr><th>K [ lbs ]</th><td>1.543</td></tr><tr><th>MFO - olej</th><td>8 400 kN</td></tr><tr><th>MFO-pl. maz</th><td>7 100 kN</td></tr><tr><th>Pu</th><td>0.450 kN</td></tr><tr><th>Typ Type</th><td>1308</td></tr><tr><th>Y</th><td>2.6</td></tr><tr><th>Y</th><td>2.7</td></tr><tr><th>Y</th><td>4.1</td></tr><tr><th>[ lbs ]</th><td>1.587</td></tr><tr><th>d</th><td>1.5748 in</td></tr><tr><th>d</th><td>40</td></tr><tr><th>d (min)</th><td>47</td></tr><tr><th>e</th><td>0.24</td></tr><tr><th>r (max)</th><td>1.5</td></tr><tr><th>r (min)</th><td>0.05906 in</td></tr><tr><th>witd tapered bore</th><td>1308 K</td></tr></table>"
