"ID","ADDITIONAL_DESCRIPTION"
"2801733","<p> Description: 3.55 CS X 25.00 ID MM</p>"
"2796774","<p> Description: 0.472X0.984X0.236 TC</p>"
"2806457","<p> Description: 8-264 BUNA-N BACKUP RING</p>"
"1473125","<p> Description: 2 X 2 3/8 X 5/16 MA39</p>"
"1466467","<p> Description: 1.969X3.346X0.394 SC</p>"
"2812080","<p> Description: 0.472X0.866X0.236 TC</p>"
"1454067","<p> Description: 0.139 CS X 1.234 ID IN.</p>"
"1461228","<p> Description: 0.787X2.047X0.394 SC</p>"
"2796623","<p> Description: 3.937X5.906X0.394 TC</p>"
"2815293","<p> Description: 2.500X3.500X0.500 SA-H</p>"
"1460600","<p> Description: 1.938X3.125X0.500 SB</p>"
"1460475","<p> Description: 0.709X1.378X0.276 TC</p>"
"1453601","<p> Description: 0.070 CS X 4.739 ID IN.</p>"
"1472666","<p> Description: 100 X 115 X 11</p>"
"1465479","<p> Description: 1.654X2.008X0.276 TC</p>"
"1453384","<p> Description: 0.139 CS X 9.734 ID IN.</p>"
"1465537","<p> Description: 1.654X2.343X0.394 TC</p>"
"2805569","<p> Description: 0.103 CS X 1.049 ID IN.</p>"
"1457712","<p> Description: 5.118X6.693X0.472 SC</p>"
"1458742","<p> Description: 1.500X2.623X0.313 SL</p>"
"1466644","<p> Description: 2.126X2.854X0.354 TB</p>"
"2816048","<p> Description: 0.500X0.987X0.250 SB-H</p>"
"1453236","<p> Description: 0.103 CS X 0.081 ID IN.</p>"
"1462024","<p> Description: 0.945X1.339X0.276 TC</p>"
"1461795","<p> Description: 2.313X3.371X0.438 SB</p>"
"1460541","<p> Description: 1.938X2.437X0.250 SB-H</p>"
"2804351","<p> Description: 3.00 CS X 100.00 ID MM</p>"
"1474110","<p> Description: NuPac PU 90 + NBR 70</p>"
"1475267","<p> Description: T-Seal NBR 70 + Nylon B</p>"
"1456431","<p> Description: 1.063X2.000X0.250 SB</p>"
"2808321","<p> Description: 4.331X5.118X0.512 SA</p>"
"1466615","<p> Description: 5.375X6.625X0.500 SA-H</p>"
"1455162","<p> Description: 0.438X0.875X0.250 SM</p>"
