id,additional_description
2790300,<strong>PA02RB REPLACEMENT BLADE TILE STRIPER BLADE</strong><br />
2790297,"<strong>8"" Pearl 18 Point Carbide Drum, 114 Cutters</strong><br /><div><p>For 8"" Pearl Scarifiers.</p> </div>"
2790296,"<strong>8"" Pearl 12 Point Carbide Drum, 114 Cutters</strong><br /><div><p>For 8"" Pearl Scarifiers.</p> </div>"
2790295,"<strong>8"" Pearl 6 Point Carbide Drum, 84 Cutters</strong><br /><div><p>For 8"" Pearl Scarifiers.</p> </div>"
2790294,"<strong>8"" Pearl 5 Point Carbide Drum, 84 Cutters</strong><br /><div><p>For 8"" Pearl Scarifiers.</p> </div>"
2790293,"<strong>7"" PRO TILE SAW</strong><br /><div><p>7"" PROFESSIONAL TILE SAW</p>  <p>Rip cut 20"" tile; Diagonal cut 14"" tile. Compact (only 33"" long), Lightweight (only 42 lbs).</p>  <ul> 	<li>Powerful, high torque 1 HP motor.</li> 	<li>Over-sized, heavy duty stainless steel water tray. Provides superior control of water run-off for cleaner work sites.</li> 	<li>Rear water feed for minimal over spray.</li> 	<li>7"" professional diamond blade &amp; water pump included.</li> 	<li>Steel frame and cast aluminum components.</li> 	<li>One-year limited warranty</li> </ul>  <p>INCLUDED WITH SAW: Professional diamond blade, heavy duty stainless steel water tray (high durability tray for heavy-duty jobs), 45°/90° rip guide, universal wrench, water pump, Owner�s manual.</p>  <p>MOTOR = 1 HP, 115v, 60Hz. 6,350 rpm CUTTING = Depth of cut:  Max. 3-1/4"" CAPACITY = Rip cut: 20"" x 20"" tile.  Angle cut: 14"" x 14"" tile BLADE CAPACITY = 7"" with 5/8"" arbor blade WEIGHT = 42 lbs. DIMENSION = (L)33"" x (W)18.7"" x (H)13"".  Water Tray - 37 in. long</p> </div>"
2790292,"<strong>17"" Pro Buffers Turbo Max</strong><br /><div><p>Pearl 17"" Turbo Max Buffers</p>  <p>Turbo Max HDI Motor: 1-1/2 HP Sealed Induction, Dual Capacitor AC Motor and Heavy Duty Planetary Head. 1.5 HP, TEFC motor. 110/115v</p>  <p>Turbo Max HD Motor: 1-1/2 HP Induction, Dual Capacitor AC Motor and Heavy Duty Planetary Head 1.5 HP 66 frame motor. 110/115v</p>  <p>Features (Turbo Max HDI and Turbo Max HD):</p>  <ul> 	<li>Dual metal switch levers, left or right hand operation</li> 	<li>Triple planetary steel gears - 175 rpm</li> 	<li>All steel and stainless steel construction</li> 	<li>Optimal weight delivers the right resistance against the floor to get the job done better and faster</li> 	<li>Extremely durable and convenient handle adjustment mechanism is foot operated</li> 	<li>Long 50 ft. heavy duty (14-3) cord with durable spring steel strain relief</li> 	<li>5"" non-marking wheels</li> 	<li>Non-marking PVC bumper prevents marking furniture or walls</li> 	<li>Assembled in the U.S.A.</li> 	<li>1-year limited warranty</li> </ul> </div>"
2790291,"<strong>17"" Pro Buffers Turbo Max</strong><br /><div><p>Pearl 17"" Turbo Max Buffers</p>  <p>Turbo Max HDI Motor: 1-1/2 HP Sealed Induction, Dual Capacitor AC Motor and Heavy Duty Planetary Head. 1.5 HP, TEFC motor. 110/115v</p>  <p>Turbo Max HD Motor: 1-1/2 HP Induction, Dual Capacitor AC Motor and Heavy Duty Planetary Head 1.5 HP 66 frame motor. 110/115v</p>  <p>Features (Turbo Max HDI and Turbo Max HD):</p>  <ul> 	<li>Dual metal switch levers, left or right hand operation</li> 	<li>Triple planetary steel gears - 175 rpm</li> 	<li>All steel and stainless steel construction</li> 	<li>Optimal weight delivers the right resistance against the floor to get the job done better and faster</li> 	<li>Extremely durable and convenient handle adjustment mechanism is foot operated</li> 	<li>Long 50 ft. heavy duty (14-3) cord with durable spring steel strain relief</li> 	<li>5"" non-marking wheels</li> 	<li>Non-marking PVC bumper prevents marking furniture or walls</li> 	<li>Assembled in the U.S.A.</li> 	<li>1-year limited warranty</li> </ul> </div>"
2790290,"<strong>3-1/2 x 1/4 Tuck Point Pin</strong><br /><div><p>Tuck Point Pin cuts away mortar in hard-to-reach inside corners or irregular joints that blades cannot reach. Precise, fast, controlled mortar removal!</p> <ul> <li>Diamond infused pin cuts extra hard mortar.</li> <li>Get close to window or door frames without over-cutting.</li> <li>Easily remove mortar around a single brick without cutting into other mortar.</li> <li>Remove mortar from a vertical brick joint without cutting adjacent bricks.</li> <li>Great crack chaser tool.</li> <li>Dust output stays close and is not shot out as with a blade.</li> <li>RPM: 15,000. Use with a die grinder at 8,000 to 15,000 RPM. Note: Grind with sides of the pin NOT with the tip.</li> </ul> </div>"
2790289,"<strong>5 x .250 x 7/8, 5/8 Pearl P2 Pro-V™ Tuck Point Blade, 10mm Rim</strong><br /><div><ul> <li>Large 10mm diamond rim.</li> <li>Engineered for repairing grout.</li> <li>Designed to clean mortar joints quickly and easily.</li> <li>Wet or dry cutting.</li> <li>Max RPM: 12,200.</li> </ul> </div>"
2790288,"<strong>7 x 7/8, 5/8 P3™ Random Tungsten Carbide Blade</strong><br />"
2790287,"<strong>5 x 7/8, 5/8 P3™ Random Tungsten Carbide Blade</strong><br />"
2790286,"<strong>4-1/2 x 7/8, 5/8 P3™ Random Tungsten Carbide Blade</strong><br />"
2790285,"<strong>14 x .125 x 20mml PEV™ Concrete and Masonry Segmented Blade, 12.5mm Rim</strong><br />"
2790283,"<strong>STAINLESS STEEL 12"" & 13.5"" SKID PLATES EARLY ENTRY SAW</strong><br /><div><p>Heavy duty stainless steel, high quality complete replacement skid plates for early entry saws at a great price!</p> </div>"
