id,additional_description
2790263,"<p>4-1/2 x. 045 x 5/8-11 Slimcut Plus T27 AO Thin C-O Wheels, A46, P-LOK Hub</p><p>Slimcut Plus thin cut-off wheels with P-Lok hub. P-Lock hub, a unique metal-thread hub is lightweight and secure. Quick &amp; easy to spin on or off…without tools or nuts!</p><ul><li>Aluminum Oxide. </li> <li>Extra long life. </li> <li>Cool and aggressive cutting. </li> <li>Contamination free. </li> <li>For metal and stainless steel. Ferrous metals, iron, steel, non-ferrous, sheet metals, copper</li> <li>Type 27. Max RPM: 13, 300.</li></ul>"
2790258,"<p>Maxidisc Aluminum Oxide Premium For Aluminum - Stearated Type 27, 10/Box</p>"
2790257,"<p>Maxidisc Aluminum Oxide Premium For Aluminum - Stearated Type 27, 10/Box</p>"
2790256,"<p>Maxidisc Aluminum Oxide Premium For Aluminum - Stearated Type 27, 10/Box</p>"
2790255,"<p>Maxidisc Aluminum Oxide Premium For Aluminum - Stearated Type 27, 10/Box</p>"
2790254,"<p>Maxidisc Aluminum Oxide Premium For Aluminum - Stearated Type 27, 10/Box</p>"
2790253,"<p>Maxidisc Aluminum Oxide Premium For Aluminum - Stearated Type 27, 10/Box</p>"
2790252,"<p>Maxidisc Aluminum Oxide Premium For Aluminum - Stearated Type 27, 10/Box</p>"
2790251,"<p>Maxidisc Aluminum Oxide Premium For Aluminum - Stearated Type 27, 10/Box</p>"
2790250,"<p>Maxidisc EXV Zirconia High Density</p><p>Maxidisc EXV Zirconia High Density has 35% More Abrasive Material than the Standard EXV Maxidisc</p> <p>Pearl's EXV Zirconia Maxidisc is an ideal combination of performance and value. It is engineered with zirconia grains on a heavy duty coated abrasive cloth. The EXV Maxidisc is designed for grinding, blending and finishing on a wide range of metal and stainless steel applications. </p> <ul><li>Excellent price + Performance value!</li> <li>Medium to heavy stock removal on metals</li> <li>Blending and intermediate finishing of metal surfaces</li> <li>Weld bead removal</li> <li>Paint removal</li> <li>Base preparation for steel frame structures</li> <li>Deburring and corner removal</li> <li>Grinding, blending and finishing of stainless steel</li></ul> <p>APPLICATIONS: For Metal and Stainless Steel. </p> <p>10 pcs per box</p>"
2790249,"<p>Maxidisc EXV Zirconia High Density</p><p>Maxidisc EXV Zirconia High Density has 35% More Abrasive Material than the Standard EXV Maxidisc</p> <p>Pearl's EXV Zirconia Maxidisc is an ideal combination of performance and value. It is engineered with zirconia grains on a heavy duty coated abrasive cloth. The EXV Maxidisc is designed for grinding, blending and finishing on a wide range of metal and stainless steel applications. </p> <ul><li>Excellent price + Performance value!</li> <li>Medium to heavy stock removal on metals</li> <li>Blending and intermediate finishing of metal surfaces</li> <li>Weld bead removal</li> <li>Paint removal</li> <li>Base preparation for steel frame structures</li> <li>Deburring and corner removal</li> <li>Grinding, blending and finishing of stainless steel</li></ul> <p>APPLICATIONS: For Metal and Stainless Steel. </p> <p>10 pcs per box</p>"
