id,additional_description
2423485,<ul><li>CLASS B</li><li>3/60/460V FOR ABOVE 150HP TEMP RISE</li><li>ABIENT 40 DEGREE C</li><li>CONTINUOUS DUTY WITH NON REVERSE RACHET</li></ul>
2423484,<ul><li>CLASS B</li><li>3/60/460V FOR ABOVE 150HP TEMP RISE</li><li>ABIENT 40 DEGREE C</li><li>CONTINUOUS DUTY WITH NON REVERSE RACHET</li></ul>
2423483,<ul><li>CLASS B</li><li>3/60/460V FOR ABOVE 150HP TEMP RISE</li><li>ABIENT 40 DEGREE C</li><li>CONTINUOUS DUTY WITH NON REVERSE RACHET</li></ul>
2423482,<ul><li>CLASS B</li><li>3/60/460V FOR ABOVE 150HP TEMP RISE</li><li>ABIENT 40 DEGREE C</li><li>CONTINUOUS DUTY WITH NON REVERSE RACHET</li></ul>
2423445,<p>INVERTER DUTY SHAFT SHELL IS 14140 CAS</p>
2423444,<p>INVERTER DUTY SHAFT SHELL IS 14140 CAS</p>
2423443,<p>INVERTER DUTY SHAFT SHELL IS 14140 CAS</p>
2423442,<p>INVERTER DUTY SHAFT SHELL IS 14140 CAS</p>
2423441,<p>INVERTER DUTY SHAFT SHELL IS 14140 CAS</p>
2423440,<p>INVERTER DUTY SHAFT SHELL IS 14140 CAS</p>
2423439,<p>INVERTER DUTY SHAFT SHELL IS 14140 CAS</p>
2423437,<p>INVERTER DUTY SHAFT SHELL IS 14140 CAS</p>
2423436,<p>INVERTER DUTY SHAFT SHELL IS 14140 CAS</p>
2423435,<p>INVERTER DUTY SHAFT SHELL IS 14140 CAS</p>
2423434,<p>INVERTER DUTY SHAFT SHELL IS 14140 CAS</p>
2423433,<p>INVERTER DUTY SHAFT SHELL IS 14140 CAS</p>
2423432,<p>INVERTER DUTY SHAFT SHELL IS 14140 CAS</p>
2423431,<p>INVERTER DUTY SHAFT SHELL IS 14140 CAS</p>
2423430,<p>INVERTER DUTY SHAFT SHELL IS 14140 CAS</p>
2423429,<p>INVERTER DUTY SHAFT SHELL IS 14140 CAS</p>
2423428,<p>INVERTER DUTY SHAFT SHELL IS 14140 CAS</p>
2423427,<p>INVERTER DUTY SHAFT SHELL IS 14140 CAS</p>
2423426,<p>INVERTER DUTY SHAFT SHELL IS 14140 CAS</p>
2423425,<p>INVERTER DUTY SHAFT SHELL IS 14140 CAS</p>
2423424,<p>INVERTER DUTY SHAFT SHELL IS 14140 CAS</p>
2423423,<p>INVERTER DUTY SHAFT SHELL IS 14140 CAS</p>
2423422,<ul><li>3 PHASE</li><li>60HZ</li><li>2300/4160 VOLT</li><li>CLASS F INSULATION</li><li>1. 0 S. F. NEMA DESIGN B</li><li>CONTINUOUS DUTY</li><li>40 DEGREE C AMBIENT WINDING RTD'S(PT 100</li></ul>
2423421,<ul><li>3 PHASE</li><li>60HZ</li><li>2300/4160 VOLT</li><li>CLASS F INSULATION</li><li>1. 0 S. F. NEMA DESIGN B</li><li>CONTINUOUS DUTY</li><li>40 DEGREE C AMBIENT WINDING RTD'S(PT 100</li></ul>
2423420,<ul><li>3 PHASE</li><li>60HZ</li><li>2300/4160 VOLT</li><li>CLASS F INSULATION</li><li>1. 0 S. F. NEMA DESIGN B</li><li>CONTINUOUS DUTY</li><li>40 DEGREE C AMBIENT WINDING RTD'S(PT 100</li></ul>
2423419,<ul><li>3 PHASE</li><li>60HZ</li><li>2300/4160 VOLT</li><li>CLASS F INSULATION</li><li>1. 0 S. F. NEMA DESIGN B</li><li>CONTINUOUS DUTY</li><li>40 DEGREE C AMBIENT WINDING RTD'S(PT 100</li></ul>
2423418,<ul><li>3 PHASE</li><li>60HZ</li><li>2300/4160 VOLT</li><li>CLASS F INSULATION</li><li>1. 0 S. F. NEMA DESIGN B</li><li>CONTINUOUS DUTY</li><li>40 DEGREE C AMBIENT WINDING RTD'S(PT 100</li></ul>
2423569,<ul><li>CLASS B</li><li>3/60/460V FOR ABOVE 150HP TEMP RISE</li><li>ABIENT 40 DEGREE C</li><li>CONTINUOUS DUTY WITH NON REVERSE RACHET</li></ul>
2423568,<ul><li>CLASS B</li><li>3/60/460V FOR ABOVE 150HP TEMP RISE</li><li>ABIENT 40 DEGREE C</li><li>CONTINUOUS DUTY WITH NON REVERSE RACHET</li></ul>
2423567,<ul><li>CLASS B</li><li>3/60/460V FOR ABOVE 150HP TEMP RISE</li><li>ABIENT 40 DEGREE C</li><li>CONTINUOUS DUTY WITH NON REVERSE RACHET</li></ul>
2423566,<ul><li>CLASS B</li><li>3/60/460V FOR ABOVE 150HP TEMP RISE</li><li>ABIENT 40 DEGREE C</li><li>CONTINUOUS DUTY WITH NON REVERSE RACHET</li></ul>
2423565,<ul><li>CLASS B</li><li>3/60/460V FOR ABOVE 150HP TEMP RISE</li><li>ABIENT 40 DEGREE C</li><li>CONTINUOUS DUTY WITH NON REVERSE RACHET</li></ul>
2423564,<ul><li>CLASS B</li><li>3/60/460V FOR ABOVE 150HP TEMP RISE</li><li>ABIENT 40 DEGREE C</li><li>CONTINUOUS DUTY WITH NON REVERSE RACHET</li></ul>
2423563,<ul><li>CLASS B</li><li>3/60/460V FOR ABOVE 150HP TEMP RISE</li><li>ABIENT 40 DEGREE C</li><li>CONTINUOUS DUTY WITH NON REVERSE RACHET</li></ul>
2423562,<ul><li>CLASS B</li><li>3/60/460V FOR ABOVE 150HP TEMP RISE</li><li>ABIENT 40 DEGREE C</li><li>CONTINUOUS DUTY WITH NON REVERSE RACHET</li></ul>
2423561,<ul><li>CLASS B</li><li>3/60/460V FOR ABOVE 150HP TEMP RISE</li><li>ABIENT 40 DEGREE C</li><li>CONTINUOUS DUTY WITH NON REVERSE RACHET</li></ul>
2423560,<ul><li>CLASS B</li><li>3/60/460V FOR ABOVE 150HP TEMP RISE</li><li>ABIENT 40 DEGREE C</li><li>CONTINUOUS DUTY WITH NON REVERSE RACHET</li></ul>
2423559,<ul><li>CLASS B</li><li>3/60/460V FOR ABOVE 150HP TEMP RISE</li><li>ABIENT 40 DEGREE C</li><li>CONTINUOUS DUTY WITH NON REVERSE RACHET</li></ul>
2423558,<ul><li>CLASS B</li><li>3/60/460V FOR ABOVE 150HP TEMP RISE</li><li>ABIENT 40 DEGREE C</li><li>CONTINUOUS DUTY WITH NON REVERSE RACHET</li></ul>
2423557,<ul><li>CLASS B</li><li>3/60/460V FOR ABOVE 150HP TEMP RISE</li><li>ABIENT 40 DEGREE C</li><li>CONTINUOUS DUTY WITH NON REVERSE RACHET</li></ul>
2423556,<ul><li>CLASS B</li><li>3/60/460V FOR ABOVE 150HP TEMP RISE</li><li>ABIENT 40 DEGREE C</li><li>CONTINUOUS DUTY WITH NON REVERSE RACHET</li></ul>
2423555,<ul><li>CLASS B</li><li>3/60/460V FOR ABOVE 150HP TEMP RISE</li><li>ABIENT 40 DEGREE C</li><li>CONTINUOUS DUTY WITH NON REVERSE RACHET</li></ul>
2423554,<ul><li>CLASS B</li><li>3/60/460V FOR ABOVE 150HP TEMP RISE</li><li>ABIENT 40 DEGREE C</li><li>CONTINUOUS DUTY WITH NON REVERSE RACHET</li></ul>
2423553,<ul><li>CLASS B</li><li>3/60/460V FOR ABOVE 150HP TEMP RISE</li><li>ABIENT 40 DEGREE C</li><li>CONTINUOUS DUTY WITH NON REVERSE RACHET</li></ul>
2423552,<ul><li>CLASS B</li><li>3/60/460V FOR ABOVE 150HP TEMP RISE</li><li>ABIENT 40 DEGREE C</li><li>CONTINUOUS DUTY WITH NON REVERSE RACHET</li></ul>
2423551,<ul><li>CLASS B</li><li>3/60/460V FOR ABOVE 150HP TEMP RISE</li><li>ABIENT 40 DEGREE C</li><li>CONTINUOUS DUTY WITH NON REVERSE RACHET</li></ul>
2423550,<ul><li>CLASS B</li><li>3/60/460V FOR ABOVE 150HP TEMP RISE</li><li>ABIENT 40 DEGREE C</li><li>CONTINUOUS DUTY WITH NON REVERSE RACHET</li></ul>
2423549,<ul><li>CLASS B</li><li>3/60/460V FOR ABOVE 150HP TEMP RISE</li><li>ABIENT 40 DEGREE C</li><li>CONTINUOUS DUTY WITH NON REVERSE RACHET</li></ul>
2423548,<ul><li>CLASS B</li><li>3/60/460V FOR ABOVE 150HP TEMP RISE</li><li>ABIENT 40 DEGREE C</li><li>CONTINUOUS DUTY WITH NON REVERSE RACHET</li></ul>
2423547,<ul><li>CLASS B</li><li>3/60/460V FOR ABOVE 150HP TEMP RISE</li><li>ABIENT 40 DEGREE C</li><li>CONTINUOUS DUTY WITH NON REVERSE RACHET</li></ul>
