ID,ADDITIONAL_DESCRIPTION
2851235,"<h5>Specification</h5><table class=""description-table""><tr><td>Product Colors</td><td>Colors may vary per product. For ordering, include Cat No. followed by the color code</td><td>W (White). </td></tr></table>"
2851245,"<h5>Specification</h5><table class=""description-table""><tr><td>Product Colors</td><td>Colors may vary per product. For ordering, include Cat No. followed by the color code</td><td>W (White). </td></tr></table>"
2845221,"<h5>Specification</h5><table class=""description-table""><tr><th>Configuration</th><td>2-Pole, 2-Wire Non-Grounding</td></tr><tr><th>Wiring Method</th><td>Back Wire</td></tr><tr><th>Rating</th><td>15A 125V NEMA L1-15</td></tr><tr><th>Terminal Accommodation</th><td>#16 - #12 AWG</td></tr></table>"
2845212,"<h5>Specification</h5><table class=""description-table""><tr><th>Configuration</th><td>2-Pole, 2-Wire Non-Grounding</td></tr><tr><th>Wiring Method</th><td>Back Wire</td></tr><tr><th>Rating</th><td>15A 125V NEMA ML-1</td></tr><tr><th>Terminal Accommodation</th><td>#16 - #12 AWG</td></tr><tr><th>Material</th><td>Plated brass</td></tr></table>"
2849093,"<h5>Specification</h5><table class=""description-table""><tr><th>Configuration</th><td>2-Pole, 2-Wire Non-Grounding</td></tr><tr><th>Wiring Method</th><td>Side Wire</td></tr><tr><th>Rating</th><td>15A 125V NEMA L1-15</td></tr><tr><th>Terminal Accommodation</th><td>#14 - #8 AWG</td></tr><tr><th>Material</th><td>Plated brass</td></tr></table>"
2849094,"<h5>Specification</h5><table class=""description-table""><tr><th>Configuration</th><td>2-Pole, 2-Wire Non-Grounding</td></tr><tr><th>Wiring Method</th><td>Side Wire</td></tr><tr><th>Rating</th><td>15A 125V NEMA L1-15</td></tr><tr><th>Terminal Accommodation</th><td>#14 - #8 AWG</td></tr><tr><th>Material</th><td>Plated brass</td></tr></table>"
2846768,"<h5>Specification</h5><table class=""description-table""><tr><th>Configuration</th><td>2-Pole, 2-Wire Non-Grounding</td></tr><tr><th>Wiring Method</th><td>Side Wire</td></tr><tr><th>Rating</th><td>15A 125V NEMA ML-1</td></tr><tr><th>Terminal Accommodation</th><td>#16 - #12 AWG</td></tr><tr><th>Material</th><td>Phenolic</td></tr></table>"
2846765,"<h5>Specification</h5><table class=""description-table""><tr><th>Configuration</th><td>2-Pole, 2-Wire Non-Grounding</td></tr><tr><th>Wiring Method</th><td>Side Wire</td></tr><tr><th>Rating</th><td>15A 125V NEMA ML-1</td></tr><tr><th>Terminal Accommodation</th><td>#16 - #12 AWG</td></tr><tr><th>Material</th><td>Phenolic</td></tr></table>"
2846769,"<h5>Specification</h5><table class=""description-table""><tr><th>Configuration</th><td>2-Pole, 2-Wire Non-Grounding</td></tr><tr><th>Wiring Method</th><td>Side Wire</td></tr><tr><th>Rating</th><td>15A 125V NEMA ML-1</td></tr><tr><th>Terminal Accommodation</th><td>#16 - #12 AWG</td></tr><tr><th>Material</th><td>Phenolic</td></tr></table>"
2846767,"<h5>Specification</h5><table class=""description-table""><tr><th>Configuration</th><td>2-Pole, 2-Wire Non-Grounding</td></tr><tr><th>Wiring Method</th><td>Side Wire</td></tr><tr><th>Rating</th><td>15A 125V NEMA ML-1</td></tr><tr><th>Terminal Accommodation</th><td>#16 - #12 AWG</td></tr><tr><th>Material</th><td>Phenolic</td></tr></table>"
