id,additional_description
5674876,"<ul><li>Energy efficient - lowest watts per CFM, ultra quiet die cast aluminum airfoil propeller</li> <li>Excellent for churches, schools, industrial and commercial applications</li> <li>Includes supply cord and plug</li> <li>Meets OSHA standards, 3 speed motor, 26"" base(18"" &amp; 20""); 32"" base(24"" &amp; 30"")</li> <li>1/5 HP(18""&amp;24""); 1/3HP(24""&amp;30""), 1 phase, totally enclosed, ball bearing motor</li> <li>Patented modular motor end dome for easy maintenance</li></ul>"
5674877,"<ul><li>Energy efficient - lowest watts per CFM, ultra quiet die cast aluminum airfoil propeller</li> <li>Excellent for churches, schools, industrial and commercial applications</li> <li>Includes supply cord and plug</li> <li>Meets OSHA standards, 3 speed motor, 26"" base(18"" &amp; 20""); 32"" base(24"" &amp; 30"")</li> <li>1/5 HP(18""&amp;24""); 1/3HP(24""&amp;30""), 1 phase, totally enclosed, ball bearing motor</li> <li>Patented modular motor end dome for easy maintenance</li></ul>"
5674878,"<ul><li>Energy efficient - lowest watts per CFM, ultra quiet die cast aluminum airfoil propeller</li> <li>Excellent for churches, schools, industrial and commercial applications</li> <li>Includes supply cord and plug</li> <li>Meets OSHA standards, 3 speed motor, 26"" base(18"" &amp; 20""); 32"" base(24"" &amp; 30"")</li> <li>1/5 HP(18""&amp;24""); 1/3HP(24""&amp;30""), 1 phase, totally enclosed, ball bearing motor</li> <li>Patented modular motor end dome for easy maintenance</li></ul>"
5674879,"<ul><li>Energy efficient - lowest watts per CFM, ultra quiet die cast aluminum airfoil propeller</li> <li>Excellent for churches, schools, industrial and commercial applications</li> <li>Includes supply cord and plug</li> <li>Meets OSHA standards, 3 speed motor, 26"" base(18"" &amp; 20""); 32"" base(24"" &amp; 30"")</li> <li>1/5 HP(18""&amp;24""); 1/3HP(24""&amp;30""), 1 phase, totally enclosed, ball bearing motor</li> <li>Patented modular motor end dome for easy maintenance</li></ul>"
5674880,"<ul><li>Energy efficient - lowest watts per CFM, ultra quiet die cast aluminum airfoil propeller</li> <li>Excellent for churches, schools, industrial and commercial applications</li> <li>Includes supply cord and plug</li> <li>Meets OSHA standards, 3 speed motor, 26"" base(18"" &amp; 20""); 32"" base(24"" &amp; 30"")</li> <li>1/5 HP(18""&amp;24""); 1/3HP(24""&amp;30""), 1 phase, totally enclosed, ball bearing motor</li> <li>Patented modular motor end dome for easy maintenance</li></ul>"
5674881,"<ul><li>Energy efficient - lowest watts per CFM, ultra quiet die cast aluminum airfoil propeller</li> <li>Excellent for churches, schools, industrial and commercial applications</li> <li>Includes supply cord and plug</li> <li>Meets OSHA standards, 3 speed motor, 26"" base(18"" &amp; 20""); 32"" base(24"" &amp; 30"")</li> <li>1/5 HP(18""&amp;24""); 1/3HP(24""&amp;30""), 1 phase, totally enclosed, ball bearing motor</li> <li>Patented modular motor end dome for easy maintenance</li></ul>"
5674882,"<ul><li>Energy efficient - lowest watts per CFM, ultra quiet die cast aluminum airfoil propeller</li> <li>Excellent for churches, schools, industrial and commercial applications</li> <li>Includes supply cord and plug</li> <li>Meets OSHA standards, 3 speed motor, 26"" base(18"" &amp; 20""); 32"" base(24"" &amp; 30"")</li> <li>1/5 HP(18""&amp;24""); 1/3HP(24""&amp;30""), 1 phase, totally enclosed, ball bearing motor</li> <li>Patented modular motor end dome for easy maintenance</li></ul>"
5674883,"<ul><li>Energy efficient - lowest watts per CFM, ultra quiet die cast aluminum airfoil propeller</li> <li>Excellent for churches, schools, industrial and commercial applications</li> <li>Includes supply cord and plug</li> <li>Meets OSHA standards, 3 speed motor, 26"" base(18"" &amp; 20""); 32"" base(24"" &amp; 30"")</li> <li>1/5 HP(18""&amp;24""); 1/3HP(24""&amp;30""), 1 phase, totally enclosed, ball bearing motor</li> <li>Patented modular motor end dome for easy maintenance</li></ul>"
5674884,"<ul><li>Energy efficient - lowest watts per CFM, ultra quiet die cast aluminum airfoil propeller</li> <li>Excellent for churches, schools, industrial and commercial applications</li> <li>Includes supply cord and plug</li> <li>Meets OSHA standards, 3 speed motor, 26"" base(18"" &amp; 20""); 32"" base(24"" &amp; 30"")</li> <li>1/5 HP(18""&amp;24""); 1/3HP(24""&amp;30""), 1 phase, totally enclosed, ball bearing motor</li> <li>Patented modular motor end dome for easy maintenance</li></ul>"
5674885,"<ul><li>Energy efficient - lowest watts per CFM, ultra quiet die cast aluminum airfoil propeller</li> <li>Excellent for churches, schools, industrial and commercial applications</li> <li>Includes supply cord and plug</li> <li>Meets OSHA standards, 3 speed motor, 26"" base(18"" &amp; 20""); 32"" base(24"" &amp; 30"")</li> <li>1/5 HP(18""&amp;24""); 1/3HP(24""&amp;30""), 1 phase, totally enclosed, ball bearing motor</li> <li>Patented modular motor end dome for easy maintenance</li></ul>"
5674886,"<ul><li>Energy efficient - lowest watts per CFM, ultra quiet die cast aluminum airfoil propeller</li> <li>Excellent for churches, schools, industrial and commercial applications</li> <li>Includes supply cord and plug</li> <li>Meets OSHA standards, 3 speed motor, 26"" base(18"" &amp; 20""); 32"" base(24"" &amp; 30"")</li> <li>1/5 HP(18""&amp;24""); 1/3HP(24""&amp;30""), 1 phase, totally enclosed, ball bearing motor</li> <li>Patented modular motor end dome for easy maintenance</li></ul>"
5674887,"<ul><li>Energy efficient - lowest watts per CFM, ultra quiet die cast aluminum airfoil propeller</li> <li>Excellent for churches, schools, industrial and commercial applications</li> <li>Includes supply cord and plug</li> <li>Meets OSHA standards, 3 speed motor, 26"" base(18"" &amp; 20""); 32"" base(24"" &amp; 30"")</li> <li>1/5 HP(18""&amp;24""); 1/3HP(24""&amp;30""), 1 phase, totally enclosed, ball bearing motor</li> <li>Patented modular motor end dome for easy maintenance</li></ul>"
5674888,"<ul><li>Energy efficient - lowest watts per CFM, ultra quiet die cast aluminum airfoil propeller</li> <li>Excellent for churches, schools, industrial and commercial applications</li> <li>Includes supply cord and plug</li> <li>Meets OSHA standards, 3 speed motor, 26"" base(18"" &amp; 20""); 32"" base(24"" &amp; 30"")</li> <li>1/5 HP(18""&amp;24""); 1/3HP(24""&amp;30""), 1 phase, totally enclosed, ball bearing motor</li> <li>Patented modular motor end dome for easy maintenance</li></ul>"
5674889,"<ul><li>Energy efficient - lowest watts per CFM, ultra quiet die cast aluminum airfoil propeller</li> <li>Excellent for churches, schools, industrial and commercial applications</li> <li>Includes supply cord and plug</li> <li>Meets OSHA standards, 3 speed motor, 26"" base(18"" &amp; 20""); 32"" base(24"" &amp; 30"")</li> <li>1/5 HP(18""&amp;24""); 1/3HP(24""&amp;30""), 1 phase, totally enclosed, ball bearing motor</li> <li>Patented modular motor end dome for easy maintenance</li></ul>"
5674856,"<ul><li>Die cast aluminum propeller</li> <li>OSHA approved safety guards</li> <li>115/230V, 1/4 HP, 1 phase &amp; 230/460V, 1/4 HP, 3 phase, single speed ball bearing motors</li> <li>All unit packs in stock</li></ul>"
5674857,"<ul><li>Die cast aluminum propeller</li> <li>OSHA approved safety guards</li> <li>115/230V, 1/4 HP, 1 phase &amp; 230/460V, 1/4 HP, 3 phase, single speed ball bearing motors</li> <li>All unit packs in stock</li></ul>"
5674858,"<ul><li>Die cast aluminum propeller</li> <li>OSHA approved safety guards</li> <li>115/230V, 1/4 HP, 1 phase &amp; 230/460V, 1/4 HP, 3 phase, single speed ball bearing motors</li> <li>All unit packs in stock</li></ul>"
5674859,"<ul><li>Die cast aluminum propeller</li> <li>OSHA approved safety guards</li> <li>115/230V, 1/4 HP, 1 phase &amp; 230/460V, 1/4 HP, 3 phase, single speed ball bearing motors</li> <li>All unit packs in stock</li></ul>"
5674860,"<ul><li>Die cast aluminum propeller</li> <li>OSHA approved safety guards</li> <li>115/230V, 1/4 HP, 1 phase &amp; 230/460V, 1/4 HP, 3 phase, single speed ball bearing motors</li> <li>All unit packs in stock</li></ul>"
