id,additional_description
5745531,<table class='additional_description'><tr><td>Sold In</td><td>Pack of 20 Shims</td></tr><tr><td>Slot Width is Slightly Larger Than</td><td>1-5/8</td></tr><tr><td>Rec. Bolt Size</td><td>1 to 1-5/8</td></tr><tr><td>THICKNESS MILS = thousands of an inch</td><td>125”</td></tr></table>
5745530,<table class='additional_description'><tr><td>Pack of 20 Shims</td><td>Pack of 20 Shims</td></tr><tr><td>1-5/8</td><td>1-5/8</td></tr><tr><td>1 to 1-5/8</td><td>1 to 1-5/8</td></tr><tr><td>125”</td><td>100”</td></tr></table>
5745529,<table class='additional_description'><tr><td>Pack of 20 Shims</td><td>Pack of 20 Shims</td></tr><tr><td>1-5/8</td><td>1-5/8</td></tr><tr><td>1 to 1-5/8</td><td>1 to 1-5/8</td></tr><tr><td>100”</td><td>075”</td></tr></table>
5745528,<table class='additional_description'><tr><td>Pack of 20 Shims</td><td>Pack of 20 Shims</td></tr><tr><td>1-5/8</td><td>1-5/8</td></tr><tr><td>1 to 1-5/8</td><td>1 to 1-5/8</td></tr><tr><td>075”</td><td>060”</td></tr></table>
5745527,<table class='additional_description'><tr><td>Pack of 20 Shims</td><td>Pack of 20 Shims</td></tr><tr><td>1-5/8</td><td>1-5/8</td></tr><tr><td>1 to 1-5/8</td><td>1 to 1-5/8</td></tr><tr><td>060”</td><td>050”</td></tr></table>
5745526,<table class='additional_description'><tr><td>Pack of 20 Shims</td><td>Pack of 20 Shims</td></tr><tr><td>1-5/8</td><td>1-5/8</td></tr><tr><td>1 to 1-5/8</td><td>1 to 1-5/8</td></tr><tr><td>050”</td><td>030”</td></tr></table>
5745525,<table class='additional_description'><tr><td>Pack of 20 Shims</td><td>Pack of 20 Shims</td></tr><tr><td>1-5/8</td><td>1-5/8</td></tr><tr><td>1 to 1-5/8</td><td>1 to 1-5/8</td></tr><tr><td>030”</td><td>025”</td></tr></table>
5745524,<table class='additional_description'><tr><td>Pack of 20 Shims</td><td>Pack of 20 Shims</td></tr><tr><td>1-5/8</td><td>1-5/8</td></tr><tr><td>1 to 1-5/8</td><td>1 to 1-5/8</td></tr><tr><td>025”</td><td>020”</td></tr></table>
5745523,<table class='additional_description'><tr><td>Pack of 20 Shims</td><td>Pack of 20 Shims</td></tr><tr><td>1-5/8</td><td>1-5/8</td></tr><tr><td>1 to 1-5/8</td><td>1 to 1-5/8</td></tr><tr><td>020”</td><td>015”</td></tr></table>
5745522,<table class='additional_description'><tr><td>Pack of 20 Shims</td><td>Pack of 20 Shims</td></tr><tr><td>1-5/8</td><td>1-5/8</td></tr><tr><td>1 to 1-5/8</td><td>1 to 1-5/8</td></tr><tr><td>015”</td><td>010”</td></tr></table>
