id,additional_description
2222084,"<ul><li>precision pliers for ultra fine assembly work, e g. in electronics and fine mechanics</li><li>for gripping, holding, bending and adjusting</li><li>precision tips</li><li>smooth gripping surfaces</li><li>smooth edges</li><li>lap joint</li><li>High-grade special tool steel; forged, oil-hardened</li></ul>"
2222082,"<ul><li>precision pliers for ultra fine assembly work, e g. in electronics and fine mechanics</li><li>for gripping, holding, bending and adjusting</li><li>precision tips</li><li>smooth gripping surfaces</li><li>smooth edges</li><li>lap joint</li><li>High-grade special tool steel; forged, oil-hardened</li></ul>"
2222080,"<ul><li>precision pliers for ultra fine assembly work, e g. in electronics and fine mechanics</li><li>for gripping, holding, bending and adjusting</li><li>precision tips</li><li>smooth gripping surfaces</li><li>smooth edges</li><li>lap joint</li><li>High-grade special tool steel; forged, oil-hardened</li></ul>"
2222095,"<ul><li>high-strength jaws and tips bend and snap back into place</li><li>cross-hatched gripping surfaces, knurled</li><li>Vanadium electric steel; forged, oil-hardened</li></ul>"
2222491,"<ul><li>replaces a full set of inch and metric open end wrenches</li><li>smooth jaws for damage free installation of plated fittings - working directly on chrome!</li><li>adjustable tightening tool</li><li>excellent for gripping, holding, pressing and bending applications</li><li>zero backlash jaw surface pressure prevents damage to edges of sensitive components</li><li>adjustment at the touch of a button directly on the workpiece</li><li>parallel jaws allow infinitely variable gripping of all widths to the specified maximum size</li><li>reliable catching of the hinge bolt: no unintentional shifting</li><li>the action of the jaws allows bolted connections to be tightened and released quickly using the ratchet principle</li><li>lever transmission greater than 10 - 1 for strong gripping power</li><li>Chrome vanadium electric steel, forged, oil-hardened</li></ul>"
2222770,"<ul><li>professional tool for cutting and stripping unshielded ribbon telephone cables</li><li>for crimping 4-, 6- and 8-pole Western plugs type RJ 10 (7. 65 mm width), type RJ 11/12 (9. 65 mm width) and type RJ 45 (11. 68 mm width)</li><li>exact crimping process due to parallel crimping</li><li>repetitive, high crimping quality due to integral lock (self-releasing mechanism)</li><li>optimum transmission of force due to toggle lever for fatigue-reduced operation</li><li>with length cutter and dismantling knife for ribbon cables 1/4"" and 1/2"" (6 and 12 mm) length</li><li>with additional stripping device for round cables</li><li>Chrome vanadium electric steel in special quality, oil-hardened</li></ul>"
2222737,"<ul><li>professional tool for cutting and stripping unshielded ribbon telephone cables</li><li>for crimping 4-, 6- and 8-pole Western plugs type RJ 10 (7. 65 mm width), type RJ 11/12 (9. 65 mm width) and type RJ 45 (11. 68 mm width)</li><li>exact crimping process due to parallel crimping</li><li>repetitive, high crimping quality due to integral lock (self-releasing mechanism)</li><li>optimum transmission of force due to toggle lever for fatigue-reduced operation</li><li>with length cutter and dismantling knife for ribbon cables 1/4"" and 1/2"" (6 and 12 mm) length</li><li>with additional stripping device for round cables</li><li>Chrome vanadium electric steel in special quality, oil-hardened</li></ul>"
2222493,"<ul><li>Pliers and Wrench in a single tool</li><li>excellent for gripping, holding, pressing and bending applications</li><li>zero backlash jaw surface pressure prevents damage to edges of sensitive and soft nuts (Cu)</li><li>with scale for presetting the opening width apart from the workpiece</li><li>no unintentional shift of the gripping jaws and no slipping of the joint</li><li>parallel jaws allow infinitely variable gripping of all widths to the specified maximum size</li><li>the action of the jaws allows bolted connections to be tightened and released quickly using the ratchet principle</li><li>lever transmission greater than 10 - 1 for strong gripping power</li><li>Chrome vanadium electric steel, forged, oil-hardened</li></ul>"
2222819,"<ul><li>cranked</li><li>chrome plated</li><li>Chrome vanadium steel, forged, oil-hardened</li></ul>"
2222818,"<ul><li>cranked</li><li>chrome plated</li><li>Chrome vanadium steel, forged, oil-hardened</li></ul>"
