id,additional_description
5745519,"<table class=""description-table""><tr><th>Sold In</th><td>Pack of 20 Shims</td></tr><tr><th>Slot Width is Slightly Larger Than</th><td>1-5/8</td></tr><tr><th>Rec. Bolt Size</th><td>1 to 1-5/8</td></tr><tr><th>THICKNESS MILS = thousands of an inch</th><td>003”</td></tr></table>"
5745518,"<table class=""description-table""><tr><th>Sold In</th><td>Pack of 20 Shims</td></tr><tr><th>Slot Width is Slightly Larger Than</th><td>1-5/8</td></tr><tr><th>Rec. Bolt Size</th><td>1 to 1-5/8</td></tr><tr><th>THICKNESS MILS = thousands of an inch</th><td>002”</td></tr></table>"
5745517,"<table class=""description-table""><tr><th>Sold In</th><td>Pack of 20 Shims</td></tr><tr><th>Slot Width is Slightly Larger Than</th><td>1-5/8</td></tr><tr><th>Rec. Bolt Size</th><td>1 to 1-5/8</td></tr><tr><th>THICKNESS MILS = thousands of an inch</th><td>001”</td></tr></table>"
5745516,"<table class=""description-table""><tr><th>Sold In</th><td>Pack of 20 Shims</td></tr><tr><th>Slot Width is Slightly Larger Than</th><td>1-1/4”</td></tr><tr><th>Rec. Bolt Size</th><td>3/4” to 1-1/4”</td></tr><tr><th>THICKNESS MILS = thousands of an inch</th><td>125”</td></tr></table>"
5745515,"<table class=""description-table""><tr><th>Sold In</th><td>Pack of 20 Shims</td></tr><tr><th>Slot Width is Slightly Larger Than</th><td>1-1/4”</td></tr><tr><th>Rec. Bolt Size</th><td>3/4” to 1-1/4”</td></tr><tr><th>THICKNESS MILS = thousands of an inch</th><td>100”</td></tr></table>"
5745514,"<table class=""description-table""><tr><th>Sold In</th><td>Pack of 20 Shims</td></tr><tr><th>Slot Width is Slightly Larger Than</th><td>1-1/4”</td></tr><tr><th>Rec. Bolt Size</th><td>3/4” to 1-1/4”</td></tr><tr><th>THICKNESS MILS = thousands of an inch</th><td>075”</td></tr></table>"
5745513,"<table class=""description-table""><tr><th>Sold In</th><td>Pack of 20 Shims</td></tr><tr><th>Slot Width is Slightly Larger Than</th><td>1-1/4”</td></tr><tr><th>Rec. Bolt Size</th><td>3/4” to 1-1/4”</td></tr><tr><th>THICKNESS MILS = thousands of an inch</th><td>060”</td></tr></table>"
5745512,"<table class=""description-table""><tr><th>Sold In</th><td>Pack of 20 Shims</td></tr><tr><th>Slot Width is Slightly Larger Than</th><td>1-1/4”</td></tr><tr><th>Rec. Bolt Size</th><td>3/4” to 1-1/4”</td></tr><tr><th>THICKNESS MILS = thousands of an inch</th><td>050”</td></tr></table>"
5745511,"<table class=""description-table""><tr><th>Sold In</th><td>Pack of 20 Shims</td></tr><tr><th>Slot Width is Slightly Larger Than</th><td>1-1/4”</td></tr><tr><th>Rec. Bolt Size</th><td>3/4” to 1-1/4”</td></tr><tr><th>THICKNESS MILS = thousands of an inch</th><td>030”</td></tr></table>"
5745510,"<table class=""description-table""><tr><th>Sold In</th><td>Pack of 20 Shims</td></tr><tr><th>Slot Width is Slightly Larger Than</th><td>1-1/4”</td></tr><tr><th>Rec. Bolt Size</th><td>3/4” to 1-1/4”</td></tr><tr><th>THICKNESS MILS = thousands of an inch</th><td>025”</td></tr></table>"
