id,additional_description
2492854,"<table class=""description-table""><tr><th>Bearing type</th><td>Roller Bearing</td></tr><tr><th>Housing type</th><td>Piloted Flange</td></tr><tr><th>Bearing/shaft_size</th><td>4-15/16 shaft_size</td></tr><tr><th>Seal</th><td>standard contact</td></tr></table>"
2492853,"<table class=""description-table""><tr><th>Bearing type</th><td>Roller Bearing</td></tr><tr><th>Housing type</th><td>Piloted Flange</td></tr><tr><th>Bearing/shaft_size</th><td>4-1/2 shaft_size</td></tr><tr><th>Seal</th><td>standard contact</td></tr></table>"
2492852,"<table class=""description-table""><tr><th>Bearing type</th><td>Roller Bearing</td></tr><tr><th>Housing type</th><td>Piloted Flange</td></tr><tr><th>Bearing/shaft_size</th><td>4-7/16 shaft_size</td></tr><tr><th>Seal</th><td>standard contact</td></tr></table>"
2492851,"<table class=""description-table""><tr><th>Bearing type</th><td>Roller Bearing</td></tr><tr><th>Housing type</th><td>Piloted Flange</td></tr><tr><th>Bearing/shaft_size</th><td>4"" shaft_size</td></tr><tr><th>Seal</th><td>standard contact</td></tr></table>"
2492850,"<table class=""description-table""><tr><th>Bearing type</th><td>Roller Bearing</td></tr><tr><th>Housing type</th><td>Piloted Flange</td></tr><tr><th>Bearing/shaft_size</th><td>3-15/16 shaft_size</td></tr><tr><th>Seal</th><td>standard contact</td></tr></table>"
2492849,"<table class=""description-table""><tr><th>Bearing type</th><td>Roller Bearing</td></tr><tr><th>Housing type</th><td>Piloted Flange</td></tr><tr><th>Bearing/shaft_size</th><td>3-1/2 shaft_size</td></tr><tr><th>Seal</th><td>standard contact</td></tr></table>"
2492848,"<table class=""description-table""><tr><th>Bearing type</th><td>Roller Bearing</td></tr><tr><th>Housing type</th><td>Piloted Flange</td></tr><tr><th>Bearing/shaft_size</th><td>3-7/16 shaft_size</td></tr><tr><th>Seal</th><td>standard contact</td></tr></table>"
2492847,"<table class=""description-table""><tr><th>Bearing type</th><td>Roller Bearing</td></tr><tr><th>Housing type</th><td>Piloted Flange</td></tr><tr><th>Bearing/shaft_size</th><td>3-1/4 shaft_size</td></tr><tr><th>Seal</th><td>standard contact</td></tr></table>"
2492846,"<table class=""description-table""><tr><th>Bearing type</th><td>Roller Bearing</td></tr><tr><th>Housing type</th><td>Piloted Flange</td></tr><tr><th>Bearing/shaft_size</th><td>3-3/16 shaft_size</td></tr><tr><th>Seal</th><td>standard contact</td></tr></table>"
2492845,"<table class=""description-table""><tr><th>Bearing type</th><td>Roller Bearing</td></tr><tr><th>Housing type</th><td>Piloted Flange</td></tr><tr><th>Bearing/shaft_size</th><td>3"" shaft_size</td></tr><tr><th>Seal</th><td>standard contact</td></tr></table>"
2492844,"<table class=""description-table""><tr><th>Bearing type</th><td>Roller Bearing</td></tr><tr><th>Housing type</th><td>Piloted Flange</td></tr><tr><th>Bearing/shaft_size</th><td>2-15/16 shaft_size</td></tr><tr><th>Seal</th><td>standard contact</td></tr></table>"
2492843,"<table class=""description-table""><tr><th>Bearing type</th><td>Roller Bearing</td></tr><tr><th>Housing type</th><td>Piloted Flange</td></tr><tr><th>Bearing/shaft_size</th><td>2-3/4 shaft_size</td></tr><tr><th>Seal</th><td>standard contact</td></tr></table>"
2492842,"<table class=""description-table""><tr><th>Bearing type</th><td>Roller Bearing</td></tr><tr><th>Housing type</th><td>Piloted Flange</td></tr><tr><th>Bearing/shaft_size</th><td>2-11/16 shaft_size</td></tr><tr><th>Seal</th><td>standard contact</td></tr></table>"
2973773,"<table class=""description-table""><tr><th>Bearing type</th><td>Roller Bearing</td></tr><tr><th>Housing type</th><td>Piloted Flange</td></tr><tr><th>Bearing/shaft_size</th><td>2-1/2 shaft_size</td></tr><tr><th>Seal</th><td>standard contact</td></tr></table>"
2973772,"<table class=""description-table""><tr><th>Bearing type</th><td>Roller Bearing</td></tr><tr><th>Housing type</th><td>Piloted Flange</td></tr><tr><th>Bearing/shaft_size</th><td>2-7/16 shaft_size</td></tr><tr><th>Seal</th><td>standard contact</td></tr></table>"
