ID,ADDITIONAL_DESCRIPTION
5691272,"<h5>Specifications</h5><table class=""description-table""><tbody><tr><th>T TUBE OD</th><td>3/16</td></tr><tr><th>A M. M. </th><td>38. 1</td></tr><tr><th>C M. M. </th><td>16. 1</td></tr><tr><th>D M. M. </th><td>15. 0</td></tr><tr><th>E MIN. M. M. </th><td>3. 0</td></tr><tr><th>F A/F M. M. </th><td>11. 1</td></tr><tr><th>G A/F M. M. </th><td>14. 2</td></tr><tr><th>H M. M. </th><td>24. 2</td></tr><tr><th>MATERIAL</th><td>STAINLESS STEEL</td></tr><tr><th>BOX QTY</th><td></td></tr></tbody></table>"
5688222,"<h5>Specifications</h5><table class=""description-table""><tbody><tr><th>TYPE</th><td>S</td></tr><tr><th>D1</th><td>14</td></tr><tr><th>D2</th><td>9</td></tr><tr><th>L1*</th><td></td></tr><tr><th>L1</th><td>37</td></tr><tr><th>S1</th><td>27</td></tr><tr><th>S2</th><td>27</td></tr><tr><th>WEIGHT</th><td>149</td></tr><tr><th>T</th><td>G 1/2IN. </td></tr><tr><th>PN</th><td>630</td></tr><tr><th>I</th><td>14</td></tr><tr><th>MATERIAL</th><td>CARBON STEEL</td></tr></tbody></table>"
5690696,"<h5>Specifications</h5><table class=""description-table""><tbody><tr><th>TUBE O. D. </th><td>1</td></tr><tr><th>D2 WIDTH</th><td>0. 070</td></tr><tr><th>D1 I. D. </th><td>0. 926</td></tr><tr><th>MATERIAL</th><td>BUNA-N</td></tr></tbody></table>"
5691106,"<h5>Specifications</h5><table class=""description-table""><tbody><tr><th>TUBE O. D. </th><td>3/4</td></tr><tr><th>A THREAD</th><td>1-3/16-12</td></tr><tr><th>B THREAD</th><td>1-11</td></tr><tr><th>A DRILL</th><td>15. 5</td></tr><tr><th>B DRILL</th><td>21. 5</td></tr><tr><th>M LGTH</th><td>41. 2</td></tr><tr><th>N LGTH</th><td>58. 5</td></tr><tr><th>C4 HEX</th><td>41</td></tr><tr><th>JJ HEX</th><td>36</td></tr><tr><th>MATERIAL</th><td>STEEL FORGED</td></tr></tbody></table>"
5681813,"<h5>Specifications</h5><table class=""description-table""><tbody><tr><th>TUBE O. D. </th><td>3/4</td></tr><tr><th>A1 SAE 37</th><td>1-1/16-12</td></tr><tr><th>A2 SAE 37</th><td>1-1/16-12</td></tr><tr><th>A3 SAE 37</th><td>1-1/16-12</td></tr><tr><th>A1 DRILL</th><td>0. 609</td></tr><tr><th>A2 DRILL</th><td>0. 609</td></tr><tr><th>A3 DRILL</th><td>0. 609</td></tr><tr><th>M LGTH</th><td>1. 18</td></tr><tr><th>M6 LGTH</th><td>1. 75</td></tr><tr><th>C HEX</th><td>1. 250</td></tr><tr><th>Y FLATS</th><td>1. 062</td></tr><tr><th>MATERIAL</th><td>STAINLESS STEEL</td></tr></tbody></table>"
5688087,"<h5>Specifications</h5><table class=""description-table""><tbody><tr><th>TYPE</th><td>L</td></tr><tr><th>D1</th><td>6</td></tr><tr><th>D2</th><td>4</td></tr><tr><th>D3</th><td>4</td></tr><tr><th>L1*</th><td></td></tr><tr><th>L1</th><td>27</td></tr><tr><th>L2</th><td>12</td></tr><tr><th>L3</th><td>20</td></tr><tr><th>S1</th><td>12</td></tr><tr><th>S2</th><td>14</td></tr><tr><th>WEIGHT</th><td>61</td></tr><tr><th>T</th><td>R 1/8 KEG</td></tr><tr><th>PN</th><td>250</td></tr><tr><th>I</th><td>8</td></tr><tr><th>MATERIAL</th><td>CARBON STEEL</td></tr></tbody></table>"
5677225,"<h5>Specifications</h5><table class=""description-table""><tbody><tr><th>TUBE O. D. </th><td>1</td></tr><tr><th>1 THREAD</th><td>1 5/16-12 UN</td></tr><tr><th>2 FLANGE</th><td>1</td></tr><tr><th>L1 (IN. )</th><td>1. 470</td></tr><tr><th>L2 (IN. )</th><td>1. 850</td></tr><tr><th>A/F (IN. )</th><td>1. 3125</td></tr><tr><th>MATERIAL</th><td>STEEL FORGED</td></tr></tbody></table>"
5691787,"<h5>Specifications</h5><table class=""description-table""><tbody><tr><th>T TUBE OD</th><td>1/2</td></tr><tr><th>P NPT MALE</th><td>3/8</td></tr><tr><th>A M. M. </th><td>64. 2</td></tr><tr><th>AX M. M. </th><td>36. 0</td></tr><tr><th>B M. M. </th><td>14. 3</td></tr><tr><th>C M. M. </th><td>21. 8</td></tr><tr><th>D M. M. </th><td>22. 9</td></tr><tr><th>E MIN. M. M. </th><td>9. 6</td></tr><tr><th>F M. M. </th><td>22</td></tr><tr><th>G A/F M. M. </th><td>22</td></tr><tr><th>H A/F M. M. </th><td>54. 1</td></tr><tr><th>HX M. M. </th><td>25. 9</td></tr><tr><th>HY M. M. </th><td>28. 2</td></tr><tr><th>MATERIAL</th><td>STAINLESS STEEL</td></tr><tr><th>BOX QTY</th><td>2</td></tr></tbody></table>"
5684376,"<h5>Specifications</h5><table class=""description-table""><tbody><tr><th>GROUP</th><td>3</td></tr><tr><th>L1</th><td>102</td></tr><tr><th>L2</th><td>33</td></tr><tr><th>L3</th><td>52</td></tr><tr><th>B</th><td>30</td></tr><tr><th>S</th><td>3</td></tr><tr><th>H</th><td>6. 5</td></tr><tr><th>\u0604D</th><td>12</td></tr><tr><th>THREAD</th><td></td></tr><tr><th>MATERIAL</th><td>ZINC-NICKEL</td></tr></tbody></table>"
5685305,"<h5>Specifications</h5><table class=""description-table""><tbody><tr><th>TYPE</th><td>S</td></tr><tr><th>D1</th><td>38</td></tr><tr><th>D2</th><td>24</td></tr><tr><th>L1</th><td>109</td></tr><tr><th>L2</th><td>44</td></tr><tr><th>L3</th><td>22</td></tr><tr><th>S1</th><td>55</td></tr><tr><th>S2</th><td>60</td></tr><tr><th>WEIGHT</th><td>1205</td></tr><tr><th>PN</th><td>315</td></tr><tr><th>MATERIAL</th><td>STAINLESS STEEL</td></tr></tbody></table>"
