ID,ADDITIONAL_DESCRIPTION
5763472,"<ul><li>This pallet truck's ergonomic design and 32 inches maximum raised height helps to prevent back injuries from bending and heavy lifting.</li> <li>It can be used as a portable workstation in different applications.</li> <li>Equipped with back-leg supports to provide additional stability when the load is raised.</li> <li>A locking mechanism is also applied when the truck reaches a raised height of 16"" in order to supply extra safety.</li> <li>To be used with open bottom pallets.</li> <li>Closed bottom pallets can be placed directly on top of the forks.</li></ul>"
5763473,"<ul><li>This pallet truck's ergonomic design and 32 inches maximum raised height helps to prevent back injuries from bending and heavy lifting.</li> <li>It can be used as a portable workstation in different applications.</li> <li>Equipped with back-leg supports to provide additional stability when the load is raised.</li> <li>A locking mechanism is also applied when the truck reaches a raised height of 16"" in order to supply extra safety.</li> <li>To be used with open bottom pallets.</li> <li>Closed bottom pallets can be placed directly on top of the forks.</li></ul>"
5763474,"<p>Powered by a 12 volt battery, driven by an effective pump station. Used as both a work table or pallet truck, 10-12 seconds to pump from the bottom to the top.</p><ul><li>Safety overload system prevents the truck from being used beyond its rated capacity.</li> <li>The handle automactically returns to its upright position when released.</li> <li>Lifting motor power: 1.1KW.</li></ul>"
5763475,"<p>Powered by a 12 volt battery, driven by an effective pump station. Used as both a work table or pallet truck, 10-12 seconds to pump from the bottom to the top.</p><ul><li>Safety overload system prevents the truck from being used beyond its rated capacity.</li> <li>The handle automactically returns to its upright position when released.</li> <li>Lifting motor power: 1.1KW.</li></ul>"
5763476,"<p>The SPTE33X and PTE33X are two innovative power pallet trucks with a 48V system designed for light-duty applications with 3300lbs capacity. These revolutionary products are the best valued power pallet trucks and were designed in order to eliminate the labor involved when using the traditional hand pallet trucks. Their compact design is ideal for use in tight spaces such as elevators, trailers, containers, as well as retail stores with narrow aisles. Both of these powered pallet trucks are equipped with an easy lift-up, interchangeable battery pack.</p> <p>Capacity? 3300lbs</p> <p>Battery?48V/20Ah AGM Maintenance-Free</p> <p>Travel Speed?2.5/2.8mph (Loaded/Unloaded)</p> <p>Service weight: 365 lbs.</p> <p>Advantages:</p> <ul><li>Skeleton concept, light in services weight but strong</li> <li>Integrated handle with Travelling control/Lift/Lower/Horn/Belly-button/Battery Indicator</li> <li>Dual lift button for both right-handed or left-handed operators (PTE33X)</li> <li>48V/20Ah AGM Maintenance-Free Lift-Up battery pack for easy replacement</li> <li>Suspension casters for extra stability</li> <li>Powerful 500w drive motor with excellent speed and efficiency</li></ul>"
5763441,"<ul><li>Top class range of pallet trucks with excellent ergonomic designs.</li> <li>Professional and ideal storage aid for all variety of manual transport tasks over short distances in stores, warehouses and factory plants.</li> <li>Reliable, sturdy, torsion-resistant due to its extremely strong high quality steel profile. German WAGNER paint system ensures best powder coating and painting quality.</li> <li>All pivot points are greased to ensure excellent maneuverabilily with effortless steering. The chromed bearing bushes and joints ensure quiet running application and particularly long service life.</li></ul>"
5763442,"<ul><li>Top class range of pallet trucks with excellent ergonomic designs.</li> <li>Professional and ideal storage aid for all variety of manual transport tasks over short distances in stores, warehouses and factory plants.</li> <li>Reliable, sturdy, torsion-resistant due to its extremely strong high quality steel profile. German WAGNER paint system ensures best powder coating and painting quality.</li> <li>All pivot points are greased to ensure excellent maneuverabilily with effortless steering. The chromed bearing bushes and joints ensure quiet running application and particularly long service life.</li></ul>"
5763443,"<ul><li>Top class range of pallet trucks with excellent ergonomic designs.</li> <li>Professional and ideal storage aid for all variety of manual transport tasks over short distances in stores, warehouses and factory plants.</li> <li>Reliable, sturdy, torsion-resistant due to its extremely strong high quality steel profile. German WAGNER paint system ensures best powder coating and painting quality.</li> <li>All pivot points are greased to ensure excellent maneuverabilily with effortless steering. The chromed bearing bushes and joints ensure quiet running application and particularly long service life.</li></ul>"
5763444,"<ul><li>Top class range of pallet trucks with excellent ergonomic designs.</li> <li>Professional and ideal storage aid for all variety of manual transport tasks over short distances in stores, warehouses and factory plants.</li> <li>Reliable, sturdy, torsion-resistant due to its extremely strong high quality steel profile. German WAGNER paint system ensures best powder coating and painting quality.</li> <li>All pivot points are greased to ensure excellent maneuverabilily with effortless steering. The chromed bearing bushes and joints ensure quiet running application and particularly long service life.</li></ul>"
5763445,"<ul><li>Top class range of pallet trucks with excellent ergonomic designs.</li> <li>Professional and ideal storage aid for all variety of manual transport tasks over short distances in stores, warehouses and factory plants.</li> <li>Reliable, sturdy, torsion-resistant due to its extremely strong high quality steel profile. German WAGNER paint system ensures best powder coating and painting quality.</li> <li>All pivot points are greased to ensure excellent maneuverabilily with effortless steering. The chromed bearing bushes and joints ensure quiet running application and particularly long service life.</li></ul>"
