"ID","ADDITIONAL_DESCRIPTION"
"2863568","<p>Sqwincher powder concentrate quenches and satisfies thirst and replenishes hardworking bodies with essential electrolytes. available in regular formula and ZERO, add a pack to your equipment inventory before your day&rsquo;s shift. Quick and easy to mix for rapid serve and intake. Three convenient sizes for any serving need. Add a Sqwincher cooler and/or cups for a complete hydration solution.</p> <p>ADVANTAGES:</p><table class=""description-table""><tr><th>Quick and easy to mix</li> <li>3 step cooler ready</th><td>add water, add Powder Pack and stir</td></tr><li>2.5 ZERO contains zero sugar and zero calories</li></ul>"
"2863569","<p>Sqwincher powder concentrate quenches and satisfies thirst and replenishes hardworking bodies with essential electrolytes. available in regular formula and ZERO, add a pack to your equipment inventory before your day&rsquo;s shift. Quick and easy to mix for rapid serve and intake. Three convenient sizes for any serving need. Add a Sqwincher cooler and/or cups for a complete hydration solution.</p> <p>ADVANTAGES:</p><table class=""description-table""><tr><th>Quick and easy to mix</li> <li>3 step cooler ready</th><td>add water, add Powder Pack and stir</td></tr><li>2.5 ZERO contains zero sugar and zero calories</li></ul>"
"2863570","<p>Sqwincher powder concentrate quenches and satisfies thirst and replenishes hardworking bodies with essential electrolytes. available in regular formula and ZERO, add a pack to your equipment inventory before your day&rsquo;s shift. Quick and easy to mix for rapid serve and intake. Three convenient sizes for any serving need. Add a Sqwincher cooler and/or cups for a complete hydration solution.</p> <p>ADVANTAGES:</p><table class=""description-table""><tr><th>Quick and easy to mix</li> <li>3 step cooler ready</th><td>add water, add Powder Pack and stir</td></tr><li>2.5 ZERO contains zero sugar and zero calories</li></ul>"
"2863571","<p>Sqwincher powder concentrate quenches and satisfies thirst and replenishes hardworking bodies with essential electrolytes. available in regular formula and ZERO, add a pack to your equipment inventory before your day&rsquo;s shift. Quick and easy to mix for rapid serve and intake. Three convenient sizes for any serving need. Add a Sqwincher cooler and/or cups for a complete hydration solution.</p> <p>ADVANTAGES:</p><table class=""description-table""><tr><th>Quick and easy to mix</li> <li>3 step cooler ready</th><td>add water, add Powder Pack and stir</td></tr><li>2.5 ZERO contains zero sugar and zero calories</li></ul>"
"1655625","<p>Sqwincher powder concentrate quenches and satisfies thirst and replenishes hardworking bodies with essential electrolytes. available in regular formula and ZERO, add a pack to your equipment inventory before your day&rsquo;s shift. Quick and easy to mix for rapid serve and intake. Three convenient sizes for any serving need. Add a Sqwincher cooler and/or cups for a complete hydration solution.</p> <p>ADVANTAGES:</p><table class=""description-table""><tr><th>Quick and easy to mix</li> <li>3 step cooler ready</th><td>add water, add Powder Pack and stir</td></tr><li>2.5 ZERO contains zero sugar and zero calories</li></ul>"
"2727165","<p>Sqwincher goes beyond the call of duty for your traditional electrolyte replenishment with a diverse group of specialty products. These items also offer a single-serve application with on-the-go results. Easily take these specialty items along by packing them with your daily items or gear. Exceed your hydration needs with great quality and effective delivery of electrolytes to the body.</p> <p>ADVANTAGES</p> <ul><li>Quickly cools body temperature</li> <li>Healthier than frozen sugar ice by replenishing electrolytes</li> <li>Convenient option when on the go</li> <li>Available in regular or ZERO (no sugar, no calories</li></ul>"
"2863555","<p>Sqwincher goes beyond the call of duty for your traditional electrolyte replenishment with a diverse group of specialty products. These items also offer a single-serve application with on-the-go results. Easily take these specialty items along by packing them with your daily items or gear. Exceed your hydration needs with great quality and effective delivery of electrolytes to the body.</p> <p>ADVANTAGES</p> <ul><li>Quickly cools body temperature</li> <li>Healthier than frozen sugar ice by replenishing electrolytes</li> <li>Convenient option when on the go</li> <li>Available in regular or ZERO (no sugar, no calories</li></ul>"
"2863556","<p>Sqwincher goes beyond the call of duty for your traditional electrolyte replenishment with a diverse group of specialty products. These items also offer a single-serve application with on-the-go results. Easily take these specialty items along by packing them with your daily items or gear. Exceed your hydration needs with great quality and effective delivery of electrolytes to the body.</p> <p>ADVANTAGES</p> <ul><li>Quickly cools body temperature</li> <li>Healthier than frozen sugar ice by replenishing electrolytes</li> <li>Convenient option when on the go</li> <li>Available in regular or ZERO (no sugar, no calories</li></ul>"
"2863557","<p>Single Serve is the ""express lane"" of hydration for on-the-go when you need it most. This convenient, effective way to rehydrate offers multiple flavor choices to avoid flavor limitations. By eliminating the cooler, you save beverage maintenance time and gain control of worker usage.</p> <p>Sqwincher Fast Pack multi-talented pouch is as easy as hydration gets. The pouch doubles as a cup! All you have to do is add water to the mix and you're good to go.</p> <p>ADVANTAGES</p> <ul><li>Package doubles as a drinking cup</li> <li>Sanitary delivery method prevents contamination</li> <li>No mixing required</li> <li>No cups required</li> <li>Single serve allows minimal waste</li> <li>Convenient option when on-the-go</li> <li>Great way to offer multiple flavors</li></ul>"
"2734500","<p>Single Serve is the ""express lane"" of hydration for on-the-go when you need it most. This convenient, effective way to rehydrate offers multiple flavor choices to avoid flavor limitations. By eliminating the cooler, you save beverage maintenance time and gain control of worker usage.</p> <p>Sqwincher Fast Pack multi-talented pouch is as easy as hydration gets. The pouch doubles as a cup! All you have to do is add water to the mix and you're good to go.</p> <p>ADVANTAGES</p> <ul><li>Package doubles as a drinking cup</li> <li>Sanitary delivery method prevents contamination</li> <li>No mixing required</li> <li>No cups required</li> <li>Single serve allows minimal waste</li> <li>Convenient option when on-the-go</li> <li>Great way to offer multiple flavors</li></ul>"
