ID,ADDITIONAL_DESCRIPTION
2551428,"<p>Electric cord reels with 30 amp. industrial slip ring. Furnished with 16, 14 or 12 gauge SJEOW-A wire for indoor commercial or residential use. Excellent for small job shops and the like. Heavy duty steel construction out performs all other small reels in its class. Cord locks out at desired working length for tension free use.</p><table class=""description-table""><tbody><tr><td>Model Number</td><td>Description</td><td>Shipping Weight</td></tr><tr><td>2751</td><td>50 ft of 16/3 SJEOW-A 13 amp.</td><td>27 lbs.</td></tr><tr><td>2752</td><td>50 ft of 14/3 SJEOW-A 15 amp.</td><td>29 lbs.</td></tr><tr><td>2753</td><td>50 ft of 12/3 SJEOW-A 20 amp.</td><td>32 lbs.</td></tr></tbody></table>"
2551427,"<p>Electric Cord Reel and Air Hose on One Mounting Base Combination Electric Cord with 1/4 Air or Water Hose</p> <p>Electric cord reels with 30 AMP rated collector ring. Furnished with 16, 14 and 12 GA. SJOAW wire for indoor commercial electrical power application. All cords supplied with inlet and outlet plugs at wire AMP rating. Heavy duty all steel construction with options (see options.)Series 2701 - 2706</p> <p>*Reel rated 115 volt 60 Hz single phase only. (For Indoor Use) Guide arm adjusts for floor, ceiling or wall. Cord locks out at working position.</p><table class=""description-table""><tbody><tr><td>Model Number</td><td>Description</td><td>Shipping Weight</td></tr><tr><td>2701</td><td>Reel with 50 ft. 16/3 wire &amp; 35 ft.1/4"" Air or Water</td><td>48 lbs</td></tr><tr><td>2702</td><td>Reel with 50 ft. 14/3 wire &amp; 35 ft.1/4"" Air or Water</td><td>50 lbs</td></tr><tr><td>2703</td><td>Reel with 50 ft. 12/3 wire &amp; 35 ft.1/4"" Air or Water</td><td>53 lbs</td></tr><tr><td>2704</td><td>Reel with 50 ft. 16/3 wire &amp; 35 ft.3/8"" Air or Water</td><td>50 lbs</td></tr><tr><td>2705</td><td>Reel with 50 ft. 14/3 wire &amp; 35 ft.3/8"" Air or Water</td><td>53 lbs</td></tr><tr><td>2706</td><td>Reel with 50 ft. 12/3 wire &amp; 35 ft.3/8"" Air or Water</td><td>57 lbs</td></tr></tbody></table><table class=""description-table""><tbody><tr><td>Model Number</td><td>Description</td><td>Shipping Weight</td></tr><tr><td>2704-E</td><td>Reel with 50 ft. 16/3 wire &amp; 35 ft. 3/8"" Air or Water</td><td>50 lbs</td></tr><tr><td>2705-E</td><td>Reel with 50 ft. 14/3 wire &amp; 35 ft. 3/8"" Air or Water</td><td>53 lbs</td></tr><tr><td>2706-E</td><td>Reel with 50 ft. 12/3 wire &amp; 35 ft. 3/8"" Air or Water</td><td>57 lbs</td></tr></tbody></table><table class=""description-table""><tbody><tr><td>2700-E - 2706-E DIMENSION CHART</td></tr><tr><td>Model</td><td>A</td><td>B</td><td>C</td><td>D</td><td>E</td></tr><tr><td>2704-E</td><td>15 1/2""</td><td>17""</td><td>13""</td><td>11 1/2""</td><td>8""</td></tr><tr><td>2705-E</td><td>15 1/2""</td><td>17""</td><td>13""</td><td>11 1/2""</td><td>8""</td></tr><tr><td>2706-E</td><td>15 1/2""</td><td>17""</td><td>13""</td><td>11 1/2""</td><td>8""</td></tr></tbody></table>"
2551426,"<p>Electric Cord Reel and Air Hose on One Mounting Base Combination Electric Cord with 1/4 Air or Water Hose</p> <p>Electric cord reels with 30 AMP rated collector ring. Furnished with 16, 14 and 12 GA. SJOAW wire for indoor commercial electrical power application. All cords supplied with inlet and outlet plugs at wire AMP rating. Heavy duty all steel construction with options (see options.)Series 2701 - 2706</p> <p>*Reel rated 115 volt 60 Hz single phase only. (For Indoor Use) Guide arm adjusts for floor, ceiling or wall. Cord locks out at working position.</p><table class=""description-table""><tbody><tr><td>Model Number</td><td>Description</td><td>Shipping Weight</td></tr><tr><td>2701</td><td>Reel with 50 ft. 16/3 wire &amp; 35 ft.1/4"" Air or Water</td><td>48 lbs</td></tr><tr><td>2702</td><td>Reel with 50 ft. 14/3 wire &amp; 35 ft.1/4"" Air or Water</td><td>50 lbs</td></tr><tr><td>2703</td><td>Reel with 50 ft. 12/3 wire &amp; 35 ft.1/4"" Air or Water</td><td>53 lbs</td></tr><tr><td>2704</td><td>Reel with 50 ft. 16/3 wire &amp; 35 ft.3/8"" Air or Water</td><td>50 lbs</td></tr><tr><td>2705</td><td>Reel with 50 ft. 14/3 wire &amp; 35 ft.3/8"" Air or Water</td><td>53 lbs</td></tr><tr><td>2706</td><td>Reel with 50 ft. 12/3 wire &amp; 35 ft.3/8"" Air or Water</td><td>57 lbs</td></tr></tbody></table><table class=""description-table""><tbody><tr><td>Model Number</td><td>Description</td><td>Shipping Weight</td></tr><tr><td>2704-E</td><td>Reel with 50 ft. 16/3 wire &amp; 35 ft. 3/8"" Air or Water</td><td>50 lbs</td></tr><tr><td>2705-E</td><td>Reel with 50 ft. 14/3 wire &amp; 35 ft. 3/8"" Air or Water</td><td>53 lbs</td></tr><tr><td>2706-E</td><td>Reel with 50 ft. 12/3 wire &amp; 35 ft. 3/8"" Air or Water</td><td>57 lbs</td></tr></tbody></table><table class=""description-table""><tbody><tr><td>2700-E - 2706-E DIMENSION CHART</td></tr><tr><td>Model</td><td>A</td><td>B</td><td>C</td><td>D</td><td>E</td></tr><tr><td>2704-E</td><td>15 1/2""</td><td>17""</td><td>13""</td><td>11 1/2""</td><td>8""</td></tr><tr><td>2705-E</td><td>15 1/2""</td><td>17""</td><td>13""</td><td>11 1/2""</td><td>8""</td></tr><tr><td>2706-E</td><td>15 1/2""</td><td>17""</td><td>13""</td><td>11 1/2""</td><td>8""</td></tr></tbody></table>"
2551425,"<p>Electric Cord Reel and Air Hose on One Mounting Base Combination Electric Cord with 1/4 Air or Water Hose</p> <p>Electric cord reels with 30 AMP rated collector ring. Furnished with 16, 14 and 12 GA. SJOAW wire for indoor commercial electrical power application. All cords supplied with inlet and outlet plugs at wire AMP rating. Heavy duty all steel construction with options (see options.)Series 2701 - 2706</p> <p>*Reel rated 115 volt 60 Hz single phase only. (For Indoor Use) Guide arm adjusts for floor, ceiling or wall. Cord locks out at working position.</p><table class=""description-table""><tbody><tr><td>Model Number</td><td>Description</td><td>Shipping Weight</td></tr><tr><td>2701</td><td>Reel with 50 ft. 16/3 wire &amp; 35 ft.1/4"" Air or Water</td><td>48 lbs</td></tr><tr><td>2702</td><td>Reel with 50 ft. 14/3 wire &amp; 35 ft.1/4"" Air or Water</td><td>50 lbs</td></tr><tr><td>2703</td><td>Reel with 50 ft. 12/3 wire &amp; 35 ft.1/4"" Air or Water</td><td>53 lbs</td></tr><tr><td>2704</td><td>Reel with 50 ft. 16/3 wire &amp; 35 ft.3/8"" Air or Water</td><td>50 lbs</td></tr><tr><td>2705</td><td>Reel with 50 ft. 14/3 wire &amp; 35 ft.3/8"" Air or Water</td><td>53 lbs</td></tr><tr><td>2706</td><td>Reel with 50 ft. 12/3 wire &amp; 35 ft.3/8"" Air or Water</td><td>57 lbs</td></tr></tbody></table><table class=""description-table""><tbody><tr><td>Model Number</td><td>Description</td><td>Shipping Weight</td></tr><tr><td>2704-E</td><td>Reel with 50 ft. 16/3 wire &amp; 35 ft. 3/8"" Air or Water</td><td>50 lbs</td></tr><tr><td>2705-E</td><td>Reel with 50 ft. 14/3 wire &amp; 35 ft. 3/8"" Air or Water</td><td>53 lbs</td></tr><tr><td>2706-E</td><td>Reel with 50 ft. 12/3 wire &amp; 35 ft. 3/8"" Air or Water</td><td>57 lbs</td></tr></tbody></table><table class=""description-table""><tbody><tr><td>2700-E - 2706-E DIMENSION CHART</td></tr><tr><td>Model</td><td>A</td><td>B</td><td>C</td><td>D</td><td>E</td></tr><tr><td>2704-E</td><td>15 1/2""</td><td>17""</td><td>13""</td><td>11 1/2""</td><td>8""</td></tr><tr><td>2705-E</td><td>15 1/2""</td><td>17""</td><td>13""</td><td>11 1/2""</td><td>8""</td></tr><tr><td>2706-E</td><td>15 1/2""</td><td>17""</td><td>13""</td><td>11 1/2""</td><td>8""</td></tr></tbody></table>"
2551424,"<p>Electric Cord Reel and Air Hose on One Mounting Base Combination Electric Cord with 1/4 Air or Water Hose</p> <p>Electric cord reels with 30 AMP rated collector ring. Furnished with 16, 14 and 12 GA. SJOAW wire for indoor commercial electrical power application. All cords supplied with inlet and outlet plugs at wire AMP rating. Heavy duty all steel construction with options (see options.)Series 2701 - 2706</p> <p>*Reel rated 115 volt 60 Hz single phase only. (For Indoor Use) Guide arm adjusts for floor, ceiling or wall. Cord locks out at working position.</p><table class=""description-table""><tbody><tr><td>Model Number</td><td>Description</td><td>Shipping Weight</td></tr><tr><td>2701</td><td>Reel with 50 ft. 16/3 wire &amp; 35 ft.1/4"" Air or Water</td><td>48 lbs</td></tr><tr><td>2702</td><td>Reel with 50 ft. 14/3 wire &amp; 35 ft.1/4"" Air or Water</td><td>50 lbs</td></tr><tr><td>2703</td><td>Reel with 50 ft. 12/3 wire &amp; 35 ft.1/4"" Air or Water</td><td>53 lbs</td></tr><tr><td>2704</td><td>Reel with 50 ft. 16/3 wire &amp; 35 ft.3/8"" Air or Water</td><td>50 lbs</td></tr><tr><td>2705</td><td>Reel with 50 ft. 14/3 wire &amp; 35 ft.3/8"" Air or Water</td><td>53 lbs</td></tr><tr><td>2706</td><td>Reel with 50 ft. 12/3 wire &amp; 35 ft.3/8"" Air or Water</td><td>57 lbs</td></tr></tbody></table><table class=""description-table""><tbody><tr><td>Model Number</td><td>Description</td><td>Shipping Weight</td></tr><tr><td>2704-E</td><td>Reel with 50 ft. 16/3 wire &amp; 35 ft. 3/8"" Air or Water</td><td>50 lbs</td></tr><tr><td>2705-E</td><td>Reel with 50 ft. 14/3 wire &amp; 35 ft. 3/8"" Air or Water</td><td>53 lbs</td></tr><tr><td>2706-E</td><td>Reel with 50 ft. 12/3 wire &amp; 35 ft. 3/8"" Air or Water</td><td>57 lbs</td></tr></tbody></table><table class=""description-table""><tbody><tr><td>2700-E - 2706-E DIMENSION CHART</td></tr><tr><td>Model</td><td>A</td><td>B</td><td>C</td><td>D</td><td>E</td></tr><tr><td>2704-E</td><td>15 1/2""</td><td>17""</td><td>13""</td><td>11 1/2""</td><td>8""</td></tr><tr><td>2705-E</td><td>15 1/2""</td><td>17""</td><td>13""</td><td>11 1/2""</td><td>8""</td></tr><tr><td>2706-E</td><td>15 1/2""</td><td>17""</td><td>13""</td><td>11 1/2""</td><td>8""</td></tr></tbody></table>"
2551423,"<p>Electric Cord Reel and Air Hose on One Mounting Base Combination Electric Cord with 1/4 Air or Water Hose</p> <p>Electric cord reels with 30 AMP rated collector ring. Furnished with 16, 14 and 12 GA. SJOAW wire for indoor commercial electrical power application. All cords supplied with inlet and outlet plugs at wire AMP rating. Heavy duty all steel construction with options (see options.)Series 2701 - 2706</p> <p>*Reel rated 115 volt 60 Hz single phase only. (For Indoor Use) Guide arm adjusts for floor, ceiling or wall. Cord locks out at working position.</p><table class=""description-table""><tbody><tr><td>Model Number</td><td>Description</td><td>Shipping Weight</td></tr><tr><td>2701</td><td>Reel with 50 ft. 16/3 wire &amp; 35 ft.1/4"" Air or Water</td><td>48 lbs</td></tr><tr><td>2702</td><td>Reel with 50 ft. 14/3 wire &amp; 35 ft.1/4"" Air or Water</td><td>50 lbs</td></tr><tr><td>2703</td><td>Reel with 50 ft. 12/3 wire &amp; 35 ft.1/4"" Air or Water</td><td>53 lbs</td></tr><tr><td>2704</td><td>Reel with 50 ft. 16/3 wire &amp; 35 ft.3/8"" Air or Water</td><td>50 lbs</td></tr><tr><td>2705</td><td>Reel with 50 ft. 14/3 wire &amp; 35 ft.3/8"" Air or Water</td><td>53 lbs</td></tr><tr><td>2706</td><td>Reel with 50 ft. 12/3 wire &amp; 35 ft.3/8"" Air or Water</td><td>57 lbs</td></tr></tbody></table><table class=""description-table""><tbody><tr><td>Model Number</td><td>Description</td><td>Shipping Weight</td></tr><tr><td>2704-E</td><td>Reel with 50 ft. 16/3 wire &amp; 35 ft. 3/8"" Air or Water</td><td>50 lbs</td></tr><tr><td>2705-E</td><td>Reel with 50 ft. 14/3 wire &amp; 35 ft. 3/8"" Air or Water</td><td>53 lbs</td></tr><tr><td>2706-E</td><td>Reel with 50 ft. 12/3 wire &amp; 35 ft. 3/8"" Air or Water</td><td>57 lbs</td></tr></tbody></table><table class=""description-table""><tbody><tr><td>2700-E - 2706-E DIMENSION CHART</td></tr><tr><td>Model</td><td>A</td><td>B</td><td>C</td><td>D</td><td>E</td></tr><tr><td>2704-E</td><td>15 1/2""</td><td>17""</td><td>13""</td><td>11 1/2""</td><td>8""</td></tr><tr><td>2705-E</td><td>15 1/2""</td><td>17""</td><td>13""</td><td>11 1/2""</td><td>8""</td></tr><tr><td>2706-E</td><td>15 1/2""</td><td>17""</td><td>13""</td><td>11 1/2""</td><td>8""</td></tr></tbody></table>"
2551422,"<p>Electric Cord Reel and Air Hose on One Mounting Base Combination Electric Cord with 1/4 Air or Water Hose</p> <p>Electric cord reels with 30 AMP rated collector ring. Furnished with 16, 14 and 12 GA. SJOAW wire for indoor commercial electrical power application. All cords supplied with inlet and outlet plugs at wire AMP rating. Heavy duty all steel construction with options (see options.)Series 2701 - 2706</p> <p>*Reel rated 115 volt 60 Hz single phase only. (For Indoor Use) Guide arm adjusts for floor, ceiling or wall. Cord locks out at working position.</p><table class=""description-table""><tbody><tr><td>Model Number</td><td>Description</td><td>Shipping Weight</td></tr><tr><td>2701</td><td>Reel with 50 ft. 16/3 wire &amp; 35 ft.1/4"" Air or Water</td><td>48 lbs</td></tr><tr><td>2702</td><td>Reel with 50 ft. 14/3 wire &amp; 35 ft.1/4"" Air or Water</td><td>50 lbs</td></tr><tr><td>2703</td><td>Reel with 50 ft. 12/3 wire &amp; 35 ft.1/4"" Air or Water</td><td>53 lbs</td></tr><tr><td>2704</td><td>Reel with 50 ft. 16/3 wire &amp; 35 ft.3/8"" Air or Water</td><td>50 lbs</td></tr><tr><td>2705</td><td>Reel with 50 ft. 14/3 wire &amp; 35 ft.3/8"" Air or Water</td><td>53 lbs</td></tr><tr><td>2706</td><td>Reel with 50 ft. 12/3 wire &amp; 35 ft.3/8"" Air or Water</td><td>57 lbs</td></tr></tbody></table><table class=""description-table""><tbody><tr><td>Model Number</td><td>Description</td><td>Shipping Weight</td></tr><tr><td>2704-E</td><td>Reel with 50 ft. 16/3 wire &amp; 35 ft. 3/8"" Air or Water</td><td>50 lbs</td></tr><tr><td>2705-E</td><td>Reel with 50 ft. 14/3 wire &amp; 35 ft. 3/8"" Air or Water</td><td>53 lbs</td></tr><tr><td>2706-E</td><td>Reel with 50 ft. 12/3 wire &amp; 35 ft. 3/8"" Air or Water</td><td>57 lbs</td></tr></tbody></table><table class=""description-table""><tbody><tr><td>2700-E - 2706-E DIMENSION CHART</td></tr><tr><td>Model</td><td>A</td><td>B</td><td>C</td><td>D</td><td>E</td></tr><tr><td>2704-E</td><td>15 1/2""</td><td>17""</td><td>13""</td><td>11 1/2""</td><td>8""</td></tr><tr><td>2705-E</td><td>15 1/2""</td><td>17""</td><td>13""</td><td>11 1/2""</td><td>8""</td></tr><tr><td>2706-E</td><td>15 1/2""</td><td>17""</td><td>13""</td><td>11 1/2""</td><td>8""</td></tr></tbody></table>"
2551421,"<p>Spring operated reel for live electricity. Wire SEOWA 10 and 12 gauge 3 conductor. 45 AMP collector ring with a 6 foot inlet cable to match working cable. All cables less attachments (specify type.) All steel construction with powder coat finish. The cable guide arm adjusts for ceiling, wall or floor.</p><table class=""description-table""><tbody><tr><td>Model Number</td><td>Description</td><td>Shipping Weight</td></tr><tr><td>2601</td><td>Reel less cord, for 3 conductor</td><td>58</td></tr><tr><td>2602</td><td>Reel with 50 ft SEOW-A 12/3 20 amp.</td><td>62</td></tr><tr><td>2603</td><td>Reel with 50 ft SEOW-A 10/3 30 amp.</td><td>65</td></tr><tr><td>2604</td><td>Reel less cord 4 conductor</td><td>59</td></tr><tr><td>2605</td><td>Reel with 50 ft SEOW-A 12/4 20 amp.</td><td>68</td></tr><tr><td>2606</td><td>Reel with 50 ft SEOW-A 10/4 30 amp.</td><td>72</td></tr></tbody></table>"
2551507,"<p>Enclosed combination electric & air/water reels and single electric reels with 30 AMP rated collector ring. Furnished with 16, 14, and 12 gauge SJEOOW wire for indoor commercial electrical power applications. Rated 115 volt 60 Hz single phase only (for indoor use). All cord supplied with inlet and outlet plugs at wire amp rating. Air/water hose 300 psi working pressure. Attractive steel enclosures painted in white powder coat finish (other color options available). Enclosures can also be furnished in chrome or stainless steel. Roller outlets are easily adjustable for ceiling, wall or floor mount.</p><table class=""description-table""><tbody><tr><td>Model Number</td><td>Description</td><td>Shipping Weight</td></tr><tr><td>2751-E</td><td>Reel with 16/3 wire 13 amp.</td><td>28 lbs</td></tr><tr><td>2752-E</td><td>Reel with 14/3 wire 15 amp.</td><td>30 lbs</td></tr><tr><td>2753-E</td><td>Reel with 12/3 wire 20 amp.</td><td>35 lbs</td></tr></tbody></table><table class=""description-table""><tbody><tr><td>2750-E - 2753-E DIMENSION CHART</td></tr><tr><td>Model</td><td>A</td><td>B</td><td>C</td><td>D</td><td>E</td></tr><tr><td>2751-E</td><td>15 1/2""</td><td>17""</td><td>8""</td><td>6""</td><td>8""</td></tr><tr><td>2752-E</td><td>15 1/2""</td><td>17""</td><td>8""</td><td>6""</td><td>8""</td></tr><tr><td>2753-E</td><td>15 1/2""</td><td>17""</td><td>8""</td><td>6""</td><td>8""</td></tr></tbody></table>"
2551506,"<p>Enclosed combination electric & air/water reels and single electric reels with 30 AMP rated collector ring. Furnished with 16, 14, and 12 gauge SJEOOW wire for indoor commercial electrical power applications. Rated 115 volt 60 Hz single phase only (for indoor use). All cord supplied with inlet and outlet plugs at wire amp rating. Air/water hose 300 psi working pressure. Attractive steel enclosures painted in white powder coat finish (other color options available). Enclosures can also be furnished in chrome or stainless steel. Roller outlets are easily adjustable for ceiling, wall or floor mount.</p><table class=""description-table""><tbody><tr><td>Model Number</td><td>Description</td><td>Shipping Weight</td></tr><tr><td>2751-E</td><td>Reel with 16/3 wire 13 amp.</td><td>28 lbs</td></tr><tr><td>2752-E</td><td>Reel with 14/3 wire 15 amp.</td><td>30 lbs</td></tr><tr><td>2753-E</td><td>Reel with 12/3 wire 20 amp.</td><td>35 lbs</td></tr></tbody></table><table class=""description-table""><tbody><tr><td>2750-E - 2753-E DIMENSION CHART</td></tr><tr><td>Model</td><td>A</td><td>B</td><td>C</td><td>D</td><td>E</td></tr><tr><td>2751-E</td><td>15 1/2""</td><td>17""</td><td>8""</td><td>6""</td><td>8""</td></tr><tr><td>2752-E</td><td>15 1/2""</td><td>17""</td><td>8""</td><td>6""</td><td>8""</td></tr><tr><td>2753-E</td><td>15 1/2""</td><td>17""</td><td>8""</td><td>6""</td><td>8""</td></tr></tbody></table>"
