id,additional_description
5759820,"<table class=""description-table""><tbody><tr><th>Product Information</th></tr><tr><th>Description</th><td>Twin Bonded Nylon Coil, 3/4"" x 5/16"" x 50', No Fittings, Yellow &amp; Natural</td></tr><tr><th>Color</th><td>Yellow &amp; Natural</td></tr><tr><th>Fittings</th><td>None</td></tr><tr><th>Inside Diameter</th><td>3/4"" &amp; 5/16""</td></tr><tr><th>Overall Length</th><td>50'</td></tr><tr><th>Retracted Length</th><td>32.5""</td></tr><tr><th>UPC ID</th><td>029292500975</td></tr><tr><th>Working Length</th><td>40'</td></tr></tbody></table>"
5759807,"<table class=""description-table""><tbody><tr><th>Product Information</th></tr><tr><th>Description</th><td>Nylon Coil, 3/4"" x 100', No Fittings, Yellow</td></tr><tr><th>Color</th><td>Yellow</td></tr><tr><th>Fittings</th><td>None</td></tr><tr><th>Inside Diameter</th><td>3/4""</td></tr><tr><th>Overall Length</th><td>100'</td></tr><tr><th>Retracted Length</th><td>30""</td></tr><tr><th>UPC ID</th><td>029292279659</td></tr><tr><th>Working Length</th><td>80'</td></tr></tbody></table>"
5759759,"<table class=""description-table""><tbody><tr><th>Product Information</th></tr><tr><th>Description</th><td>Twin Bonded Nylon Coil, 1/2"" x 1/2"" x 50', 1/2"" NPT Swivel Fittings, Yellow &amp; Natural</td></tr><tr><th>Color</th><td>Yellow &amp; Natural</td></tr><tr><th>Fittings</th><td>1/2"" MPT Swivel x 1/2"" MPT Swivel</td></tr><tr><th>Inside Diameter</th><td>1/2"" &amp; 1/2""</td></tr><tr><th>Overall Length</th><td>50'</td></tr><tr><th>Retracted Length</th><td>30""</td></tr><tr><th>UPC ID</th><td>029292919463</td></tr><tr><th>Working Length</th><td>40'</td></tr></tbody></table>"
5762181,"<table class=""description-table""><tbody><tr><th>Product Information</th></tr><tr><th>Description</th><td>Multi-Purpose Hose, 3/4"" ID x 100', 3/4"" MPT</td></tr><tr><th>Color</th><td>Blue</td></tr><tr><th>Fittings</th><td>3/4"" MPT Rigid</td></tr><tr><th>Inside Diameter</th><td>3/4""</td></tr><tr><th>Length</th><td>100'</td></tr><tr><th>UPC ID</th><td>029292298698</td></tr></tbody></table>"
5762157,"<table class=""description-table""><tbody><tr><th>Product Information</th></tr><tr><th>Description</th><td>Multi-Purpose Hose, 1/2"" ID x 100', 1/2"" MPT</td></tr><tr><th>Color</th><td>Blue</td></tr><tr><th>Fittings</th><td>1/2"" MPT Rigid</td></tr><tr><th>Inside Diameter</th><td>1/2""</td></tr><tr><th>Length</th><td>100'</td></tr><tr><th>UPC ID</th><td>029292298650</td></tr></tbody></table>"
5760509,"<table class=""description-table""><tbody><tr><th>Product Information</th></tr><tr><th>Description</th><td>Flexeel Hose, 1/2"" x 200', Without Fittings, Transparent Blue</td></tr><tr><th>Color</th><td>Transparent Blue</td></tr><tr><th>Fittings</th><td>None</td></tr><tr><th>Inside Diameter</th><td>1/2""</td></tr><tr><th>Length</th><td>200'</td></tr><tr><th>UPC ID</th><td>029292925204</td></tr></tbody></table>"
5760463,"<table class=""description-table""><tbody><tr><th>Product Information</th></tr><tr><th>Description</th><td>Flexeel Hose, 3/8"" x 1000', Without Fittings, Transparent Yellow</td></tr><tr><th>Color</th><td>Transparent Yellow</td></tr><tr><th>Fittings</th><td>None</td></tr><tr><th>Inside Diameter</th><td>3/8""</td></tr><tr><th>Length</th><td>1000'</td></tr><tr><th>UPC ID</th><td>029292923347</td></tr></tbody></table>"
5760462,"<table class=""description-table""><tbody><tr><th>Product Information</th></tr><tr><th>Description</th><td>Flexeel Hose, 3/8"" x 1000', Without Fittings, Transparent Red</td></tr><tr><th>Color</th><td>Transparent Red</td></tr><tr><th>Fittings</th><td>None</td></tr><tr><th>Inside Diameter</th><td>3/8""</td></tr><tr><th>Length</th><td>1000'</td></tr><tr><th>UPC ID</th><td>029292531191</td></tr></tbody></table>"
5760461,"<table class=""description-table""><tbody><tr><th>Product Information</th></tr><tr><th>Description</th><td>Flexeel Hose, 3/8"" x 1000', Without Fittings, Transparent Blue</td></tr><tr><th>Color</th><td>Transparent Blue</td></tr><tr><th>Fittings</th><td>None</td></tr><tr><th>Inside Diameter</th><td>3/8""</td></tr><tr><th>Length</th><td>1000'</td></tr><tr><th>UPC ID</th><td>029292921176</td></tr></tbody></table>"
5760401,"<table class=""description-table""><tbody><tr><th>Product Information</th></tr><tr><th>Description</th><td>Flexeel Hose, 5/16"" x 1500', Without Fittings, Transparent Yellow</td></tr><tr><th>Color</th><td>Transparent Yellow</td></tr><tr><th>Fittings</th><td>None</td></tr><tr><th>Inside Diameter</th><td>5/16""</td></tr><tr><th>Length</th><td>1500'</td></tr><tr><th>UPC ID</th><td>029292532617</td></tr></tbody></table>"
5760400,"<table class=""description-table""><tbody><tr><th>Product Information</th></tr><tr><th>Description</th><td>Flexeel Hose, 5/16"" x 1500', Without Fittings, Transparent Red</td></tr><tr><th>Color</th><td>Transparent Red</td></tr><tr><th>Fittings</th><td>None</td></tr><tr><th>Inside Diameter</th><td>5/16""</td></tr><tr><th>Length</th><td>1500'</td></tr><tr><th>UPC ID</th><td>029292532112</td></tr></tbody></table>"
5760399,"<table class=""description-table""><tbody><tr><th>Product Information</th></tr><tr><th>Description</th><td>Flexeel Hose, 5/16"" x 1500', Without Fittings, Transparent Blue</td></tr><tr><th>Color</th><td>Transparent Blue</td></tr><tr><th>Fittings</th><td>None</td></tr><tr><th>Inside Diameter</th><td>5/16""</td></tr><tr><th>Length</th><td>1500'</td></tr><tr><th>UPC ID</th><td>029292921213</td></tr></tbody></table>"
