id,additional_description
5760461,"<p>Flexeel Hose, 3/8"" x 1000', Without Fittings, Transparent Blue </p><ul><li>Constructed of Lightweight, Tough Reinforced Polyurethane</li> <li>200 psi Working Pressure</li> <li>Without Fittings, Ready for Custom Assembly by End-User</li> <li>Made in USA</li></ul><table class=""description-table""><tbody><tr><th>Product Information</th></tr><tr><th>Description</th><td>Flexeel Hose, 3/8"" x 1000', Without Fittings, Transparent Blue</td></tr><tr><th>Color</th><td>Transparent Blue</td></tr><tr><th>Fittings</th><td>None</td></tr><tr><th>Inside Diameter</th><td>3/8""</td></tr><tr><th>Length</th><td>1000'</td></tr><tr><th>UPC ID</th><td>029292921176</td></tr></tbody></table>"
5760401,"<p>Flexeel Hose, 5/16"" x 1500', Without Fittings, Transparent Yellow </p><ul><li>Constructed of Lightweight, Tough Reinforced Polyurethane</li> <li>200 psi Working Pressure</li> <li>Without Fittings, Ready for Custom Assembly by End-User</li> <li>Made in USA</li></ul><table class=""description-table""><tbody><tr><th>Product Information</th></tr><tr><th>Description</th><td>Flexeel Hose, 5/16"" x 1500', Without Fittings, Transparent Yellow</td></tr><tr><th>Color</th><td>Transparent Yellow</td></tr><tr><th>Fittings</th><td>None</td></tr><tr><th>Inside Diameter</th><td>5/16""</td></tr><tr><th>Length</th><td>1500'</td></tr><tr><th>UPC ID</th><td>029292532617</td></tr></tbody></table>"
5760400,"<p>Flexeel Hose, 5/16"" x 1500', Without Fittings, Transparent Red </p><ul><li>Constructed of Lightweight, Tough Reinforced Polyurethane</li> <li>200 psi Working Pressure</li> <li>Without Fittings, Ready for Custom Assembly by End-User</li> <li>Made in USA</li></ul><table class=""description-table""><tbody><tr><th>Product Information</th></tr><tr><th>Description</th><td>Flexeel Hose, 5/16"" x 1500', Without Fittings, Transparent Red</td></tr><tr><th>Color</th><td>Transparent Red</td></tr><tr><th>Fittings</th><td>None</td></tr><tr><th>Inside Diameter</th><td>5/16""</td></tr><tr><th>Length</th><td>1500'</td></tr><tr><th>UPC ID</th><td>029292532112</td></tr></tbody></table>"
5760399,"<p>Flexeel Hose, 5/16"" x 1500', Without Fittings, Transparent Blue </p><ul><li>Constructed of Lightweight, Tough Reinforced Polyurethane</li> <li>200 psi Working Pressure</li> <li>Without Fittings, Ready for Custom Assembly by End-User</li> <li>Made in USA</li></ul><table class=""description-table""><tbody><tr><th>Product Information</th></tr><tr><th>Description</th><td>Flexeel Hose, 5/16"" x 1500', Without Fittings, Transparent Blue</td></tr><tr><th>Color</th><td>Transparent Blue</td></tr><tr><th>Fittings</th><td>None</td></tr><tr><th>Inside Diameter</th><td>5/16""</td></tr><tr><th>Length</th><td>1500'</td></tr><tr><th>UPC ID</th><td>029292921213</td></tr></tbody></table>"
5759807,"<h5> Nylon Coil, 3/4"" x 100', No Fittings, Yellow</h5><table class=""description-table""><tbody><tr><th>Product Information</th></tr><tr><th>Description</th><td>Nylon Coil, 3/4"" x 100', No Fittings, Yellow</td></tr><tr><th>Color</th><td>Yellow</td></tr><tr><th>Fittings</th><td>None</td></tr><tr><th>Inside Diameter</th><td>3/4""</td></tr><tr><th>Overall Length</th><td>100'</td></tr><tr><th>Retracted Length</th><td>30""</td></tr><tr><th>UPC ID</th><td>029292279659</td></tr><tr><th>Working Length</th><td>80'</td></tr></tbody></table>"
5759759,"<h5> Twin Bonded Nylon Coil, 1/2"" x 1/2"" x 50', 1/2"" NPT Swivel Fittings, Yellow &amp; Natural</h5><table class=""description-table""><tbody><tr><th>Product Information</th></tr><tr><th>Description</th><td>Twin Bonded Nylon Coil, 1/2"" x 1/2"" x 50', 1/2"" NPT Swivel Fittings, Yellow &amp; Natural</td></tr><tr><th>Color</th><td>Yellow &amp; Natural</td></tr><tr><th>Fittings</th><td>1/2"" MPT Swivel x 1/2"" MPT Swivel</td></tr><tr><th>Inside Diameter</th><td>1/2"" &amp; 1/2""</td></tr><tr><th>Overall Length</th><td>50'</td></tr><tr><th>Retracted Length</th><td>30""</td></tr><tr><th>UPC ID</th><td>029292919463</td></tr><tr><th>Working Length</th><td>40'</td></tr></tbody></table>"
5759758,"<h5> Twin Bonded Nylon Coil, 1/2"" x 1/2"" x 50', No Fittings, Yellow &amp; Natural</h5><table class=""description-table""><tbody><tr><th>Product Information</th></tr><tr><th>Description</th><td>Twin Bonded Nylon Coil, 1/2"" x 1/2"" x 50', No Fittings, Yellow &amp; Natural</td></tr><tr><th>Color</th><td>Yellow &amp; Natural</td></tr><tr><th>Fittings</th><td>None</td></tr><tr><th>Inside Diameter</th><td>1/2"" &amp; 1/2""</td></tr><tr><th>Overall Length</th><td>50'</td></tr><tr><th>Retracted Length</th><td>30""</td></tr><tr><th>UPC ID</th><td>029292501170</td></tr><tr><th>Working Length</th><td>40'</td></tr></tbody></table>"
5759757,"<h5> Twin Bonded Nylon Coil, 1/2"" x 1/2"" x 25', 1/2"" NPT Swivel Fittings, Yellow &amp; Natural</h5><table class=""description-table""><tbody><tr><th>Product Information</th></tr><tr><th>Description</th><td>Twin Bonded Nylon Coil, 1/2"" x 1/2"" x 25', 1/2"" NPT Swivel Fittings, Yellow &amp; Natural</td></tr><tr><th>Color</th><td>Yellow &amp; Natural</td></tr><tr><th>Fittings</th><td>1/2"" MPT Swivel x 1/2"" MPT Swivel</td></tr><tr><th>Inside Diameter</th><td>1/2"" &amp; 1/2""</td></tr><tr><th>Overall Length</th><td>25'</td></tr><tr><th>Retracted Length</th><td>15""</td></tr><tr><th>UPC ID</th><td>029292501163</td></tr><tr><th>Working Length</th><td>20'</td></tr></tbody></table>"
5759575,"<h5> Lock-On Hose, 3/8"" ID x 100', No Fittings</h5><table class=""description-table""><tbody><tr><th>Product Information</th></tr><tr><th>Description</th><td>Lock-On Hose, 3/8"" ID x 100', No Fittings</td></tr><tr><th>Color</th><td>Gray</td></tr><tr><th>Fittings</th><td>None</td></tr><tr><th>Inside Diameter</th><td>3/8""</td></tr><tr><th>Length</th><td>100'</td></tr><tr><th>UPC ID</th><td>029292298247</td></tr></tbody></table>"
5760349,"<p>Flexeel Hose, 1/4"" x 500', Without Fittings, Transparent Yellow </p><ul><li>Constructed of Lightweight, Tough Reinforced Polyurethane</li> <li>200 psi Working Pressure</li> <li>Without Fittings, Ready for Custom Assembly by End-User</li> <li>Made in USA</li></ul><table class=""description-table""><tbody><tr><th>Product Information</th></tr><tr><th>Description</th><td>Flexeel Hose, 1/4"" x 500', Without Fittings, Transparent Yellow</td></tr><tr><th>Color</th><td>Transparent Yellow</td></tr><tr><th>Fittings</th><td>None</td></tr><tr><th>Inside Diameter</th><td>1/4""</td></tr><tr><th>Length</th><td>500'</td></tr><tr><th>UPC ID</th><td>029292918893</td></tr></tbody></table>"
5760348,"<p>Flexeel Hose, 1/4"" x 500', Without Fittings, Transparent Red </p><ul><li>Constructed of Lightweight, Tough Reinforced Polyurethane</li> <li>200 psi Working Pressure</li> <li>Without Fittings, Ready for Custom Assembly by End-User</li> <li>Made in USA</li></ul><table class=""description-table""><tbody><tr><th>Product Information</th></tr><tr><th>Description</th><td>Flexeel Hose, 1/4"" x 500', Without Fittings, Transparent Red</td></tr><tr><th>Color</th><td>Transparent Red</td></tr><tr><th>Fittings</th><td>None</td></tr><tr><th>Inside Diameter</th><td>1/4""</td></tr><tr><th>Length</th><td>500'</td></tr><tr><th>UPC ID</th><td>029292918626</td></tr></tbody></table>"
5760347,"<p>Flexeel Hose, 1/4"" x 500', Without Fittings, Transparent Blue </p><ul><li>Constructed of Lightweight, Tough Reinforced Polyurethane</li> <li>200 psi Working Pressure</li> <li>Without Fittings, Ready for Custom Assembly by End-User</li> <li>Made in USA</li></ul><table class=""description-table""><tbody><tr><th>Product Information</th></tr><tr><th>Description</th><td>Flexeel Hose, 1/4"" x 500', Without Fittings, Transparent Blue</td></tr><tr><th>Color</th><td>Transparent Blue</td></tr><tr><th>Fittings</th><td>None</td></tr><tr><th>Inside Diameter</th><td>1/4""</td></tr><tr><th>Length</th><td>500'</td></tr><tr><th>UPC ID</th><td>029292503037</td></tr></tbody></table>"
5760346,"<p>Flexeel Hose, 1/4"" x 2000', Without Fittings, Transparent Yellow </p><ul><li>Constructed of Lightweight, Tough Reinforced Polyurethane</li> <li>200 psi Working Pressure</li> <li>Without Fittings, Ready for Custom Assembly by End-User</li> <li>Made in USA</li></ul><table class=""description-table""><tbody><tr><th>Product Information</th></tr><tr><th>Description</th><td>Flexeel Hose, 1/4"" x 2000', Without Fittings, Transparent Yellow</td></tr><tr><th>Color</th><td>Transparent Yellow</td></tr><tr><th>Fittings</th><td>None</td></tr><tr><th>Inside Diameter</th><td>1/4""</td></tr><tr><th>Length</th><td>2000'</td></tr><tr><th>UPC ID</th><td>029292531337</td></tr></tbody></table>"
5760345,"<p>Flexeel Hose, 1/4"" x 2000', Without Fittings, Transparent Red </p><ul><li>Constructed of Lightweight, Tough Reinforced Polyurethane</li> <li>200 psi Working Pressure</li> <li>Without Fittings, Ready for Custom Assembly by End-User</li> <li>Made in USA</li></ul><table class=""description-table""><tbody><tr><th>Product Information</th></tr><tr><th>Description</th><td>Flexeel Hose, 1/4"" x 2000', Without Fittings, Transparent Red</td></tr><tr><th>Color</th><td>Transparent Red</td></tr><tr><th>Fittings</th><td>None</td></tr><tr><th>Inside Diameter</th><td>1/4""</td></tr><tr><th>Length</th><td>2000'</td></tr><tr><th>UPC ID</th><td>029292531320</td></tr></tbody></table>"
5760344,"<p>Flexeel Hose, 1/4"" x 2000', Without Fittings, Transparent Blue </p><ul><li>Constructed of Lightweight, Tough Reinforced Polyurethane</li> <li>200 psi Working Pressure</li> <li>Without Fittings, Ready for Custom Assembly by End-User</li> <li>Made in USA</li></ul><table class=""description-table""><tbody><tr><th>Product Information</th></tr><tr><th>Description</th><td>Flexeel Hose, 1/4"" x 2000', Without Fittings, Transparent Blue</td></tr><tr><th>Color</th><td>Transparent Blue</td></tr><tr><th>Fittings</th><td>None</td></tr><tr><th>Inside Diameter</th><td>1/4""</td></tr><tr><th>Length</th><td>2000'</td></tr><tr><th>UPC ID</th><td>029292921169</td></tr></tbody></table>"
5759821,"<p>Twin Bonded Nylon Coil, 3/4"" x 5/16"" x 50', 3/4"" &amp; 1/4"" NPT Swivel Fittings, Yellow &amp; Natural</p><br><br> <p>(Photos shows generic twin bond hose - the 3/4"" hose will not have a strain relief)</p><table class=""description-table""><tbody><tr><th>Product Information</th></tr><tr><th>Description</th><td>Twin Bonded Nylon Coil, 3/4"" x 5/16"" x 50', 3/4"" &amp; 1/4"" NPT Swivel Fittings, Yellow &amp; Natural</td></tr><tr><th>Color</th><td>Yellow &amp; Natural</td></tr><tr><th>Fittings</th><td>3/4"" MPT Swivel x 1/4"" MPT Swivel</td></tr><tr><th>Inside Diameter</th><td>3/4"" &amp; 5/16""</td></tr><tr><th>Overall Length</th><td>50'</td></tr><tr><th>Retracted Length</th><td>32.5""</td></tr><tr><th>UPC ID</th><td>029292501194</td></tr><tr><th>Working Length</th><td>40'</td></tr></tbody></table>"
5759820,"<h5> Twin Bonded Nylon Coil, 3/4"" x 5/16"" x 50', No Fittings, Yellow &amp; Natural</h5><table class=""description-table""><tbody><tr><th>Product Information</th></tr><tr><th>Description</th><td>Twin Bonded Nylon Coil, 3/4"" x 5/16"" x 50', No Fittings, Yellow &amp; Natural</td></tr><tr><th>Color</th><td>Yellow &amp; Natural</td></tr><tr><th>Fittings</th><td>None</td></tr><tr><th>Inside Diameter</th><td>3/4"" &amp; 5/16""</td></tr><tr><th>Overall Length</th><td>50'</td></tr><tr><th>Retracted Length</th><td>32.5""</td></tr><tr><th>UPC ID</th><td>029292500975</td></tr><tr><th>Working Length</th><td>40'</td></tr></tbody></table>"
5762181,"<h5> Multi-Purpose Hose, 3/4"" ID x 100', 3/4"" MPT</h5><table class=""description-table""><tbody><tr><th>Product Information</th></tr><tr><th>Description</th><td>Multi-Purpose Hose, 3/4"" ID x 100', 3/4"" MPT</td></tr><tr><th>Color</th><td>Blue</td></tr><tr><th>Fittings</th><td>3/4"" MPT Rigid</td></tr><tr><th>Inside Diameter</th><td>3/4""</td></tr><tr><th>Length</th><td>100'</td></tr><tr><th>UPC ID</th><td>029292298698</td></tr></tbody></table>"
5762157,"<h5> Multi-Purpose Hose, 1/2"" ID x 100', 1/2"" MPT</h5><table class=""description-table""><tbody><tr><th>Product Information</th></tr><tr><th>Description</th><td>Multi-Purpose Hose, 1/2"" ID x 100', 1/2"" MPT</td></tr><tr><th>Color</th><td>Blue</td></tr><tr><th>Fittings</th><td>1/2"" MPT Rigid</td></tr><tr><th>Inside Diameter</th><td>1/2""</td></tr><tr><th>Length</th><td>100'</td></tr><tr><th>UPC ID</th><td>029292298650</td></tr></tbody></table>"
5760509,"<p>Flexeel Hose, 1/2"" x 200', Without Fittings, Transparent Blue </p><ul><li>Constructed of Lightweight, Tough Reinforced Polyurethane</li> <li>200 psi Working Pressure</li> <li>Without Fittings, Ready for Custom Assembly by End-User</li> <li>Made in USA</li></ul><table class=""description-table""><tbody><tr><th>Product Information</th></tr><tr><th>Description</th><td>Flexeel Hose, 1/2"" x 200', Without Fittings, Transparent Blue</td></tr><tr><th>Color</th><td>Transparent Blue</td></tr><tr><th>Fittings</th><td>None</td></tr><tr><th>Inside Diameter</th><td>1/2""</td></tr><tr><th>Length</th><td>200'</td></tr><tr><th>UPC ID</th><td>029292925204</td></tr></tbody></table>"
5760463,"<p>Flexeel Hose, 3/8"" x 1000', Without Fittings, Transparent Yellow </p><ul><li>Constructed of Lightweight, Tough Reinforced Polyurethane</li> <li>200 psi Working Pressure</li> <li>Without Fittings, Ready for Custom Assembly by End-User</li> <li>Made in USA</li></ul><table class=""description-table""><tbody><tr><th>Product Information</th></tr><tr><th>Description</th><td>Flexeel Hose, 3/8"" x 1000', Without Fittings, Transparent Yellow</td></tr><tr><th>Color</th><td>Transparent Yellow</td></tr><tr><th>Fittings</th><td>None</td></tr><tr><th>Inside Diameter</th><td>3/8""</td></tr><tr><th>Length</th><td>1000'</td></tr><tr><th>UPC ID</th><td>029292923347</td></tr></tbody></table>"
5760462,"<p>Flexeel Hose, 3/8"" x 1000', Without Fittings, Transparent Red </p><ul><li>Constructed of Lightweight, Tough Reinforced Polyurethane</li> <li>200 psi Working Pressure</li> <li>Without Fittings, Ready for Custom Assembly by End-User</li> <li>Made in USA</li></ul><table class=""description-table""><tbody><tr><th>Product Information</th></tr><tr><th>Description</th><td>Flexeel Hose, 3/8"" x 1000', Without Fittings, Transparent Red</td></tr><tr><th>Color</th><td>Transparent Red</td></tr><tr><th>Fittings</th><td>None</td></tr><tr><th>Inside Diameter</th><td>3/8""</td></tr><tr><th>Length</th><td>1000'</td></tr><tr><th>UPC ID</th><td>029292531191</td></tr></tbody></table>"
5759573,"<h5> Lock-On Hose, 3/8"" ID x 100', 3/8"" MPT</h5><table class=""description-table""><tbody><tr><th>Product Information</th></tr><tr><th>Description</th><td>Lock-On Hose, 3/8"" ID x 100', 3/8"" MPT</td></tr><tr><th>Color</th><td>Gray</td></tr><tr><th>Fittings</th><td>3/8"" MPT Rigid</td></tr><tr><th>Inside Diameter</th><td>3/8""</td></tr><tr><th>Length</th><td>100'</td></tr><tr><th>UPC ID</th><td>029292298131</td></tr></tbody></table>"
5759552,"<h5> Lock-On Hose, 1/2"" ID x 100', No Fittings</h5><table class=""description-table""><tbody><tr><th>Product Information</th></tr><tr><th>Description</th><td>Lock-On Hose, 1/2"" ID x 100', No Fittings</td></tr><tr><th>Color</th><td>Gray</td></tr><tr><th>Fittings</th><td>None</td></tr><tr><th>Inside Diameter</th><td>1/2""</td></tr><tr><th>Length</th><td>100'</td></tr><tr><th>UPC ID</th><td>029292298285</td></tr></tbody></table>"
5758673,"<p>Air Tool Lubricant, Winter Grade, 55 Gallon Drum </p><p> Air tools are an investment; protect them with high quality Air Tool Lubricant. Coilhose Air Tool Lubricant is specially formulated ISO 22 lubricant, designed to prolong the life of air tools and accessories. </p> <p> Available in Standard or Wintergrade, Air Tool Lubricant can keep your operation running all year. </p><table class=""description-table""><tr><th>Inhibits the Formation of Rust</li> <li>Non-Detergent, Non-Corrosive, Non-Reactive, and Stable</li> <li>Removes Moisture</li> <li>Temperature Range</th><td>-45°F +</td></tr><li>Made in USA</li></ul><table class=""description-table""><tbody><tr><th>Product Information</th></tr><tr><th>Description</th><td>Air Tool Lubricant, Winter Grade, 55 Gallon Drum</td></tr><tr><th>Packaging</th><td>Drum</td></tr><tr><th>UPC ID</th><td>029292787529</td></tr></tbody></table>"
5758672,"<p>Air Tool Lubricant, 55 Gallon Drum </p><p> Air tools are an investment; protect them with high quality Air Tool Lubricant. Coilhose Air Tool Lubricant is specially formulated ISO 22 lubricant, designed to prolong the life of air tools and accessories. </p> <p> Available in Standard or Wintergrade, Air Tool Lubricant can keep your operation running all year. </p><table class=""description-table""><tr><th>Inhibits the Formation of Rust</li> <li>Non-Detergent, Non-Corrosive, Non-Reactive, and Stable</li> <li>Removes Moisture</li> <li>Temperature Range</th><td>50°F +</td></tr><li>Made in USA</li></ul><table class=""description-table""><tbody><tr><th>Product Information</th></tr><tr><th>Description</th><td>Air Tool Lubricant, 55 Gallon Drum</td></tr><tr><th>Packaging</th><td>Drum</td></tr><tr><th>UPC ID</th><td>029292787512</td></tr></tbody></table>"
