id,additional_description
5743628,"<h5>Product dimensional data</h5><table class=""description-table""><tr><th>Shaft-Size (d)</th><td>55</td></tr></table><h5>Dimensions (mm) (in)</h5><table class=""description-table""><tr><th>HOUSING LENGTH (a)</th><td>181. 1 / 7. 1</td></tr><tr><th>HOUSING WIDTH (b)</th><td>62 / 2. 4</td></tr><tr><th>HOUSING HEIGHT (c)</th><td>133 / 5. 2</td></tr><tr><th>LOCKING COLLAR OUTER DIAMETER (d)</th><td>82. 5 / 3. 2</td></tr><tr><th>DISTANCE BETWEEN SLOTS (e)</th><td>114. 3 / 4. 5</td></tr><tr><th>BOLT SIZE (f)</th><td>28. 5 / 1. 1</td></tr><tr><th>LENGTH THRU PILOT HOLE (g)</th><td>25 / 1. 0</td></tr><tr><th>BASE TO CENTER DISTANCE (h)</th><td>118 / 4. 6</td></tr><tr><th>SLOT LENGTH (j)</th><td>95 / 3. 7</td></tr><tr><th>TIGHTENING SLOT WIDTH (k)</th><td>57 / 2. 2</td></tr><tr><th>SINGLE COLLAR LENGTH THRU BORE (l)</th><td>79. 4 / 3. 1</td></tr><tr><th>TIGHTENING SLOT HEIGHT (m)</th><td>25 / 1. 0</td></tr><tr><th>BASE WIDTH (p)</th><td>99 / 3. 9</td></tr><tr><th>SLOT WIDTH (s)</th><td>20. 65 / 0. 8</td></tr><tr><th>CENTER OF HOUSING TO FRONT OF EXPANDED COLLAR (t)</th><td>55. 4 / 2. 2</td></tr><tr><th>EXPANSION DISTANCE (x)</th><td>6 / 0. 2</td></tr></table>"
5743622,"<h5>Product dimensional data</h5><table class=""description-table""><tr><th>Shaft-Size (d)</th><td>50</td></tr></table><h5>Dimensions (mm) (in)</h5><table class=""description-table""><tr><th>HOUSING LENGTH (a)</th><td>166. 6 / 6. 6</td></tr><tr><th>HOUSING WIDTH (b)</th><td>62 / 2. 4</td></tr><tr><th>HOUSING HEIGHT (c)</th><td>121 / 4. 8</td></tr><tr><th>LOCKING COLLAR OUTER DIAMETER (d)</th><td>73 / 2. 9</td></tr><tr><th>DISTANCE BETWEEN SLOTS (e)</th><td>101. 6 / 4. 0</td></tr><tr><th>BOLT SIZE (f)</th><td>25. 4 / 1. 0</td></tr><tr><th>LENGTH THRU PILOT HOLE (g)</th><td>24 / 0. 9</td></tr><tr><th>BASE TO CENTER DISTANCE (h)</th><td>100 / 3. 9</td></tr><tr><th>SLOT LENGTH (j)</th><td>95 / 3. 7</td></tr><tr><th>TIGHTENING SLOT WIDTH (k)</th><td>49 / 1. 9</td></tr><tr><th>SINGLE COLLAR LENGTH THRU BORE (l)</th><td>73. 2 / 2. 9</td></tr><tr><th>TIGHTENING SLOT HEIGHT (m)</th><td>19 / 0. 7</td></tr><tr><th>BASE WIDTH (p)</th><td>84 / 3. 3</td></tr><tr><th>SLOT WIDTH (s)</th><td>17. 47 / 0. 7</td></tr><tr><th>CENTER OF HOUSING TO FRONT OF EXPANDED COLLAR (t)</th><td>50. 8 / 2. 0</td></tr><tr><th>EXPANSION DISTANCE (x)</th><td>6 / 0. 2</td></tr></table>"
5743485,"<h5>Product dimensional data</h5><table class=""description-table""><tr><th>Shaft-Size (d)</th><td>90</td></tr></table><h5>Dimensions (mm) (in)</h5><table class=""description-table""><tr><th>OVERALL LENGTH (a)</th><td>330 / 13. 0</td></tr><tr><th>OVERALL WIDTH (b)</th><td>105 / 4. 1</td></tr><tr><th>FOOT HEIGHT (c)</th><td>57. 2 / 2. 3</td></tr><tr><th>LOCKING COLLAR OUTER DIAMETER (d)</th><td>130. 3 / 5. 1</td></tr><tr><th>WIDTH BETWEEN BOLT HOLES (e)</th><td>50. 8 / 2. 0</td></tr><tr><th>BOLT SIZE (f)</th><td>M20 / 0. 0</td></tr><tr><th>BOLT HOLE LENGTH (g)</th><td>42. 9 / 1. 7</td></tr><tr><th>BASE TO CENTER HEIGHT (h)</th><td>82. 25 / 3. 2</td></tr><tr><th>OVERALL HEIGHT (j)</th><td>190. 5 / 7. 5</td></tr><tr><th>BOLT HOLE WIDTH (k)</th><td>23. 8 / 0. 9</td></tr><tr><th>SINGLE COLLAR LENGTH THRU BORE (l)</th><td>102. 4 / 4. 0</td></tr><tr><th>CENTER OF OUTER RACE TO FACE OF COLLAR WHEN EXPANDED (t)</th><td>68. 9 / 2. 7</td></tr><tr><th>EXPANSION DISTANCE (x)</th><td>6mm / 0. 2</td></tr></table>"
5743480,"<h5>Product dimensional data</h5><table class=""description-table""><tr><th>Shaft-Size (d)</th><td>85</td></tr></table><h5>Dimensions (mm) (in)</h5><table class=""description-table""><tr><th>OVERALL LENGTH (a)</th><td>330 / 13. 0</td></tr><tr><th>OVERALL WIDTH (b)</th><td>105 / 4. 1</td></tr><tr><th>FOOT HEIGHT (c)</th><td>57. 2 / 2. 3</td></tr><tr><th>LOCKING COLLAR OUTER DIAMETER (d)</th><td>130. 3 / 5. 1</td></tr><tr><th>WIDTH BETWEEN BOLT HOLES (e)</th><td>50. 8 / 2. 0</td></tr><tr><th>BOLT SIZE (f)</th><td>M20 / 0. 0</td></tr><tr><th>BOLT HOLE LENGTH (g)</th><td>42. 9 / 1. 7</td></tr><tr><th>BASE TO CENTER HEIGHT (h)</th><td>82. 25 / 3. 2</td></tr><tr><th>OVERALL HEIGHT (j)</th><td>190. 5 / 7. 5</td></tr><tr><th>BOLT HOLE WIDTH (k)</th><td>23. 8 / 0. 9</td></tr><tr><th>CENTER OF OUTER RACE TO FACE OF COLLAR WHEN EXPANDED (t)</th><td>68. 9 / 2. 7</td></tr><tr><th>EXPANSION DISTANCE (x)</th><td>6mm / 0. 2</td></tr></table>"
5743655,"<h5>Product dimensional data</h5><table class=""description-table""><tr><th>Shaft-Size (d)</th><td>90</td></tr></table><h5>Dimensions (mm) (in)</h5><table class=""description-table""><tr><th>HOUSING LENGTH (a)</th><td>260 / 10. 2</td></tr><tr><th>HOUSING WIDTH (b)</th><td>87 / 3. 4</td></tr><tr><th>HOUSING HEIGHT (c)</th><td>198 / 7. 8</td></tr><tr><th>LOCKING COLLAR OUTER DIAMETER (d)</th><td>130. 2 / 5. 1</td></tr><tr><th>DISTANCE BETWEEN SLOTS (e)</th><td>173. 05 / 6. 8</td></tr><tr><th>BOLT SIZE (f)</th><td>41. 3 / 1. 6</td></tr><tr><th>LENGTH THRU PILOT HOLE (g)</th><td>27 / 1. 1</td></tr><tr><th>BASE TO CENTER DISTANCE (h)</th><td>162 / 6. 4</td></tr><tr><th>SLOT LENGTH (j)</th><td>152 / 6. 0</td></tr><tr><th>TIGHTENING SLOT WIDTH (k)</th><td>73 / 2. 9</td></tr><tr><th>SINGLE COLLAR LENGTH THRU BORE (l)</th><td>102 / 4. 0</td></tr><tr><th>TIGHTENING SLOT HEIGHT (m)</th><td>41. 4 / 1. 6</td></tr><tr><th>BASE WIDTH (p)</th><td>124 / 4. 9</td></tr><tr><th>SLOT WIDTH (s)</th><td>45. 23 / 1. 8</td></tr><tr><th>CENTER OF HOUSING TO FRONT OF EXPANDED COLLAR (t)</th><td>68. 8 / 2. 7</td></tr><tr><th>EXPANSION DISTANCE (x)</th><td>6 / 0. 2</td></tr></table>"
5743651,"<h5>Product dimensional data</h5><table class=""description-table""><tr><th>Shaft-Size (d)</th><td>85</td></tr></table><h5>Dimensions (mm) (in)</h5><table class=""description-table""><tr><th>HOUSING LENGTH (a)</th><td>260 / 10. 2</td></tr><tr><th>HOUSING WIDTH (b)</th><td>87 / 3. 4</td></tr><tr><th>HOUSING HEIGHT (c)</th><td>198 / 7. 8</td></tr><tr><th>LOCKING COLLAR OUTER DIAMETER (d)</th><td>130. 2 / 5. 1</td></tr><tr><th>DISTANCE BETWEEN SLOTS (e)</th><td>173. 05 / 6. 8</td></tr><tr><th>BOLT SIZE (f)</th><td>41. 3 / 1. 6</td></tr><tr><th>LENGTH THRU PILOT HOLE (g)</th><td>27 / 1. 1</td></tr><tr><th>BASE TO CENTER DISTANCE (h)</th><td>162 / 6. 4</td></tr><tr><th>SLOT LENGTH (j)</th><td>152 / 6. 0</td></tr><tr><th>TIGHTENING SLOT WIDTH (k)</th><td>73 / 2. 9</td></tr><tr><th>SINGLE COLLAR LENGTH THRU BORE (l)</th><td>102 / 4. 0</td></tr><tr><th>TIGHTENING SLOT HEIGHT (m)</th><td>41. 4 / 1. 6</td></tr><tr><th>BASE WIDTH (p)</th><td>124 / 4. 9</td></tr><tr><th>SLOT WIDTH (s)</th><td>45. 23 / 1. 8</td></tr><tr><th>CENTER OF HOUSING TO FRONT OF EXPANDED COLLAR (t)</th><td>68. 8 / 2. 7</td></tr><tr><th>EXPANSION DISTANCE (x)</th><td>6 / 0. 2</td></tr></table>"
5743647,"<h5>Product dimensional data</h5><table class=""description-table""><tr><th>Shaft-Size (d)</th><td>80</td></tr></table><h5>Dimensions (mm) (in)</h5><table class=""description-table""><tr><th>HOUSING LENGTH (a)</th><td>260 / 10. 2</td></tr><tr><th>HOUSING WIDTH (b)</th><td>87 / 3. 4</td></tr><tr><th>HOUSING HEIGHT (c)</th><td>198 / 7. 8</td></tr><tr><th>LOCKING COLLAR OUTER DIAMETER (d)</th><td>130. 2 / 5. 1</td></tr><tr><th>DISTANCE BETWEEN SLOTS (e)</th><td>173. 05 / 6. 8</td></tr><tr><th>BOLT SIZE (f)</th><td>41. 3 / 1. 6</td></tr><tr><th>LENGTH THRU PILOT HOLE (g)</th><td>27 / 1. 1</td></tr><tr><th>BASE TO CENTER DISTANCE (h)</th><td>162 / 6. 4</td></tr><tr><th>SLOT LENGTH (j)</th><td>152 / 6. 0</td></tr><tr><th>TIGHTENING SLOT WIDTH (k)</th><td>73 / 2. 9</td></tr><tr><th>SINGLE COLLAR LENGTH THRU BORE (l)</th><td>102 / 4. 0</td></tr><tr><th>TIGHTENING SLOT HEIGHT (m)</th><td>41. 4 / 1. 6</td></tr><tr><th>BASE WIDTH (p)</th><td>124 / 4. 9</td></tr><tr><th>SLOT WIDTH (s)</th><td>45. 23 / 1. 8</td></tr><tr><th>CENTER OF HOUSING TO FRONT OF EXPANDED COLLAR (t)</th><td>68. 8 / 2. 7</td></tr><tr><th>EXPANSION DISTANCE (x)</th><td>6 / 0. 2</td></tr></table>"
5743652,"<h5>Product dimensional data</h5><table class=""description-table""><tr><th>Shaft-Size (d)</th><td>85</td></tr></table><h5>Dimensions (mm) (in)</h5><table class=""description-table""><tr><th>HOUSING LENGTH (a)</th><td>260 / 10. 2</td></tr><tr><th>HOUSING WIDTH (b)</th><td>87 / 3. 4</td></tr><tr><th>HOUSING HEIGHT (c)</th><td>198 / 7. 8</td></tr><tr><th>LOCKING COLLAR OUTER DIAMETER (d)</th><td>130. 2 / 5. 1</td></tr><tr><th>DISTANCE BETWEEN SLOTS (e)</th><td>173. 05 / 6. 8</td></tr><tr><th>BOLT SIZE (f)</th><td>41. 3 / 1. 6</td></tr><tr><th>LENGTH THRU PILOT HOLE (g)</th><td>27 / 1. 1</td></tr><tr><th>BASE TO CENTER DISTANCE (h)</th><td>162 / 6. 4</td></tr><tr><th>SLOT LENGTH (j)</th><td>152 / 6. 0</td></tr><tr><th>TIGHTENING SLOT WIDTH (k)</th><td>73 / 2. 9</td></tr><tr><th>SINGLE COLLAR LENGTH THRU BORE (l)</th><td>102 / 4. 0</td></tr><tr><th>TIGHTENING SLOT HEIGHT (m)</th><td>41. 4 / 1. 6</td></tr><tr><th>BASE WIDTH (p)</th><td>124 / 4. 9</td></tr><tr><th>SLOT WIDTH (s)</th><td>45. 23 / 1. 8</td></tr><tr><th>CENTER OF HOUSING TO FRONT OF EXPANDED COLLAR (t)</th><td>68. 8 / 2. 7</td></tr><tr><th>EXPANSION DISTANCE (x)</th><td>6 / 0. 2</td></tr></table>"
5743643,"<h5>Product dimensional data</h5><table class=""description-table""><tr><th>Shaft-Size (d)</th><td>75</td></tr></table><h5>Dimensions (mm) (in)</h5><table class=""description-table""><tr><th>HOUSING LENGTH (a)</th><td>231. 9 / 9. 1</td></tr><tr><th>HOUSING WIDTH (b)</th><td>76 / 3. 0</td></tr><tr><th>HOUSING HEIGHT (c)</th><td>170 / 6. 7</td></tr><tr><th>LOCKING COLLAR OUTER DIAMETER (d)</th><td>114. 3 / 4. 5</td></tr><tr><th>DISTANCE BETWEEN SLOTS (e)</th><td>149. 22 / 5. 9</td></tr><tr><th>BOLT SIZE (f)</th><td>38. 1 / 1. 5</td></tr><tr><th>LENGTH THRU PILOT HOLE (g)</th><td>29 / 1. 1</td></tr><tr><th>BASE TO CENTER DISTANCE (h)</th><td>149 / 5. 9</td></tr><tr><th>SLOT LENGTH (j)</th><td>120 / 4. 7</td></tr><tr><th>TIGHTENING SLOT WIDTH (k)</th><td>70 / 2. 8</td></tr><tr><th>SINGLE COLLAR LENGTH THRU BORE (l)</th><td>92. 2 / 3. 6</td></tr><tr><th>TIGHTENING SLOT HEIGHT (m)</th><td>31. 7 / 1. 2</td></tr><tr><th>BASE WIDTH (p)</th><td>124 / 4. 9</td></tr><tr><th>SLOT WIDTH (s)</th><td>45. 23 / 1. 8</td></tr><tr><th>CENTER OF HOUSING TO FRONT OF EXPANDED COLLAR (t)</th><td>63. 3 / 2. 5</td></tr><tr><th>EXPANSION DISTANCE (x)</th><td>6 / 0. 2</td></tr></table>"
5743656,"<h5>Product dimensional data</h5><table class=""description-table""><tr><th>Shaft-Size (d)</th><td>90</td></tr></table><h5>Dimensions (mm) (in)</h5><table class=""description-table""><tr><th>HOUSING LENGTH (a)</th><td>260 / 10. 2</td></tr><tr><th>HOUSING WIDTH (b)</th><td>87 / 3. 4</td></tr><tr><th>HOUSING HEIGHT (c)</th><td>198 / 7. 8</td></tr><tr><th>LOCKING COLLAR OUTER DIAMETER (d)</th><td>130. 2 / 5. 1</td></tr><tr><th>DISTANCE BETWEEN SLOTS (e)</th><td>173. 05 / 6. 8</td></tr><tr><th>BOLT SIZE (f)</th><td>41. 3 / 1. 6</td></tr><tr><th>LENGTH THRU PILOT HOLE (g)</th><td>27 / 1. 1</td></tr><tr><th>BASE TO CENTER DISTANCE (h)</th><td>162 / 6. 4</td></tr><tr><th>SLOT LENGTH (j)</th><td>152 / 6. 0</td></tr><tr><th>TIGHTENING SLOT WIDTH (k)</th><td>73 / 2. 9</td></tr><tr><th>SINGLE COLLAR LENGTH THRU BORE (l)</th><td>102 / 4. 0</td></tr><tr><th>TIGHTENING SLOT HEIGHT (m)</th><td>41. 4 / 1. 6</td></tr><tr><th>BASE WIDTH (p)</th><td>124 / 4. 9</td></tr><tr><th>SLOT WIDTH (s)</th><td>45. 23 / 1. 8</td></tr><tr><th>CENTER OF HOUSING TO FRONT OF EXPANDED COLLAR (t)</th><td>68. 8 / 2. 7</td></tr><tr><th>EXPANSION DISTANCE (x)</th><td>6 / 0. 2</td></tr></table>"
